DateTime,Entries,UniqueIPs
1540694918,5089,5089
1540696845,5131,5131
1540698738,5111,5111
1540700677,5033,5033
1540702581,4988,4988
1540704518,4983,4983
1540706474,4994,4994
1540708606,5003,5003
1540710530,5223,5223
1540712435,5227,5227
1540714365,5305,5305
1540716257,5311,5311
1540718443,5322,5322
1540720337,5323,5323
1540722282,5475,5475
1540724197,5486,5486
1540726251,5562,5562
1540728095,5563,5563
1540729944,5004,5004
1540731875,4858,4858
1540733790,5235,5235
1540735726,4681,4681
1540737635,4128,4128
1540739564,4140,4140
1540741457,4148,4148
1540743401,4148,4148
1540745317,4134,4134
1540747262,4097,4097
1540749400,4091,4091
1540751304,4092,4092
1540753259,4092,4092
1540755147,4096,4096
1540757088,4099,4099
1540758981,4099,4099
1540760910,4097,4097
1540762820,4060,4060
1540764749,4061,4061
1540766679,4080,4080
1540768590,4085,4085
1540770509,4042,4042
1540772424,4987,4987
1540774347,6109,6109
1540776285,7248,7248
1540778205,8203,8203
1540780124,8213,8213
1540782071,8584,8584
1540783968,9105,9105
1540785883,9117,9117
1540788034,9125,9125
1540789950,9121,9121
1540791867,9119,9119
1540793809,9123,9123
1540795742,8757,8757
1540797632,8769,8769
1540799560,8755,8755
1540801483,8685,8685
1540803684,8677,8677
1540805563,8671,8671
1540807474,8667,8667
1540809391,8598,8598
1540811331,8595,8595
1540813242,8526,8526
1540815412,8521,8521
1540817547,8661,8661
1540819456,7660,7660
1540821400,7343,7343
1540823326,7249,7249
1540825285,7244,7244
1540827169,7244,7244
1540829094,7248,7248
1540831383,7444,7444
1540833379,7473,7473
1540835574,7497,7497
1540837708,7458,7458
1540839630,7463,7463
1540841558,7466,7466
1540843732,7468,7468
1540845644,7495,7495
1540847831,7499,7499
1540849719,7501,7501
1540851644,7497,7497
1540853673,7508,7508
1540855479,7514,7514
1540857397,7600,7600
1540859567,6530,6530
1540861489,5608,5608
1540863370,4300,4300
1540865326,3836,3836
1540867238,3819,3819
1540869419,3034,3034
1540871321,3046,3046
1540873245,3047,3047
1540875158,3050,3050
1540877058,3048,3048
1540878999,3046,3046
1540880920,3067,3067
1540882864,3087,3087
1540884762,3089,3089
1540886919,3174,3174
1540888847,3193,3193
1540890748,3201,3201
1540892896,3201,3201
1540895105,3766,3766
1540896999,3841,3841
1540899140,3862,3862
1540900993,3864,3864
1540902984,4012,4012
1540904903,4055,4055
1540907072,4058,4058
1540908995,4056,4056
1540911143,4048,4048
1540913077,4053,4053
1540915262,4065,4065
1540917180,4066,4066
1540919323,4051,4051
1540921237,4086,4086
1540923165,4109,4109
1540925323,4307,4307
1540927242,4324,4324
1540929162,4337,4337
1540931076,4249,4249
1540932994,4254,4254
1540934930,4261,4261
1540936842,4272,4272
1540938750,4285,4285
1540940680,4286,4286
1540942585,4283,4283
1540944507,4109,4109
1540946415,3878,3878
1540948341,3889,3889
1540950276,3774,3774
1540952200,3770,3770
1540954100,3784,3784
1540956030,3926,3926
1540957945,3932,3932
1540959876,5328,5328
1540961789,5939,5939
1540963710,5946,5946
1540965869,5946,5946
1540967811,5932,5932
1540969704,5949,5949
1540971639,5942,5942
1540973552,5887,5887
1540975462,5875,5875
1540977389,5880,5880
1540979298,5876,5876
1540981223,5110,5110
1540983149,5106,5106
1540985059,5101,5101
1540986979,5098,5098
1540989002,5052,5052
1540990836,4922,4922
1540992985,4921,4921
1540994919,4921,4921
