DateTime,Entries,UniqueIPs
1540459482,77,77
1540461406,75,75
1540463317,76,76
1540465281,75,75
1540467408,78,78
1540469334,76,76
1540471238,76,76
1540473152,75,75
1540475079,77,77
1540477000,79,79
1540478919,82,82
1540480993,84,84
1540484190,83,83
1540486102,85,85
1540487949,84,84
1540490207,84,84
1540492361,84,84
1540494264,81,81
1540496187,79,79
1540498114,84,84
1540500029,84,84
1540501967,83,83
1540503861,86,86
1540505794,88,88
1540509700,88,88
1540511544,85,85
1540513486,83,83
1540515400,87,87
1540517323,91,91
1540519272,90,90
1540521151,88,88
1540523068,85,85
1540524989,82,82
1540526932,81,81
1540528864,78,78
1540530764,79,79
1540532900,80,80
1540534825,79,79
1540536764,78,78
1540538681,77,77
1540540603,78,78
1540542524,78,78
1540544492,77,77
1540546346,76,76
1540548279,76,76
1540552589,76,76
1540554507,76,76
1540556444,76,76
1540558354,78,78
1540560263,80,80
1540562198,81,81
1540564342,77,77
1540566273,73,73
1540568447,73,73
1540570399,72,72
1540572289,72,72
1540574206,70,70
1540576122,74,74
1540578046,72,72
1540579961,75,75
1540581854,73,73
1540583799,69,69
1540585948,73,73
1540587873,72,72
1540590040,69,69
1540591943,69,69
1540593852,69,69
1540596008,69,69
1540598181,75,75
1540600113,77,77
1540602095,77,77
1540603960,73,73
1540605885,74,74
1540607809,73,73
1540611645,72,72
1540613579,70,70
1540615479,69,69
1540617397,72,72
1540619304,72,72
1540621231,72,72
1540623162,75,75
1540625056,79,79
1540627027,77,77
1540629147,76,76
1540631054,78,78
1540633228,81,81
1540635153,80,80
1540637090,81,81
1540639124,80,80
1540641142,77,77
1540643118,79,79
1540644983,78,78
1540646922,78,78
1540648872,77,77
1540650750,80,80
1540652673,80,80
1540654595,80,80
1540656567,83,83
1540658670,83,83
1540660598,82,82
1540662630,79,79
1540664667,80,80
1540666576,76,76
1540668497,79,79
1540670436,80,80
1540672344,77,77
1540674532,78,78
1540676676,79,79
1540678588,80,80
1540680499,82,82
1540682448,81,81
1540684344,76,76
1540686286,72,72
1540688467,67,67
1540690600,71,71
1540692523,70,70
1540694417,72,72
1540696358,75,75
1540700187,77,77
1540702115,79,79
1540704025,76,76
1540705941,78,78
1540707873,78,78
1540710051,76,76
1540711954,76,76
1540713867,75,75
1540715805,74,74
1540717949,76,76
1540719880,74,74
1540721783,77,77
1540723701,78,78
1540725615,79,79
1540729476,77,77
1540731380,75,75
1540733318,73,73
1540735238,74,74
1540737146,72,72
1540739072,71,71
1540741007,71,71
1540742945,69,69
1540744837,69,69
1540746771,71,71
1540748920,71,71
1540750839,72,72
1540752762,73,73
1540754698,73,73
1540756577,72,72
1540758511,71,71
1540760467,70,70
1540764283,69,69
1540766425,68,68
1540768591,69,69
1540770510,68,68
1540772425,71,71
1540774348,72,72
1540776285,75,75
1540778206,74,74
1540780125,74,74
1540782075,73,73
1540783969,75,75
1540785885,75,75
1540788035,71,71
1540791868,68,68
1540793810,67,67
1540795743,66,66
1540797634,66,66
1540799561,69,69
1540801484,69,69
1540803690,68,68
1540805564,66,66
1540807475,66,66
1540809392,64,64
1540811343,65,65
1540813243,68,68
1540815413,68,68
1540817548,71,71
1540819457,72,72
1540821401,72,72
1540823327,71,71
1540825289,74,74
1540827170,74,74
1540829094,76,76
1540831384,78,78
1540833383,79,79
1540835575,77,77
1540837709,80,80
1540839632,81,81
1540841561,80,80
1540843733,82,82
1540845645,82,82
1540847832,83,83
1540849720,84,84
1540851645,84,84
1540853674,82,82
1540855480,83,83
1540857398,83,83
1540859568,82,82
1540861491,80,80
1540863371,77,77
1540865327,75,75
1540867239,73,73
1540869420,72,72
1540871322,72,72
1540873246,74,74
1540875159,75,75
1540877059,75,75
1540879000,75,75
1540880921,78,78
1540882891,76,76
1540884763,73,73
1540886920,76,76
1540888848,78,78
1540890749,78,78
1540892897,82,82
1540895106,84,84
1540897000,83,83
1540899141,81,81
1540900994,79,79
1540902985,77,77
1540904904,75,75
1540907073,74,74
1540911144,71,71
1540913078,70,70
1540915283,72,72
1540917181,70,70
1540919324,67,67
1540921238,68,68
1540923166,68,68
1540925324,66,66
1540927253,65,65
1540929165,66,66
1540931077,66,66
1540932995,68,68
1540934931,68,68
1540936891,67,67
1540938751,65,65
1540940681,67,67
1540942586,66,66
1540944512,66,66
1540946416,67,67
1540948342,69,69
1540950277,70,70
1540952201,73,73
1540954101,71,71
1540956033,74,74
1540957945,73,73
1540959877,70,70
1540961789,73,73
1540963711,74,74
1540965870,73,73
1540967812,71,71
1540969706,72,72
1540971640,72,72
1540973553,71,71
1540975463,69,69
1540977390,69,69
1540979299,68,68
1540981224,69,69
1540983149,68,68
1540985060,69,69
1540986980,71,71
1540989003,71,71
1540990838,72,72
1540992986,71,71
1540994920,75,75
1540996843,76,76
1540998771,75,75
1541000725,75,75
1541002608,70,70
1541004753,70,70
1541006668,73,73
1541008874,71,71
1541010760,71,71
1541012907,72,72
1541014841,71,71
1541016765,69,69
1541018667,70,70
1541020615,70,70
1541022744,67,67
1541024663,66,66
1541026615,66,66
1541028519,68,68
1541030435,70,70
1541032341,69,69
1541034292,68,68
1541036215,66,66
1541038126,64,64
1541040035,68,68
1541041961,67,67
1541043879,68,68
1541045826,67,67
1541047936,64,64
1541049855,65,65
1541051689,64,64
1541053961,66,66
1541055888,66,66
1541057770,65,65
