DateTime,AddedIPs,RemovedIPs
1538796758,0,1
1538800610,0,1
1538802532,1,0
1538804570,0,2
1538810667,1,0
1538814503,2,0
1538816478,2,0
1538818340,1,0
1538820274,1,0
1538822215,1,0
1538824105,1,0
1538831784,2,1
1538835873,1,0
1538841667,1,0
1538849326,1,0
1538853143,0,1
1538855063,1,0
1538858895,2,2
1538860835,0,1
1538862742,2,0
1538864673,0,1
1538866585,2,2
1538868501,0,1
1538870433,0,1
1538872356,1,0
1538874726,1,0
1538888211,0,1
1538896352,0,1
1538898261,1,0
1538902128,0,3
1538904016,0,2
1538907859,0,1
1538909775,0,2
1538914596,1,0
1538918431,1,1
1538922266,0,1
1538926101,1,0
1538928107,0,1
1538935954,2,1
1538937857,0,1
1538941708,1,1
1538945559,0,2
1538947477,0,1
1538949372,1,1
1538951321,0,1
1538953274,0,1
1538957089,1,1
1538961393,1,1
1538963296,1,0
1538967152,1,0
1538972905,1,0
1538974859,1,0
1538976762,1,0
1538978678,2,0
1538980571,1,0
1538984429,1,0
1538986358,0,1
1538990199,1,0
1538992124,1,0
1538994035,1,0
1539001714,1,0
1539003629,1,0
1539005555,0,1
1539007456,1,0
1539011544,1,0
1539013476,0,1
1539023077,0,2
1539027151,0,2
1539032866,1,0
1539034838,0,1
1539042504,0,1
1539048302,0,2
1539052095,1,0
1539054089,0,1
1539057889,2,0
1539059801,2,1
1539061725,0,2
1539063620,0,1
1539065831,0,1
1539067701,0,1
1539071803,0,1
1539073743,3,0
1539075862,0,1
1539078024,1,0
1539079953,0,2
1539087629,0,1
1539089544,0,1
1539093696,0,1
1539097533,0,1
1539116911,1,0
1539118876,0,1
1539124589,1,0
1539138022,0,1
1539143778,1,1
1539145717,0,3
1539159166,0,2
1539161063,0,1
1539164905,1,1
1539166845,2,0
1539170665,1,0
1539200177,1,0
1539204016,0,1
1539211716,0,1
1539213625,1,0
1539217475,1,0
1539231145,1,1
1539252264,0,2
1539254174,0,1
1539258020,0,1
1539260177,1,0
1539287318,0,1
1539293074,1,0
1539296913,1,0
1539298863,0,1
1539304585,0,1
1539318026,0,1
1539347287,0,1
1539351391,1,0
1539353431,1,0
1539368903,1,0
1539380424,0,1
1539384795,0,1
1539423372,1,0
1539433010,1,0
1539446670,0,1
1539454358,0,1
1539474492,1,0
1539486066,1,0
1539487959,1,0
1539511286,0,1
1539518924,0,1
1539520823,1,0
1539522762,1,0
1539536170,1,0
1539561189,0,1
1539563068,1,1
1539572688,0,1
1539574575,0,1
1539589943,1,0
1539607478,0,1
1539609390,0,1
1539622104,0,1
1539627764,1,0
1539631942,1,0
1539639859,1,0
1539649473,0,1
1539657160,1,0
1539668664,1,0
1539676355,0,1
1539678278,1,0
1539686409,1,0
1539702082,1,0
1539703964,1,0
1539714262,1,1
1539718098,1,0
1539720102,0,1
1539721955,2,0
1539724113,1,0
1539726037,4,0
1539730105,2,0
1539732026,4,0
1539733955,2,0
1539735877,2,0
1539737775,2,1
1539739699,2,0
1539743545,1,0
1539745485,1,0
1539747374,1,0
1539749305,6,0
1539751246,2,0
1539753149,1,0
1539755057,2,1
1539757003,2,0
1539758898,1,0
1539760810,1,0
1539762758,1,1
1539764661,1,1
1539766900,2,0
1539768765,1,0
1539770661,2,0
1539772603,1,1
1539774533,1,0
1539787970,1,1
1539790141,0,1
1539793963,1,0
1539799723,0,1
1539805480,0,1
1539807427,0,1
1539809551,0,2
1539811479,0,3
1539813386,0,1
1539815309,0,1
1539817267,0,2
1539819148,0,3
1539821065,0,4
1539824911,0,2
1539826822,0,1
1539829127,1,1
1539831134,0,1
1539835260,1,5
1539837148,1,3
1539839063,0,1
1539841249,0,3
1539843157,0,2
1539845085,0,1
1539846999,0,1
1539848903,0,1
1539850830,0,1
1539852761,0,2
1539854667,1,0
1539856589,0,4
1539858505,0,1
1539860473,0,1
1539862348,1,0
1539871955,1,0
1539873874,0,1
1539877696,1,0
