DateTime,Entries,UniqueIPs
1540668499,7076,7076
1540670487,7075,7075
1540672346,7072,7072
1540674534,7043,7043
1540676678,7120,7120
1540678590,7114,7114
1540680501,7101,7101
1540682450,7100,7100
1540684347,6767,6767
1540686288,6763,6763
1540688493,6763,6763
1540690602,6761,6761
1540692526,6759,6759
1540694420,6754,6754
1540696360,6752,6752
1540698282,6755,6755
1540700189,6668,6668
1540702117,6660,6660
1540704027,6651,6651
1540705943,6824,6824
1540707876,6841,6841
1540710079,7132,7132
1540711956,7143,7143
1540713870,7144,7144
1540715807,7230,7230
1540717951,7231,7231
1540719882,7232,7232
1540721785,7329,7329
1540723703,7622,7622
1540725617,7702,7702
1540727554,7704,7704
1540729478,6944,6944
1540731382,5840,5840
1540733320,4826,4826
1540735273,3783,3783
1540737148,2749,2749
1540739086,2705,2705
1540741009,2702,2702
1540742947,2701,2701
1540744838,2697,2697
1540746773,2649,2649
1540748922,2645,2645
1540750841,2643,2643
1540752764,2640,2640
1540754700,2641,2641
1540756579,2640,2640
1540758513,2644,2644
1540760484,2642,2642
1540762364,2588,2588
1540764338,2591,2591
1540766426,2604,2604
1540768592,2605,2605
1540770518,2559,2559
1540774349,2560,2560
1540776297,2562,2562
1540778208,2562,2562
1540780127,2564,2564
1540782078,3295,3295
1540783971,4188,4188
1540785887,4186,4186
1540788037,4188,4188
1540789954,4177,4177
1540791870,4152,4152
1540793812,4150,4150
1540795745,3539,3539
1540797637,3559,3559
1540799563,3558,3558
1540801486,3452,3452
1540803692,3451,3451
1540805566,3451,3451
1540807484,3429,3429
1540809395,3284,3284
1540811346,3281,3281
1540813245,3200,3200
1540815415,3200,3200
1540817550,3198,3198
1540819459,3192,3192
1540821403,3100,3100
1540823329,2900,2900
1540825298,2895,2895
1540827172,2896,2896
1540829096,2892,2892
1540831386,3239,3239
1540833387,3245,3245
1540835577,3301,3301
1540837710,3304,3304
1540839638,3306,3306
1540841563,3331,3331
1540843745,3332,3332
1540845647,3386,3386
1540847834,3385,3385
1540849722,3387,3387
1540851647,3384,3384
1540853677,3384,3384
1540855482,3446,3446
1540857401,4357,4357
1540859570,6962,6962
1540861498,7357,7357
1540863373,7356,7356
1540865329,7356,7356
1540867241,7354,7354
1540869422,6523,6523
1540871324,6524,6524
1540873248,6527,6527
1540875161,6526,6526
1540877061,6522,6522
1540879002,6515,6515
1540880923,6516,6516
1540884766,6484,6484
1540886922,6616,6616
1540888850,6615,6615
1540890751,6615,6615
1540892899,6612,6612
1540895108,6643,6643
1540897002,6777,6777
1540899144,6823,6823
1540900996,6824,6824
1540902987,7027,7027
1540904906,7092,7092
1540907075,7113,7113
1540908998,7113,7113
1540911146,7113,7113
1540913080,7111,7111
1540915291,7114,7114
1540917183,7114,7114
1540919327,7111,7111
1540921240,7114,7114
1540923169,7112,7112
1540925326,7299,7299
1540927255,7302,7302
1540929167,7304,7304
1540931079,7022,7022
1540932997,7025,7025
1540934933,7022,7022
1540936918,7020,7020
1540938753,7022,7022
1540940683,7023,7023
1540942588,6940,6940
1540944514,4892,4892
1540946418,2447,2447
1540948344,2448,2448
1540950279,2450,2450
1540952203,2456,2456
1540954103,2454,2454
1540956035,2389,2389
1540957947,2390,2390
1540959879,2389,2389
1540961791,2506,2506
1540963713,2507,2507
1540967814,2508,2508
1540969707,2511,2511
1540971642,2515,2515
1540973555,2401,2401
1540975465,2404,2404
1540977392,2403,2403
1540979301,2404,2404
1540981226,2408,2408
1540983152,2407,2407
1540985062,2404,2404
1540986983,2401,2401
1540989005,2317,2317
1540990840,2128,2128
1540992988,2171,2171
1540996855,2172,2172
1540998774,2173,2173
1541000727,2172,2172
1541002610,2173,2173
1541004755,2174,2174
1541006670,2174,2174
1541008892,2175,2175
1541010763,2173,2173
1541012909,1796,1796
1541014844,2634,2634
1541016767,2636,2636
1541018669,2636,2636
1541020617,2636,2636
1541022746,2581,2581
1541024665,2564,2564
1541026623,2563,2563
1541028522,2618,2618
1541030462,2615,2615
1541032344,2957,2957
1541034298,2959,2959
1541036217,2957,2957
1541038129,2959,2959
1541040038,2957,2957
1541041963,2956,2956
1541043881,2954,2954
1541045828,2963,2963
1541047938,2997,2997
1541049857,2997,2997
1541051703,3733,3733
1541054001,4900,4900
1541055890,6252,6252
1541057772,6712,6712
1541059732,7095,7095
1541061640,7095,7095
1541063566,7099,7099
1541065499,7099,7099
1541067392,7098,7098
1541069563,7121,7121
1541071458,7121,7121
1541073371,7138,7138
1541075715,7137,7137
1541077710,7508,7508
1541079630,7487,7487
1541081556,7489,7489
1541083474,8562,8562
1541085395,8563,8563
1541089235,8564,8564
1541091158,8568,8568
1541093076,10055,10055
1541095389,12827,12827
1541097392,12827,12827
1541099207,12826,12826
1541101211,12082,12082
1541103152,12080,12080
1541105068,12077,12077
1541107511,12076,12076
1541109408,12076,12076
1541111544,12077,12077
1541113491,12078,12078
1541115378,12066,12066
1541117334,12067,12067
1541119250,11991,11991
1541121166,11991,11991
1541127148,11991,11991
1541129082,11993,11993
1541133144,11987,11987
1541135064,11971,11971
1541136987,11525,11525
1541139151,10969,10969
1541141100,10265,10265
1541143011,9677,9677
1541144919,9130,9130
1541146850,8954,8954
1541148748,8953,8953
1541150690,8953,8953
1541152612,8953,8953
1541154763,9467,9467
1541156733,10007,10007
1541158855,10005,10005
1541160775,10003,10003
1541162662,9947,9947
1541164850,9625,9625
1541166772,9596,9596
1541168681,8521,8521
1541170621,8519,8519
1541172769,8518,8518
1541176845,8517,8517
1541178782,7845,7845
1541180666,5235,5235
1541182612,3865,3865
1541184742,3863,3863
1541186681,3413,3413
1541188603,3407,3407
1541190748,3468,3468
1541192659,3468,3468
1541194597,3468,3468
1541196537,3464,3464
1541198449,3484,3484
1541200355,3482,3482
1541202266,3480,3480
1541204195,3481,3481
1541206112,3481,3481
1541208039,3482,3482
1541209960,3486,3486
1541211871,3491,3491
1541213798,3492,3492
1541215955,3492,3492
1541217882,3496,3496
1541220022,3491,3491
1541223854,3469,3469
1541225775,3470,3470
1541227989,3122,3122
1541229865,3076,3076
1541231810,3079,3079
1541233719,3077,3077
1541235690,3075,3075
1541237547,5273,5273
1541239473,7893,7893
1541241389,7409,7409
1541243309,6944,6944
1541245225,6943,6943
1541249064,6944,6944
1541251007,7247,7247
1541253017,7187,7187
1541254821,7190,7190
1541256741,7188,7188
1541258669,7189,7189
1541262494,7394,7394
1541264480,8315,8315
1541266604,9324,9324
1541268534,10072,10072
1541270424,10995,10995
1541272350,11037,11037
1541276202,11039,11039
1541278105,11043,11043
1541280024,11045,11045
1541281945,11053,11053
1541283906,11052,11052
1541285924,11034,11034
1541287971,11033,11033
1541289885,11032,11032
1541291777,11032,11032
1541293696,11036,11036
1541295623,11033,11033
1541297810,11032,11032
1541299707,11031,11031
1541301625,11032,11032
1541305491,11035,11035
1541307397,11036,11036
1541309306,11042,11042
1541311293,11042,11042
1541313152,10996,10996
1541315094,10935,10935
1541317238,10873,10873
1541319166,10872,10872
1541321069,10873,10873
1541322993,10531,10531
1541324902,8675,8675
1541326818,7697,7697
1541328759,7697,7697
1541330662,7698,7698
1541332606,7705,7705
1541334504,7705,7705
1541336473,7707,7707
1541338351,7314,7314
1541340299,7314,7314
1541342182,7408,7408
1541344104,7411,7411
1541346021,7414,7414
1541348020,7419,7419
1541349868,7426,7426
1541351797,7427,7427
1541353711,7427,7427
1541355620,7532,7532
1541357543,7536,7536
1541359455,7540,7540
1541361256,7541,7541
1541363323,7544,7544
1541365472,7545,7545
1541367400,7590,7590
1541369328,7595,7595
1541371238,7614,7614
1541373156,7613,7613
1541375071,7614,7614
1541376999,7616,7616
1541379146,7614,7614
1541381063,7617,7617
1541383291,7618,7618
1541385152,7621,7621
1541387071,7623,7623
1541388990,7627,7627
1541390911,7628,7628
1541393350,7626,7626
1541395236,7629,7629
1541397169,7646,7646
1541399077,7648,7648
1541401015,7358,7358
1541402924,7359,7359
1541404878,7362,7362
1541406761,7392,7392
1541408668,7391,7391
1541410839,7305,7305
1541412848,7305,7305
1541414684,7307,7307
1541416587,8169,8169
1541418521,8959,8959
1541420443,8961,8961
1541422355,8431,8431
1541424281,7283,7283
1541426220,6058,6058
1541428339,4797,4797
1541430257,3677,3677
1541432424,3678,3678
1541434392,3677,3677
1541436263,3673,3673
1541438196,3671,3671
1541440103,3673,3673
1541442033,3214,3214
1541443944,3210,3210
1541445890,3207,3207
1541447785,3229,3229
1541449711,3231,3231
1541451692,3231,3231
1541453557,3169,3169
1541455481,3162,3162
1541457407,3146,3146
1541459564,3165,3165
1541461474,3214,3214
1541463394,3780,3780
1541465310,3782,3782
1541467228,3783,3783
1541469155,3785,3785
1541471079,3785,3785
1541473003,3961,3961
1541474893,3963,3963
1541476897,3960,3960
1541478747,3961,3961
1541480697,3960,3960
1541482587,3768,3768
1541484535,3771,3771
1541486445,3310,3310
1541488368,3315,3315
1541490255,3314,3314
1541492442,3279,3279
1541494364,3283,3283
1541496285,3283,3283
1541498203,3274,3274
1541500134,3275,3275
1541502088,3276,3276
1541503964,3169,3169
1541505939,3170,3170
1541508037,3168,3168
1541510196,3168,3168
1541512101,3170,3170
1541514026,3168,3168
1541515939,3165,3165
1541517880,3161,3161
1541519786,3165,3165
1541521697,3166,3166
1541523683,3173,3173
1541525821,3172,3172
1541527948,3175,3175
1541529896,3180,3180
1541532060,3183,3183
1541533967,3186,3186
1541535865,3183,3183
1541538116,3185,3185
1541539951,3189,3189
1541541898,3810,3810
1541543789,6529,6529
1541545730,8348,8348
1541547641,8308,8308
1541549543,8235,8235
1541551386,8234,8234
1541553575,7110,7110
1541555542,6132,6132
1541557468,6156,6156
1541559393,6163,6163
1541561297,6168,6168
1541563301,6171,6171
1541565156,6174,6174
1541567088,6176,6176
1541569250,6178,6178
1541571148,6178,6178
1541573082,6213,6213
1541574992,6214,6214
1541576902,6215,6215
1541578818,6216,6216
1541580740,6219,6219
1541582658,6221,6221
1541584600,6224,6224
1541586506,6227,6227
1541588489,6225,6225
1541590349,6218,6218
1541592287,6217,6217
1541594192,6220,6220
1541596102,6226,6226
1541598040,6230,6230
1541600105,6231,6231
1541602101,6231,6231
1541604016,6234,6234
1541605942,6006,6006
1541608101,6008,6008
1541610061,6007,6007
1541611947,6007,6007
1541613877,6005,6005
1541615801,6006,6006
1541619617,6007,6007
1541621563,6012,6012
1541623488,6012,6012
1541625419,6016,6016
1541627544,6018,6018
1541629474,3685,3685
1541631392,871,871
1541633297,779,779
1541635266,775,775
1541637142,781,781
1541639070,781,781
1541640992,781,781
1541642910,768,768
1541644816,761,761
1541646758,762,762
1541648664,756,756
1541650579,973,973
1541652498,1197,1197
1541654414,1192,1192
1541656345,1698,1698
1541658272,1697,1697
1541660208,1697,1697
1541662096,1697,1697
1541664057,1697,1697
1541665943,1696,1696
1541667949,1693,1693
1541669770,1694,1694
1541671717,1695,1695
1541673903,1692,1692
1541676042,1692,1692
