DateTime,AddedIPs,RemovedIPs
1540682451,2,4
1540684347,53,387
1540686289,1,6
1540688495,2,2
1540690602,4,5
1540692526,0,29
1540694420,1,6
1540696361,3,5
1540698282,5,2
1540700190,1,91
1540702118,1,9
1540704027,12,21
1540705943,175,4
1540707876,17,1
1540710080,293,2
1540711957,12,1
1540713870,2,1
1540715807,90,4
1540717952,2,1
1540719883,4,3
1540721785,162,65
1540723704,292,3
1540725618,81,1
1540727555,3,1
1540729478,0,762
1540731383,3,1109
1540733321,72,1086
1540735273,54,1097
1540737148,159,1190
1540739089,4,48
1540741010,1,4
1540742948,3,4
1540744839,2,5
1540746774,2,50
1540748923,3,4
1540750842,1,2
1540752764,0,3
1540754700,2,1
1540756580,1,3
1540758513,5,3
1540760485,3,5
1540762364,9,63
1540764338,4,2
1540766427,19,4
1540768593,5,2
1540770528,1,47
1540774350,3,2
1540776298,2,1
1540778209,2,2
1540780127,2,0
1540782079,732,3
1540783972,897,5
1540785888,0,2
1540788038,5,1
1540789954,1,12
1540791871,7,32
1540793813,2,3
1540795745,19,629
1540797637,32,12
1540799563,3,4
1540801487,5,110
1540803693,2,4
1540805567,2,2
1540807484,2,24
1540809396,22,167
1540811346,1,3
1540813246,1,83
1540815416,2,2
1540817551,2,3
1540819460,10,16
1540821404,1,94
1540823329,1,204
1540825299,3,6
1540827172,3,0
1540829097,1,5
1540831387,348,2
1540833388,6,0
1540835578,57,3
1540837711,4,0
1540839640,3,0
1540841563,26,1
1540843746,5,3
1540845648,58,3
1540847834,3,5
1540849722,8,5
1540851647,3,5
1540853678,1,4
1540855482,66,4
1540857401,912,0
1540859571,2605,1
1540861499,405,2
1540863374,0,1
1540865329,3,1
1540867242,1,3
1540869423,56,886
1540871324,3,2
1540873248,3,1
1540875161,3,4
1540877062,0,4
1540879002,1,8
1540880923,2,2
1540882900,0,1
1540884766,0,32
1540886923,133,1
1540888850,0,2
1540890752,2,2
1540892900,0,3
1540895109,31,0
1540897002,154,20
1540899144,47,0
1540900996,2,2
1540902987,203,0
1540904906,68,4
1540907076,24,2
1540908999,2,1
1540911147,1,2
1540913081,1,5
1540915292,4,1
1540917183,3,2
1540919327,3,4
1540921241,7,3
1540923169,0,3
1540925326,189,3
1540927256,3,0
1540929168,4,3
1540931080,1,283
1540932998,5,2
1540934933,4,7
1540936918,4,5
1540938754,3,2
1540940683,2,1
1540942588,3,86
1540944515,2,2048
1540946418,3,2451
1540948344,2,2
1540950279,3,2
1540952203,7,2
1540954103,3,6
1540956036,1,66
1540957948,3,3
1540959879,2,3
1540961792,119,2
1540963713,1,0
1540967814,3,1
1540969708,3,1
1540971642,4,0
1540973556,3,117
1540975466,3,0
1540977393,1,2
1540979301,1,0
1540981226,5,1
1540983152,7,3
1540985063,2,7
1540986983,1,3
1540989005,2,86
1540990841,3,190
1540992989,69,26
1540994922,1,1
1540996857,6,2
1540998774,4,2
1541000728,0,1
1541002610,2,2
1541004756,2,3
1541006671,3,5
1541008892,6,6
1541010763,3,3
1541012909,4,383
1541014844,916,76
1541016767,4,2
1541018670,5,5
1541020617,4,5
1541022746,2,57
1541024665,1,19
1541026624,2,2
1541028522,61,3
1541030466,1,4
1541032344,346,3
1541034299,6,4
1541036217,1,3
1541038129,4,1
1541040038,4,6
1541041964,0,1
1541043881,1,3
1541045828,9,0
1541047938,38,2
1541049858,2,1
1541051704,738,0
1541054002,1169,1
1541055891,1351,2
1541057773,579,118
1541059733,383,0
1541061641,1,1
1541063566,4,0
1541065499,3,2
1541067393,0,1
1541069564,24,7
1541071459,2,2
1541073371,17,1
1541075715,2,4
1541077711,373,2
1541079630,31,53
1541081556,3,2
1541083475,1073,2
1541085395,2,0
1541087320,1,0
1541089235,2,1
1541091159,5,1
1541093077,1489,1
1541095390,2771,3
1541097393,6,3
1541099208,0,1
1541101212,6,751
1541103153,2,3
1541105069,4,4
1541107512,2,3
1541109409,1,2
1541111545,2,0
1541113492,3,1
1541115379,4,20
1541117335,1,0
1541119250,4,81
1541121167,2,2
1541125236,1,0
1541127149,3,3
1541129083,3,1
1541133144,5,12
1541135065,2,18
1541136988,7,452
1541139152,0,556
1541141101,3,706
1541143012,5,593
1541144920,2,552
1541146850,1,174
1541148748,2,2
1541150690,2,3
1541152613,2,2
1541154764,529,15
1541156734,571,31
1541158855,2,3
1541160776,0,3
1541162673,0,64
1541164851,2,317
1541166772,2,31
1541168682,2,1078
1541170621,2,4
1541172770,0,2
1541176845,2,3
1541178783,3,675
1541180666,50,2661
1541182612,1,1372
1541184743,2,4
1541186682,2,452
1541188604,0,7
1541190748,62,3
1541192660,2,3
1541194597,2,1
1541196537,0,4
1541198449,21,1
1541200355,2,5
1541202267,0,3
1541204196,4,3
1541206112,2,3
1541208040,1,1
1541209961,5,1
1541211871,6,1
1541213799,4,3
1541215955,3,3
1541217882,5,1
1541220022,1,7
1541221990,0,1
1541223854,2,25
1541225775,5,3
1541227990,2,352
1541229865,0,46
1541231810,4,2
1541233719,1,2
1541235690,6,5
1541237548,2199,2
1541239474,2624,2
1541241390,172,658
1541243310,4,468
1541245226,0,2
1541249065,2,0
1541251007,306,1
1541253017,4,63
1541254822,4,0
1541256742,1,3
1541258669,2,0
1541262495,206,0
1541264481,923,2
1541266605,1009,1
1541268535,796,47
1541270425,923,2
1541272350,43,1
1541276202,3,1
1541278106,4,0
1541280025,3,2
1541281946,8,0
1541283906,1,2
1541285925,2,21
1541287971,0,1
1541289885,1,2
1541291777,2,2
1541293696,4,0
1541295624,0,3
1541297810,2,2
1541299707,0,2
1541301626,3,1
1541303555,1,0
1541305493,5,0
1541307398,1,0
1541309306,7,0
1541311294,3,2
1541313153,0,46
1541315095,41,100
1541317239,1,63
1541319167,1,1
1541321070,2,5
1541322993,99,441
1541324902,4,1859
1541326819,2,979
1541328760,2,2
1541330662,3,2
1541332606,8,1
1541334505,1,1
1541336474,2,3
1541338351,2,396
1541340300,5,3
1541342182,97,3
1541344104,3,2
1541346022,3,0
1541348020,7,1
1541349869,20,2
1541351797,15,3
1541353712,6,3
1541355621,108,3
1541357543,8,2
1541359455,4,0
1541361256,2,2
1541363324,7,1
1541365474,5,3
1541367401,54,5
1541369329,10,2
1541371238,20,2
1541373157,4,3
1541375071,4,0
1541376999,3,0
1541379146,2,4
1541381064,6,0
1541383292,4,1
1541385153,5,1
1541387072,6,2
1541388991,6,2
1541390912,7,5
1541393351,3,2
1541395237,3,1
1541397169,28,7
1541399077,5,2
1541401016,5,296
1541402924,3,1
1541404879,6,1
1541406761,30,3
1541408670,2,3
1541410839,11,95
1541412849,2,3
1541414684,6,3
1541416588,866,3
1541418522,799,9
1541420444,4,1
1541422355,4,534
1541424282,4,1151
1541426221,4,1229
1541428339,6,1265
1541430257,9,1123
1541432424,4,2
1541434392,4,6
1541436264,2,21
1541438196,4,14
1541440103,8,5
1541442033,6,457
1541443945,3,6
1541445890,3,4
1541447785,29,4
1541449711,7,7
1541451694,6,6
1541453558,7,69
1541455481,1,13
1541457408,6,21
1541459564,23,3
1541461474,50,5
1541463395,570,5
1541465310,4,1
1541467228,6,7
1541469156,6,3
1541471079,5,6
1541473004,180,7
1541474893,7,2
1541476897,6,9
1541478747,2,3
1541480698,2,3
1541482587,2,197
1541484536,5,5
1541486445,1,461
1541488368,8,3
1541490255,4,4
1541492442,6,39
1541494365,7,4
1541496286,3,4
1541498203,3,10
1541500135,6,4
1541502089,5,5
1541503965,8,114
1541505941,3,4
1541508037,6,7
1541510197,8,6
1541512101,5,6
1541514026,5,10
1541515939,6,5
1541517880,5,6
1541519786,18,4
1541521698,9,7
1541523684,7,1
1541525822,5,10
1541527949,8,7
1541529896,15,6
1541532061,7,4
1541533967,6,4
1541535866,9,11
1541538117,12,8
1541539951,10,6
1541541900,620,0
1541543789,2703,1
1541545730,1811,2
1541547641,2,42
1541549544,8,76
1541551387,2,3
1541553576,4,1127
1541555543,2,981
1541557468,29,3
1541559393,7,1
1541561297,6,1
1541563302,5,2
1541565156,3,0
1541567089,8,2
1541569251,5,3
1541571148,1,2
1541573082,39,2
1541574992,5,3
1541576903,3,3
1541578819,7,3
1541580741,4,1
1541582658,3,0
1541584601,5,1
1541586507,7,3
1541588490,3,4
1541590350,5,10
1541592288,2,3
1541594193,6,1
1541596103,9,3
1541598040,7,2
1541600105,4,3
1541602101,5,6
1541604016,4,1
1541605942,5,241
1541608101,10,8
1541610067,5,5
1541611948,3,3
1541613885,2,4
1541615802,4,3
1541617709,0,2
1541619618,6,3
1541621564,7,5
1541623489,5,5
1541625419,7,1
1541627544,9,8
1541629474,5,2322
1541631392,12,2788
1541633297,4,96
1541635273,5,13
1541637142,9,4
1541639070,2,7
1541640992,3,4
1541642910,13,21
1541644816,4,15
1541646759,7,5
1541648665,2,8
1541650579,234,6
1541652498,236,7
1541654414,2,8
1541656345,510,5
1541658273,7,7
1541660208,8,9
1541662097,7,6
1541664065,8,10
1541665943,4,9
1541667950,6,7
1541669771,5,6
1541671718,6,9
1541673904,2,8
1541676042,8,7
