DateTime,Entries,UniqueIPs
1540682451,7156,7156
1540684347,6822,6822
1540686289,6817,6817
1540688495,6817,6817
1540690602,6816,6816
1540692526,6787,6787
1540694420,6782,6782
1540696361,6780,6780
1540698282,6783,6783
1540700190,6693,6693
1540702118,6685,6685
1540704027,6676,6676
1540705943,6847,6847
1540707876,6863,6863
1540710080,7154,7154
1540711957,7165,7165
1540713870,7166,7166
1540715807,7252,7252
1540717952,7253,7253
1540719883,7254,7254
1540721785,7351,7351
1540723704,7640,7640
1540725618,7720,7720
1540727555,7722,7722
1540729478,6960,6960
1540731383,5854,5854
1540733321,4840,4840
1540735273,3797,3797
1540737148,2766,2766
1540739089,2722,2722
1540741010,2719,2719
1540742948,2718,2718
1540744839,2715,2715
1540746774,2667,2667
1540748923,2666,2666
1540750842,2665,2665
1540752764,2662,2662
1540754700,2663,2663
1540756580,2661,2661
1540758513,2663,2663
1540760485,2661,2661
1540762364,2607,2607
1540764338,2609,2609
1540766427,2624,2624
1540768593,2627,2627
1540770528,2581,2581
1540774350,2582,2582
1540776298,2583,2583
1540778209,2583,2583
1540780127,2585,2585
1540782079,3314,3314
1540783972,4206,4206
1540785888,4204,4204
1540788038,4208,4208
1540789954,4197,4197
1540791871,4172,4172
1540793813,4171,4171
1540795745,3561,3561
1540797637,3581,3581
1540799563,3580,3580
1540801487,3475,3475
1540803693,3473,3473
1540805567,3473,3473
1540807484,3451,3451
1540809396,3306,3306
1540811346,3304,3304
1540813246,3222,3222
1540815416,3222,3222
1540817551,3221,3221
1540819460,3215,3215
1540821404,3122,3122
1540823329,2919,2919
1540825299,2916,2916
1540827172,2919,2919
1540829097,2915,2915
1540831387,3261,3261
1540833388,3267,3267
1540835578,3321,3321
1540837711,3325,3325
1540839640,3328,3328
1540841563,3353,3353
1540843746,3355,3355
1540845648,3410,3410
1540847834,3408,3408
1540849722,3411,3411
1540851647,3409,3409
1540853678,3406,3406
1540855482,3468,3468
1540857401,4380,4380
1540859571,6984,6984
1540861499,7387,7387
1540863374,7386,7386
1540865329,7388,7388
1540867242,7386,7386
1540869423,6556,6556
1540871324,6557,6557
1540873248,6559,6559
1540875161,6558,6558
1540877062,6554,6554
1540879002,6547,6547
1540880923,6547,6547
1540882900,6546,6546
1540884766,6514,6514
1540886923,6646,6646
1540888850,6644,6644
1540890752,6644,6644
1540892900,6641,6641
1540895109,6672,6672
1540897002,6806,6806
1540899144,6853,6853
1540900996,6853,6853
1540902987,7056,7056
1540904906,7120,7120
1540907076,7142,7142
1540908999,7143,7143
1540911147,7142,7142
1540913081,7138,7138
1540915292,7141,7141
1540917183,7142,7142
1540919327,7141,7141
1540921241,7145,7145
1540923169,7142,7142
1540925326,7328,7328
