DateTime,AddedIPs,RemovedIPs
1536100350,0,1
1536102531,1,0
1536112103,0,1
1536121713,0,1
1536141170,0,1
1536150308,1,0
1536152187,0,1
1536157950,1,0
1536177625,0,1
1536190307,0,1
1536194190,0,1
1536196363,2,0
1536198294,1,0
1536207892,3,0
1536230906,1,0
1536232850,1,0
1536236696,0,2
1536240521,1,0
1536283283,0,2
1536285164,0,1
1536290902,1,0
1536292884,0,2
1536294761,0,1
1536313961,1,0
1536315884,0,1
1536317772,0,1
1536319714,0,1
1536321698,1,0
1536323560,1,0
1536327390,0,1
1536379479,1,0
1536400872,1,1
1536408526,0,2
1536431780,1,0
1536452895,1,0
1536465406,0,1
1536486758,0,1
1536496371,1,0
1536505969,1,0
1536517456,0,1
1536538830,0,1
1536552511,0,1
1536581577,0,1
1536625950,1,0
1536678341,1,1
1536682349,1,0
1536711628,0,1
1536764678,0,1
1536780269,1,0
1536839771,1,0
1536865508,0,1
1536916363,1,0
1536925955,0,2
1536928131,1,0
1536939895,1,0
1536998490,1,0
1537004209,0,1
1537006109,1,0
1537013841,0,1
1537077692,1,0
1537085342,0,1
1537093257,0,1
1537102883,1,0
1537116280,0,1
1537163578,0,1
1537186618,1,0
1537190453,0,1
1537367074,0,1
1537417715,1,0
1537426471,1,0
1537443879,1,0
1537467401,1,0
1537503878,0,1
1537513474,0,1
1537523342,1,0
1537532923,1,0
1537534875,1,1
1537552578,0,1
1537556444,1,0
1537609707,0,1
1537613553,1,0
1537619302,0,1
1537626999,0,1
1537642345,0,1
1537646202,1,0
1537699947,0,1
1537728760,1,0
1537732746,0,1
1537736674,1,0
1537823558,0,1
1537827400,1,0
1537856215,1,0
1537867714,1,0
1537869688,0,1
1537871808,1,0
1537889295,1,0
1537912596,0,1
1537916494,1,0
1537935639,1,0
1537941401,0,1
1537952931,0,1
1537958907,0,1
1537972574,1,0
1537976440,0,1
1537991807,1,0
1538003794,0,1
1538007625,1,0
1538028782,0,1
1538038586,1,0
1538069801,1,0
1538136116,0,1
1538143713,0,1
1538153305,1,0
1538157148,0,1
1538180668,0,1
1538184494,0,1
1538228909,1,0
1538236577,1,0
1538241398,0,1
1538312713,1,0
1538322267,0,1
1538368339,1,0
1538391660,1,0
1538397633,0,1
1538401464,0,1
1538455704,0,1
1538477086,0,1
1538548592,1,0
1538595159,1,0
1538645800,0,1
1538667163,2,0
1538709633,1,0
1538752348,0,1
1538754293,0,1
1538764230,1,0
1538769880,1,0
1538785237,1,0
1538796760,0,1
1538806855,1,0
1538808767,1,0
1538824108,1,0
1538827959,0,1
1538829880,1,0
1538849328,0,1
1538851222,1,0
1538856997,0,1
1538862744,1,0
1538872358,0,1
1538874728,1,0
1538886275,1,0
1538892177,1,0
1538894427,0,2
1538902131,2,0
1538911719,0,1
1538916510,0,1
1538920371,1,0
1538929950,1,0
1538933782,1,0
1538937860,0,1
1538949375,0,1
1538961405,0,1
1538967154,1,0
1538972907,0,1
1538978681,0,1
1538988263,0,2
1539003694,2,0
1539005557,1,0
1539007458,0,1
1539013478,1,0
1539015390,0,1
1539019235,0,1
1539046367,1,0
1539054093,0,1
1539065833,1,0
1539089547,0,1
1539091587,0,2
1539099633,0,1
1539105390,3,0
1539109238,1,0
1539122679,1,0
1539132267,0,1
1539153406,0,1
1539168760,1,0
1539180513,1,0
1539186732,2,0
1539192505,0,3
1539196375,1,0
1539205965,1,0
1539209784,0,1
1539211719,1,0
1539235008,0,1
1539256130,0,1
1539266161,0,1
1539273889,0,1
1539277716,1,0
1539291155,0,1
1539298881,0,1
1539329561,0,1
1539333647,1,0
1539339404,1,0
1539345389,1,0
1539347289,2,0
1539357397,2,0
1539361243,1,0
1539363152,1,0
1539365064,0,1
1539367001,0,1
1539370881,1,0
1539372751,1,0
1539374710,1,0
1539378524,1,0
1539390781,1,0
1539392664,1,0
1539404191,1,0
1539413799,1,0
1539419571,1,0
1539425326,0,1
1539431081,0,1
1539433013,0,1
1539434902,0,1
1539442583,0,1
1539444764,0,1
1539448606,0,2
1539456273,0,1
1539460125,1,1
1539463966,0,1
1539467780,1,0
1539471691,1,0
1539475468,0,1
1539479341,0,1
1539481237,1,0
1539490836,1,1
1539492741,1,0
1539494679,0,1
1539500480,1,1
1539506444,0,1
1539546760,0,1
1539550596,1,0
1539554497,0,1
1539558777,1,1
1539568391,0,1
1539574114,1,0
1539577964,0,2
1539581781,1,0
1539585634,2,1
1539591552,1,0
1539616839,1,0
1539638181,0,1
1539644212,0,1
1539659569,0,1
1539667225,0,1
1539669143,1,0
1539672985,0,2
1539678877,0,1
1539699880,1,0
1539703966,0,1
1539757012,0,1
1539770663,1,0
1539786043,0,1
1539822980,1,0
1539839065,1,0
1539843160,1,0
1539856592,1,1
1539858507,1,0
1539864300,0,1
1539877698,1,0
1539879643,1,0
1539887562,1,0
1539893308,1,0
1539897166,2,0
1539912526,1,0
1539918269,1,0
1539925970,0,1
1539929815,1,1
1539943280,1,0
1539945151,0,1
1539951397,1,0
1539953301,0,1
1539965132,0,1
1539974915,0,1
1539976826,0,1
1539980687,1,1
1539982584,0,1
1539984510,0,1
1539999879,1,1
1540005622,0,1
1540011385,1,0
1540015290,0,1
1540028669,1,0
1540030603,0,1
1540038276,0,1
1540047882,1,0
1540055557,1,0
1540067161,1,1
1540072923,1,0
1540086271,0,1
1540092048,1,0
1540097810,0,1
1540101715,1,0
1540105735,1,0
1540123495,0,1
1540127383,0,1
1540129239,2,0
1540134862,0,1
1540141280,2,1
1540143154,1,0
1540152762,0,1
1540158495,0,1
1540168119,1,0
1540170081,2,0
1540177934,1,1
1540183691,1,0
1540187786,1,1
1540191684,1,1
1540207219,1,0
1540215401,0,2
1540219227,1,0
1540223073,1,0
1540228835,0,2
1540230750,1,0
1540250186,1,0
1540254027,0,1
1540255945,0,1
1540257862,1,1
1540263662,0,1
1540269417,0,1
1540271320,1,0
1540273245,0,1
1540279474,0,1
1540285474,1,0
1540289328,1,0
1540293154,1,1
1540302749,1,0
1540306599,1,1
1540318369,0,1
1540320268,1,0
1540322208,1,0
1540324124,1,0
1540327969,1,0
1540329868,1,0
1540335711,0,1
1540339490,1,0
1540343327,0,1
1540357011,0,1
1540371150,0,1
1540375005,0,1
1540379088,0,1
1540381227,2,0
1540389148,0,1
1540392998,0,1
1540402597,0,1
1540406429,0,1
1540408346,0,1
1540410280,2,1
1540414105,1,1
1540416034,0,1
1540422117,1,0
1540426042,0,1
1540428028,1,0
1540431882,1,0
1540446051,0,1
1540455659,1,0
1540463321,1,0
1540465310,1,0
1540467412,0,1
1540473156,1,0
1540492365,1,0
1540496191,0,1
1540498122,0,1
1540500034,0,1
1540503865,1,0
1540507701,0,1
1540509704,1,0
1540511549,1,0
1540513489,1,1
1540515403,1,0
1540517326,0,1
1540542527,0,1
1540550436,0,2
1540560268,0,2
1540562202,2,0
1540576124,1,0
1540579964,1,1
1540587875,1,0
1540590043,0,1
1540596016,2,1
1540598184,1,1
1540600116,0,1
1540602099,1,1
1540603963,1,0
1540627030,2,0
1540631057,1,0
1540635156,1,0
1540648893,0,2
1540662634,1,1
1540664671,1,0
1540666579,0,1
1540670502,1,0
1540674535,0,1
1540678592,1,0
1540680512,0,1
1540682452,0,1
1540686289,1,0
1540688496,0,1
1540690603,0,2
1540710081,2,0
1540713871,0,2
1540715808,0,1
1540719883,1,0
1540721786,0,1
1540729479,1,0
1540746774,1,0
1540748923,2,1
1540750842,0,1
1540756581,0,1
1540760486,1,0
1540764339,0,1
1540766427,1,0
1540772427,1,0
1540797638,0,2
1540807485,0,1
1540811347,1,0
1540813247,1,0
1540815416,0,1
1540829098,1,0
1540833389,0,2
1540835579,0,1
1540843746,1,0
1540847835,1,1
1540849723,1,0
1540853680,0,1
1540859572,0,1
1540863374,0,1
1540897003,0,1
1540899145,1,0
1540900997,1,1
1540902988,1,0
1540915293,0,1
1540923170,1,0
1540931081,0,1
1540932999,0,1
1540934934,1,0
1540936919,1,1
1540938754,1,0
1540959880,1,0
1540985063,0,1
1540989006,0,2
1541008894,0,1
1541016768,1,0
1541020618,0,1
1541024666,0,2
1541045829,0,1
1541069565,1,0
1541103154,0,1
1541146851,1,0
1541148749,1,0
1541156735,0,1
1541192661,1,0
1541235691,0,2
1541239475,1,0
1541251008,1,0
1541278106,0,1
1541324903,1,1
1541401017,1,0
1541414685,0,2
1541459565,1,0
1541469156,1,0
1541473004,1,0
1541480698,1,0
1541484537,1,0
1541486446,0,1
1541505943,2,0
1541512102,1,0
1541514027,1,0
1541545731,0,1
1541553576,1,0
1541555543,0,1
1541563303,0,1
1541567092,0,1
1541569251,0,1
1541573083,2,0
1541574993,1,0
1541582670,1,0
1541592289,0,2
1541598041,0,1
1541600106,0,1
1541608102,1,0
1541611949,1,0
1541613893,1,0
1541615803,3,0
1541629475,3,0
1541639071,0,1
1541644817,1,0
1541646760,1,0
1541654415,1,0
1541656346,1,0
1541658274,0,2
1541664076,1,0
1541667951,0,1
1541669771,1,0
