DateTime,Entries,UniqueIPs
1540543942,1347,1347
1540545878,1372,1372
1540547781,1369,1369
1540549949,1350,1350
1540552139,1341,1341
1540554048,1333,1333
1540556449,1345,1345
1540558359,1346,1346
1540560269,1345,1345
1540562203,1348,1348
1540564347,1336,1336
1540566295,1329,1329
1540568456,1316,1316
1540570403,1312,1312
1540572295,1311,1311
1540574216,1313,1313
1540576125,1325,1325
1540578052,1337,1337
1540579966,1344,1344
1540581859,1353,1353
1540583803,1364,1364
1540585952,1363,1363
1540587876,1374,1374
1540590044,1375,1375
1540591947,1369,1369
1540593862,1380,1380
1540596018,1392,1392
1540598185,1395,1395
1540600117,1403,1403
1540602100,1422,1422
1540603963,1430,1430
1540605891,1435,1435
1540607813,1442,1442
1540609734,1445,1445
1540611648,1423,1423
1540613582,1430,1430
1540615483,1547,1547
1540617402,1648,1648
1540619308,1754,1754
1540621236,1848,1848
1540623166,1967,1967
1540625060,2084,2084
1540627031,2198,2198
1540629151,2338,2338
1540631058,2440,2440
1540633233,2524,2524
1540635157,2582,2582
1540637094,2669,2669
1540639128,2742,2742
1540641147,2814,2814
1540643135,2893,2893
1540644987,2965,2965
1540646926,3043,3043
1540648904,3141,3141
1540650755,3206,3206
1540652677,3270,3270
1540654600,3341,3341
1540656572,3398,3398
1540658674,3466,3466
1540660602,3538,3538
1540662635,3616,3616
1540664672,3689,3689
1540666580,3754,3754
1540668501,3811,3811
1540670506,3885,3885
1540672348,3960,3960
1540674536,4026,4026
1540676681,4093,4093
1540678593,4153,4153
1540680513,4207,4207
1540682453,4223,4223
1540684349,4215,4215
1540686291,4195,4195
1540688498,4172,4172
1540690604,4156,4156
1540692542,4137,4137
1540694423,4117,4117
1540696363,4099,4099
1540698284,4096,4096
1540700192,4073,4073
1540702119,3998,3998
1540704029,3924,3924
1540705945,3867,3867
1540707878,3797,3797
1540710082,3725,3725
1540711960,3701,3701
1540713872,3676,3676
1540715809,3650,3650
1540717953,3590,3590
1540719884,3563,3563
1540721791,3551,3551
1540723707,3519,3519
1540725619,3484,3484
1540727556,3454,3454
1540729480,3414,3414
1540731385,3383,3383
1540733322,3357,3357
1540735275,3313,3313
1540737150,3276,3276
1540739104,3250,3250
1540741011,3217,3217
1540742950,3202,3202
1540744840,3189,3189
1540746775,3181,3181
1540748924,3131,3131
1540750844,3095,3095
1540752766,3086,3086
1540754702,3048,3048
1540756582,3007,3007
1540758515,2958,2958
1540760488,2927,2927
1540762366,2875,2875
1540764341,2835,2835
1540766428,2798,2798
1540768594,2796,2796
1540770529,2858,2858
1540772428,2924,2924
1540774351,2992,2992
1540776299,3066,3066
1540778211,3100,3100
1540780129,3102,3102
1540783973,3104,3104
1540785890,3105,3105
1540788040,3102,3102
1540789956,3099,3099
1540791874,3100,3100
1540793814,3101,3101
1540795747,3094,3094
1540797640,3027,3027
1540799565,2953,2953
1540801488,2896,2896
1540803696,2819,2819
1540805568,2865,2865
1540807486,2895,2895
1540809398,2953,2953
1540811348,2985,2985
1540813248,3023,3023
1540815417,3085,3085
1540817552,3155,3155
1540819461,3180,3180
1540821416,3211,3211
1540823331,3240,3240
1540825306,3263,3263
1540827174,3297,3297
1540829099,3340,3340
1540831390,3375,3375
1540833390,3404,3404
1540835579,3436,3436
1540837712,3505,3505
1540839654,3550,3550
1540841565,3582,3582
1540843748,3606,3606
1540845649,3642,3642
1540847836,3691,3691
1540849724,3722,3722
1540851649,3722,3722
1540853681,3735,3735
1540855494,3748,3748
1540857403,3767,3767
1540859573,3821,3821
1540861520,3828,3828
1540863375,3853,3853
1540865331,3926,3926
1540867244,4017,4017
1540869424,4121,4121
1540871326,4186,4186
1540873250,4190,4190
1540875162,4194,4194
1540877063,4197,4197
1540879004,4199,4199
1540880925,4200,4200
1540882902,4202,4202
1540884772,4199,4199
1540886926,4193,4193
1540888851,4205,4205
1540890759,4227,4227
1540892902,4214,4214
1540895110,4206,4206
1540897004,4207,4207
1540899146,4213,4213
1540900998,4199,4199
1540902989,4193,4193
1540904908,4211,4211
1540907077,4214,4214
1540909001,4219,4219
1540911148,4202,4202
1540913083,4201,4201
1540915295,4191,4191
1540917185,4209,4209
1540919329,4209,4209
1540921243,4213,4213
1540923171,4237,4237
1540925328,4216,4216
1540927258,4189,4189
1540929170,4204,4204
1540931082,4186,4186
1540933000,4184,4184
1540934935,4187,4187
1540936920,4198,4198
1540938755,4221,4221
1540940685,4248,4248
1540942590,4250,4250
1540944517,4255,4255
1540946420,4255,4255
1540948346,4268,4268
1540950280,4277,4277
1540952205,4257,4257
1540954105,4253,4253
1540956039,4246,4246
1540957950,4218,4218
1540959881,4215,4215
1540961793,4214,4214
1540963715,4212,4212
1540965875,4209,4209
1540967816,4212,4212
1540969709,4210,4210
1540973557,4214,4214
1540975468,4185,4185
1540977394,4097,4097
1540979303,4006,4006
1540981228,3921,3921
1540983154,3843,3843
1540985064,3760,3760
1540986985,3670,3670
1540989007,3588,3588
1540990843,3487,3487
1540992990,3383,3383
1540994924,3274,3274
1540996859,3197,3197
1540998776,3106,3106
1541000730,3022,3022
1541002612,2908,2908
1541004758,2793,2793
1541006673,2657,2657
1541008895,2532,2532
