DateTime,Entries,UniqueIPs
1539378526,34,34
1539382356,35,35
1539384800,36,36
1539388837,38,38
1539390784,40,40
1539392667,39,39
1539394605,38,38
1539396563,39,39
1539398449,38,38
1539408040,39,39
1539409973,39,39
1539411904,39,39
1539417701,37,37
1539419573,35,35
1539423376,26,26
1539425328,26,26
1539427245,26,26
1539429149,28,28
1539431083,30,30
1539433015,32,32
1539434903,31,31
1539444766,32,32
1539446675,33,33
1539448608,37,37
1539450535,38,38
1539454362,40,40
1539456275,41,41
1539460127,41,41
1539471694,41,41
1539473577,40,40
1539475471,38,38
1539477411,36,36
1539479343,37,37
1539481239,38,38
1539483153,37,37
1539485080,38,38
1539492743,40,40
1539494681,39,39
1539496618,40,40
1539498526,39,39
1539504531,40,40
1539506446,42,42
1539510285,41,41
1539512217,40,40
1539514122,40,40
1539516045,38,38
1539517967,37,37
1539519889,34,34
1539525696,36,36
1539531405,34,34
1539533350,33,33
1539535245,30,30
1539537149,29,29
1539539091,30,30
1539541017,30,30
1539542921,31,31
1539546762,30,30
1539550598,31,31
1539558779,30,30
1539562610,29,29
1539566440,27,27
1539572208,26,26
1539579894,24,24
1539581783,22,22
1539583729,20,20
1539587550,21,21
1539593567,20,20
1539595472,23,23
1539599311,24,24
1539601290,25,25
1539605129,24,24
1539606993,26,26
1539608932,27,27
1539614665,28,28
1539616841,29,29
1539622619,28,28
1539624521,27,27
1539626483,26,26
1539628601,26,26
1539630528,27,27
1539632439,28,28
1539636301,29,29
1539648030,30,30
1539651872,31,31
1539665303,30,30
1539669145,33,33
1539671091,23,23
1539672987,22,22
1539674906,24,24
1539680681,27,27
1539682576,24,24
1539684533,25,25
1539686413,24,24
1539688366,24,24
1539690264,25,25
1539692224,25,25
1539694123,24,24
1539696039,23,23
1539699882,24,24
1539702093,22,22
1539708282,23,23
1539710192,25,25
1539718102,25,25
1539720114,24,24
1539721968,24,24
1539733960,23,23
1539737780,22,22
1539751249,23,23
1539755062,22,22
1539757014,23,23
1539760814,22,22
1539762762,21,21
1539766910,19,19
1539768769,20,20
