DateTime,AddedIPs,RemovedIPs
1537390357,0,1
1537392271,1,1
1537394190,1,1
1537396104,1,0
1537398120,2,0
1537399962,4,0
1537401887,0,1
1537403795,2,0
1537409550,1,0
1537413391,1,0
1537415341,0,1
1537421090,1,0
1537424904,2,2
1537426895,1,3
1537432834,0,798
1537434771,1,1
1537440512,1,0
1537442447,1,0
1537444377,0,1
1537448201,1,0
1537452092,1,0
1537455884,1,0
1537463559,0,1
1537465487,1,0
1537471239,1,1
1537476989,1,0
1537478903,0,1
1537480905,0,1
1537482756,0,1
1537484670,0,5
1537486605,0,1
1537490436,0,2
1537496222,1,1
1537500055,0,1
1537505791,0,1
1537511554,0,2
1537513476,0,1
1537521429,0,1
1537525258,0,1
1537529091,0,1
1537534889,0,1
1537538707,0,1
1537542527,0,1
1537552581,0,1
1537556456,0,1
1537564134,0,1
1537577807,1,0
1537582366,0,1
1537590273,1,0
1537594365,1,0
1537596323,1,0
1537646204,1,0
1537651958,3,0
1537663472,0,1
1537673069,1,0
1537676908,0,1
1537680755,0,1
1537682724,0,1
1537703799,1,0
1537711471,1,0
1537732749,0,1
1537738602,0,3
1537755865,1,0
1537759701,0,1
1537788497,1,0
1537790502,0,1
1537798131,1,1
1537807708,1,0
1537827403,1,0
1537842777,0,1
1537863882,1,0
1537873721,0,1
1537879465,1,0
1537885247,0,1
1537893405,0,1
1537895335,1,0
1537912599,0,1
1537927969,1,0
1537945292,1,0
1537951006,0,1
1537956768,2,0
1537960850,6,0
1537962995,1,0
1537964912,1,1
1537966890,1,0
1537970719,4,0
1537974533,1,0
1537976444,1,0
1537978407,2,0
1537980298,1,1
1537982210,1,0
1537986031,1,0
1537987972,1,0
1537989879,2,0
1537991814,4,0
1537993720,3,0
1537995808,4,0
1537998041,7,0
1537999952,3,0
1538005710,1,0
1538007628,3,0
1538011465,1,0
1538013431,1,1
1538017301,1,0
1538024927,2,0
1538032636,2,1
1538036679,1,0
1538042504,0,1
1538044468,0,1
1538046313,0,5
1538048199,0,1
1538050147,0,1
1538052030,0,1
1538053958,0,1
1538055877,1,3
1538057798,0,1
1538061799,0,1
1538063777,0,1
1538065955,0,3
1538067875,0,1
1538071715,1,1
1538073631,0,1
1538077490,0,4
1538079400,0,4
1538081323,0,4
1538083237,0,3
1538085150,1,6
1538087088,0,2
1538092906,0,2
1538094945,1,2
1538096895,0,1
1538099096,0,1
1538104827,0,1
1538110598,0,1
1538112556,0,1
1538118518,0,2
1538122620,0,1
1538139919,1,0
1538141799,1,1
1538153308,1,0
1538155242,1,0
1538157150,1,1
1538172524,0,1
1538180672,0,1
1538226997,0,1
1538228913,0,1
1538232770,1,0
1538238505,0,1
1538240472,0,1
1538244279,0,1
1538269277,1,0
1538273076,1,0
1538301865,1,0
1538311699,1,0
1538317470,0,1
1538321297,2,0
1538330912,1,0
1538336663,1,0
1538353946,0,1
1538359710,0,1
1538389237,0,1
1538397155,0,1
1538401009,5,0
1538406770,0,2
1538416358,0,1
1538424118,0,1
1538433864,1,0
1538447783,1,0
1538486895,0,3
1538488904,0,2
1538492728,1,0
1538519778,0,1
1538535154,1,1
1538578106,0,1
1538581961,1,0
1538599478,1,0
1538603308,1,0
1538622747,0,1
1538667166,1,1
1538686348,0,1
1538690198,0,1
1538703876,1,0
1538717322,1,0
1538744503,1,0
1538754296,0,1
1538789138,0,1
1538804575,0,1
1538820297,4,0
1538822220,6,0
1538824111,2,0
1538826026,3,0
1538827961,1,0
1538829883,1,0
1538831789,1,1
1538833965,1,0
1538847381,1,0
1538855069,2,0
1538857000,2,0
1538858901,3,0
1538864689,1,0
1538868507,1,0
1538888216,1,0
1538905944,0,2
1538907868,0,5
1538909782,0,4
1538911722,0,2
1538913698,1,3
1538915559,0,1
1538919387,0,1
1538921304,0,1
1538927060,1,0
1538935499,0,1
1538941220,1,2
1538943140,0,2
1538945075,0,3
1538950828,0,1
1538954659,0,1
1538975810,0,1
1538979887,1,0
1538995481,1,0
1538999301,0,1
1539012985,0,1
1539016821,1,0
1539026701,0,1
1539052099,1,0
1539065845,0,1
1539069633,1,0
1539081891,0,1
1539103488,0,1
1539128454,1,0
1539138028,0,1
1539147692,1,0
1539149568,1,0
1539155335,0,1
1539166851,3,0
1539172590,3,0
1539213633,0,1
1539233061,0,1
1539237037,0,1
1539238838,1,0
1539244584,1,0
1539248487,1,0
1539252271,0,2
1539254186,0,1
1539258025,0,2
1539260181,0,1
1539275777,1,0
1539281572,1,0
1539283462,1,0
1539325717,0,1
1539331726,0,1
1539335563,0,1
1539341557,1,0
1539361246,0,1
1539367004,0,1
1539368911,0,1
1539386939,1,0
1539409974,1,0
1539429150,0,1
1539471697,0,1
1539477415,1,0
1539481241,1,0
1539483154,1,0
1539494682,1,0
1539496618,0,1
1539517968,1,0
1539521800,1,0
1539533351,1,0
1539550599,1,0
1539564526,0,1
1539566441,0,1
1539570401,0,1
1539581784,0,1
1539601294,1,0
1539605130,0,1
1539608933,0,1
1539620674,0,1
1539638184,1,1
1539672988,1,0
1539674907,1,0
1539680682,1,0
1539684533,1,0
1539688367,0,1
1539724118,0,1
1539730116,1,0
1539733962,1,0
1539757015,1,0
1539758902,0,1
1539760815,1,1
1539766911,1,1
1539770667,1,1
1539780290,1,0
1539784113,1,0
1539793969,1,0
1539795916,1,0
1539799728,1,0
1539801643,1,0
1539807432,1,0
1539817288,0,1
1539821091,0,1
1539843163,0,1
1539847004,0,1
1539850836,1,0
1539852767,0,1
1539856595,0,1
1539866198,0,1
1539871960,0,1
1539879647,0,1
1539883479,0,1
1539885383,0,1
1539887565,0,1
1539891384,1,0
1539893312,0,1
1539916372,1,0
1539920178,1,0
1539925972,1,0
1539929818,1,0
1539937479,1,1
1539972989,1,0
1539978742,0,1
1540003710,0,1
1540005635,0,1
1540011388,0,1
1540017194,0,1
1540022919,0,1
1540028672,1,0
1540059398,0,1
1540065178,1,0
1540070913,1,0
1540115807,0,1
1540133066,1,0
1540141287,1,0
1540150842,0,1
1540156606,0,1
1540171961,2,0
1540174063,1,0
1540187790,1,0
1540219230,0,1
1540226936,0,1
1540257865,0,2
1540259803,0,1
1540267485,1,0
1540275178,0,1
1540310497,1,0
1540314530,1,0
1540322210,1,0
1540331788,1,0
1540353141,0,1
1540389160,1,0
1540391061,2,0
1540396914,0,1
1540400743,0,1
1540408349,0,1
1540420013,0,1
1540475086,0,1
1540484195,1,2
1540503865,1,0
1540507702,1,0
1540515404,1,0
1540570405,0,1
1540590046,0,1
1540593864,0,1
1540600118,0,1
1540669007,1,0
1540684857,1,0
1540757089,0,1
1540772430,1,1
1540819464,3,0
1540859574,0,1
1540940690,1,3
1540971645,1,0
1540977396,1,0
1541010767,1,0
1541020621,1,0
1541028527,0,1
1541057777,0,1
1541063570,1,1
1541065504,1,0
1541097397,0,1
1541107517,0,1
1541148753,0,2
1541152616,1,0
1541162676,1,0
1541166776,2,0
1541168685,7,0
1541170626,3,0
1541174985,2,0
1541176849,5,0
1541180670,1,0
1541182615,1,0
1541184746,1,0
1541186685,1,0
1541190751,3,0
1541192663,1,0
1541194601,1,0
1541200359,1,0
1541202270,1,0
1541209964,1,0
1541213801,1,0
1541220025,2,0
1541222003,1,0
1541223857,1,0
1541225788,1,0
1541239478,1,1
1541243313,1,0
1541247178,3,0
1541249078,0,1
1541251011,1,0
1541253020,5,2
1541254825,0,5
1541256745,0,4
1541258673,1,1
1541260605,0,2
1541262498,0,1
1541264490,0,4
1541266608,1,1
1541270428,0,2
1541272354,0,1
1541276205,1,3
1541278109,1,1
1541280029,1,1
1541281949,2,0
1541283910,1,0
1541287974,1,1
1541289889,0,1
1541293700,2,0
1541297814,1,1
1541301629,0,1
1541303558,1,0
1541305498,1,1
1541307401,0,2
1541309309,0,1
1541311298,0,1
1541317242,1,0
1541324905,1,1
1541330665,1,1
1541332610,0,1
1541334509,1,2
1541338364,0,2
1541340307,0,4
1541342185,1,0
1541344108,0,1
1541351800,0,1
1541355624,1,0
1541357547,1,0
1541359458,1,0
1541361259,2,1
1541363327,1,0
1541365505,1,2
1541367404,2,0
1541369332,1,2
1541371241,0,1
1541375074,0,1
1541379150,0,2
1541383296,0,1
1541388993,0,1
1541393355,0,1
1541402927,0,1
1541404886,2,0
1541408678,1,0
1541410843,0,1
1541416591,0,1
1541420448,2,1
1541424285,1,0
1541428343,0,1
1541432428,1,0
1541434395,1,0
1541438201,2,0
1541442037,0,1
1541443948,0,1
1541445894,0,1
1541447800,1,2
1541449725,0,1
1541451699,0,1
1541453561,0,2
1541455484,0,1
1541490258,0,2
1541494369,1,0
1541496289,0,1
1541505948,0,1
1541508040,0,1
1541510200,1,1
1541519789,0,2
1541523692,1,1
1541525832,0,1
1541533971,1,1
1541580744,0,1
1541586510,1,0
1541588496,1,0
1541592299,1,0
1541594197,2,0
1541596107,0,1
1541598045,1,0
1541605947,1,0
1541610089,1,1
1541619622,0,1
1541629479,1,0
1541635325,1,0
1541673910,0,1
1541676046,0,1
