DateTime,Entries,UniqueIPs
1540698286,5776,5776
1540700194,5773,5773
1540702121,5710,5710
1540704031,5635,5635
1540705949,5618,5618
1540707881,5560,5560
1540710084,5505,5505
1540711969,5472,5472
1540713876,5457,5457
1540715811,5444,5444
1540717956,5396,5396
1540719887,5400,5400
1540721793,5410,5410
1540723709,5409,5409
1540725622,5393,5393
1540727558,5376,5376
1540729482,5355,5355
1540731387,5570,5570
1540733325,8729,8729
1540735278,9280,9280
1540737152,9257,9257
1540739110,9219,9219
1540741014,9175,9175
1540742952,9183,9183
1540744843,9166,9166
1540746777,9149,9149
1540748927,9111,9111
1540750846,9061,9061
1540752768,9060,9060
1540754704,9051,9051
1540756584,9016,9016
1540758517,8995,8995
1540760491,8996,8996
1540762368,8992,8992
1540764343,8888,8888
1540766430,8870,8870
1540768597,8890,8890
1540770531,8959,8959
1540772431,9033,9033
1540774354,9102,9102
1540776302,9196,9196
1540778214,9246,9246
1540780132,9263,9263
1540782092,9273,9273
1540783976,9286,9286
1540785896,9298,9298
1540788043,9294,9294
1540789958,9301,9301
1540791883,9314,9314
1540793817,9328,9328
1540795749,9355,9355
1540797643,9298,9298
1540799567,9255,9255
1540801492,9218,9218
1540803699,9163,9163
1540805571,9208,9208
1540807488,9241,9241
1540809401,9282,9282
1540811350,9309,9309
1540813250,9325,9325
1540815420,9349,9349
1540817555,9412,9412
1540819464,6577,6577
1540821419,5435,5435
1540823341,5451,5451
1540825319,5471,5471
1540827176,5513,5513
1540829102,5532,5532
1540831392,5563,5563
1540833400,6172,6172
1540835582,6231,6231
1540837714,6321,6321
1540839713,6400,6400
1540841568,6437,6437
1540843750,6454,6454
1540845652,6515,6515
1540847838,6557,6557
1540849726,6636,6636
1540851650,6663,6663
1540853684,6682,6682
1540855497,6691,6691
1540857405,6754,6754
1540859575,6855,6855
1540861540,6891,6891
1540863378,6973,6973
1540865333,7055,7055
1540867246,7138,7138
1540869426,7249,7249
1540871328,7319,7319
1540873252,7355,7355
1540875164,7371,7371
1540877075,7391,7391
1540879007,7409,7409
1540880928,7403,7403
1540882905,7439,7439
1540884775,7446,7446
1540886928,7443,7443
1540888853,7473,7473
1540890771,7490,7490
1540892922,7514,7514
1540895113,7518,7518
1540897006,7545,7545
1540899148,7562,7562
1540901000,7546,7546
1540902992,7568,7568
1540904911,7592,7592
1540907079,7596,7596
1540909003,7617,7617
1540911151,7604,7604
1540913085,7599,7599
1540915298,7619,7619
1540917188,7643,7643
1540919333,6762,6762
1540921245,6709,6709
1540923173,6716,6716
1540925330,6659,6659
1540927260,6608,6608
1540929172,6600,6600
1540931084,6580,6580
1540933002,6559,6559
1540934937,6537,6537
1540936924,6524,6524
1540938758,6540,6540
1540940695,6550,6550
1540942593,6539,6539
1540944520,6502,6502
1540946423,6478,6478
1540948349,6463,6463
1540950282,6429,6429
1540952207,6396,6396
1540954108,6394,6394
1540956043,6381,6381
1540957952,6357,6357
1540959883,6340,6340
1540961795,6359,6359
1540963717,6360,6360
1540965878,6371,6371
1540967818,6326,6326
1540969711,6485,6485
1540971646,6483,6483
1540973559,6479,6479
1540975470,6438,6438
1540977397,6346,6346
1540979305,6226,6226
1540981230,6162,6162
1540983157,6076,6076
1540985067,5999,5999
1540986988,5904,5904
1540989010,5832,5832
1540990846,5750,5750
1540992993,5670,5670
1540994926,5576,5576
1540996861,5508,5508
1540998778,5478,5478
1541000739,5377,5377
1541002614,5255,5255
1541004760,5151,5151
1541006675,5037,5037
1541008898,4915,4915
1541010768,4834,4834
1541012913,4748,4748
1541014848,4638,4638
1541016772,4508,4508
1541018681,4408,4408
1541020621,4271,4271
1541022759,4132,4132
1541024669,3996,3996
1541026628,4895,4895
1541028527,5929,5929
1541030479,5922,5922
1541032350,5779,5779
1541034323,5613,5613
1541036230,5430,5430
1541038156,5286,5286
1541040043,5159,5159
1541041969,4993,4993
1541043886,4912,4912
1541045833,4921,4921
1541047943,4885,4885
1541049862,4887,4887
1541051765,4877,4877
1541054024,4883,4883
1541055895,4666,4666
1541057777,4664,4664
1541059737,4679,4679
1541061653,4641,4641
1541063570,4629,4629
1541065504,4622,4622
1541067398,4622,4622
1541069569,4623,4623
1541071464,4597,4597
1541073376,4598,4598
1541075720,4579,4579
1541077715,4566,4566
1541079635,4571,4571
1541081561,4546,4546
1541083479,4535,4535
1541085400,4482,4482
1541087325,4470,4470
1541089240,4469,4469
1541091163,4478,4478
1541093081,4463,4463
1541095395,4453,4453
1541097398,4462,4462
1541099213,4466,4466
1541101217,4458,4458
1541103158,4477,4477
1541105073,4462,4462
1541107517,4483,4483
1541109415,4478,4478
1541111549,4302,4302
1541113501,3175,3175
1541115383,2159,2159
1541117341,2107,2107
1541119254,2106,2106
1541121170,2106,2106
1541123068,2122,2122
1541125240,2100,2100
1541127152,2116,2116
1541129086,2109,2109
1541131001,2103,2103
1541133148,2151,2151
1541135068,2154,2154
1541136992,2144,2144
1541139155,2129,2129
1541141105,2125,2125
1541143016,2123,2123
1541144924,2096,2096
1541146854,2077,2077
1541148753,2072,2072
1541150694,2079,2079
1541152616,2082,2082
1541154773,2067,2067
1541156741,2058,2058
1541158859,2077,2077
1541160779,2095,2095
1541162676,2115,2115
1541164854,2159,2159
1541166776,2196,2196
1541168686,2298,2298
1541170626,2327,2327
1541172773,2364,2364
1541174985,2404,2404
1541176850,2429,2429
1541178787,2463,2463
1541180670,2511,2511
1541182616,2564,2564
1541184746,2544,2544
1541186685,2538,2538
1541188607,2545,2545
1541190752,2547,2547
1541192664,2590,2590
1541194601,2581,2581
1541196540,2581,2581
1541198452,2596,2596
1541200360,2591,2591
1541202270,2591,2591
1541204199,2573,2573
1541206116,2563,2563
1541208043,2584,2584
1541209964,2567,2567
1541211875,2571,2571
1541213802,2621,2621
1541215959,2624,2624
1541217897,2634,2634
1541220026,2586,2586
1541222004,2573,2573
1541223857,2566,2566
1541225788,2572,2572
1541227994,2571,2571
1541229868,2564,2564
1541231814,2554,2554
1541233732,2550,2550
1541235695,2538,2538
1541237551,2529,2529
1541239478,2518,2518
1541241393,2545,2545
1541243314,2538,2538
1541245229,2525,2525
1541247178,2502,2502
1541249078,2496,2496
1541251011,2436,2436
1541253021,2415,2415
1541254825,2353,2353
1541256745,2325,2325
1541258673,2294,2294
1541260605,2261,2261
1541262498,2250,2250
1541264498,2196,2196
1541266608,2157,2157
1541268539,2109,2109
1541270438,2074,2074
1541272354,2069,2069
1541274312,2059,2059
1541276206,2099,2099
1541278110,2071,2071
1541280029,2020,2020
1541281949,2017,2017
1541283910,1992,1992
1541285936,1974,1974
1541287975,1988,1988
1541289890,2034,2034
1541291780,2011,2011
1541293700,1993,1993
1541295628,1976,1976
1541297815,1970,1970
1541299710,1913,1913
1541301629,1904,1904
1541303559,1903,1903
1541305498,1892,1892
1541307402,1890,1890
1541309309,1886,1886
1541311298,1893,1893
1541313156,1873,1873
1541315113,1871,1871
1541317242,1896,1896
1541319171,1913,1913
1541321073,1904,1904
1541322996,1916,1916
1541324906,1921,1921
1541326822,1897,1897
1541328763,1893,1893
1541330666,1889,1889
1541332610,2897,2897
1541334509,6009,6009
1541336494,6707,6707
1541338365,6690,6690
1541340309,6658,6658
1541342186,6662,6662
1541344108,6684,6684
1541346035,6670,6670
1541348024,6682,6682
1541349877,6685,6685
1541351801,6695,6695
1541353716,6661,6661
1541355624,6684,6684
1541357547,6671,6671
1541359459,6661,6661
1541361260,6610,6610
1541363333,6592,6592
1541365506,6585,6585
1541367404,6600,6600
1541369332,6607,6607
1541371242,6626,6626
1541373161,6634,6634
1541375075,6622,6622
1541377003,6622,6622
1541379151,6618,6618
1541381068,6609,6609
1541383297,6604,6604
1541385156,6579,6579
1541387085,6558,6558
1541388994,6561,6561
1541390915,6568,6568
1541393355,6592,6592
1541395240,6593,6593
1541397172,6592,6592
1541399080,6599,6599
1541401019,6602,6602
1541402928,6590,6590
1541404887,6572,6572
1541406765,6585,6585
1541408680,6612,6612
1541410843,10415,10415
1541412854,12633,12633
1541414689,12613,12613
1541416592,12628,12628
1541418532,12520,12520
1541420449,9486,9486
1541422370,7888,7888
1541424285,7914,7914
1541426225,7945,7945
1541428354,7949,7949
1541430261,7906,7906
1541432428,7899,7899
1541434396,7892,7892
1541436268,7898,7898
1541438201,7895,7895
1541440107,7901,7901
1541442037,7912,7912
1541443949,7914,7914
1541445895,7923,7923
1541447800,7941,7941
1541449725,7955,7955
1541451699,7964,7964
1541453562,7967,7967
1541455485,7973,7973
1541457419,8002,8002
1541459568,8088,8088
1541461479,8183,8183
1541463398,8285,8285
1541465314,8414,8414
1541467233,8514,8514
1541469161,8613,8613
1541471084,8708,8708
1541473007,8788,8788
1541474897,8860,8860
1541476903,8924,8924
1541478752,8972,8972
1541480703,9046,9046
1541482591,9106,9106
1541484547,9180,9180
1541486449,9287,9287
1541488372,9372,9372
1541490259,9442,9442
1541492446,9534,9534
1541494370,9602,9602
1541496290,7910,7910
1541498206,4090,4090
1541500138,3925,3925
1541502093,3990,3990
1541503970,4073,4073
1541505948,4191,4191
1541508041,4258,4258
1541510200,4324,4324
1541512104,4366,4366
1541514029,4418,4418
1541515943,4486,4486
1541517884,4534,4534
1541519789,4607,4607
1541521701,4661,4661
1541523693,4725,4725
1541525832,4791,4791
1541527952,4837,4837
1541529900,4886,4886
1541532077,4943,4943
1541533971,4999,4999
1541535873,5065,5065
1541538124,5168,5168
1541539955,5244,5244
1541541929,5300,5300
1541543793,5363,5363
1541545735,5376,5376
1541547644,5349,5349
1541549548,5344,5344
1541551390,5319,5319
1541553580,5312,5312
1541555547,5317,5317
1541557472,5317,5317
1541559397,5322,5322
1541561301,5323,5323
1541563307,5358,5358
1541565160,5353,5353
1541567149,5378,5378
1541569255,5396,5396
1541571162,5403,5403
1541573086,5378,5378
1541574996,5377,5377
1541576907,5373,5373
1541578823,5373,5373
1541580745,5339,5339
1541582673,5323,5323
1541584605,5300,5300
1541586511,5301,5301
1541588496,6458,6458
1541590354,7525,7525
1541592300,7461,7461
1541594197,7428,7428
1541596108,7407,7407
1541598046,7450,7450
1541600110,7457,7457
1541602106,7470,7470
1541604021,7464,7464
1541605947,7484,7484
1541608106,7506,7506
1541610089,7518,7518
1541611953,7507,7507
1541613913,7516,7516
1541615824,7540,7540
1541617714,7563,7563
1541619622,7611,7611
1541621569,7632,7632
1541623494,7595,7595
1541625425,7570,7570
1541627549,7676,7676
1541629479,7705,7705
1541631396,7738,7738
1541633313,7728,7728
1541635326,7748,7748
1541637147,7774,7774
1541639078,7757,7757
1541640997,7776,7776
1541642915,7798,7798
1541644831,7837,7837
1541646763,7866,7866
1541648680,7887,7887
1541650584,7889,7889
1541652502,7880,7880
1541654420,7875,7875
1541656350,7911,7911
1541658278,7921,7921
1541660213,7932,7932
1541662106,7935,7935
1541664088,7935,7935
1541665948,7946,7946
1541667965,7954,7954
1541669776,8001,8001
1541671723,8026,8026
1541673911,7436,7436
1541676047,6195,6195
