DateTime,AddedIPs,RemovedIPs
1538665303,1,0
1538669101,1,0
1538674840,0,1
1538680595,0,1
1538682530,1,0
1538688278,0,2
1538692121,0,1
1538697932,1,0
1538701725,1,0
1538707736,0,1
1538713521,0,1
1538731011,0,1
1538732908,0,1
1538736758,1,0
1538740595,1,1
1538746358,1,1
1538750431,0,2
1538752352,1,0
1538754297,2,0
1538756199,0,1
1538758351,0,1
1538769890,0,1
1538783336,0,1
1538796765,1,0
1538804576,1,0
1538816504,0,1
1538822221,0,1
1538826027,1,0
1538827962,0,1
1538833966,0,1
1538839702,1,1
1538841688,0,1
1538843562,0,1
1538845516,0,1
1538855070,1,0
1538857001,2,0
1538884342,0,1
1538890100,0,1
1538896359,1,0
1538909783,1,0
1538911723,0,1
1538927061,1,1
1538941221,2,1
1538943142,0,1
1538970037,1,0
1538983717,0,1
1538989460,0,1
1538995483,1,1
1539009149,1,0
1539012986,0,1
1539016828,1,0
1539018743,1,0
1539020683,1,0
1539042511,0,2
1539054124,2,0
1539061732,1,0
1539081892,1,1
1539095556,0,1
1539103490,0,1
1539105394,0,1
1539120747,0,1
1539141870,0,1
1539147701,0,1
1539149569,1,1
1539155337,1,1
1539157260,1,0
1539192509,1,0
1539205977,1,0
1539209789,1,0
1539211722,1,0
1539213640,0,1
1539217482,1,0
1539233063,1,0
1539235011,0,1
1539240767,1,0
1539242692,0,1
1539271938,1,0
1539279622,0,1
1539296920,0,1
1539298910,0,1
1539302688,0,1
1539319969,0,1
1539325719,0,1
1539339407,0,1
1539357401,0,1
1539368912,1,0
1539374716,0,1
1539388843,1,0
1539392669,1,0
1539402283,1,0
1539408042,1,0
1539409976,1,0
1539433018,1,0
1539446688,1,0
1539448610,3,0
1539456277,0,1
1539475474,0,1
1539477423,1,1
1539479345,1,0
1539481248,1,0
1539483155,1,0
1539485082,2,0
1539488901,0,1
1539494683,1,1
1539496620,0,1
1539500502,1,0
1539502368,1,0
1539504533,1,0
1539510287,1,0
1539519899,0,1
1539541019,1,0
1539550600,1,0
1539552518,1,0
1539556426,1,0
1539560693,2,0
1539562612,0,1
1539566443,0,1
1539568395,1,1
1539570403,0,1
1539572217,0,1
1539574118,1,0
1539579896,0,1
1539583732,1,0
1539585647,1,0
1539587553,0,1
1539589484,0,1
1539593570,1,0
1539595475,1,0
1539597392,0,1
1539601302,1,0
1539616843,1,0
1539618759,1,0
1539626485,0,2
1539628604,0,2
1539634351,3,0
1539640115,1,0
1539644216,0,1
1539646106,1,0
1539651874,1,0
1539659573,0,2
1539661478,1,0
1539669147,0,1
1539682579,0,2
1539684535,1,0
1539686415,0,1
1539697955,0,2
1539699885,1,0
1539702096,0,1
1539706064,0,2
1539714269,1,1
1539720118,0,1
1539721970,1,0
1539724120,1,0
1539726049,1,0
1539727963,1,0
1539732033,0,1
1539737783,0,1
1539747379,0,1
1539753155,1,0
1539757017,0,1
1539758904,2,0
1539766922,0,2
1539780292,1,0
1539786048,0,2
1539787976,1,0
1539790148,1,0
1539793971,1,0
1539799729,0,1
1539807433,1,0
1539809557,0,1
1539813396,1,1
1539815315,0,1
1539817289,0,1
1539822984,1,1
1539824917,1,0
1539826828,1,0
1539833087,0,1
1539835321,1,0
1539839069,0,1
1539843164,1,0
1539845091,0,2
1539856596,1,0
1539860484,0,1
1539870031,1,0
1539873880,0,1
1539877702,1,0
1539879648,1,1
1539883480,1,0
1539885384,1,0
1539887566,2,1
1539893313,1,0
