DateTime,AddedIPs,RemovedIPs
1540696370,27,29
1540698291,22,32
1540700198,18,24
1540702126,32,24
1540704036,23,1047
1540705953,39,32
1540707886,34,56
1540710091,39,29
1540711973,44,31
1540713882,24,31
1540715816,23,33
1540717961,48,26
1540719892,28,33
1540721797,44,27
1540723714,58,34
1540725627,33,38
1540727564,28,47
1540729486,36,47
1540731391,257,60
1540733329,1361,40
1540735301,36,24
1540737157,50,20
1540739118,37,36
1540741019,45,35
1540742957,29,40
1540744858,35,27
1540746782,37,48
1540748933,29,28
1540750851,36,29
1540752773,57,34
1540754709,27,28
1540756589,29,34
1540758522,26,151
1540760508,44,55
1540762373,35,293
1540764348,34,107
1540766441,30,331
1540768606,33,43
1540770537,27,29
1540772436,1333,38
1540774358,2033,30
1540776307,1894,18
1540778229,1418,33
1540780138,23,42
1540782116,27,24
1540783982,22,27
1540785944,28,24
1540788058,48,36
1540789963,33,25
1540791898,43,35
1540793822,38,25
1540795754,25,36
1540797648,33,37
1540799573,24,34
1540801498,26,31
1540803704,34,34
1540805576,23,34
1540807496,48,27
1540809406,33,58
1540811355,27,24
1540813255,28,36
1540815425,45,33
1540817560,817,27
1540819470,23,1365
1540821423,20,28
1540823346,96,37
1540825345,167,35
1540827181,159,42
1540829120,148,30
1540831398,48,34
1540833405,52,41
1540835587,35,32
1540837728,29,37
1540839721,30,55
1540841574,28,28
1540843755,46,32
1540845657,38,31
1540847844,59,36
1540849732,29,35
1540851655,27,33
1540853689,60,33
1540855503,40,23
1540857410,37,67
1540859579,83,2038
1540861546,39,1928
1540863383,29,1831
1540865337,33,732
1540867251,29,35
1540869431,25,26
1540871332,67,27
1540873256,131,32
1540875185,100,36
1540877080,125,33
1540879012,69,36
1540880942,43,38
1540882910,32,23
1540884780,50,32
1540886933,35,24
1540888858,45,36
1540890776,39,20
1540892927,58,45
1540895118,3206,42
1540897010,39,36
1540899153,60,26
1540901005,40,28
1540902998,28,33
1540904917,26,41
1540907084,34,29
1540909008,28,55
1540911157,43,140
1540913090,132,136
1540915304,36,154
1540917193,33,59
1540919340,35,43
1540921251,25,36
1540923178,24,24
1540925335,29,28
1540927266,25,22
1540929177,30,42
1540931089,28,50
1540933016,37,31
1540934942,74,67
1540936930,47,33
1540938763,49,24
1540940717,38,26
1540942607,50,24
1540944525,43,27
1540946428,34,72
1540948354,30,37
1540950287,32,753
1540952212,22,59
1540954113,35,29
1540956051,890,19
1540957959,33,51
1540959898,1899,72
1540961800,748,56
1540963722,85,77
1540965892,52,62
1540967823,24,37
1540969716,65,42
1540971651,15,46
1540973574,17,32
1540975476,22,47
1540977402,30,49
1540979310,24,89
1540981243,25,3089
1540983163,41,131
1540985073,27,90
1540986993,27,75
1540989015,33,27
1540990874,31,24
1540992998,44,26
1540994933,28,31
1540996866,40,42
1540998783,66,34
1541000744,37,233
1541002620,1679,33
1541004765,3820,38
1541006680,3075,31
1541008906,2063,27
1541010780,41,22
1541012919,38,28
1541014853,27,19
1541016777,31,30
1541018704,39,37
1541020628,26,57
1541022769,38,58
1541024674,31,56
1541026633,25,37
1541028535,23,32
1541030489,25,53
1541032355,36,46
1541034346,12,29
1541036235,22,30
1541038162,24,27
1541040047,31,26
1541041976,24,967
1541043891,44,34
1541045850,43,1009
1541047947,25,1181
1541049867,27,60
1541051819,16,121
1541054034,27,29
1541055901,25,51
1541057782,38,40
1541059742,35,22
1541061659,37,24
1541063575,33,34
1541065509,32,29
1541067403,24,29
1541069575,24,44
1541071469,28,29
1541073382,23,31
1541075726,21,47
1541077720,33,38
1541079640,47,39
1541081566,39,41
1541083484,39,40
1541085405,45,72
1541087330,27,41
1541089248,42,2196
1541091169,47,3662
1541093086,56,3354
1541095402,62,2198
1541097402,95,48
1541099218,81,37
1541101225,77,41
1541103162,51,33
1541105078,51,37
1541107522,66,35
1541109420,31,36
1541111554,51,28
1541113511,29,25
1541115389,32,24
1541117346,40,25
1541119259,35,37
1541121174,37,17
1541123073,22,16
1541125245,40,33
1541127156,40,32
1541129091,39,44
1541131007,30,41
1541133162,42,33
1541135072,28,32
1541136996,38,23
1541139159,57,20
1541141112,49,37
1541143020,36,40
1541144931,35,38
1541146860,53,31
1541148758,35,38
1541150699,45,32
1541152621,36,32
1541154807,29,32
1541156749,35,36
1541158863,37,32
1541160784,37,26
1541162681,41,30
1541164869,36,60
1541166781,33,52
1541168690,24,40
1541170631,37,35
1541172788,29,44
1541175000,76,46
1541176855,29,61
1541178791,38,44
1541180674,28,55
1541182620,39,57
1541184750,52,56
1541186700,32,53
1541188611,39,48
1541190756,54,61
1541192668,49,39
1541194615,47,48
1541196545,37,24
1541198456,35,40
1541200364,32,23
1541202274,44,31
1541204203,59,37
1541206120,23,20
1541208048,50,30
1541209968,26,22
1541211880,34,51
1541213807,33,39
1541215963,993,35
1541217912,42,30
1541220030,29,40
1541222007,33,19
1541223862,23,44
1541225793,29,39
1541227999,37,57
1541229883,35,45
1541231819,26,36
1541233736,49,40
1541235701,50,35
1541237556,50,35
1541239482,43,36
1541241398,29,32
1541243318,32,36
1541245234,22,28
1541247183,42,35
1541249083,36,34
1541251016,41,38
1541253025,44,30
1541254830,22,27
1541256750,29,33
1541258678,35,42
1541260611,23,67
1541262502,21,40
1541264509,37,35
1541266616,22,34
1541268544,33,33
1541270442,28,35
1541272358,48,38
1541274317,26,27
1541276210,32,54
1541278116,30,34
1541280043,40,35
1541281954,33,37
1541283915,34,38
1541285941,33,26
1541287979,49,39
1541289895,43,26
1541291784,29,55
1541293706,29,38
1541295634,22,27
1541297820,27,35
1541299715,30,31
1541301634,25,1009
1541303566,33,50
1541305503,34,33
1541307406,48,30
1541309314,27,44
1541311305,2305,24
1541313161,41,33
1541315175,27,34
1541317246,35,30
1541319177,33,48
1541321078,23,38
1541323001,39,32
1541324910,28,49
1541326827,29,46
1541328767,34,32
1541330671,42,34
1541332615,728,27
1541334514,513,42
1541336500,33,45
1541338369,56,45
1541340321,40,39
1541342191,34,29
1541344113,794,30
1541346040,16,36
1541348029,38,24
1541349882,147,18
1541351806,56,25
1541353721,50,16
1541355634,48,37
1541357556,41,27
1541359467,45,36
1541361376,48,27
1541363337,36,24
1541365512,40,46
1541367419,38,21
1541369337,31,37
1541371246,20,22
1541373166,35,48
1541375079,42,36
1541377018,1171,26
1541379155,2163,28
1541381080,1741,21
