DateTime,Entries,UniqueIPs
1540696370,4304,4304
1540698291,4294,4294
1540700198,4288,4288
1540702126,4296,4296
1540704036,3272,3272
1540705953,3279,3279
1540707886,3257,3257
1540710091,3267,3267
1540711973,3280,3280
1540713882,3273,3273
1540715816,3263,3263
1540717961,3285,3285
1540719892,3280,3280
1540721797,3297,3297
1540723714,3321,3321
1540725627,3316,3316
1540727564,3297,3297
1540729486,3286,3286
1540731391,3483,3483
1540733329,4804,4804
1540735301,4816,4816
1540737157,4846,4846
1540739118,4847,4847
1540741019,4857,4857
1540742957,4846,4846
1540744858,4854,4854
1540746782,4843,4843
1540748933,4844,4844
1540750851,4851,4851
1540752773,4874,4874
1540754709,4873,4873
1540756589,4868,4868
1540758522,4743,4743
1540760508,4732,4732
1540762373,4474,4474
1540764348,4401,4401
1540766441,4100,4100
1540768606,4090,4090
1540770537,4088,4088
1540772436,5383,5383
1540774358,7386,7386
1540776307,9262,9262
1540778229,10647,10647
1540780138,10628,10628
1540782116,10631,10631
1540783982,10626,10626
1540785944,10630,10630
1540788058,10642,10642
1540789963,10650,10650
1540791898,10658,10658
1540793822,10671,10671
1540795754,10660,10660
1540797648,10656,10656
1540799573,10646,10646
1540801498,10641,10641
1540803704,10641,10641
1540805576,10630,10630
1540807496,10651,10651
1540809406,10626,10626
1540811355,10629,10629
1540813255,10621,10621
1540815425,10633,10633
1540817560,11423,11423
1540819470,10081,10081
1540821423,10073,10073
1540823346,10132,10132
1540825345,10264,10264
1540827181,10381,10381
1540829120,10499,10499
1540831398,10513,10513
1540833405,10524,10524
1540835587,10527,10527
1540837728,10519,10519
1540839721,10494,10494
1540841574,10494,10494
1540843755,10508,10508
1540845657,10515,10515
1540847844,10538,10538
1540849732,10532,10532
1540851655,10526,10526
1540853689,10553,10553
1540855503,10570,10570
1540857410,10540,10540
1540859579,8585,8585
1540861546,6696,6696
1540863383,4894,4894
1540865337,4195,4195
1540867251,4189,4189
1540869431,4188,4188
1540871332,4228,4228
1540873256,4327,4327
1540875185,4391,4391
1540877080,4483,4483
1540879012,4516,4516
1540880942,4521,4521
1540882910,4530,4530
1540884780,4548,4548
1540886933,4559,4559
1540888858,4568,4568
1540890776,4587,4587
1540892927,4600,4600
1540895118,7764,7764
1540897010,7767,7767
1540899153,7801,7801
1540901005,7813,7813
1540902998,7808,7808
1540904917,7793,7793
1540907084,7798,7798
1540909008,7771,7771
1540911157,7674,7674
1540913090,7670,7670
1540915304,7552,7552
1540917193,7526,7526
1540919340,7518,7518
1540921251,7507,7507
1540923178,7507,7507
1540925335,7508,7508
1540927266,7511,7511
1540929177,7499,7499
1540931089,7477,7477
1540933016,7483,7483
1540934942,7490,7490
1540936930,7504,7504
1540938763,7529,7529
1540940717,7541,7541
1540942607,7567,7567
1540944525,7583,7583
1540946428,7545,7545
1540948354,7538,7538
1540950287,6817,6817
1540952212,6780,6780
1540954113,6786,6786
1540956051,7657,7657
1540957959,7639,7639
1540959898,9466,9466
1540961800,10158,10158
1540963722,10166,10166
1540965892,10156,10156
1540967823,10143,10143
1540969716,10166,10166
1540971651,10135,10135
1540973574,10120,10120
1540975476,10095,10095
1540977402,10076,10076
1540979310,10011,10011
1540981243,6947,6947
1540983163,6857,6857
1540985073,6794,6794
1540986993,6746,6746
1540989015,6752,6752
1540990874,6759,6759
1540992998,6777,6777
1540994933,6774,6774
1540996866,6772,6772
1540998783,6804,6804
1541000744,6608,6608
1541002620,8254,8254
1541004765,12036,12036
1541006680,15080,15080
1541008906,17116,17116
1541010780,17135,17135
1541012919,17145,17145
1541014853,17153,17153
1541016777,17154,17154
1541018704,17156,17156
1541020628,17125,17125
1541022769,17105,17105
1541024674,17080,17080
1541026633,17068,17068
1541028535,17059,17059
1541030489,17031,17031
1541032355,17021,17021
1541034346,17004,17004
1541036235,16996,16996
1541038162,16993,16993
1541040047,16998,16998
1541041976,16055,16055
1541043891,16065,16065
1541045850,15099,15099
1541047947,13943,13943
1541049867,13910,13910
1541051819,13805,13805
1541054034,13803,13803
1541055901,13777,13777
1541057782,13775,13775
1541059742,13788,13788
1541061659,13801,13801
1541063575,13800,13800
1541065509,13803,13803
1541067403,13798,13798
1541069575,13778,13778
1541071469,13777,13777
1541073382,13769,13769
1541075726,13743,13743
1541077720,13738,13738
1541079640,13746,13746
1541081566,13744,13744
1541083484,13743,13743
1541085405,13716,13716
1541087330,13702,13702
1541089248,11548,11548
1541091169,7933,7933
1541093086,4635,4635
1541095402,2499,2499
1541097402,2546,2546
1541099218,2590,2590
1541101225,2626,2626
1541103162,2644,2644
1541105078,2658,2658
1541107522,2689,2689
1541109420,2684,2684
1541111554,2707,2707
1541113511,2711,2711
1541115389,2719,2719
1541117346,2734,2734
1541119259,2732,2732
1541121174,2752,2752
1541123073,2758,2758
1541125245,2765,2765
1541127156,2773,2773
1541129091,2768,2768
1541131007,2757,2757
1541133162,2766,2766
1541135072,2762,2762
1541136996,2777,2777
1541139159,2814,2814
1541141112,2826,2826
1541143020,2822,2822
1541144931,2819,2819
1541146860,2841,2841
1541148758,2838,2838
1541150699,2851,2851
1541152621,2855,2855
1541154807,2852,2852
1541156749,2851,2851
1541158863,2856,2856
1541160784,2867,2867
1541162681,2878,2878
1541164869,2854,2854
1541166781,2835,2835
1541168690,2819,2819
1541170631,2821,2821
1541172788,2806,2806
1541175000,2836,2836
1541176855,2804,2804
1541178791,2798,2798
1541180674,2771,2771
1541182620,2753,2753
1541184750,2749,2749
1541186700,2728,2728
1541188611,2719,2719
1541190756,2712,2712
1541192668,2722,2722
1541194615,2721,2721
1541196545,2734,2734
1541198456,2729,2729
1541200364,2738,2738
1541202274,2751,2751
1541204203,2773,2773
1541206120,2776,2776
1541208048,2796,2796
1541209968,2800,2800
1541211880,2783,2783
1541213807,2777,2777
1541215963,3735,3735
1541217912,3747,3747
1541220030,3736,3736
