DateTime,Entries,UniqueIPs
1540696371,2774,2774
1540698291,2772,2772
1540700200,2770,2770
1540702127,2777,2777
1540704037,1564,1564
1540705954,1559,1559
1540707886,1530,1530
1540710092,1525,1525
1540711974,1534,1534
1540713887,1532,1532
1540715817,1536,1536
1540717962,1535,1535
1540719893,1539,1539
1540721798,1544,1544
1540723715,1545,1545
1540725628,1549,1549
1540727565,1548,1548
1540729487,1546,1546
1540731392,1783,1783
1540733330,3101,3101
1540735303,3099,3099
1540737159,3108,3108
1540739119,3114,3114
1540741021,3121,3121
1540742958,3124,3124
1540744859,3120,3120
1540746783,3117,3117
1540748934,3115,3115
1540750852,3109,3109
1540752774,3146,3146
1540754710,3146,3146
1540756601,3140,3140
1540758523,3026,3026
1540760509,3026,3026
1540762374,2774,2774
1540764350,2713,2713
1540766443,2406,2406
1540768607,2394,2394
1540770538,2398,2398
1540772437,2386,2386
1540774359,2394,2394
1540776308,2394,2394
1540778230,2402,2402
1540780139,2397,2397
1540782117,2396,2396
1540783983,2391,2391
1540785946,2392,2392
1540788059,2392,2392
1540789964,2392,2392
1540791899,2397,2397
1540793823,2395,2395
1540795755,2390,2390
1540797649,2386,2386
1540799574,2377,2377
1540801499,2371,2371
1540803705,2373,2373
1540805577,2366,2366
1540807497,2360,2360
1540809407,2365,2365
1540811356,2363,2363
1540813256,2356,2356
1540815426,2351,2351
1540817560,2344,2344
1540819471,783,783
1540821424,787,787
1540823351,779,779
1540825345,774,774
1540827182,770,770
1540829122,764,764
1540831399,765,765
1540833406,770,770
1540835587,777,777
1540837729,785,785
1540839721,761,761
1540841575,756,756
1540843756,750,750
1540845658,754,754
1540847844,752,752
1540849733,743,743
1540851656,732,732
1540853690,748,748
1540855504,768,768
1540857410,782,782
1540859580,786,786
1540861546,797,797
1540863384,804,804
1540865338,806,806
1540867251,817,817
1540869431,826,826
1540871333,881,881
1540873257,987,987
1540875186,1081,1081
1540877080,1193,1193
1540879013,1247,1247
1540880942,1281,1281
1540882910,1295,1295
1540884780,1319,1319
1540886933,1348,1348
1540888859,1362,1362
1540890776,1375,1375
1540892927,1393,1393
1540895119,1406,1406
1540897011,1412,1412
1540899154,1441,1441
1540901006,1469,1469
1540902999,1458,1458
1540904918,1457,1457
1540907085,1460,1460
1540909009,1454,1454
1540911157,1448,1448
1540913092,1451,1451
1540915306,1456,1456
1540917194,1457,1457
1540919341,1456,1456
1540921252,1456,1456
