DateTime,Entries,UniqueIPs
1540478934,96,96
1540481009,96,96
1540483309,94,94
1540485155,93,93
1540487152,90,90
1540491185,88,88
1540493072,88,88
1540495251,88,88
1540497156,87,87
1540499084,86,86
1540501008,87,87
1540502911,85,85
1540506760,82,82
1540508951,80,80
1540512995,77,77
1540514913,76,76
1540516837,75,75
1540520686,76,76
1540522605,79,79
1540524509,81,81
1540526509,81,81
1540528368,96,96
1540530281,96,96
1540532457,94,94
1540534377,93,93
1540536290,91,91
1540538217,92,92
1540540135,90,90
1540542033,90,90
1540545889,89,89
1540547789,89,89
1540549960,89,89
1540552151,88,88
1540554057,87,87
1540556464,88,88
1540562214,89,89
1540564362,90,90
1540568476,92,92
1540570413,93,93
1540574227,92,92
1540576134,90,90
1540578063,89,89
1540579975,87,87
1540583814,87,87
1540585971,87,87
1540587886,85,85
1540590055,86,86
1540591957,86,86
1540593872,86,86
1540596032,88,88
1540598206,89,89
1540600126,87,87
1540602111,86,86
1540603972,84,84
1540605973,86,86
1540609753,85,85
1540611667,89,89
1540613592,72,72
1540615493,71,71
1540621254,71,71
1540625081,70,70
1540627042,69,69
1540629161,67,67
1540631067,68,68
1540633243,67,67
1540635166,67,67
1540637104,65,65
1540639137,66,66
1540641157,66,66
1540643155,65,65
1540646950,66,66
1540648915,64,64
1540650767,61,61
1540652699,62,62
1540654608,61,61
1540656583,61,61
1540658684,60,60
1540660611,62,62
1540664680,62,62
1540666601,62,62
1540668511,63,63
1540670525,62,62
1540672357,63,63
1540674546,65,65
1540676699,66,66
1540678623,65,65
1540680523,65,65
1540682471,62,62
1540684359,64,64
1540686309,67,67
1540688520,68,68
1540690613,68,68
1540692559,69,69
1540694440,71,71
1540700202,72,72
1540702128,74,74
1540705956,75,75
1540707888,73,73
1540713897,75,75
1540715818,74,74
1540719894,76,76
1540721799,75,75
1540725629,75,75
1540727566,76,76
1540733331,75,75
1540735308,78,78
1540737160,78,78
1540739122,78,78
1540742959,77,77
1540744860,79,79
1540746785,80,80
1540750853,81,81
1540754711,81,81
1540756604,80,80
1540758524,81,81
1540760511,82,82
1540762375,80,80
1540764351,78,78
1540768608,79,79
1540770540,77,77
1540772438,74,74
1540774361,75,75
1540776310,76,76
1540778231,75,75
1540780140,74,74
1540782118,75,75
1540783985,74,74
1540788061,71,71
1540789965,71,71
1540791900,70,70
1540793824,69,69
1540795757,68,68
