DateTime,AddedIPs,RemovedIPs
1541245713,12,13
1541246699,7,15
1541247682,8,7
1541248595,6,15
1541249552,13,6
1541250658,14,18
1541251474,4,7
1541252429,5,10
1541253389,15,14
1541254356,7,3
1541255064,7,0
1541255787,12,9
1541256505,4,13
1541257245,10,6
1541258193,9,4
1541259161,15,12
1541260097,5,10
1541261067,8,3
1541262014,6,16
1541262735,6,12
1541263699,11,9
1541264423,0,10
1541265155,9,0
1541266110,12,17
1541267076,14,12
1541267781,12,6
1541268519,7,11
1541269221,6,12
1541269962,6,4
1541270914,10,7
1541271885,8,7
1541272847,16,11
1541273797,9,16
1541274756,9,12
1541275721,9,10
1541276670,14,19
1541277630,10,7
1541278345,7,5
1541279069,12,6
1541279788,5,12
1541280516,10,8
1541281453,9,17
1541282435,9,10
1541283144,7,13
1541283891,8,9
1541284583,4,0
1541285301,8,9
1541285907,8,11
1541286732,6,0
1541287452,3,8
1541288412,15,5
1541289140,7,7
1541289859,10,13
1541290573,9,0
1541291292,6,10
1541292008,2,8
1541292731,8,18
1541293457,8,0
1541294176,4,7
1541294892,7,16
1541295613,3,2
1541296340,10,10
1541297314,8,24
1541298259,12,0
1541299212,15,28
1541300206,21,15
1541301167,13,21
1541302120,7,7
1541303053,10,11
1541304038,14,11
1541304994,18,10
1541305954,11,20
1541306648,7,0
1541307382,11,9
1541308092,6,4
1541308816,7,11
1541309812,10,14
1541310736,8,7
1541311717,8,3
1541312653,7,9
1541313639,7,16
1541314343,4,0
1541315079,6,18
1541315806,9,12
1541316761,11,8
1541317704,12,6
1541318665,8,0
1541319614,14,12
1541320343,5,17
1541321054,7,9
1541322030,7,12
1541322730,9,12
1541323471,10,9
1541324433,14,0
1541325144,7,5
1541325870,7,9
1541326587,11,13
1541327311,14,0
1541328269,12,12
1541329232,11,23
1541330199,9,0
1541331155,6,17
1541331864,15,0
1541332584,3,7
1541333310,4,12
1541334039,9,0
1541334752,4,6
1541335472,6,7
1541336182,5,10
1541336921,4,0
1541338015,14,11
1541338834,7,3
1541339542,7,0
1541340278,3,12
1541340990,8,9
1541341705,5,12
1541342424,7,6
1541343147,9,9
1541343868,7,9
1541344589,10,0
1541345556,9,6
1541346262,10,6
1541346987,7,6
1541347999,14,11
1541348649,5,4
1541349613,12,12
1541350327,10,8
1541351056,10,3
1541351778,11,12
1541352490,20,0
1541353456,9,13
1541354165,12,6
1541354894,10,11
1541355611,10,4
1541356362,9,9
1541357064,5,2
1541357796,8,7
1541358489,7,18
1541359211,10,0
1541359949,6,11
1541360657,13,8
1541361368,5,7
1541362094,7,0
1541362807,10,11
1541363544,6,8
1541364248,8,9
1541364988,8,9
1541365954,12,10
1541366907,15,9
1541367868,4,17
1541368837,10,8
1541369779,11,4
1541370738,14,5
1541371449,1,10
1541372175,7,8
1541373143,8,15
1541374097,9,13
1541375057,9,11
1541376049,12,12
1541376986,15,22
1541377713,4,7
1541378673,13,7
1541379627,16,8
1541380596,7,13
1541381558,7,4
1541382264,9,8
1541383237,16,5
1541384188,12,14
1541385142,13,18
1541385849,12,18
1541386588,10,0
1541387555,11,15
1541388512,8,17
1541389474,11,27
1541390439,17,0
1541391398,4,30
1541392363,9,6
1541393795,12,12
1541394506,4,6
1541395229,6,7
1541396194,8,0
1541397151,7,21
1541398119,19,7
1541399069,17,11
1541400028,11,0
1541400989,10,11
1541401957,14,7
1541402916,14,10
1541403869,11,8
1541404853,14,7
1541405795,12,6
1541406751,9,23
1541407465,10,8
1541408187,8,0
1541409157,9,13
1541409866,17,0
1541410829,14,10
1541411791,6,12
1541412756,12,3
1541413711,4,11
1541414668,7,6
1541415638,7,23
1541416579,12,0
1541417535,10,7
1541418510,9,23
1541419497,7,7
1541420435,9,9
1541421396,9,11
1541422347,6,11
1541423319,2,6
1541424267,9,10
1541425379,13,11
1541426212,6,1
1541427157,11,12
1541427865,6,5
1541428594,6,4
1541429302,13,10
1541430034,5,7
1541430994,16,18
1541431955,8,0
1541432912,15,12
1541433880,24,8
1541434832,20,4
1541435793,10,14
1541436756,18,16
1541437719,7,7
1541438667,18,15
1541439630,12,5
1541440591,10,20
1541441562,13,7
1541442509,17,11
1541443474,12,15
1541444433,14,3
1541445150,3,6
1541445874,19,12
1541446585,12,10
1541447305,19,4
1541448280,12,29
1541449227,17,32
1541450194,6,5
1541451152,9,10
1541452119,12,14
1541453069,15,18
1541454031,11,8
1541454993,7,13
1541455955,14,7
1541456664,8,7
1541457392,8,11
1541458092,6,5
1541459086,7,10
1541460013,14,10
1541460731,11,8
1541461458,5,0
1541462166,11,9
1541462917,7,10
1541463892,7,10
1541464583,7,13
1541465300,7,11
1541466273,10,16
1541467219,16,17
1541468179,11,14
1541469146,22,10
1541470121,8,11
1541471070,13,14
1541472034,17,13
1541472995,14,32
1541473960,15,11
1541474664,10,0
1541475395,8,7
1541476103,6,8
1541476839,11,12
1541477782,14,0
1541478738,16,13
1541479697,15,10
1541480678,7,6
1541481637,13,11
1541482578,9,0
1541483538,16,6
1541484525,3,41
1541485471,15,4
1541486434,10,9
1541487390,7,11
1541488359,3,16
1541489314,11,0
1541490023,3,13
1541490746,5,7
1541491470,8,8
1541492432,11,5
1541493397,14,10
1541494355,8,7
1541495781,19,13
1541496742,12,15
1541497449,6,11
1541498191,9,0
1541499160,7,17
1541500118,13,2
1541501057,7,0
1541502023,10,7
1541502730,4,8
1541503452,4,6
1541504168,4,13
1541504899,5,0
1541505902,4,19
1541506830,7,0
1541507540,7,4
1541508249,7,5
1541508967,7,6
1541509724,5,5
1541510673,8,19
1541511630,11,0
1541512750,9,14
1541513557,10,5
1541514264,7,0
1541514987,10,5
1541515709,5,14
1541516441,10,11
1541517380,17,0
1541518343,12,8
1541519050,5,7
1541519772,5,8
1541520777,5,33
1541521450,11,16
1541522176,6,0
1541523143,10,9
1541524121,7,27
1541525068,14,0
1541525800,5,12
1541526519,7,10
1541527480,13,12
1541528440,6,12
1541529150,11,13
1541529879,9,13
1541530835,17,3
1541531533,5,0
1541532503,6,22
1541533454,19,8
1541534435,6,12
1541535402,11,16
1541536356,9,11
1541537326,13,10
1541538042,5,15
1541538979,13,17
1541539942,6,7
1541540900,6,14
1541541874,2,11
1541542815,8,8
1541543534,3,9
1541544254,8,4
1541544969,4,16
1541545720,3,9
1541546667,12,16
1541547632,9,8
1541548610,8,15
1541549305,6,0
1541550034,6,13
1541550754,11,10
1541551360,9,4
1541552089,10,9
1541553098,10,16
1541554092,6,10
1541555073,5,18
1541556037,12,13
1541556731,5,13
1541557452,8,0
1541558168,10,20
1541558898,19,21
1541559862,10,18
1541560815,25,8
1541561802,8,18
1541562752,9,9
1541563721,12,14
1541564667,8,19
1541565628,8,11
1541566588,8,9
1541567799,17,6
1541568752,5,7
1541569713,8,11
1541570683,12,7
1541571628,7,7
1541572352,11,7
1541573066,4,8
1541573782,4,0
1541574523,6,37
1541575468,13,22
1541576430,12,13
1541577387,13,1
1541578363,9,15
1541579066,8,11
1541579783,9,0
1541580505,7,8
1541581234,13,14
1541582201,14,10
1541583155,15,6
1541583863,4,5
1541584584,15,0
1541585307,2,14
1541586037,11,16
1541586991,11,9
1541587956,13,10
1541588915,6,3
1541589897,10,9
1541590827,7,5
1541591789,12,3
1541592761,4,9
1541593711,15,5
1541594667,5,18
1541595632,7,7
1541596600,11,5
1541597557,2,16
1541598511,5,14
1541599475,12,10
1541600085,3,7
1541601132,6,2
1541601854,4,6
1541602586,8,5
1541603554,5,11
1541604264,13,14
1541604987,4,3
1541605706,8,10
1541606465,9,9
1541607636,20,7
1541608595,7,19
1541609574,18,10
1541610519,15,0
1541611478,20,19
1541612425,15,6
1541613388,11,6
1541614350,14,12
1541615066,11,7
1541615787,12,12
1541616506,7,12
1541617233,13,0
1541618198,12,22
1541619152,8,16
1541619864,16,11
1541620584,5,0
1541621307,7,11
1541622026,9,14
1541622780,7,16
1541623467,7,0
1541624182,11,8
1541624924,5,16
1541626110,16,8
1541627067,12,9
1541628036,5,4
1541628984,5,14
1541629937,15,15
1541630652,17,0
1541631369,2,13
1541632347,10,6
1541633049,6,0
1541633794,10,13
1541634749,9,10
1541635720,6,16
1541636672,12,7
1541637633,12,8
1541638595,9,26
1541639552,12,11
1541640511,11,8
1541641494,9,6
1541642198,16,0
1541642894,4,8
1541643857,10,9
1541644567,13,0
1541645294,7,17
1541646260,11,18
1541647216,14,37
1541647935,9,0
1541648649,10,13
1541649619,9,13
1541650333,5,8
1541651068,6,8
1541652028,6,11
1541653003,6,12
1541653936,7,0
