DateTime,Entries,UniqueIPs
1541245713,13671,14091
1541246699,13674,14095
1541247682,13674,14095
1541248595,13674,14095
1541249552,13676,14097
1541250658,13674,14095
1541251474,13676,14097
1541252429,13672,14092
1541253389,13680,14101
1541254356,13682,14103
1541255064,13684,14105
1541255787,13688,14109
1541256505,13681,14103
1541257245,13687,14109
1541258193,13689,14111
1541259161,13692,14115
1541260097,13690,14112
1541261067,13690,14112
1541262014,13694,14117
1541262735,13689,14109
1541263699,13688,14108
1541264423,13680,14100
1541265155,13680,14099
1541266110,13686,14105
1541267076,13685,14104
1541267781,13690,14110
1541268519,13685,14102
1541269221,13683,14100
1541269962,13685,14103
1541270914,13688,14107
1541271885,13680,14096
1541272847,13685,14100
1541273797,13692,14109
1541274756,13694,14109
1541275721,13688,14103
1541276670,13687,14103
1541277630,13693,14109
1541278345,13687,14103
1541279069,13694,14111
1541279788,13690,14108
1541280516,13682,14101
1541281453,13680,14098
1541282435,13681,14100
1541283144,13680,14100
1541283891,13678,14097
1541284583,13681,14100
1541285301,13683,14102
1541285907,13684,14104
1541286732,13682,14102
1541287452,13683,14104
1541288412,13684,14110
1541289140,13689,14114
1541289859,13665,14088
1541290573,13654,14078
1541291292,13657,14081
1541292008,13646,14072
1541292731,13642,14068
1541293457,13684,14110
1541294176,13671,14097
1541294892,13676,14102
1541295613,13668,14094
1541296340,13666,14092
1541297314,13669,14095
1541298259,13670,14096
1541299212,13670,14097
1541300206,13660,14087
1541301167,13664,14091
1541302120,13666,14092
1541303053,13671,14097
1541304038,13675,14101
1541304994,13681,14108
1541305954,13678,14105
1541306648,13677,14104
1541307382,13683,14109
1541308092,13688,14114
1541308816,13689,14115
1541309812,13695,14122
1541310736,13692,14119
1541311717,13696,14121
1541312653,13696,14121
1541313639,13698,14123
1541314343,13701,14126
1541315079,13694,14120
1541315806,13692,14117
1541316761,13691,14116
1541317704,13693,14119
1541318665,13693,14119
1541319614,13698,14125
1541320343,13697,14125
1541321054,13698,14126
1541322030,13703,14132
1541322730,13704,14133
1541323471,13706,14135
1541324433,13712,14141
1541325144,13713,14143
1541325870,13699,14128
1541326587,13702,14131
1541327311,13707,14136
1541328269,13712,14140
1541329232,13717,14144
1541330199,13719,14146
1541331155,13721,14149
1541331864,13730,14159
1541332584,13727,14156
1541333310,13724,14153
1541334039,13728,14157
1541334752,13727,14156
1541335472,13728,14157
1541336182,13728,14157
1541336921,13722,14150
1541338015,13725,14154
1541338834,13724,14152
1541339542,13724,14152
1541340278,13726,14154
1541340990,13722,14151
1541341705,13722,14151
1541342424,13727,14156
1541343147,13726,14155
1541343868,13721,14150
1541344589,13725,14154
1541345556,13729,14157
1541346262,13714,14134
1541346987,13710,14130
1541347999,13713,14133
1541348649,13709,14129
1541349613,13710,14130
1541350327,13705,14128
1541351056,13715,14138
1541351778,13708,14131
1541352490,13713,14140
1541353456,13711,14137
1541354165,13714,14139
1541354894,13712,14134
1541355611,13718,14141
1541356362,13716,14137
1541357064,13712,14133
1541357796,13714,14134
1541358489,13718,14138
1541359211,13711,14131
1541359949,13706,14125
1541360657,13705,14123
1541361368,13705,14123
1541362094,13705,14122
1541362807,13702,14122
1541363544,13694,14112
1541364248,13698,14120
1541364988,13696,14114
1541365954,13701,14119
1541366907,13705,14122
1541367868,13709,14126
1541368837,13708,14125
1541369779,13711,14128
1541370738,13715,14131
1541371449,13711,14127
1541372175,13707,14125
1541373143,13701,14116
1541374097,13697,14113
1541375057,13695,14113
1541376049,13693,14112
1541376986,13701,14121
1541377713,13696,14114
1541378673,13702,14122
1541379627,13700,14116
1541380596,13682,14096
1541381558,13655,14066
1541382264,13662,14073
1541383237,13661,14074
1541384188,13661,14073
1541385142,13653,14068
1541385849,13664,14079
1541386588,13660,14075
1541387555,13657,14070
1541388512,13652,14063
1541389474,13652,14061
1541390439,13657,14065
1541391398,13658,14066
1541392363,13653,14061
1541393795,13654,14062
1541394506,13657,14065
1541395229,13659,14068
1541396194,13659,14067
1541397151,13661,14068
1541398119,13667,14076
1541399069,13676,14085
1541400028,13679,14089
1541400989,13678,14088
1541401957,13680,14092
1541402916,13690,14102
1541403869,13689,14100
1541404853,13697,14108
1541405795,13703,14114
1541406751,13708,14119
1541407465,13707,14118
1541408187,13708,14119
1541409157,13708,14119
1541409866,13711,14121
1541410829,13715,14123
1541411791,13712,14118
1541412756,13717,14123
1541413711,13715,14121
1541414668,13712,14119
1541415638,13714,14123
1541416579,13720,14128
1541417535,13719,14127
1541418510,13715,14123
1541419497,13715,14124
1541420435,13717,14126
1541421396,13716,14126
1541422347,13714,14125
1541423319,13707,14118
1541424267,13706,14116
1541425379,13711,14121
1541426212,13704,14115
1541427157,13712,14123
1541427865,13714,14125
1541428594,13712,14123
1541429302,13712,14124
1541430034,13716,14128
1541430994,13724,14136
1541431955,13725,14137
1541432912,13727,14138
1541433880,13745,14159
1541434832,13748,14162
1541435793,13749,14163
1541436756,13755,14169
1541437719,13743,14157
1541438667,13717,14128
1541439630,13702,14114
1541440591,13704,14116
1541441562,13701,14112
1541442509,13702,14111
1541443474,13702,14115
1541444433,13700,14113
1541445150,13694,14106
1541445874,13701,14115
1541446585,13708,14123
1541447305,13717,14131
1541448280,13720,14134
1541449227,13722,14137
1541450194,13721,14136
1541451152,13718,14131
1541452119,13712,14127
1541453069,13712,14127
1541454031,13709,14126
1541454993,13711,14128
1541455955,13709,14127
1541456664,13707,14127
1541457392,13710,14131
1541458092,13706,14127
1541459086,13701,14122
1541460013,13706,14127
1541460731,13707,14129
1541461458,13701,14122
1541462166,13707,14129
1541462917,13700,14120
1541463892,13698,14116
1541464583,13694,14113
1541465300,13701,14120
1541466273,13704,14121
1541467219,13707,14124
1541468179,13698,14116
1541469146,13709,14128
1541470121,13698,14113
1541471070,13693,14107
1541472034,13695,14109
1541472995,13692,14107
1541473960,13698,14113
1541474664,13701,14115
1541475395,13699,14113
1541476103,13703,14117
1541476839,13702,14116
1541477782,13710,14121
1541478738,13714,14128
1541479697,13717,14131
1541480678,13718,14131
1541481637,13726,14138
1541482578,13730,14143
1541483538,13728,14143
1541484525,13727,14142
1541485471,13726,14143
1541486434,13725,14145
1541487390,13719,14140
1541488359,13715,14135
1541489314,13711,14130
1541490023,13708,14127
1541490746,13707,14126
1541491470,13706,14125
1541492432,13707,14127
1541493397,13710,14131
1541494355,13711,14132
1541495781,13713,14136
1541496742,13711,14135
1541497449,13713,14135
1541498191,13715,14136
1541499160,13712,14134
1541500118,13715,14136
1541501057,13708,14127
1541502023,13709,14128
1541502730,13712,14131
1541503452,13714,14131
1541504168,13715,14132
1541504899,13716,14133
1541505902,13714,14130
1541506830,13712,14128
1541507540,13717,14134
1541508249,13721,14138
1541508967,13719,14136
1541509724,13714,14131
1541510673,13712,14128
1541511630,13715,14131
1541512750,13715,14131
1541513557,13717,14133
1541514264,13723,14139
1541514987,13724,14140
1541515709,13722,14138
1541516441,13723,14139
1541517380,13737,14153
1541518343,13740,14158
1541519050,13745,14163
1541519772,13746,14164
1541520777,13746,14164
1541521450,13748,14166
1541522176,13748,14166
1541523143,13749,14168
1541524121,13737,14155
1541525068,13745,14166
1541525800,13745,14166
1541526519,13740,14162
1541527480,13738,14162
1541528440,13739,14164
1541529150,13735,14162
1541529879,13738,14166
1541530835,13744,14173
1541531533,13744,14174
1541532503,13738,14168
1541533454,13744,14177
1541534435,13742,14176
1541535402,13747,14180
1541536356,13747,14178
1541537326,13743,14177
1541538042,13744,14176
1541538979,13747,14181
1541539942,13744,14178
1541540900,13731,14163
1541541874,13725,14156
1541542815,13722,14153
1541543534,13715,14143
1541544254,13714,14142
1541544969,13718,14146
1541545720,13716,14143
1541546667,13719,14148
1541547632,13721,14151
1541548610,13720,14150
1541549305,13717,14147
1541550034,13713,14142
1541550754,13714,14144
1541551360,13721,14151
1541552089,13727,14157
1541553098,13726,14156
1541554092,13724,14153
1541555073,13721,14149
1541556037,13724,14152
1541556731,13722,14150
