DateTime,AddedIPs,RemovedIPs
1541245713,75,34
1541246699,33,64
1541247682,68,62
1541248595,53,63
1541249552,61,92
1541250658,95,75
1541251474,70,51
1541252429,68,47
1541253389,60,72
1541254356,71,77
1541255064,58,81
1541255787,94,77
1541256505,68,87
1541257245,108,67
1541258193,63,68
1541259161,64,91
1541260097,79,76
1541261067,86,58
1541262014,64,56
1541262735,45,61
1541263699,65,92
1541264423,70,42
1541265155,45,72
1541266110,85,72
1541267076,73,102
1541267781,105,81
1541268519,82,32
1541269221,29,51
1541269962,57,52
1541270914,49,58
1541271885,61,57
1541272847,56,54
1541273797,49,49
1541274756,51,63
1541275721,59,35
1541276670,42,47
1541277630,48,77
1541278345,63,53
1541279069,62,58
1541279788,60,69
1541280516,77,52
1541281453,44,56
1541282435,63,41
1541283144,32,57
1541283891,52,72
1541284583,64,78
1541285301,88,91
1541285907,93,32
1541286732,34,192
1541287452,155,53
1541288412,80,50
1541289140,40,55
1541289859,49,43
1541290573,39,78
1541291292,69,71
1541292008,67,46
1541292731,57,50
1541293457,44,40
1541294176,31,41
1541294892,39,43
1541295613,48,43
1541296340,56,57
1541297314,54,30
1541298259,45,94
1541299212,81,107
1541300206,97,97
1541301167,99,47
1541302120,41,49
1541303053,40,65
1541304038,60,54
1541304994,65,58
1541305954,55,70
1541306648,52,46
1541307382,50,40
1541308092,41,52
1541308816,46,35
1541309812,35,70
1541310736,66,58
1541311717,62,35
1541312653,38,63
1541313639,67,29
1541314343,20,50
1541315079,39,88
1541315806,92,69
1541316761,90,50
1541317704,55,69
1541318665,61,81
1541319614,92,58
1541320343,52,31
1541321054,35,69
1541322030,70,45
1541322730,40,93
1541323471,86,49
1541324433,75,56
1541325144,47,72
1541325870,57,46
1541326587,62,87
1541327311,108,39
1541328269,50,56
1541329232,58,76
1541330199,76,70
1541331155,63,43
1541331864,56,59
1541332584,46,44
1541333310,41,52
1541334039,56,51
1541334752,49,42
1541335472,40,64
1541336182,68,62
1541336921,45,31
1541338015,57,87
1541338834,85,41
1541339542,45,47
