DateTime,Entries,UniqueIPs
1541245713,8324,8324
1541246699,8293,8293
1541247682,8299,8299
1541248595,8289,8289
1541249552,8258,8258
1541250658,8278,8278
1541251474,8297,8297
1541252429,8318,8318
1541253389,8306,8306
1541254356,8300,8300
1541255064,8277,8277
1541255787,8294,8294
1541256505,8275,8275
1541257245,8316,8316
1541258193,8311,8311
1541259161,8284,8284
1541260097,8287,8287
1541261067,8315,8315
1541262014,8323,8323
1541262735,8307,8307
1541263699,8280,8280
1541264423,8308,8308
1541265155,8281,8281
1541266110,8294,8294
1541267076,8265,8265
1541267781,8289,8289
1541268519,8339,8339
1541269221,8317,8317
1541269962,8322,8322
1541270914,8313,8313
1541271885,8317,8317
1541272847,8319,8319
1541273797,8319,8319
1541274756,8307,8307
1541275721,8331,8331
1541276670,8326,8326
1541277630,8297,8297
1541278345,8307,8307
1541279069,8311,8311
1541279788,8302,8302
1541280516,8327,8327
1541281453,8315,8315
1541282435,8337,8337
1541283144,8312,8312
1541283891,8292,8292
1541284583,8278,8278
1541285301,8275,8275
1541285907,8336,8336
1541286732,8178,8178
1541287452,8280,8280
1541288412,8310,8310
1541289140,8295,8295
1541289859,8301,8301
1541290573,8262,8262
1541291292,8260,8260
1541292008,8281,8281
1541292731,8288,8288
1541293457,8292,8292
1541294176,8282,8282
1541294892,8278,8278
1541295613,8283,8283
1541296340,8282,8282
1541297314,8306,8306
1541298259,8257,8257
1541299212,8231,8231
1541300206,8231,8231
1541301167,8283,8283
1541302120,8275,8275
1541303053,8250,8250
1541304038,8256,8256
1541304994,8263,8263
1541305954,8248,8248
1541306648,8254,8254
1541307382,8264,8264
1541308092,8253,8253
1541308816,8264,8264
1541309812,8229,8229
1541310736,8237,8237
1541311717,8264,8264
1541312653,8239,8239
1541313639,8277,8277
1541314343,8247,8247
1541315079,8198,8198
1541315806,8221,8221
1541316761,8261,8261
1541317704,8247,8247
1541318665,8227,8227
1541319614,8261,8261
1541320343,8282,8282
1541321054,8248,8248
1541322030,8273,8273
1541322730,8220,8220
1541323471,8257,8257
1541324433,8276,8276
1541325144,8251,8251
1541325870,8262,8262
1541326587,8237,8237
1541327311,8306,8306
1541328269,8300,8300
1541329232,8282,8282
1541330199,8288,8288
1541331155,8308,8308
1541331864,8305,8305
1541332584,8307,8307
1541333310,8296,8296
1541334039,8301,8301
1541334752,8308,8308
1541335472,8284,8284
1541336182,8290,8290
1541336921,8304,8304
1541338015,8274,8274
1541338834,8318,8318
1541339542,8316,8316
1541340278,8314,8314
1541340990,8312,8312
1541341705,8314,8314
1541342424,8300,8300
1541343147,8318,8318
1541343868,8331,8331
1541344589,8351,8351
1541345556,8322,8322
1541346262,8332,8332
1541346987,8353,8353
1541347999,8305,8305
1541348649,8323,8323
1541349613,8326,8326
1541350327,8332,8332
1541351056,8308,8308
1541351778,8349,8349
1541352490,8357,8357
1541353456,8322,8322
1541354165,8333,8333
1541354894,8361,8361
1541355611,8374,8374
1541356362,8342,8342
1541357064,8341,8341
1541357796,8384,8384
1541358489,8364,8364
1541359211,8372,8372
1541359949,8354,8354
1541360657,8372,8372
1541361368,8364,8364
1541362094,8343,8343
1541362807,8346,8346
1541363544,8223,8223
1541364248,8335,8335
1541364988,8305,8305
1541365954,8330,8330
1541366907,8305,8305
1541367868,8301,8301
1541368837,8290,8290
1541369779,8291,8291
1541370738,8302,8302
1541371449,8283,8283
1541372175,8271,8271
1541373143,8266,8266
1541374097,8295,8295
1541375057,8260,8260
1541376049,8305,8305
1541376986,8237,8237
1541377713,8293,8293
1541378673,8305,8305
1541379627,8271,8271
1541380596,8304,8304
1541381558,8248,8248
1541382264,8273,8273
1541383237,8265,8265
1541384188,8280,8280
1541385142,8252,8252
1541385849,8243,8243
1541386588,8234,8234
1541387555,8240,8240
1541388512,8241,8241
