DateTime,AddedIPs,RemovedIPs
1540430161,0,2
1540432609,0,2
1540434948,1,0
1540437277,0,2
1540438558,1,0
1540440932,1,0
1540443410,1,0
1540446190,0,1
1540451683,0,1
1540453249,2,1
1540455285,0,1
1540456491,4,0
1540461395,1,0
1540464186,0,1
1540469020,1,0
1540471360,0,2
1540476412,1,0
1540478584,1,0
1540481677,1,20
1540483843,0,2
1540487449,1,1
1540490108,2,0
1540492983,0,2
1540494953,1,3
1540496567,0,2
1540497765,0,1
1540499387,0,1
1540502989,1,1
1540505792,3,1
1540507378,1,1
1540508746,1,1
1540514141,0,1
1540518196,0,3
1540519878,0,2
1540521791,1,0
1540523152,0,1
1540524614,0,1
1540529000,1,0
1540529818,1,0
1540530903,1,0
1540532156,0,1
1540534480,1,0
1540539847,2,0
1540541760,1,0
1540546980,1,0
1540548647,1,1
1540551399,1,1
1540553417,0,1
1540554640,1,0
1540556099,0,1
1540558132,1,1
1540561363,2,0
1540565573,1,0
1540566898,1,0
1540567799,0,6
1540571461,1,0
1540573170,3,0
1540575478,1,1
1540577456,2,1
1540580194,1,0
1540582214,1,1
1540588489,2,0
1540589341,1,0
1540590936,2,0
1540592087,0,2
1540593019,0,1
1540594244,0,1
1540596994,0,2
1540599289,0,1
1540602896,1,0
1540605414,0,2
1540608165,2,0
1540610174,1,1
1540611811,0,1
1540613703,1,0
1540618537,1,0
1540620875,2,0
1540624014,0,1
1540628071,1,0
1540629791,1,0
1540631683,0,1
1540635272,1,0
1540636540,1,0
1540640586,2,0
1540647659,2,0
1540648881,0,2
1540649675,1,0
1540650541,1,0
1540652217,0,1
1540654186,0,6
1540658565,2,2
1540659948,1,1
1540661135,1,0
1540662996,2,1
1540665378,1,1
1540667693,2,0
1540668535,1,0
1540670201,2,0
1540672193,0,1
1540676565,2,2
1540679343,8,0
1540681017,6,1
1540682085,0,1
1540684600,1,0
1540688195,1,0
1540698180,2,0
1540700159,0,1
1540701005,1,1
1540704594,0,1
1540706754,1,1
1540708973,4,0
1540710661,0,1
1540711810,1,1
1540713944,1,0
1540715428,0,1
1540721760,2,1
1540723382,1,0
1540728357,1,1
1540731854,1,0
1540733327,3,0
1540735200,0,1
1540737331,0,1
1540738612,1,0
1540740949,0,6
1540744977,0,3
1540746631,1,0
1540748132,0,1
1540749939,1,0
1540751749,1,0
1540752941,1,0
1540754083,0,1
1540755378,0,1
1540757145,1,0
1540759366,1,2
1540761354,0,2
1540764349,5,0
1540765853,2,0
1540768503,1,0
1540769425,1,0
1540770159,1,0
1540772150,1,0
1540773771,1,0
1540774620,2,0
1540779346,1,2
1540780883,0,1
1540782649,0,1
1540785946,6,0
1540787498,0,1
1540795374,1,0
1540798627,0,1
1540802449,3,0
1540803757,0,3
1540804893,1,0
1540806161,1,1
1540809100,1,0
1540810551,1,1
1540811745,1,1
1540813557,4,1
1540815301,0,2
1540816675,1,1
1540818926,0,1
1540819818,1,0
1540823332,1,0
1540825844,6,0
1540827650,1,3
1540829676,2,1
1540830944,1,1
1540832135,1,0
1540833273,0,3
1540834415,1,0
1540835757,1,0
1540837800,0,2
1540838573,2,0
1540840246,0,1
1540844933,1,0
1540846154,0,1
