DateTime,Entries,UniqueIPs
1541024931,3449,3449
1541026531,3450,3450
1541027689,3456,3456
1541028546,3464,3464
1541030134,3455,3455
1541031343,3462,3462
1541032546,3461,3461
1541033996,3435,3435
1541035253,3456,3456
1541036745,3454,3454
1541037943,3459,3459
1541040173,3495,3495
1541041851,3517,3517
1541043345,3520,3520
1541043793,3519,3519
1541045162,3541,3541
1541046599,3553,3553
1541047895,3577,3577
1541049296,3618,3618
1541050127,3633,3633
1541050980,3637,3637
1541052345,3653,3653
1541053746,3687,3687
1541054588,3689,3689
1541056213,3755,3755
1541057337,3791,3791
1541058177,3784,3784
1541059556,3776,3776
1541061070,3781,3781
1541061775,3803,3803
1541063453,3811,3811
1541064532,3833,3833
1541065750,3823,3823
1541067044,3804,3804
1541068970,3784,3784
1541069805,3802,3802
1541070943,3809,3809
1541071735,3821,3821
1541073394,3801,3801
1541074551,3779,3779
1541075699,3776,3776
1541076166,3778,3778
1541077842,3795,3795
1541078935,3814,3814
1541080263,3828,3828
1541081444,3847,3847
1541082532,3876,3876
1541083375,3874,3874
1541085038,3886,3886
1541086982,3862,3862
1541088876,3866,3866
1541090151,3859,3859
1541091337,3868,3868
1541092475,3879,3879
1541094334,3885,3885
1541095537,3893,3893
1541097941,3956,3956
1541099441,3978,3978
1541100651,3989,3989
1541101998,4010,4010
1541103349,4025,4025
1541105804,4056,4056
1541106878,4057,4057
1541108446,4046,4046
1541109388,4052,4052
1541111334,4058,4058
1541114080,4026,4026
1541115772,4014,4014
1541116608,4034,4034
1541118535,4044,4044
1541119848,4043,4043
1541121046,4007,4007
1541122136,4027,4027
1541123431,4061,4061
1541124872,4060,4060
1541126589,4072,4072
1541128022,4066,4066
1541129343,4077,4077
1541130197,4052,4052
1541131002,4058,4058
1541132147,4104,4104
1541133336,4077,4077
1541135452,4052,4052
1541136642,4048,4048
1541137846,4068,4068
1541139047,4049,4049
1541140135,4071,4071
1541141736,4082,4082
1541142895,4049,4049
1541144059,4059,4059
1541144593,4064,4064
1541145405,4089,4089
1541146498,4109,4109
1541147405,4124,4124
1541148937,4178,4178
1541150081,4182,4182
1541151301,4185,4185
1541151794,4179,4179
1541153153,4173,4173
1541154544,4190,4190
1541156094,4192,4192
1541157341,4183,4183
1541158139,4207,4207
1541159405,4190,4190
1541160872,4175,4175
1541162447,4188,4188
1541163401,4208,4208
1541164492,4211,4211
1541166182,4188,4188
1541167012,4209,4209
1541168145,4192,4192
1541169334,4140,4140
1541170577,4137,4137
1541171669,4090,4090
1541173232,4038,4038
1541174226,4042,4042
1541175343,3986,3986
1541176849,3960,3960
1541178873,3957,3957
1541180145,3947,3947
1541181352,3978,3978
1541182544,3981,3981
1541183740,3962,3962
1541184897,3985,3985
1541186082,3971,3971
1541187347,3947,3947
1541188592,3945,3945
1541189741,3967,3967
1541190930,3954,3954
1541192191,3969,3969
1541194123,3954,3954
1541194983,3921,3921
1541196337,3912,3912
1541197917,3907,3907
1541199405,3940,3940
1541200550,3943,3943
1541202176,3944,3944
1541203000,3956,3956
1541204142,3930,3930
1541204941,3944,3944
1541205767,3921,3921
1541207448,3900,3900
1541208534,3913,3913
1541209374,3891,3891
1541210567,3886,3886
1541212263,3865,3865
1541212955,3870,3870
1541214681,3855,3855
1541214892,3861,3861
1541216156,3849,3849
1541218486,3848,3848
1541220050,3783,3783
1541221850,3754,3754
1541222080,3758,3758
1541223650,3743,3743
1541224594,3749,3749
1541225681,3713,3713
1541227370,3654,3654
1541228200,3670,3670
1541229345,3689,3689
1541231138,3696,3696
1541232344,3668,3668
1541233857,3670,3670
1541234582,3667,3667
1541236237,3671,3671
1541237428,3687,3687
1541238189,3694,3694
1541239541,3676,3676
1541243016,3667,3667
1541243681,3676,3676
1541245386,3653,3653
1541246198,3661,3661
1541247281,3655,3655
1541248532,3650,3650
1541249666,3678,3678
1541250937,3393,3393
1541252446,3371,3371
1541253394,3416,3416
1541255324,3439,3439
1541256167,3431,3431
1541258077,3433,3433
1541259766,3453,3453
1541260604,3475,3475
1541261204,3474,3474
1541262648,3481,3481
1541263352,3541,3541
1541264604,3547,3547
1541266590,3555,3555
1541267737,3564,3564
1541268939,3540,3540
1541270447,3490,3490
1541271437,3506,3506
1541272842,3485,3485
1541274042,3457,3457
1541274166,3450,3450
1541275026,3490,3490
1541276083,3486,3486
1541277645,3487,3487
1541278948,3470,3470
1541279671,3471,3471
1541281248,3480,3480
1541282201,3484,3484
1541284129,3481,3481
1541285311,3474,3474
1541286642,3450,3450
1541287848,3424,3424
1541289402,3443,3443
1541290549,3443,3443
1541292175,3424,3424
1541293002,3429,3429
1541294071,3402,3402
1541295334,3410,3410
1541296541,3439,3439
1541297745,3463,3463
1541299250,3479,3479
1541301047,3467,3467
1541302256,3430,3430
1541302993,3443,3443
1541304360,3454,3454
1541305739,3463,3463
1541307678,3475,3475
1541310047,3469,3469
1541311555,3447,3447
1541312753,3504,3504
1541313946,3480,3480
1541315453,3483,3483
1541317355,3475,3475
1541318204,3484,3484
1541319348,3392,3392
1541320984,3353,3353
1541322259,3370,3370
1541323731,3410,3410
1541325030,3434,3434
1541326264,3418,3418
1541327654,3517,3517
1541329843,3691,3691
1541330929,3718,3718
1541331795,3683,3683
1541332613,3687,3687
1541333743,3684,3684
1541334524,3691,3691
1541335804,3653,3653
1541337037,3649,3649
1541338125,3662,3662
1541340274,3637,3637
1541341732,3677,3677
1541343391,3735,3735
1541344476,3716,3716
1541346158,3750,3750
1541346999,3765,3765
1541348091,3776,3776
1541349770,3778,3778
1541351440,3761,3761
1541352652,3761,3761
1541354100,3788,3788
1541355272,3802,3802
1541356981,3813,3813
1541358412,3818,3818
1541359735,3829,3829
1541361339,3781,3781
1541362551,3795,3795
1541364185,3807,3807
1541366089,3830,3830
1541366932,3830,3830
1541367751,3835,3835
1541369668,3808,3808
1541372189,3809,3809
1541373286,3797,3797
1541374137,3810,3810
1541375747,3773,3773
1541376881,3768,3768
1541378147,3766,3766
1541379334,3754,3754
1541380550,3714,3714
1541382994,3713,3713
1541384082,3697,3697
1541384936,3706,3706
1541386224,3683,3683
1541387691,3655,3655
1541388534,3664,3664
1541390206,3668,3668
1541391287,3666,3666
1541393010,3635,3635
1541393813,3638,3638
1541394950,3614,3614
1541396589,3611,3611
1541397943,3613,3613
1541400940,3578,3578
1541402094,3573,3573
1541403010,3548,3548
1541403770,3554,3554
1541405077,3529,3529
1541406546,3555,3555
1541408149,3537,3537
1541409283,3538,3538
1541410722,3555,3555
1541411816,3581,3581
1541412873,3559,3559
1541414150,3563,3563
1541415414,3578,3578
1541416546,3566,3566
1541417341,3573,3573
1541418954,3563,3563
1541420095,3572,3572
1541420938,3580,3580
1541422594,3588,3588
1541423693,3557,3557
1541424937,3512,3512
1541425392,3506,3506
1541426203,3536,3536
1541427349,3543,3543
1541429143,3514,3514
1541430882,3499,3499
1541431727,3511,3511
1541432597,3447,3447
1541434481,3400,3400
1541436151,3363,3363
1541436991,3379,3379
1541438162,3360,3360
1541439752,3331,3331
1541441669,3330,3330
1541444076,3342,3342
1541445286,3309,3309
1541446983,3282,3282
1541447795,3295,3295
1541448940,3295,3295
1541450450,3308,3308
1541451401,3305,3305
1541452544,3297,3297
1541454049,3304,3304
1541454991,3327,3327
1541456140,3318,3318
1541457331,3301,3301
1541458532,3302,3302
1541459675,3292,3292
1541461379,3322,3322
1541462643,3319,3319
1541463811,3333,3333
1541465145,3320,3320
1541466880,3323,3323
1541468588,3308,3308
1541469402,3327,3327
1541470484,3338,3338
1541471760,3386,3386
1541472993,3416,3416
1541474146,3409,3409
1541475756,3408,3408
1541476607,3417,3417
1541477752,3396,3396
1541479297,3397,3397
1541481276,3415,3415
1541482982,3356,3356
1541484348,3364,3364
1541485624,3372,3372
1541487414,3346,3346
1541488551,3347,3347
1541490054,3348,3348
1541491005,3382,3382
1541492150,3363,3363
1541493759,3320,3320
1541494619,3362,3362
1541495752,3354,3354
1541497377,3231,3231
1541498196,3239,3239
1541499356,3074,3074
1541500145,3081,3081
1541501301,3059,3059
1541502873,3086,3086
1541505596,3080,3080
1541506483,3106,3106
1541507631,3090,3090
1541509845,3094,3094
1541510081,3097,3097
1541511417,3106,3106
1541512545,3045,3045
1541513680,3004,3004
1541516742,2968,2968
1541517946,2985,2985
1541519101,2946,2946
1541520305,2984,2984
1541522582,2978,2978
1541524247,2980,2980
1541525327,3005,3005
1541526154,2994,2994
1541527308,2969,2969
1541528925,3003,3003
1541530590,3017,3017
1541531748,3031,3031
1541532933,2993,2993
1541534144,3015,3015
1541535338,2987,2987
1541536436,2989,2989
1541537801,2996,2996
1541538945,2997,2997
1541539735,3007,3007
1541540581,2989,2989
1541541391,3002,3002
1541542541,2995,2995
1541544051,2986,2986
1541545846,3014,3014
1541547335,3018,3018
1541548580,3024,3024
1541549740,3017,3017
1541552197,3035,3035
1541553284,3024,3024
1541554988,3018,3018
1541556873,3034,3034
1541558446,3041,3041
1541559398,3053,3053
1541560549,3043,3043
1541561336,3061,3061
1541562176,3131,3131
1541564081,3212,3212
1541565801,3253,3253
1541567451,3293,3293
1541569389,3300,3300
1541570202,3312,3312
1541571295,3324,3324
1541572139,3343,3343
1541574649,3340,3340
1541576580,3388,3388
1541577780,3391,3391
1541579752,3459,3459
1541580958,3477,3477
1541582081,3480,3480
1541583634,3485,3485
1541584614,3492,3492
1541585749,3490,3490
1541587255,3486,3486
1541589050,3486,3486
1541589278,3488,3488
1541591437,3485,3485
1541591794,3487,3487
1541592880,3472,3472
1541594252,3482,3482
1541595354,3514,3514
1541596553,3482,3482
1541598054,3449,3449
1541599355,3437,3437
1541600463,3448,3448
1541600934,3454,3454
1541602596,3451,3451
1541603749,3447,3447
1541604541,3456,3456
1541606198,3452,3452
1541607347,3432,3432
1541608542,3415,3415
1541609740,3422,3422
1541610882,3426,3426
1541612558,3432,3432
1541613940,3440,3440
1541615441,3422,3422
1541616621,3436,3436
1541617848,3435,3435
1541619055,3433,3433
1541620298,3460,3460
1541620600,3461,3461
1541621743,3464,3464
1541623832,3526,3526
1541625277,3512,3512
1541626951,3528,3528
1541627790,3540,3540
1541628877,3547,3547
1541629730,3565,3565
1541631392,3600,3600
1541632538,3599,3599
1541633741,3589,3589
1541635539,3582,3582
1541636749,3621,3621
1541637768,3603,3603
1541638603,3625,3625
1541639751,3603,3603
1541640522,3746,3746
1541641787,3921,3921
1541643048,3907,3907
1541644966,3921,3921
1541646881,3906,3906
1541648051,3908,3908
1541649318,3914,3914
1541651333,3932,3932
1541652951,3938,3938
1541654076,3988,3988
1541654914,4021,4021
1541655767,4021,4021
1541656600,4054,4054
1541657750,4065,4065
1541658514,4098,4098
1541660155,4108,4108
1541661279,4092,4092
1541662130,4110,4110
1541663800,4113,4113
1541664901,4088,4088
1541666569,4067,4067
1541667407,4081,4081
1541668489,4098,4098
1541670153,4147,4147
1541670996,4177,4177
1541672074,4183,4183
1541672914,4191,4191
1541675689,4163,4163
