DateTime,Entries,UniqueIPs
1541019382,3772,3772
1541020523,3761,3761
1541021307,3770,3770
1541022162,3754,3754
1541024060,3754,3754
1541024907,3753,3753
1541026519,3745,3745
1541027672,3754,3754
1541028515,3762,3762
1541030120,3743,3743
1541031324,3731,3731
1541032526,3731,3731
1541033982,3728,3728
1541035227,3757,3757
1541036727,4063,4063
1541037925,4104,4104
1541040159,4287,4287
1541041830,4407,4407
1541043324,4455,4455
1541043778,4496,4496
1541045129,4601,4601
1541046526,4635,4635
1541047870,4725,4725
1541049270,4784,4784
1541050106,4819,4819
1541050957,4828,4828
1541052330,4837,4837
1541053714,4890,4890
1541054568,4881,4881
1541055890,4921,4921
1541057308,5001,5001
1541058162,4999,4999
1541059530,5005,5005
1541061750,5009,5009
1541063426,4996,4996
1541064512,5013,5013
1541065727,4997,4997
1541067024,5001,5001
1541068111,5011,5011
1541069780,4995,4995
1541070923,4991,4991
1541071702,5317,5317
1541073379,5321,5321
1541074527,5284,5284
1541075680,5247,5247
1541076153,5219,5219
1541077825,5185,5185
1541078913,5219,5219
1541080245,5158,5158
1541081423,5113,5113
1541082509,5127,5127
1541083361,5115,5115
1541085022,5123,5123
1541086961,5113,5113
1541088859,5104,5104
1541090133,5089,5089
1541091321,5103,5103
1541092457,5096,5096
1541094319,5082,5082
1541095521,5156,5156
1541097925,5235,5235
1541099418,5281,5281
1541100631,5302,5302
1541101986,5335,5335
1541103325,5346,5346
1541105784,5360,5360
1541106861,5357,5357
1541108425,5350,5350
1541109376,5365,5365
1541111311,5401,5401
1541114062,5395,5395
1541114909,5398,5398
1541116580,5381,5381
1541118517,5369,5369
1541119824,5343,5343
1541121027,5326,5326
1541122106,5335,5335
1541123419,5286,5286
1541124859,5289,5289
1541126573,5279,5279
1541128002,5282,5282
1541129307,5291,5291
1541130984,5278,5278
1541132126,5281,5281
1541133321,5277,5277
1541135432,5280,5280
1541136626,5276,5276
1541137826,5300,5300
1541139024,5303,5303
1541140106,5318,5318
1541141715,5328,5328
1541142868,5322,5322
1541144026,5306,5306
1541144573,5304,5304
1541145383,5313,5313
1541146473,5313,5313
1541147317,5316,5316
1541148922,5320,5320
1541150061,5320,5320
1541151287,5318,5318
1541151770,5319,5319
1541153136,5339,5339
1541154511,5358,5358
1541156080,5355,5355
1541157320,5346,5346
1541158109,5355,5355
1541159380,5345,5345
1541160860,5358,5358
1541162427,5360,5360
1541163383,5359,5359
1541164473,5365,5365
1541166161,5360,5360
1541166992,5367,5367
1541168123,5362,5362
1541169321,5373,5373
1541170565,5374,5374
1541171657,5363,5363
1541173219,5345,5345
1541174177,5352,5352
1541175321,5359,5359
1541176823,5348,5348
1541178856,5354,5354
1541180127,5358,5358
1541181327,5362,5362
1541182525,5365,5365
1541183723,5354,5354
1541184883,5367,5367
1541186064,5358,5358
1541187334,5345,5345
1541188580,5357,5357
1541189719,5359,5359
1541190918,5346,5346
1541192178,5369,5369
1541194105,5378,5378
1541194965,5373,5373
1541196320,5387,5387
1541197904,5391,5391
1541199386,5403,5403
1541200531,5406,5406
1541202156,5407,5407
1541202985,5420,5420
1541204914,5429,5429
1541205754,5362,5362
1541207424,5324,5324
1541208502,5341,5341
1541209360,5219,5219
1541210546,5173,5173
1541212245,5110,5110
1541212941,5120,5120
1541214661,5014,5014
1541214866,5015,5015
1541216139,4950,4950
1541218467,4823,4823
1541220030,4701,4701
1541221828,4573,4573
1541222061,4573,4573
1541223628,4490,4490
1541224581,4465,4465
1541225662,4409,4409
1541227355,4306,4306
1541228181,4307,4307
1541229325,4061,4061
1541231121,4067,4067
1541232325,4066,4066
1541233834,4062,4062
1541234567,4064,4064
1541236220,4071,4071
1541237412,4060,4060
1541238164,4059,4059
1541239525,4064,4064
1541242983,3739,3739
1541243664,3745,3745
1541245367,3722,3722
1541246179,3726,3726
1541247258,3728,3728
1541248519,3695,3695
1541249653,3707,3707
1541250921,3696,3696
1541252426,3685,3685
1541253380,3690,3690
1541255305,3684,3684
1541256155,3663,3663
1541258061,3670,3670
1541259754,3653,3653
1541260579,3662,3662
1541261187,3651,3651
1541262626,3639,3639
1541263340,3643,3643
1541264541,3635,3635
1541266563,3638,3638
1541267691,3648,3648
1541268920,3644,3644
1541270429,3629,3629
1541271418,3646,3646
1541272818,3636,3636
1541274152,3617,3617
1541275006,3625,3625
1541276060,3623,3623
1541277627,3632,3632
1541279658,3635,3635
1541281227,3604,3604
1541282177,3610,3610
1541284111,3611,3611
1541285286,3598,3598
1541286613,3603,3603
1541287825,3590,3590
1541289380,3604,3604
1541290530,3603,3603
1541292156,3607,3607
1541292982,3611,3611
1541294059,3602,3602
1541295320,3602,3602
1541296523,3601,3601
1541297726,3600,3600
1541299229,3597,3597
1541301021,3595,3595
1541302239,3591,3591
1541302976,3587,3587
1541304331,3590,3590
1541305714,3602,3602
1541307581,3554,3554
1541308840,3553,3553
1541310028,3530,3530
1541311528,3510,3510
1541312734,3516,3516
1541313923,3487,3487
1541315430,3480,3480
1541316513,3496,3496
1541317341,3492,3492
1541318184,3502,3502
1541319329,3488,3488
1541320969,3456,3456
1541322219,3456,3456
1541323708,3480,3480
1541325018,3458,3458
1541326241,3453,3453
1541327641,3446,3446
1541329828,3445,3445
1541330909,3456,3456
1541332590,3416,3416
1541333720,3406,3406
1541334502,3416,3416
1541335784,3403,3403
1541337020,3391,3391
1541338107,3400,3400
1541340249,3409,3409
1541341708,3421,3421
1541343378,3423,3423
1541344458,3413,3413
1541346140,3410,3410
1541346981,3414,3414
1541348067,3422,3422
1541349758,3447,3447
1541351428,3476,3476
1541352624,3481,3481
1541354088,3491,3491
1541355258,3492,3492
1541356965,3499,3499
1541358398,3494,3494
1541359712,3504,3504
1541361322,3500,3500
1541362537,3497,3497
1541364167,3491,3491
1541366065,3516,3516
1541366913,3527,3527
1541367738,3517,3517
1541369656,3513,3513
1541372177,3559,3559
1541373265,3566,3566
1541374122,3580,3580
1541375725,3577,3577
1541376863,3587,3587
1541378133,3566,3566
1541379319,3570,3570
1541380534,3573,3573
1541382980,3587,3587
1541384904,3588,3588
1541386207,3585,3585
1541387662,3580,3580
1541388511,3586,3586
1541390185,3577,3577
1541391264,3578,3578
1541392943,3573,3573
1541393785,3579,3579
1541394925,3585,3585
1541396562,3585,3585
1541397918,3587,3587
1541400926,3592,3592
1541402065,3589,3589
1541402919,3602,3602
1541403747,3596,3596
1541405044,3584,3584
1541406518,3602,3602
1541408134,3598,3598
1541409263,3594,3594
1541410690,3590,3590
1541411792,3606,3606
1541412860,3602,3602
1541414129,3619,3619
1541415382,3626,3626
1541417306,3629,3629
1541418921,3620,3620
1541420082,3618,3618
