DateTime,AddedIPs,RemovedIPs
1538307770,1,0
1538343762,0,1
1538346658,1,1
1538348141,0,1
1538352655,0,1
1538381681,0,1
1538390009,1,1
1538393560,1,1
1538394712,1,0
1538401360,1,0
1538441743,1,0
1538450092,1,0
1538455381,0,1
1538461729,1,0
1538469775,1,0
1538475348,0,1
1538482195,1,0
1538489744,1,0
1538493287,1,0
1538509357,1,0
1538545844,0,1
1538553342,0,1
1538561743,0,1
1538565274,2,0
1538567448,0,1
1538574520,2,0
1538589392,1,0
1538596365,0,1
1538611844,0,1
1538620548,0,1
1538649950,0,1
1538657444,1,0
1538658649,0,1
1538659729,1,0
1538667335,0,1
1538682165,0,1
1538704540,2,0
1538710215,0,1
1538720153,0,1
1538723689,0,1
1538734553,0,2
1538735739,1,0
1538741451,0,1
1538744676,1,2
1538746139,1,0
1538755001,0,1
1538756443,0,1
1538763286,1,0
1538766355,0,1
1538776240,1,0
1538782215,0,1
1538792089,0,1
1538794623,1,0
1538802950,0,1
1538815837,1,0
1538818956,0,2
1538822573,0,6
1538824476,1,0
1538830607,1,0
1538831745,0,1
1538835353,1,1
1538838212,1,1
1538839849,1,0
1538847765,1,0
1538849681,1,0
1538851836,0,1
1538853276,1,0
1538861444,1,0
1538884613,0,1
1538908981,0,1
1538910876,1,1
1538911784,1,1
1538916162,0,1
1538926957,1,0
1538928888,1,0
1538936086,0,1
1538946351,0,2
1538954086,2,0
1538966204,1,0
1538970149,0,1
1538971855,0,1
1538982656,1,0
1538984568,0,1
1538995358,3,0
1538996197,1,0
1539000892,0,2
1539002000,0,9
1539003943,0,1
1539011754,1,0
1539015054,0,2
1539018885,0,1
1539022555,1,0
1539027342,0,1
1539036877,1,0
1539039947,1,0
1539042166,1,0
1539058565,0,1
1539070981,0,1
1539078172,1,0
1539079550,1,1
1539081763,0,1
1539084946,4,0
1539095743,0,1
1539098991,0,1
1539102540,1,0
1539108877,1,0
1539124490,0,2
1539126895,1,0
1539128745,0,1
1539142860,0,1
1539143810,1,0
1539147946,1,0
1539164584,0,1
1539165770,0,4
1539170077,3,0
1539177051,1,0
1539182566,7,1
1539183959,3,0
1539187620,0,1
1539209756,1,0
1539236908,1,0
1539242081,0,1
1539255409,0,1
1539270956,4,0
1539274556,0,1
1539285292,1,0
1539301248,1,0
1539302862,0,1
1539313563,0,2
1539319252,2,0
1539337359,0,1
1539342877,1,0
1539348167,0,1
1539354542,3,0
1539356196,2,0
1539363344,1,0
1539398442,1,0
1539403851,0,1
1539404987,0,1
1539410210,1,0
1539416138,2,0
1539427356,0,6
1539428741,0,6
1539431145,0,1
1539441774,0,1
1539448566,0,1
1539459773,0,1
1539470574,0,2
1539480613,0,1
1539490258,1,0
1539493548,5,0
1539495003,0,1
1539499359,1,0
1539502558,1,0
1539505862,0,1
1539507946,0,2
1539511856,1,2
1539513257,0,1
1539513775,2,0
1539523789,0,1
1539528099,0,1
1539530224,0,1
1539540439,0,1
1539544595,1,0
1539552620,2,0
1539553359,3,0
1539566096,0,1
1539569717,0,1
1539573354,1,0
1539579397,1,0
1539581758,0,1
1539585796,1,0
1539587151,0,1
1539590641,1,0
1539598477,1,2
1539600160,6,1
1539601552,5,0
1539616488,1,0
1539620093,1,0
1539626206,1,1
1539628784,1,0
1539632209,1,0
1539633909,1,0
1539642944,0,1
1539645284,1,0
1539651341,0,1
1539657000,0,1
1539664134,0,1
1539667818,1,0
1539671754,1,0
1539673013,0,1
1539680144,1,0
1539684773,1,0
1539686082,0,1
1539690041,1,0
1539701820,1,0
1539702952,2,0
1539706253,1,0
1539716765,0,1
1539749111,0,1
1539754137,0,1
1539755801,1,0
1539759995,0,1
1539761442,1,0
1539763010,1,0
1539765022,3,0
1539766208,2,0
1539771300,0,1
1539787269,1,0
1539788760,1,0
1539790195,0,1
1539792948,1,1
1539806140,3,0
1539807350,3,0
1539808861,2,0
1539810001,0,1
1539816060,0,1
1539818161,1,0
1539833416,0,2
1539837005,0,1
1539838620,1,0
1539843288,0,1
1539845166,1,0
1539847738,1,1
1539850483,0,1
1539855561,0,3
1539871815,0,1
1539873003,0,2
1539894595,0,1
1539896210,0,1
1539898966,1,1
1539903350,0,1
1539912550,0,1
1539919825,0,1
1539921433,0,1
1539922482,0,1
1539926091,1,0
1539931425,0,1
1539934215,0,2
1539935809,0,1
1539937835,0,3
1539942179,2,0
1539944166,0,1
1539957004,1,0
1539964600,1,0
1539971142,1,0
1539989743,1,0
1540006963,0,1
1540008904,0,1
1540011962,2,0
1540016098,1,0
1540017662,0,1
1540019697,1,0
1540030260,0,2
1540032055,0,2
1540041352,0,1
1540048484,1,0
1540051848,1,0
1540057382,0,1
1540060548,0,1
1540062248,0,1
1540077314,0,1
1540089349,1,0
1540096855,1,1
1540097800,4,0
1540125792,0,8
1540127157,0,8
1540136568,0,1
1540138252,0,1
1540141002,0,3
1540157340,1,2
1540160133,0,1
1540165254,0,1
1540172475,0,1
1540175445,0,1
1540178099,0,1
1540184759,1,1
1540188666,0,2
1540189743,1,0
1540191051,0,1
1540199683,0,1
1540200621,1,0
1540207818,3,1
1540209405,15,0
1540210560,1,0
1540241994,2,1
1540244566,0,1
1540248166,1,0
1540251652,1,1
1540259767,1,0
1540266168,0,1
1540268108,0,2
1540273405,1,0
1540281013,0,1
1540287972,1,0
1540296003,0,1
1540299950,0,1
1540305089,0,2
1540308619,0,1
1540310133,1,0
1540326941,0,1
1540330480,0,1
1540331581,1,0
1540349811,1,0
1540354241,0,1
1540365377,0,1
1540368892,1,1
1540370246,0,1
1540373446,0,1
1540375723,4,1
1540377242,0,2
1540377789,0,1
1540379759,0,18
1540380614,0,1
1540402740,1,0
1540406453,0,1
1540409340,1,0
1540410641,1,0
1540411857,1,2
1540413787,1,0
1540415147,0,1
1540416342,1,0
1540417556,1,0
1540427761,0,1
1540433684,1,0
1540444561,1,0
1540446195,0,1
1540456498,1,0
1540465555,0,1
1540467095,0,3
1540476417,1,0
1540479955,0,1
1540481683,0,1
1540491277,2,1
1540492988,18,0
1540493811,4,0
1540502150,0,1
1540519893,0,1
1540523158,1,0
1540539852,0,1
1540546985,2,0
1540549823,0,1
1540551405,1,0
1540553428,1,0
1540554645,3,0
1540559456,1,0
1540577462,1,0
1540584880,1,0
1540586452,0,1
1540587590,0,1
1540613709,0,3
1540618543,1,0
1540635277,0,1
1540636545,0,1
1540638957,2,0
1540647674,0,2
1540654191,7,1
1540654970,1,0
1540658570,1,0
1540673799,2,0
1540674890,5,0
1540678504,1,0
1540683799,1,0
1540685686,1,0
1540694932,0,1
1540700164,0,1
1540702629,2,0
1540703765,0,1
