DateTime,AddedIPs,RemovedIPs
1541216134,4,4
1541217094,10,11
1541217813,6,3
1541218777,7,10
1541219493,7,4
1541220226,7,8
1541221175,4,4
1541221894,9,6
1541222613,2,10
1541223574,3,11
1541224534,5,5
1541225494,3,9
1541226214,11,8
1541226934,11,8
1541227894,9,3
1541228615,4,4
1541229333,12,4
1541230774,9,14
1541232214,17,13
1541233173,17,6
1541234134,15,3
1541235093,8,9
1541236055,5,6
1541237014,10,14
1541237974,17,10
1541238934,11,6
1541239893,2,7
1541240854,7,5
1541242295,11,15
1541243013,6,2
1541243734,13,2
1541244693,8,4
1541245653,6,6
1541246673,11,6
1541247633,5,8
1541248534,8,10
1541249494,10,6
1541250453,7,11
1541251413,8,5
1541252375,10,10
1541253336,11,6
1541254293,4,6
1541255014,5,2
1541255734,7,2
1541256453,4,5
1541257175,3,3
1541258133,5,7
1541259573,10,5
1541260536,15,14
1541261493,10,7
1541262214,6,5
1541263175,4,11
1541264134,5,8
1541265094,7,8
1541266054,5,9
1541267013,6,5
1541267737,3,7
1541268454,10,7
1541269173,12,10
1541269894,6,2
1541270853,8,8
1541271814,10,8
1541272773,7,9
1541273736,5,22
1541274694,13,6
1541275653,7,10
1541276613,8,4
1541277573,9,3
1541278294,9,9
1541279013,5,3
1541279733,5,9
1541280934,9,7
1541281654,8,11
1541282374,6,8
1541283094,5,6
1541283813,6,14
1541284534,6,7
1541286232,17,17
1541286933,9,7
1541287896,10,9
1541289441,10,13
1541290156,6,4
1541290735,5,4
1541291495,8,7
1541292439,8,4
1541293175,4,7
1541293894,4,1
1541294615,6,5
1541295813,15,14
1541297757,11,10
1541298697,7,15
1541299417,5,8
1541301099,16,13
1541302535,18,11
1541303271,2,4
1541303973,12,10
1541308315,19,38
1541308682,2,1
1541312140,14,19
1541312859,8,8
1541313574,7,7
1541314295,2,5
1541315015,7,6
1541315735,6,12
1541317173,12,13
1541318133,8,10
1541319093,4,18
1541319814,5,13
1541320533,5,4
1541321493,9,7
1541322453,9,5
1541323415,8,12
1541324375,7,16
1541325093,9,6
1541325813,6,5
1541326535,7,2
1541327254,6,5
1541328214,5,6
1541329175,10,10
1541330135,10,10
1541331094,10,10
1541331813,11,3
1541332533,1,12
1541333253,6,6
1541333973,4,2
1541334694,8,5
1541335413,11,5
1541336136,5,5
1541336853,3,6
1541337814,3,11
1541338774,8,8
1541339495,3,12
1541340213,2,3
1541340933,4,3
1541341654,3,6
1541342374,9,8
1541343093,8,5
1541343813,1,2
1541344533,6,4
1541345494,6,6
1541346213,7,5
1541346935,8,12
1541348373,15,16
1541349093,8,2
1541349813,2,4
1541350535,4,4
1541351494,7,7
1541352213,4,4
1541352933,9,4
1541353654,7,5
1541354375,8,5
1541355335,7,14
1541356294,7,11
1541357013,8,4
1541358214,9,9
1541358934,8,5
1541359654,6,5
1541360375,12,4
1541361094,7,8
1541361814,12,6
1541362533,2,5
1541363253,7,5
1541363973,7,7
1541364933,5,8
1541365895,8,8
1541366853,13,9
1541367813,8,5
1541369254,16,13
1541370213,9,7
1541371174,10,12
1541371905,7,6
1541372613,12,6
1541373574,12,12
1541374535,9,12
1541376454,16,10
1541377653,9,7
1541378631,8,13
1541379574,14,3
1541380534,13,7
1541381494,14,7
1541382215,10,11
1541383654,12,10
1541384615,8,5
1541385573,9,9
1541386534,10,2
1541387494,3,12
1541388453,12,6
1541389414,8,12
1541390387,8,9
1541391345,9,11
1541392776,19,4
1541393734,4,3
1541394457,6,1
1541395173,5,2
1541396133,11,3
1541397094,6,2
1541398053,5,9
1541399015,6,7
1541399973,6,6
1541400933,7,2
1541401894,7,9
1541402853,20,9
1541403813,18,8
1541404774,17,9
1541405733,16,5
1541406693,11,4
1541407413,12,5
1541408133,8,9
1541409096,11,8
1541409813,11,6
1541410773,7,7
1541411734,11,13
1541412694,6,10
1541413653,8,6
1541414614,11,6
1541416053,18,13
1541417013,9,19
1541417733,6,8
1541418454,8,8
1541419473,14,7
1541420374,4,6
1541421334,9,10
1541422293,6,11
1541423253,10,7
1541424213,11,3
1541425174,9,8
1541426133,10,4
1541427093,8,6
1541427815,8,3
1541428533,3,3
1541429253,3,14
1541429973,9,6
1541430935,8,5
1541431893,4,7
1541432853,12,9
1541433813,9,6
1541434774,11,12
1541435735,10,9
1541436696,5,4
1541437653,8,6
1541438614,9,7
1541439575,10,12
1541440535,11,8
1541441493,6,7
1541442454,10,6
1541443413,15,13
1541444373,8,5
1541445093,3,5
1541445814,6,4
1541446536,10,10
1541447255,11,10
1541448214,8,12
1541449174,13,8
1541450133,14,13
1541451093,8,8
1541452053,10,9
1541453014,6,11
1541453974,15,9
1541454933,11,17
1541455893,15,8
1541456615,7,10
1541457335,5,11
1541458081,3,7
1541459494,16,21
1541460215,6,12
1541460936,9,6
1541462854,16,21
1541463813,7,7
1541464533,11,3
1541465735,21,13
1541466694,6,17
1541467653,6,15
1541468615,7,13
1541470054,18,14
1541471014,14,6
1541471974,9,6
1541472937,10,11
1541473893,7,5
1541474614,7,11
1541475335,9,8
1541476054,5,6
1541477253,9,13
1541478215,15,8
1541479174,12,13
1541479782,6,2
1541480613,17,10
1541482053,15,13
1541483014,7,8
1541484454,16,16
1541485413,8,9
1541486373,15,9
1541487336,20,11
1541488293,34,13
1541489254,9,19
1541489975,9,17
1541490702,3,14
1541491415,8,16
1541492373,15,14
1541493334,14,12
1541494293,7,16
1541495253,8,13
1541496214,7,17
1541497174,13,9
1541498134,7,13
1541499093,12,8
1541500535,14,17
1541501515,10,14
1541502213,5,13
1541502935,6,5
1541504374,12,29
1541505336,16,15
1541506294,18,10
1541507014,4,6
1541507974,19,10
1541508694,12,5
1541509653,16,10
1541510613,15,15
1541511575,12,9
1541512533,4,9
1541513494,8,5
1541514213,8,6
1541514934,1,6
1541515654,7,3
1541516854,12,18
1541517813,13,9
1541518773,7,12
1541519494,11,12
1541520213,13,6
1541521173,16,13
1541521894,8,11
1541522614,2,11
1541523333,8,3
1541524055,5,7
1541525014,18,13
1541525734,10,7
1541526454,7,12
1541527413,7,7
1541528374,9,8
1541529094,10,12
1541529814,8,11
1541531254,14,11
1541531973,9,8
1541532934,13,9
1541533893,11,12
1541534613,11,8
1541535335,4,13
1541536293,7,7
1541537255,7,10
1541538453,11,15
1541539413,7,8
1541540374,13,12
1541541333,14,13
1541542293,10,14
1541543013,7,12
1541543733,15,6
1541544661,14,7
1541545654,12,19
1541546613,10,11
1541547574,11,13
1541548536,10,5
1541549255,11,7
1541549974,6,9
1541550693,9,8
1541551908,9,19
1541552496,1,10
1541553513,8,12
1541555013,24,13
1541556455,13,19
1541557174,6,7
1541557894,7,12
1541558614,3,9
1541559334,9,5
1541560293,24,10
1541561013,13,8
1541561733,18,7
1541562696,25,11
1541563653,26,8
1541564613,8,10
1541565576,7,13
1541566567,15,9
1541567734,7,24
1541568694,9,12
1541569653,12,9
1541570614,7,10
1541571573,20,6
1541572294,5,15
1541573014,7,9
1541573737,13,18
1541574454,11,10
1541575414,14,31
1541576374,14,8
1541577334,9,8
1541578295,7,12
1541579013,7,12
1541579736,7,12
1541580453,13,3
1541581173,12,6
1541582135,18,10
1541583094,10,10
1541583813,10,9
1541584533,14,7
1541585254,5,12
1541585974,5,6
1541586936,6,11
1541587894,9,12
1541588853,8,9
1541589814,5,11
1541590774,14,9
1541591736,7,16
1541592693,10,20
1541593654,10,12
1541594613,10,15
1541595575,7,19
1541596533,18,22
1541597494,269,10
1541598453,16,6
1541599414,11,10
1541600614,12,12
1541601574,12,6
1541602533,8,7
1541603494,9,12
1541604214,7,8
1541604934,9,7
1541605653,4,7
1541606435,7,13
1541607574,13,16
1541608533,13,8
1541609493,12,5
1541610453,11,8
1541611414,14,17
1541612374,19,11
1541613333,10,7
1541614293,12,9
1541615013,9,7
1541615734,4,10
1541616453,5,8
1541617174,7,8
1541618133,11,9
1541619093,16,14
1541619815,11,12
1541620536,11,8
1541621253,6,10
1541621974,10,4
1541622695,7,11
1541623413,8,5
1541624134,8,6
1541625333,17,13
1541626054,8,6
1541627014,5,15
1541628454,16,11
1541629413,13,11
1541630134,8,8
1541630855,11,13
1541631814,5,8
1541632773,9,11
1541633735,10,12
