DateTime,AddedIPs,RemovedIPs
1540637072,12,10
1540639114,9,18
1540641133,13,10
1540643056,10,11
1540644973,18,3
1540646912,13,8
1540648833,7,11
1540650742,9,5
1540652663,11,14
1540656557,15,12
1540658660,11,17
1540660587,11,8
1540662513,7,0
1540664408,10,4
1540666335,11,3
1540668253,16,16
1540670172,14,15
1540672088,12,7
1540674040,12,17
1540676181,15,15
1540678122,6,2
1540681959,10,30
1540683868,6,10
1540685787,17,7
1540687957,8,8
1540690118,8,10
1540692034,10,13
1540693938,9,21
1540695879,14,15
1540699724,7,26
1540701623,12,19
1540703561,11,13
1540705471,13,23
1540707377,13,12
1540709556,11,21
1540711495,10,0
1540715542,9,27
1540717469,14,17
1540719372,12,6
1540721312,16,5
1540723234,7,4
1540725157,0,18
1540727072,6,31
1540729003,10,10
1540731152,10,11
1540733072,15,9
1540734984,16,11
1540737137,17,10
1540739062,13,8
1540740991,14,6
1540742931,13,21
1540744813,13,11
1540749391,16,17
1540751297,7,16
1540753239,14,4
1540755140,13,14
1540757073,15,8
1540758973,15,10
1540760903,10,10
1540762813,19,0
1540764740,8,0
1540768582,17,9
1540770501,14,10
1540772413,14,13
1540774339,15,17
1540776276,12,0
1540778195,11,16
1540780112,8,21
1540782046,12,16
1540783956,16,19
1540788024,17,31
1540789940,17,22
1540791856,15,0
1540793799,21,22
1540795713,11,16
1540799556,8,28
1540801475,13,11
1540803657,11,18
1540805553,16,3
1540807464,15,0
1540809380,3,12
1540811321,10,16
1540813232,13,20
1540815401,14,18
1540817544,15,6
1540819452,17,22
1540821390,15,17
1540823316,9,13
1540825254,13,8
1540829082,14,43
1540831253,18,8
1540833163,11,19
1540835052,14,11
1540839153,13,30
1540841058,17,7
1540843240,14,19
1540847085,20,23
1540849222,14,3
1540851137,17,0
1540853066,18,25
1540854984,12,20
1540858851,14,21
1540860979,20,6
1540864843,15,22
1540866742,13,16
1540868677,16,6
1540870817,9,11
1540872746,12,0
1540874674,10,18
1540876578,16,7
1540878493,15,19
1540880431,17,0
1540882339,16,31
1540884259,15,25
1540890277,9,30
1540892435,10,9
1540894594,7,0
1540896492,5,4
1540898412,4,4
1540900353,20,14
1540902272,15,21
1540904168,12,19
1540906094,13,14
1540908023,9,12
1540909939,19,9
1540912119,14,19
1540914034,15,9
1540916004,15,9
1540918097,11,20
1540920271,13,0
1540922194,11,15
1540924127,12,2
1540926276,11,6
1540928204,12,9
1540930122,9,6
1540932035,9,0
1540933960,19,5
1540935872,12,22
1540937784,16,11
1540941615,10,21
1540943541,16,13
1540945470,13,0
1540949292,11,18
1540951234,11,12
1540953140,19,8
1540955063,14,15
1540956985,15,22
1540958918,12,14
1540960821,15,0
1540963002,12,32
1540964897,16,0
1540966831,24,20
1540968740,13,29
1540970670,21,0
1540972590,16,11
1540974490,19,0
1540976435,20,8
1540978348,14,0
1540980263,18,0
1540982182,8,13
1540984100,5,8
1540986014,12,11
1540987961,11,13
1540989877,16,0
1540992020,7,14
1540995870,19,10
1540997790,9,0
1540999719,12,3
1541001637,16,7
1541003557,11,5
1541005454,8,0
1541007388,12,13
1541009323,10,14
1541011228,17,3
1541013402,14,9
1541015298,18,4
1541017219,9,2
1541021088,21,19
1541023255,16,7
1541027066,19,9
1541028988,15,12
1541030916,14,8
1541032816,13,8
1541034739,11,7
1541036680,7,12
1541038583,11,12
1541040510,14,6
1541042424,14,5
1541044346,11,6
1541046257,10,16
1541048189,9,7
1541050093,14,15
1541052278,17,23
1541054416,10,13
1541056345,16,0
1541062097,21,37
1541064020,9,18
1541065938,10,7
1541067876,9,13
1541069769,8,16
1541071698,18,23
1541073658,16,21
1541075694,18,19
1541077695,16,17
1541079608,14,11
1541081542,12,17
1541083461,19,13
1541085380,11,14
1541087303,10,11
1541089221,15,0
1541091146,24,13
1541093054,22,0
1541095237,23,27
1541097380,17,11
1541099555,19,17
1541101452,11,9
1541103377,11,11
1541105542,11,15
1541107962,12,10
1541109864,11,16
1541112031,6,11
1541113935,18,7
1541115869,12,7
1541117781,11,8
1541119732,9,17
1541121617,10,19
1541123575,12,11
1541125458,13,14
1541127384,14,16
1541129540,14,0
1541131465,14,16
1541133392,12,0
1541135313,16,18
1541137220,12,12
1541139140,11,13
1541141070,24,20
1541142998,17,25
1541144907,13,18
1541146828,22,18
1541148736,19,24
1541150670,10,11
1541152593,9,16
1541154739,6,19
1541158838,18,40
1541160761,9,12
1541162656,18,17
1541164837,18,13
1541166755,15,27
1541168668,16,16
1541170596,12,14
1541172761,14,12
1541174965,18,37
1541176831,16,12
1541178756,23,15
1541180654,23,0
1541182596,16,31
1541184737,24,19
1541186666,29,19
1541188590,21,0
1541190738,25,21
1541192654,17,0
1541194584,20,11
1541196522,14,11
1541198435,18,0
1541200342,14,0
1541202253,15,11
1541204183,18,14
1541206099,26,17
1541208027,14,8
1541209955,21,15
1541211859,17,10
1541213787,20,0
1541217870,16,49
1541220016,12,15
1541223137,16,0
1541225061,21,18
1541226982,24,25
1541228893,22,0
1541230826,15,21
1541232739,20,22
1541234657,23,25
1541236581,9,15
1541238494,19,12
1541240412,12,11
1541242361,13,18
1541244253,27,17
1541246171,18,19
1541250017,19,34
1541251941,14,16
1541253868,18,8
1541255784,21,9
1541257694,21,17
1541259623,17,15
1541261593,20,17
1541263696,20,11
1541265613,16,0
1541267529,17,0
1541269450,22,16
1541271372,17,18
1541273293,13,12
1541275212,11,9
1541277137,17,0
1541279066,19,14
1541280994,13,12
1541282894,13,13
1541286729,27,15
1541288679,19,10
1541290570,21,5
1541292507,15,9
1541294407,9,9
1541296338,20,7
1541298256,19,24
1541300203,22,7
1541302117,18,8
1541304035,21,0
1541305951,18,15
1541307873,13,6
1541309809,19,23
1541311714,14,10
1541313632,23,20
1541315803,12,22
1541317701,7,8
1541319611,22,11
1541321577,22,15
1541323468,10,6
1541325624,14,5
1541327786,9,8
1541329695,12,19
1541331608,10,16
1541333535,19,20
1541335469,13,14
1541337382,25,9
1541339292,30,15
1541341214,16,13
1541343144,26,22
1541345057,18,19
1541348896,23,24
1541350819,18,11
1541352735,9,21
1541354656,14,12
1541356815,10,12
1541358732,13,13
1541360654,15,7
1541362586,13,14
1541364497,21,0
1541366416,9,12
1541368335,20,6
1541370268,19,12
1541372172,19,19
1541374094,12,9
1541376045,10,18
1541378182,12,12
1541380109,11,12
1541382018,16,14
1541384185,21,15
1541386091,15,13
1541388026,16,13
1541389934,17,8
1541391855,14,18
1541393792,10,11
1541395701,10,0
1541397612,17,19
1541399535,23,0
1541401456,12,17
1541403382,13,19
1541405294,14,15
1541407213,17,16
1541409154,8,11
1541411050,19,4
1541413209,5,11
1541415136,7,15
1541417068,21,0
1541418978,18,8
1541420890,16,19
1541422818,16,19
1541424737,18,15
1541426662,16,11
1541428591,14,12
1541430497,6,12
1541432411,19,9
1541434379,17,15
1541436251,19,18
1541438184,12,13
1541440090,15,0
1541442021,13,11
1541443933,21,10
1541445871,13,7
1541447773,11,14
1541449699,21,17
1541451627,9,18
1541453542,14,14
1541455461,12,16
1541457389,10,22
1541459552,20,11
1541461455,19,15
1541463389,24,16
1541465297,22,8
1541467216,21,24
1541469143,15,18
1541471068,21,0
1541472992,12,13
1541474886,14,24
1541476836,19,14
1541478735,13,11
1541480675,13,16
1541482576,12,9
1541484522,14,16
1541486431,26,21
1541488356,12,10
1541490250,18,10
1541492429,15,14
1541494352,16,25
1541496271,20,16
1541498188,23,9
1541500115,6,7
1541502020,7,16
1541503959,16,21
1541505900,11,16
1541508031,16,0
1541510184,17,20
1541512090,10,19
1541514006,21,18
1541515929,13,13
1541517869,11,9
1541519768,11,18
1541521687,18,19
1541523620,14,16
1541525797,14,31
1541527938,8,0
1541529876,10,27
1541532047,7,19
1541533954,15,17
1541535849,21,20
1541538038,10,24
1541539939,21,15
1541541871,14,17
1541543784,8,14
1541547629,9,16
1541549539,13,10
1541551357,16,0
1541553554,5,15
1541555531,14,18
1541557450,16,24
1541559380,15,17
1541561285,14,15
1541563214,17,24
1541565145,12,12
1541567061,9,13
1541569227,20,30
1541571136,12,0
1541573063,12,21
1541576891,15,15
1541578806,16,21
1541580727,10,8
1541582646,14,22
1541584581,9,16
1541586484,11,0
1541588412,17,4
1541590338,10,10
1541592275,14,19
1541594176,11,0
1541596091,15,5
1541600082,14,28
1541602089,13,12
1541604003,12,11
1541605927,10,15
1541608088,13,12
1541610013,12,8
1541611933,12,10
1541613861,17,12
1541615784,5,11
1541617698,9,0
1541619607,13,14
1541621551,11,4
1541623464,8,15
1541625391,15,0
1541627533,13,16
1541629464,16,10
1541631366,8,16
1541633286,14,11
1541635209,11,11
1541637131,13,18
1541639058,11,8
1541640981,17,9
1541642891,9,7
1541644806,10,8
1541646748,5,10
1541648646,11,9
1541652488,9,21
1541654403,15,14
1541656324,14,6
1541658262,19,16
1541660164,23,0
1541662086,15,16
1541664014,15,16
1541665932,15,17
1541667860,12,21
1541669765,11,17
1541671713,14,6
1541674370,7,23
