DateTime,Entries,UniqueIPs
1540637072,5702,5821
1540639114,5717,5836
1540641133,5735,5854
1540643056,5736,5855
1540644973,5755,5874
1540646912,5758,5877
1540648833,5767,5886
1540650742,5765,5884
1540652663,5763,5882
1540656557,5748,5867
1540658660,5758,5877
1540660587,5755,5875
1540662513,5754,5873
1540664408,5739,5858
1540666335,5735,5854
1540668253,5735,5855
1540670172,5746,5866
1540672088,5745,5865
1540674040,5741,5861
1540676181,5742,5863
1540678122,5737,5856
1540681959,5737,5856
1540683868,5737,5855
1540685787,5739,5857
1540687957,5740,5858
1540690118,5744,5862
1540692034,5757,5875
1540693938,5751,5866
1540695879,5744,5859
1540699724,5725,5839
1540701623,5722,5836
1540703561,5720,5834
1540705471,5742,5856
1540707377,5743,5857
1540709556,5739,5852
1540711495,5736,5848
1540715542,5715,5826
1540717469,5718,5829
1540719372,5725,5836
1540721312,5746,5857
1540723234,5732,5843
1540725157,5717,5827
1540727072,5706,5816
1540729003,5708,5818
1540731152,5710,5820
1540733072,5717,5827
1540734984,5723,5835
1540737137,5728,5840
1540739062,5736,5848
1540740991,5729,5841
1540742931,5726,5838
1540744813,5722,5834
1540749391,5706,5820
1540751297,5690,5805
1540753239,5686,5801
1540755140,5681,5796
1540757073,5682,5797
1540758973,5685,5801
1540760903,5679,5795
1540762813,5669,5785
1540764740,5656,5772
1540768582,5654,5771
1540770501,5654,5769
1540772413,5653,5768
1540774339,5657,5774
1540776276,5643,5761
1540778195,5644,5762
1540780112,5628,5746
1540782046,5619,5736
1540783956,5620,5736
1540788024,5620,5736
1540789940,5623,5740
1540791856,5623,5740
1540793799,5634,5751
1540795713,5625,5742
1540799556,5601,5716
1540801475,5598,5712
1540803657,5601,5716
1540805553,5615,5730
1540807464,5627,5742
1540809380,5631,5746
1540811321,5625,5740
1540813232,5617,5732
1540815401,5616,5731
1540817544,5618,5733
1540819452,5637,5752
1540821390,5642,5756
1540823316,5648,5762
1540825254,5668,5782
1540829082,5669,5783
1540831253,5678,5790
1540833163,5665,5777
1540835052,5675,5787
1540839153,5655,5768
1540841058,5652,5765
1540843240,5631,5743
1540847085,5628,5739
1540849222,5628,5740
1540851137,5628,5743
1540853066,5630,5745
1540854984,5627,5741
1540858851,5603,5714
1540860979,5613,5723
1540864843,5597,5707
1540866742,5594,5703
1540868677,5597,5704
1540870817,5592,5699
1540872746,5591,5697
1540874674,5581,5687
1540876578,5587,5693
1540878493,5579,5686
1540880431,5579,5686
1540882339,5578,5684
1540884259,5584,5690
1540890277,5539,5644
1540892435,5540,5646
1540894594,5538,5644
1540896492,5522,5628
1540898412,5510,5614
1540900353,5520,5624
1540902272,5518,5623
1540904168,5531,5636
1540906094,5527,5632
1540908023,5522,5627
1540909939,5532,5637
1540912119,5520,5625
1540914034,5523,5628
1540916004,5526,5631
1540918097,5543,5648
1540920271,5565,5670
1540922194,5570,5675
1540924127,5586,5691
1540926276,5580,5686
1540928204,5582,5688
1540930122,5577,5683
1540932035,5586,5692
1540933960,5589,5695
1540935872,5593,5699
1540937784,5602,5709
1540941615,5595,5701
1540943541,5601,5706
1540945470,5601,5706
1540949292,5594,5698
1540951234,5590,5693
1540953140,5595,5698
1540955063,5597,5700
1540956985,5594,5696
1540958918,5591,5692
1540960821,5594,5695
1540963002,5599,5700
1540964897,5600,5702
1540966831,5608,5710
1540968740,5612,5714
1540970670,5614,5716
1540972590,5622,5723
1540974490,5633,5734
1540976435,5659,5761
1540978348,5675,5777
1540980263,5684,5787
1540982182,5672,5775
1540984100,5665,5768
1540986014,5677,5780
1540987961,5672,5773
1540989877,5671,5772
1540992020,5667,5768
1540995870,5665,5764
1540997790,5660,5760
1540999719,5659,5759
1541001637,5681,5781
1541003557,5680,5780
1541005454,5673,5773
1541007388,5690,5791
1541009323,5689,5790
1541011228,5688,5790
1541013402,5689,5791
1541015298,5705,5807
1541017219,5704,5806
1541021088,5699,5800
1541023255,5716,5818
1541027066,5712,5813
1541028988,5712,5815
1541030916,5714,5816
1541032816,5718,5820
1541034739,5714,5817
1541036680,5712,5815
1541038583,5728,5832
1541040510,5733,5837
1541042424,5751,5855
1541044346,5746,5849
1541046257,5746,5850
1541048189,5742,5844
1541050093,5761,5863
1541052278,5759,5863
1541054416,5758,5862
1541056345,5755,5860
1541062097,5747,5851
1541064020,5727,5831
1541065938,5728,5832
1541067876,5733,5837
1541069769,5731,5834
1541071698,5729,5833
1541073658,5733,5837
1541075694,5739,5843
1541077695,5745,5849
1541079608,5750,5854
1541081542,5749,5853
1541083461,5752,5856
1541085380,5745,5849
1541087303,5760,5864
1541089221,5762,5866
1541091146,5776,5880
1541093054,5780,5884
1541095237,5789,5893
1541097380,5792,5897
1541099555,5804,5909
1541101452,5810,5915
1541103377,5797,5901
1541105542,5785,5889
1541107962,5783,5887
1541109864,5796,5900
1541112031,5808,5912
1541113935,5816,5920
1541115869,5823,5927
1541117781,5824,5928
1541119732,5830,5934
1541121617,5835,5938
1541123575,5840,5943
1541125458,5855,5958
1541127384,5857,5961
1541129540,5858,5962
1541131465,5863,5967
1541133392,5869,5973
1541135313,5872,5976
1541137220,5871,5975
1541139140,5875,5979
1541141070,5884,5988
1541142998,5886,5990
1541144907,5890,5994
1541146828,5902,6006
1541148736,5913,6018
1541150670,5930,6035
1541152593,5932,6037
1541154739,5924,6029
1541158838,5913,6018
1541160761,5906,6011
1541162656,5905,6011
1541164837,5929,6036
1541166755,5923,6030
1541168668,5930,6037
1541170596,5933,6040
1541172761,5934,6043
1541174965,5946,6055
1541176831,5948,6057
1541178756,5967,6076
