DateTime,AddedIPs,RemovedIPs
1540637072,45,23
1540639114,43,38
1540641133,64,46
1540643056,49,66
1540644973,47,50
1540646912,50,43
1540648833,43,50
1540650742,41,45
1540652663,42,42
1540656557,56,45
1540658660,45,54
1540660587,50,43
1540662513,48,51
1540664408,44,49
1540666335,44,43
1540668253,56,42
1540670172,51,59
1540672088,41,49
1540674040,39,43
1540676181,58,39
1540678122,33,54
1540681959,52,38
1540683868,49,50
1540685787,52,50
1540687957,45,51
1540690118,43,45
1540692034,46,42
1540693938,43,41
1540695879,43,43
1540699724,47,48
1540701623,46,47
1540703561,60,46
1540705471,52,58
1540707377,51,47
1540709556,49,54
1540711495,56,56
1540715542,41,50
1540717469,44,39
1540719372,38,42
1540721312,55,44
1540723234,24,57
1540725157,8,26
1540727072,24,10
1540729003,47,24
1540731152,46,42
1540733072,50,48
1540734984,52,48
1540737137,45,51
1540739062,48,46
1540740991,46,47
1540742931,48,47
1540744813,49,50
1540749391,51,47
1540751297,39,51
1540753239,49,37
1540755140,38,47
1540757073,42,41
1540758973,47,40
1540760903,44,49
1540762813,48,44
1540764740,39,46
1540768582,40,44
1540770501,52,41
1540772413,45,52
1540774339,48,41
1540776276,40,49
1540778195,34,41
1540780112,35,30
1540782046,58,40
1540783956,43,58
1540788024,47,43
1540789940,55,46
1540791856,38,53
1540793799,51,36
1540795713,50,48
1540799556,42,53
1540801475,36,40
1540803657,44,38
1540805553,39,41
1540807464,50,46
1540809380,14,53
1540811321,35,13
1540813232,32,34
1540815401,41,29
1540817544,41,41
1540819452,49,43
1540821390,41,49
1540823316,45,40
1540825254,44,44
1540829082,37,45
1540831253,36,35
1540833163,39,37
1540835052,44,42
1540839153,43,43
1540841058,39,42
1540843240,48,39
1540847085,47,50
1540849222,45,48
1540851137,47,45
1540853066,47,41
1540854984,36,48
1540858851,32,35
1540860979,47,35
1540864843,39,48
1540866742,41,36
1540868677,41,39
1540870817,37,45
1540872746,37,37
1540874674,40,34
1540876578,55,45
1540878493,50,51
1540880431,53,51
1540882339,50,49
1540884259,53,52
1540890277,55,54
1540892435,35,55
1540894594,30,41
1540896492,13,31
1540898412,15,13
1540900353,47,13
1540902272,47,42
1540904168,36,51
1540906094,45,31
1540908023,32,46
1540909939,47,32
1540912119,34,46
1540914034,43,34
1540916004,45,44
1540918097,37,48
1540920271,53,38
1540922194,47,50
1540924127,39,50
1540926276,35,39
1540928204,49,35
1540930122,27,44
1540932035,30,26
1540933960,41,33
1540935872,38,42
1540937784,45,39
1540941615,42,44
1540943541,46,40
1540945470,44,50
1540949292,48,46
1540951234,33,41
1540953140,49,32
1540955063,34,42
1540956985,45,44
1540958918,43,48
1540960821,46,40
1540963002,50,46
1540964897,46,46
1540966831,52,50
1540968740,54,54
1540970670,56,52
1540972590,48,54
1540974490,54,47
1540976435,56,55
1540978348,42,59
1540980263,56,45
1540982182,20,58
1540984100,20,17
1540986014,21,20
1540987961,45,18
1540989877,36,45
1540992020,31,39
1540995870,55,31
1540997790,35,54
1540999719,40,31
1541001637,50,41
1541003557,27,55
1541005454,25,25
1541007388,39,26
1541009323,36,38
1541011228,40,31
1541013402,42,44
1541015298,50,40
1541017219,28,48
1541021088,48,30
1541023255,36,51
1541027066,45,34
1541028988,44,46
1541030916,36,43
1541032816,37,36
1541034739,34,35
1541036680,37,36
1541038583,30,39
1541040510,37,29
1541042424,43,38
1541044346,41,37
1541046257,39,43
1541048189,31,41
1541050093,54,36
1541052278,53,47
1541054416,40,54
1541056345,48,40
1541062097,52,51
1541064020,28,52
1541065938,36,29
1541067876,31,36
1541069769,27,31
1541071698,51,25
1541073658,47,52
1541075694,45,47
1541077695,49,41
1541079608,47,53
1541081542,51,48
1541083461,49,50
1541085380,35,47
1541087303,38,35
1541089221,49,40
1541091146,49,48
1541093054,49,47
1541095237,49,48
1541097380,48,51
1541099555,50,48
1541101452,48,52
1541103377,43,47
1541105542,47,43
1541107962,32,48
1541109864,32,29
1541112031,35,34
1541113935,47,32
1541115869,55,48
1541117781,48,60
1541119732,37,47
1541121617,37,36
1541123575,40,35
1541125458,37,40
1541127384,52,39
1541129540,44,48
1541131465,43,45
1541133392,41,45
1541135313,49,40
1541137220,30,50
1541139140,54,31
1541141070,49,57
1541142998,55,49
1541144907,46,53
1541146828,51,44
1541148736,48,51
1541150670,39,46
1541152593,44,43
1541154739,23,43
1541158838,46,25
1541160761,32,43
1541162656,52,33
1541164837,47,51
1541166755,52,51
1541168668,52,51
1541170596,44,53
1541172761,40,41
1541174965,51,39
1541176831,49,55
1541178756,53,48
1541180654,64,54
1541182596,55,63
1541184737,54,54
1541186666,57,56
1541188590,57,57
1541190738,50,55
1541192654,44,49
1541194584,53,45
1541196522,49,53
1541198435,43,50
1541200342,48,42
1541202253,38,47
1541204183,48,38
1541206099,53,47
1541208027,49,56
1541209955,51,49
1541211859,50,49
1541213787,53,50
1541217870,43,54
1541220016,39,38
1541223137,56,45
1541225061,47,51
1541226982,62,50
1541228893,57,58
1541230826,51,56
1541232739,46,53
1541234657,61,50
1541236581,30,61
1541238494,42,29
1541240412,27,47
1541242361,57,26
1541244253,48,53
1541246171,57,49
1541250017,47,54
1541251941,52,46
1541253868,47,52
1541255784,54,50
1541257694,49,51
1541259623,64,54
1541261593,54,60
1541263696,65,55
1541265613,53,69
1541267529,49,50
1541269450,57,53
1541271372,57,56
1541273293,54,54
1541275212,55,55
1541277137,47,52
1541279066,53,49
1541280994,44,51
1541282894,45,43
1541286729,57,49
1541288679,49,53
1541290570,47,52
1541292507,52,47
1541294407,43,52
1541296338,46,43
1541298256,55,49
1541300203,60,53
1541302117,46,61
1541304035,50,43
1541305951,56,50
1541307873,50,55
1541309809,60,52
1541311714,51,56
1541313632,55,52
1541315803,39,55
1541317701,18,11
1541319611,51,51
1541321577,54,50
1541323468,27,57
1541325624,56,26
1541327786,28,50
1541329695,36,33
1541331608,46,36
1541333535,50,41
1541335469,39,49
1541337382,56,43
1541339292,59,57
1541341214,53,60
1541343144,56,49
1541345057,40,57
1541348896,58,43
1541350819,45,56
1541352735,50,47
1541354656,50,48
1541356815,42,49
1541358732,37,42
1541360654,48,35
1541362586,46,54
1541364497,49,41
1541366416,39,50
1541368335,62,41
1541370268,58,63
1541372172,60,56
1541374094,54,60
1541376045,42,53
1541378182,47,43
1541380109,40,43
1541382018,47,40
1541384185,54,46
1541386091,47,58
1541388026,55,49
1541389934,45,51
1541391855,47,48
1541393792,48,50
1541395701,37,45
1541397612,41,37
1541399535,54,40
1541401456,48,48
1541403382,47,47
1541405294,54,48
1541407213,59,58
1541409154,45,64
1541411050,53,43
1541413209,31,51
1541415136,36,34
1541417068,48,36
1541418978,50,47
1541420890,51,48
1541422818,45,49
1541424737,41,44
1541426662,42,42
1541428591,37,46
1541430497,34,33
1541432411,45,36
1541434379,48,46
1541436251,40,46
1541438184,43,42
1541440090,43,39
1541442021,44,48
1541443933,41,40
1541445871,51,42
1541447773,45,49
1541449699,54,51
1541451627,47,51
1541453542,48,48
1541455461,41,46
1541457389,39,40
1541459552,50,42
1541461455,50,49
1541463389,51,51
1541465297,58,55
1541467216,54,54
1541469143,47,54
1541471068,56,44
1541472992,41,59
1541474886,52,43
