DateTime,AddedIPs,RemovedIPs
1536265621,522,522
1536276421,537,537
1536287221,1231,1231
1536298021,939,939
1536308821,824,824
1536319621,714,714
1536330421,598,598
1536341221,539,539
1536352021,572,572
1536362821,469,469
1536373621,1300,1300
1536384421,776,776
1536395221,652,652
1536406021,672,672
1536416821,588,588
1536427621,562,562
1536438421,557,557
1536449221,493,493
1536460021,1233,1233
1536470821,781,781
1536481621,703,703
1536492421,645,645
1536503221,561,561
1536514021,559,559
1536524821,500,500
1536535621,446,446
1536546421,1299,1299
1536557221,790,790
1536568021,730,730
1536578821,731,731
1536589621,638,638
1536600421,658,658
1536611221,537,537
1536622021,550,550
1536632821,1426,1426
1536643621,773,773
1536654421,751,751
1536665221,673,673
1536676021,610,610
1536686821,552,552
1536697621,483,483
1536708421,478,478
1536719221,1451,1451
1536730021,865,865
1536740821,831,831
1536751621,750,750
1536762421,605,605
1536773221,606,606
1536784021,553,553
1536794821,546,546
1536805621,1613,1613
1536816421,836,836
1536827221,733,733
1536838021,709,709
1536848821,642,642
1536859621,583,583
1536870421,496,496
1536881221,637,637
1536892021,1569,1569
1536902821,970,970
1536913621,959,959
1536924421,833,833
1536935221,701,701
1536946021,631,631
1536956821,562,562
1536967621,661,661
1536978421,1809,1809
1536989221,954,954
1537000021,898,898
1537010821,732,732
1537021621,641,641
1537032421,661,661
1537043221,527,527
1537054021,470,470
1537064821,1366,1366
1537075621,893,893
1537086421,828,828
1537097221,759,759
1537108021,695,695
1537118821,680,680
1537129621,578,578
1537140421,495,495
1537151221,1513,1513
1537162021,1077,1077
1537172821,1174,1174
1537183621,892,892
1537194421,740,740
1537205221,629,629
1537216021,591,591
1537226821,570,570
1537237621,1837,1837
1537248421,1049,1049
1537259221,1123,1123
1537270021,893,893
1537280821,776,776
1537291621,680,680
1537302421,588,588
1537313221,589,589
1537324021,2172,2172
1537334821,1179,1179
1537345621,1191,1191
1537356421,933,933
1537367221,766,766
1537378021,675,675
1537388821,650,650
1537399621,559,559
1537410421,2361,2361
1537421221,1221,1221
1537432021,1143,1143
1537442821,1002,1002
1537453621,769,769
1537464421,688,688
1537475221,610,610
1537486021,546,546
1537496821,2338,2338
1537507621,1142,1142
1537518421,1133,1133
1537529221,911,911
1537540021,794,794
1537550821,620,620
1537561621,582,582
1537572421,570,570
1537583221,2139,2139
1537594021,1045,1045
1537604821,989,989
1537615621,850,850
1537626421,837,837
1537637221,720,720
1537648021,636,636
1537658821,569,569
1537669621,1965,1965
1537680421,1021,1021
1537691221,1017,1017
1537702021,841,841
1537712821,835,835
1537723621,721,721
1537734421,609,609
1537745221,503,503
1537756021,1892,1892
1537766821,1195,1195
1537777621,1154,1154
1537788421,933,933
1537799221,848,848
1537810021,732,732
1537820821,613,613
1537831621,522,522
1537842421,2076,2076
1537853221,1100,1100
1537864021,1054,1054
1537874821,914,914
1537885621,599,599
1537896421,1028,1028
1537907221,676,676
1537918021,561,561
1537928821,2198,2198
1537939621,1153,1153
1537950421,1202,1202
1537961221,1035,1035
1537972021,836,836
1537982821,766,766
1537993621,644,644
1538004421,594,594
1538015221,2463,2463
1538026021,1113,1113
1538036821,1096,1096
1538047621,965,965
1538058421,805,805
1538069221,781,781
1538080021,663,663
1538090821,567,567
1538101621,2238,2238
1538112421,1111,1111
1538123221,1098,1098
1538134021,927,927
1538144821,929,929
1538155621,744,744
1538166421,631,631
1538177221,638,638
1538188021,2272,2272
1538198821,1117,1117
1538209621,1027,1027
1538220421,877,877
1538231221,791,791
1538242021,714,714
1538252821,651,651
1538263621,574,574
1538274421,1953,1953
1538285221,910,910
1538296021,919,919
1538306821,878,878
1538317621,763,763
1538328421,684,684
1538339221,618,618
1538350021,539,539
1538360821,1786,1786
1538371621,1077,1077
1538382421,1048,1048
1538393221,888,888
1538404021,826,826
1538414821,748,748
1538425621,699,699
1538436421,570,570
1538447221,2010,2010
1538458021,1048,1048
1538479621,1780,1780
1538490422,805,805
1538501221,713,713
1538512021,619,619
1538522821,538,538
1538533621,1868,1868
1538544421,1117,1117
1538555221,1102,1102
1538566021,874,874
1538576821,722,722
1538587621,693,693
1538598421,586,586
1538609221,512,512
1538620021,1967,1967
1538630821,971,971
1538641621,988,988
1538652421,871,871
1538663221,801,801
1538674021,678,678
1538684821,554,554
1538695621,536,536
1538706421,1707,1707
1538717221,1011,1011
1538728021,987,987
1538738821,784,784
1538749621,778,778
1538760421,686,686
1538771221,579,579
1538782021,535,535
1538792821,1776,1776
1538803621,988,988
1538814421,937,937
1538825221,791,791
1538836021,774,774
1538846821,652,652
1538857621,573,573
1538868421,552,552
1538879221,1785,1785
1538890021,867,867
1538900821,906,906
1538911621,919,919
1538922421,862,862
1538933221,743,743
1538944021,622,622
1538954821,581,581
1538965621,1826,1826
1538976421,1264,1264
1538987221,1173,1173
1538998021,950,950
1539008821,845,845
1539019621,735,735
1539030421,686,686
1539041221,676,676
1539052021,2420,2420
1539062821,1165,1165
1539073621,1089,1089
1539084421,873,873
1539095221,832,832
1539106021,692,692
1539116821,666,666
1539127621,559,559
1539138421,2281,2281
1539149221,1162,1162
1539160021,1225,1225
1539170821,936,936
1539181621,756,756
1539192421,700,700
1539203221,655,655
1539214021,560,560
1539224821,2430,2430
1539235621,1039,1039
1539246421,1012,1012
1539257221,915,915
1539268021,765,765
1539278821,632,632
1539289622,669,669
1539300421,771,771
1539311221,2433,2433
1539322021,1108,1108
1539332821,1025,1025
1539343621,845,845
1539354421,728,728
1539365221,678,678
1539376021,636,636
1539386821,660,660
1539397621,2265,2265
1539408421,1024,1024
1539419221,951,951
1539430021,898,898
1539440821,787,787
1539451621,632,632
1539462421,604,604
1539473221,688,688
1539484021,2194,2194
1539494822,1110,1110
1539505621,1079,1079
1539516421,876,876
1539527221,820,820
1539538021,712,712
1539548821,719,719
1539559621,776,776
1539570421,2546,2546
1539581222,1346,1346
1539592021,1151,1151
1539602821,924,924
1539613621,762,762
1539624421,746,746
1539635221,659,659
1539646021,693,693
1539656821,2653,2653
1539667621,1250,1250
1539678421,1138,1138
1539689221,935,935
1539700021,813,813
1539710821,743,743
1539721621,662,662
1539732421,667,667
1539743221,2732,2732
1539754021,1331,1331
1539764821,1158,1158
1539775621,1026,1026
1539786421,815,815
1539797221,759,759
1539808021,670,670
1539818821,921,921
1539829621,2904,2904
1539840421,1219,1219
1539851221,1140,1140
1539862021,943,943
1539872821,812,812
1539883621,860,860
1539894421,753,753
1539905221,840,840
1539916021,2952,2952
1539926821,1369,1369
1539937621,1162,1162
1539948421,967,967
1539959221,866,866
1539970021,871,871
1539980821,691,691
1539991621,1018,1018
1540002421,2990,2990
1540013221,1196,1196
1540024021,1120,1120
1540034821,933,933
1540045621,843,843
1540056421,782,782
1540067221,719,719
1540078021,683,683
1540092421,2723,2723
1540103221,1330,1330
1540114021,1083,1083
1540124821,894,894
1540135621,843,843
1540146421,820,820
1540157221,654,654
1540168021,2116,2116
