DateTime,AddedIPs,RemovedIPs
1541217161,44,47
1541218339,43,46
1541219290,12,44
1541220272,20,34
1541221244,43,45
1541222178,44,34
1541223141,41,32
1541224093,58,37
1541225065,53,44
1541226010,44,31
1541226994,35,48
1541227964,65,31
1541228897,58,48
1541229857,50,49
1541230831,38,43
1541231803,60,28
1541232743,38,25
1541233694,42,43
1541234662,49,41
1541235670,51,45
1541236585,40,37
1541237540,33,51
1541238499,52,43
1541239466,39,45
1541240416,42,33
1541241381,42,62
1541242366,50,76
1541243301,52,39
1541244258,27,34
1541245217,33,32
1541246175,72,41
1541247147,61,38
1541248137,31,44
1541249056,62,3
1541250022,40,50
1541250986,36,90
1541251945,44,38
1541252898,57,32
1541253872,63,11
1541254814,47,81
1541255795,29,30
1541256734,42,6
1541257699,40,35
1541258661,35,62
1541259628,34,38
1541260594,42,46
1541261597,45,29
1541262743,27,25
1541263707,38,25
1541264656,37,35
1541265618,26,28
1541266588,26,31
1541267533,35,28
1541268527,44,34
1541269454,33,40
1541270417,36,25
1541271376,45,39
1541272342,31,59
1541273299,42,36
1541274291,23,30
1541275216,42,30
1541276185,40,43
1541277142,34,47
1541278097,27,22
1541279077,35,42
1541280017,37,27
1541280999,28,33
1541281938,42,45
1541282898,36,25
1541283898,18,26
1541284811,57,29
1541285915,41,30
1541286992,37,16
1541287963,32,21
1541288895,60,31
1541289867,45,7
1541290900,41,19
1541292016,50,79
1541292969,39,2
1541293950,55,130
1541294900,23,5
1541295875,58,105
1541296815,35,6
1541297803,46,93
1541298755,30,31
1541299700,32,3
1541300672,51,27
1541301618,36,36
1541302611,48,79
1541303537,44,3
1541304499,41,37
1541305484,26,51
1541306426,29,39
1541307389,34,33
1541308370,46,39
1541309299,32,1
1541310259,32,43
1541311237,44,37
1541312200,51,94
1541313140,32,2
1541314094,60,81
1541315087,47,92
1541316257,68,32
1541317232,49,45
1541318189,42,4
1541319158,54,79
1541320096,39,3
1541321062,43,27
1541322052,42,83
1541322986,23,8
1541323942,46,94
1541324896,37,1
1541325878,43,94
1541326812,44,3
1541327791,46,79
1541328744,33,2
1541329699,50,32
1541330656,44,27
1541331612,47,29
1541332592,48,85
1541333539,45,3
1541334496,35,55
1541335480,63,130
1541336428,41,2
1541337386,40,30
1541338345,32,55
1541339296,45,86
1541340286,40,35
1541341218,28,7
1541342177,42,48
1541343155,62,38
1541344099,53,51
1541345062,49,68
1541346015,43,45
1541346995,41,52
1541348007,36,55
1541349150,29,96
1541350097,19,1
1541351065,32,60
1541352010,32,45
1541352994,25,35
1541353933,34,51
1541354904,35,39
1541355852,49,47
1541356818,39,26
1541357804,35,48
1541358736,58,104
1541359712,34,45
1541360665,34,24
