DateTime,Entries,UniqueIPs
1541217161,2973,2973
1541218339,2979,2979
1541219290,2970,2970
1541220272,2974,2974
1541221244,2944,2944
1541222178,2964,2964
1541223141,2950,2950
1541224093,2972,2972
1541225065,2956,2956
1541226010,2951,2951
1541226994,2955,2955
1541227964,2941,2941
1541228897,2946,2946
1541229857,2967,2967
1541230831,2968,2968
1541231803,2988,2988
1541232743,2987,2987
1541233694,2999,2999
1541234662,2982,2982
1541235670,2994,2994
1541236585,3036,3036
1541237540,3040,3040
1541238499,3008,3008
1541239466,2991,2991
1541240416,3040,3040
1541241381,3039,3039
1541242366,3048,3048
1541243301,3041,3041
1541244258,3057,3057
1541245217,3061,3061
1541246175,3033,3033
1541247147,3056,3056
1541248137,3068,3068
1541249056,3059,3059
1541250022,3044,3044
1541250986,3070,3070
1541251945,3063,3063
1541252898,3061,3061
1541253872,3072,3072
1541254814,3095,3095
1541255795,3093,3093
1541256734,3080,3080
1541257699,3063,3063
1541258661,3080,3080
1541259628,3056,3056
1541260594,3056,3056
1541261597,3069,3069
1541262743,3053,3053
1541263707,3049,3049
1541264656,3045,3045
1541265618,3071,3071
1541266588,3048,3048
1541267533,3060,3060
1541268527,3066,3066
1541269454,3080,3080
1541270417,3059,3059
1541271376,3052,3052
1541272342,3041,3041
1541273299,3081,3081
1541274291,3052,3052
1541275216,3039,3039
1541276185,3042,3042
1541277142,3065,3065
1541278097,3081,3081
1541279077,3072,3072
1541280017,3071,3071
1541280999,3054,3054
1541281938,3076,3076
1541282898,3077,3077
1541283898,3104,3104
1541284811,3086,3086
1541285915,3088,3088
1541286992,3078,3078
1541287963,3045,3045
1541288895,3047,3047
1541289867,3023,3023
1541290900,3036,3036
1541292016,3022,3022
1541292969,2997,2997
1541293950,3008,3008
1541294900,3027,3027
1541295875,2999,2999
1541296815,2958,2958
1541297803,2967,2967
1541298755,2978,2978
1541299700,2957,2957
1541300672,2949,2949
1541301618,2958,2958
1541302611,2959,2959
1541303537,2946,2946
1541304499,2928,2928
1541305484,2941,2941
1541306426,2937,2937
1541307389,2931,2931
1541308370,2908,2908
1541309299,2929,2929
1541310259,2922,2922
1541311237,2905,2905
1541312200,2901,2901
1541313140,2910,2910
1541314094,2890,2890
1541315087,2890,2890
1541316257,2877,2877
1541317232,2899,2899
1541318189,2878,2878
1541319158,2881,2881
1541320096,2885,2885
1541321062,2893,2893
1541322052,2883,2883
1541322986,2881,2881
1541323942,2880,2880
1541324896,2885,2885
1541325878,2888,2888
1541326812,2893,2893
1541327791,2910,2910
1541328744,2892,2892
1541329699,2911,2911
1541330656,2892,2892
1541331612,2912,2912
1541332592,2923,2923
1541333539,2919,2919
1541334496,2922,2922
1541335480,2911,2911
1541336428,2912,2912
1541337386,2903,2903
1541338345,2907,2907
1541339296,2920,2920
1541340286,2932,2932
1541341218,2922,2922
1541342177,2959,2959
1541343155,2956,2956
1541344099,2956,2956
1541345062,2962,2962
1541346015,2995,2995
1541346995,2991,2991
1541348007,2993,2993
1541349150,3001,3001
1541350097,3014,3014
1541351065,3004,3004
1541352010,2989,2989
1541352994,2995,2995
1541353933,2991,2991
1541354904,2975,2975
1541355852,3010,3010
1541356818,2985,2985
1541357804,2975,2975
1541358736,3021,3021
1541359712,2976,2976
1541360665,3004,3004
1541361639,3001,3001
1541362590,2995,2995
1541363567,3005,3005
1541364032,3002,3002
1541364499,3017,3017
1541364998,3018,3018
1541365464,3010,3010
1541365960,3009,3009
1541366418,3012,3012
1541366914,3005,3005
1541367394,3020,3020
1541367874,3018,3018
1541368337,3034,3034
1541368843,3030,3030
1541369322,3013,3013
1541369785,3002,3002
1541370274,3019,3019
1541370744,3020,3020
1541371231,3016,3016
1541371693,2998,2998
1541372181,3002,3002
1541372678,2988,2988
1541373149,2995,2995
1541373630,2998,2998
1541374103,3008,3008
1541374602,3001,3001
1541375063,3022,3022
1541375565,3002,3002
1541376055,3012,3012
1541376521,2996,2996
1541376992,2991,2991
1541377719,2983,2983
1541378184,2983,2983
1541378679,2954,2954
1541379140,2977,2977
1541379633,2960,2960
1541380111,2957,2957
1541380602,2941,2941
1541381057,2948,2948
1541382270,2932,2932
1541382756,2934,2934
1541383244,2933,2933
1541383716,2935,2935
1541384194,2922,2922
1541384667,2923,2923
1541385148,2922,2922
1541385629,2938,2938
1541386093,2932,2932
1541386594,2943,2943
1541387065,2935,2935
1541387561,2930,2930
1541388028,2928,2928
1541388518,2932,2932
1541388985,2930,2930
1541389483,2941,2941
1541389936,2929,2929
1541390445,2933,2933
1541390906,2925,2925
1541391404,2930,2930
1541391858,2921,2921
1541392369,2918,2918
1541392854,2911,2911
1541393803,2918,2918
1541394739,2946,2946
1541395705,2940,2940
1541396666,2938,2938
1541397617,2948,2948
1541398583,2962,2962
1541399539,2974,2974
1541400493,2983,2983
1541401464,2987,2987
1541402427,2991,2991
1541403387,2984,2984
1541404343,2996,2996
1541405310,2999,2999
1541406260,2996,2996
1541407218,3007,3007
1541408195,3023,3023
1541409165,3037,3037
1541410354,3011,3011
1541411290,3046,3046
1541412269,3044,3044
1541413213,3053,3053
1541414181,3064,3064
1541415141,3066,3066
1541416118,3073,3073
1541417072,3064,3064
1541418028,3081,3081
1541418983,3067,3067
1541419946,3052,3052
1541420895,3063,3063
1541421859,3059,3059
1541422822,3054,3054
1541423783,3075,3075
1541424743,3066,3066
1541425716,3082,3082
1541426667,3083,3083
1541427621,3079,3079
1541428602,3082,3082
1541429539,3085,3085
1541430501,3080,3080
1541431459,3072,3072
1541432417,3079,3079
1541433377,3088,3088
1541434384,3104,3104
1541435297,3095,3095
1541436255,3114,3114
1541437230,3118,3118
1541438189,3111,3111
1541439142,3116,3116
1541440094,3144,3144
1541441063,3128,3128
1541442025,3120,3120
1541442983,3121,3121
1541443937,3134,3134
1541444903,3192,3192
1541445882,3155,3155
1541446812,3153,3153
1541447777,3139,3139
1541448747,3154,3154
1541449703,3155,3155
1541450657,3162,3162
1541451631,3139,3139
1541452581,3140,3140
1541453546,3138,3138
1541454499,3137,3137
1541455467,3149,3149
1541456414,3149,3149
1541457400,3146,3146
1541458579,3132,3132
1541459556,3147,3147
1541460505,3120,3120
1541461467,3131,3131
1541462501,3120,3120
1541463900,3112,3112
1541464814,3107,3107
1541465791,3121,3121
1541466757,3112,3112
1541467712,3108,3108
1541468677,3101,3101
1541469629,3077,3077
1541470584,3086,3086
1541471539,3091,3091
1541472492,3052,3052
1541473459,3057,3057
1541474410,3042,3042
1541475403,3036,3036
1541476335,3017,3017
1541477323,3000,3000
1541478279,3011,3011
1541479232,3008,3008
1541480204,2993,2993
1541481141,2997,2997
1541482110,3006,3006
1541483072,3020,3020
1541484059,2994,2994
1541484981,2999,2999
1541485935,2995,2995
1541486890,2991,2991
1541487863,3008,3008
1541488824,2982,2982
1541489772,2997,2997
1541490754,2984,2984
1541491944,2951,2951
1541492906,2940,2940
1541493853,2919,2919
1541494823,2902,2902
1541495789,2888,2888
1541496750,2882,2882
1541497694,2860,2860
1541498667,2838,2838
1541499623,2835,2835
1541500600,2822,2822
1541501553,2797,2797
1541502498,2788,2788
1541503461,2777,2777
1541504429,2771,2771
1541505410,2768,2768
1541506362,2754,2754
1541507290,2751,2751
1541508257,2741,2741
1541509221,2727,2727
1541510188,2710,2710
1541511141,2706,2706
1541512095,2693,2693
1541513064,2692,2692
1541514010,2678,2678
1541514995,2830,2830
1541515933,2871,2871
1541516914,2907,2907
1541517873,2945,2945
1541518829,2985,2985
1541519780,2991,2991
1541520785,2998,2998
1541521691,3016,3016
1541522669,3046,3046
1541523626,3128,3128
1541524587,3135,3135
1541525808,3138,3138
1541526994,3129,3129
1541527942,3146,3146
1541528890,3143,3143
1541529889,3150,3150
1541530844,3140,3140
1541532053,3185,3185
1541532998,3205,3205
1541533960,3190,3190
1541534897,3180,3180
1541535853,3199,3199
1541537335,3199,3199
1541538521,3191,3191
1541539480,3200,3200
1541540432,3209,3209
1541541390,3218,3218
1541542359,3223,3223
1541543299,3228,3228
1541544262,3239,3239
1541545225,3249,3249
1541546188,3268,3268
1541547142,3315,3315
1541548099,3295,3295
1541549059,3288,3288
1541550042,3285,3285
1541551369,3251,3251
1541552572,3238,3238
1541553558,3266,3266
1541554606,3246,3246
1541555535,3235,3235
1541556509,3237,3237
1541557461,3241,3241
1541558410,3246,3246
1541559384,3234,3234
1541560355,3228,3228
1541561289,3234,3234
1541562253,3239,3239
1541563218,3245,3245
1541564179,3257,3257
1541565149,3272,3272
1541566094,3297,3297
1541567066,3320,3320
1541568255,3355,3355
1541569231,3362,3362
1541570171,3340,3340
1541571141,3344,3344
1541572091,3352,3352
1541573074,3354,3354
1541574011,3348,3348
1541574983,3354,3354
1541575936,3329,3329
1541576895,3366,3366
1541577864,3392,3392
1541578810,3424,3424
1541579791,3438,3438
1541580732,3464,3464
1541581705,3477,3477
1541582651,3511,3511
1541583608,3543,3543
1541584593,3556,3556
1541585538,3580,3580
1541586488,3597,3597
1541587452,3622,3622
1541588417,3622,3622
1541589384,3679,3679
1541590342,3677,3677
1541591293,3702,3702
1541592279,3715,3715
1541593231,3733,3733
1541594180,3744,3744
1541595139,3763,3763
1541596095,3778,3778
1541597051,3795,3795
1541598032,3818,3818
1541598976,3855,3855
1541600097,3887,3887
1541601140,3767,3767
1541602094,3715,3715
1541603065,3705,3705
1541604008,3638,3638
1541604996,3595,3595
1541605932,3590,3590
1541606944,3578,3578
1541608093,3574,3574
1541609054,3523,3523
1541610018,3469,3469
1541610982,3459,3459
1541611937,3459,3459
1541612896,3453,3453
1541613866,3438,3438
1541614813,3434,3434
1541615795,3408,3408
1541616731,3415,3415
1541617702,3424,3424
1541618655,3399,3399
1541619611,3402,3402
1541620593,3400,3400
1541621555,3395,3395
1541622491,3384,3384
1541623475,3384,3384
1541624415,3357,3357
1541625395,3378,3378
1541626585,3351,3351
1541627537,3349,3349
1541628511,3340,3340
1541629467,3330,3330
1541630410,3302,3302
1541631377,3304,3304
1541632355,3295,3295
1541633290,3300,3300
1541634253,3287,3287
1541635213,3282,3282
1541636181,3288,3288
1541637136,3290,3290
1541638093,3273,3273
1541639062,3247,3247
1541640015,3220,3220
1541640986,3221,3221
1541641929,3194,3194
1541642903,3173,3173
1541643865,3162,3162
1541644810,3152,3152
1541645787,3142,3142
1541646752,3126,3126
1541647689,3115,3115
1541648658,3108,3108
1541649628,3111,3111
1541650572,3095,3095
1541651542,3087,3087
1541652492,3075,3075
1541653480,3069,3069
1541654407,3086,3086
1541655379,3083,3083
1541656328,3065,3065
1541657318,3040,3040
1541658266,3037,3037
1541659212,3053,3053
1541660175,3034,3034
1541661139,3056,3056
1541662090,3030,3030
1541663054,3016,3016
1541664023,3005,3005
1541664985,3003,3003
1541665936,3011,3011
1541666895,3003,3003
1541667865,2986,2986
1541669052,2975,2975
1541670008,2979,2979
1541671246,2984,2984
1541672191,2972,2972
1541673382,2990,2990
1541674386,2986,2986
1541675546,3009,3009
