DateTime,AddedIPs,RemovedIPs
1541188096,13,0
1541189061,6,18
1541190016,6,26
1541190991,13,21
1541191929,9,35
1541192898,8,25
1541193873,8,8
1541195054,19,35
1541196019,18,33
1541196978,6,21
1541197945,8,57
1541198897,13,28
1541199878,19,0
1541200834,3,31
1541201795,18,36
1541202749,15,25
1541203717,17,27
1541204666,3,51
1541205635,21,40
1541206587,30,24
1541207553,15,21
1541208488,9,34
1541209461,28,28
1541210419,55,28
1541211392,13,9
1541212349,17,9
1541213301,18,9
1541214257,40,4
1541215210,6,6
1541216196,18,6
1541217159,8,5
1541218337,21,15
1541219289,0,16
1541220270,1,34
1541221242,25,46
1541222176,26,26
1541223139,18,27
1541224091,13,37
1541225063,27,16
1541226007,19,7
1541226992,10,19
1541227962,23,26
1541228895,27,17
1541229854,15,19
1541230828,16,11
1541231801,27,15
1541232741,23,12
1541233691,11,25
1541234660,28,24
1541235668,25,22
1541236583,17,19
1541237538,3,13
1541238497,19,18
1541239464,19,17
1541240414,19,6
1541241379,12,18
1541242364,16,13
1541243299,14,25
1541244255,9,23
1541245215,4,18
1541246174,18,13
1541247145,17,22
1541248135,5,13
1541249054,19,14
1541250020,14,13
1541250984,10,6
1541251943,10,17
1541252896,20,7
1541253870,14,14
1541254812,13,8
1541255793,3,11
1541256732,20,8
1541257697,9,5
1541258659,8,9
1541259626,6,13
1541260591,15,8
1541261595,15,11
1541262741,11,12
1541263704,10,13
1541264654,5,11
1541265616,11,9
1541266586,11,5
1541267531,7,21
1541268525,15,7
1541269452,7,0
1541270415,8,22
1541271374,9,9
1541272340,8,0
1541273297,0,16
1541274289,4,2
1541275214,14,0
1541276182,11,19
1541277140,8,16
1541278095,8,11
1541279075,8,0
1541280015,12,14
1541280997,10,4
1541281936,7,11
1541282896,11,6
1541283896,3,10
1541284809,12,9
1541285913,16,6
1541286990,10,20
1541287961,7,16
1541288893,23,12
1541289865,20,135
1541290898,11,27
1541292014,24,19
1541292967,17,19
1541293948,85,0
1541294898,11,27
1541295873,23,19
1541296813,16,19
1541297800,17,20
1541298753,9,12
1541299698,14,20
1541300670,18,14
1541301616,8,12
1541302609,13,19
1541303535,21,17
1541304497,13,14
1541305481,3,15
1541306424,9,19
1541307388,12,9
1541308367,23,13
1541309297,10,17
1541310256,14,11
1541311235,18,5
1541312198,18,20
1541313137,10,12
1541314092,21,21
1541315085,20,29
1541316255,20,20
1541317230,16,21
1541318187,24,21
1541319156,15,19
1541320094,14,20
1541321060,13,13
1541322049,11,16
1541322982,17,24
1541323939,11,7
1541324894,15,11
1541325876,16,13
1541326810,29,16
1541327789,15,21
1541328742,11,14
1541329697,18,18
1541330653,16,18
1541331610,13,13
1541332590,17,17
1541333537,13,13
1541334494,8,10
1541335478,17,13
1541336426,14,15
1541337384,17,9
1541338343,14,15
1541339294,15,15
1541340285,19,9
1541341216,13,16
1541342175,17,8
1541343153,19,9
1541344096,19,9
1541345060,13,14
1541346013,16,7
1541346993,15,16
1541348005,15,20
1541349148,9,8
1541350095,4,9
1541351063,11,14
1541352008,3,0
1541352992,5,10
1541353931,12,25
1541354902,12,17
1541355850,12,7
1541356817,15,20
1541357802,13,18
1541358734,5,13
1541359710,5,10
1541360663,8,6
1541361637,12,14
1541362588,7,17
1541364032,15,19
1541364998,18,10
1541365960,13,19
1541366914,4,10
1541367874,16,15
1541368843,13,11
1541369785,7,19
1541370744,9,19
1541371693,15,22
1541372678,13,14
1541373630,15,20
1541374602,11,29
1541375565,16,21
1541376521,11,29
1541377719,18,43
1541378679,20,34
1541379633,16,22
1541380602,11,19
1541382270,20,39
1541383244,20,17
1541384194,10,13
1541385148,18,24
1541386093,21,17
1541387065,9,15
1541388028,12,6
1541388985,21,14
1541389936,30,11
1541390906,18,9
1541391858,10,12
1541392854,4,16
1541393801,24,15
1541394737,22,15
1541395703,11,17
1541396664,21,18
1541397615,25,6
1541398581,24,19
1541399537,23,12
1541400491,19,12
1541401462,25,13
1541402425,25,14
1541403384,14,21
1541404341,28,17
1541405308,28,16
1541406257,22,9
1541407216,29,15
1541408193,22,12
1541409163,16,13
1541410352,23,17
1541411288,23,10
1541412267,24,8
1541413211,18,6
1541414179,24,16
1541415138,26,14
1541416116,12,8
1541417070,8,20
1541418026,10,16
1541418981,17,15
1541419944,20,5
1541420892,7,9
1541421857,16,17
1541422820,14,15
1541423780,21,4
1541424739,7,11
1541425712,19,12
1541426664,7,12
1541427619,16,17
1541428600,11,6
1541429537,9,7
1541430499,14,0
1541431457,13,17
1541432415,18,0
1541433375,14,15
1541434381,16,0
1541435294,6,10
1541436254,18,3
1541437228,17,12
1541438186,10,7
1541439139,14,9
1541440092,15,11
1541441060,16,17
1541442023,14,4
1541442981,15,7
1541443935,9,5
1541444902,15,5
1541445880,4,10
1541446810,10,14
1541447775,18,14
1541448745,8,12
1541449701,6,10
1541450655,12,10
1541451629,15,0
1541452579,14,11
1541453544,10,10
1541454497,15,11
1541455465,12,10
1541456412,21,20
1541457398,13,12
1541458577,26,15
1541459554,13,16
1541460503,7,10
1541461464,17,8
1541462499,22,12
1541463898,13,36
1541464812,27,0
1541465789,17,48
1541466755,16,15
1541467710,7,16
1541468675,24,21
1541469626,26,0
1541470582,14,26
1541471536,12,32
1541472490,22,15
1541473457,26,16
1541474408,19,12
1541475401,19,18
1541476333,14,23
1541477320,25,21
1541478277,3,18
1541479229,2,25
1541480202,12,13
1541481139,20,24
1541482108,7,14
1541483069,12,13
1541484057,33,12
1541484979,17,10
1541485933,14,25
1541486888,17,13
1541487861,23,0
1541488822,10,0
1541489770,28,0
1541490752,12,0
1541491941,0,7
1541492904,0,28
1541493851,1,31
1541494821,0,22
1541495787,0,19
1541496748,0,19
1541497692,0,21
1541498664,1,15
1541499620,1,16
1541500598,1,11
1541501551,0,16
1541502497,0,8
1541503458,2,12
1541504428,0,6
1541505408,1,13
1541506358,0,13
1541507288,0,13
1541508255,0,22
1541509218,2,15
1541510186,1,14
1541511139,2,11
1541512093,1,14
1541513062,1,9
1541514008,0,17
1541514993,156,15
1541515931,88,0
1541516912,50,9
1541517871,53,22
1541518827,57,0
1541519778,25,17
1541520783,24,16
1541521689,24,15
1541522667,57,21
1541523622,59,8
1541524583,18,0
1541525806,15,25
1541526992,25,18
1541527940,14,14
1541528887,8,25
1541529887,28,25
1541530842,26,11
1541532050,29,7
1541532996,18,12
1541533958,11,25
1541534895,15,12
1541535851,12,8
1541537332,38,22
1541538519,18,12
1541539478,20,0
1541540430,24,14
1541541388,29,6
1541542357,30,10
1541543296,7,18
1541544260,37,9
1541545223,36,13
1541546185,23,8
1541547140,25,11
1541548097,17,16
1541549057,17,25
1541550040,7,20
1541551367,30,43
1541552571,21,26
1541553556,18,23
1541554604,16,18
1541555533,36,25
1541556507,27,13
1541557458,15,12
1541558408,21,11
1541559382,22,23
1541560353,20,25
1541561287,16,24
1541562251,17,11
1541563216,23,19
1541564176,21,5
1541565147,26,23
1541566092,23,9
1541567064,33,18
1541568254,43,21
1541569229,28,2
1541570169,28,1
1541571139,15,0
1541572089,21,1
1541573072,18,1
1541574008,23,1
1541574981,20,0
1541575934,29,0
1541576893,24,0
1541577862,23,1
1541578808,37,0
1541579789,16,0
1541580729,21,1
1541581702,35,0
1541582648,16,26
1541583606,23,22
1541584590,21,22
1541585535,25,2
1541586486,11,1
1541587449,28,1
1541588414,33,1
1541589382,33,0
1541590340,13,1
1541591291,15,1
1541592277,15,29
1541593229,23,36
1541594178,14,48
1541595137,18,25
1541596093,23,23
1541597049,15,32
1541598030,24,32
1541598974,25,25
1541600094,26,9
1541601138,17,16
1541602091,20,27
1541603061,18,23
1541604006,16,11
1541604993,16,26
1541605930,13,23
1541606942,24,9
1541608090,15,17
1541609052,23,14
1541610015,8,13
1541610980,29,12
1541611935,17,23
1541612894,11,22
1541613863,13,10
1541614811,13,16
1541615793,7,18
1541616729,16,22
1541617700,17,3
1541618652,9,0
1541619609,13,13
1541620591,22,24
1541621553,14,11
1541622489,3,4
1541623473,21,30
1541624412,21,0
1541625393,12,20
1541626583,16,21
1541627535,15,20
1541628509,18,10
1541629466,8,16
1541630408,17,19
1541631375,20,27
1541632353,21,4
1541633288,19,17
1541634251,28,23
1541635211,20,26
1541636179,22,9
1541637134,19,33
1541638091,5,33
1541639060,8,29
1541640013,16,11
1541640984,14,39
1541641927,8,43
1541642900,9,22
1541643863,16,12
1541644808,10,28
1541645785,10,28
1541646750,16,12
1541647687,17,7
1541648656,20,26
1541649626,14,27
1541650570,14,13
1541651540,30,21
1541652490,24,33
1541653478,14,31
1541654405,10,16
1541655377,12,18
1541656326,7,17
1541657316,18,10
1541658264,23,30
1541659210,14,0
1541660173,13,55
1541661135,30,0
1541662088,14,20
1541663052,17,16
1541664021,13,18
1541664983,27,19
1541665934,12,13
1541666894,18,24
1541667862,10,14
1541669050,10,35
1541670006,33,19
1541671243,25,20
1541672189,12,9
1541673380,30,16
1541674384,22,18
1541675543,20,15
