DateTime,AddedIPs,RemovedIPs
1541188096,13,8
1541189061,6,11
1541190016,6,4
1541190991,13,3
1541191929,9,19
1541192898,8,20
1541193873,8,11
1541195054,19,18
1541196019,18,17
1541196978,6,12
1541197945,8,6
1541198897,13,14
1541199878,19,23
1541200834,3,7
1541201795,18,18
1541202749,15,19
1541203717,17,18
1541204666,3,16
1541205635,21,30
1541206587,30,50
1541207553,15,23
1541208488,9,16
1541209461,28,27
1541210419,55,24
1541211392,13,22
1541212349,17,13
1541213301,18,32
1541214257,40,29
1541215210,6,7
1541216196,18,22
1541217159,8,16
1541218337,21,22
1541219289,0,1
1541220270,1,9
1541221242,25,32
1541222176,26,17
1541223139,18,11
1541224091,13,12
1541225063,27,28
1541226007,19,16
1541226992,10,17
1541227962,23,20
1541228895,27,18
1541229854,15,9
1541230828,16,6
1541231801,27,16
1541232741,23,19
1541233691,11,9
1541234660,28,26
1541235668,25,26
1541236583,17,9
1541237538,3,8
1541238497,19,18
1541239464,19,27
1541240414,19,5
1541241379,12,10
1541242364,16,11
1541243299,14,12
1541244255,9,7
1541245215,4,12
1541246174,18,11
1541247145,17,14
1541248135,5,7
1541249054,19,17
1541250020,14,16
1541250984,10,2
1541251943,10,3
1541252896,20,14
1541253870,14,10
1541254812,13,10
1541255793,3,15
1541256732,20,11
1541257697,9,16
1541258659,8,8
1541259626,6,13
1541260591,15,19
1541261595,15,14
1541262741,11,19
1541263704,10,10
1541264654,5,5
1541265616,11,7
1541266586,11,6
1541267531,7,7
1541268525,15,10
1541269452,7,5
1541270415,8,13
1541271374,9,13
1541272340,8,8
1541273297,0,5
1541274289,4,5
1541275214,14,11
1541276182,11,4
1541277140,8,3
1541278095,8,6
1541279075,8,5
1541280015,12,10
1541280997,10,10
1541281936,7,11
1541282896,11,11
1541283896,3,5
1541284809,12,5
1541285913,16,18
1541286990,10,24
1541287961,7,14
1541288893,23,24
1541289865,20,30
1541290898,11,1
1541292014,24,41
1541292967,17,37
1541293948,20,12
1541294898,11,9
1541295873,23,34
1541296813,16,56
1541297800,17,12
1541298753,9,10
1541299698,14,27
1541300670,18,31
1541301616,8,4
1541302609,13,18
1541303535,21,22
1541304497,13,24
1541305481,3,4
1541306424,9,1
1541307388,12,17
1541308367,23,29
1541309297,10,7
1541310256,14,17
1541311235,18,25
1541312198,18,22
1541313137,10,9
1541314092,21,30
1541315085,20,29
1541316255,20,23
1541317230,16,22
1541318187,24,19
1541319156,15,24
1541320094,14,9
1541321060,13,23
1541322049,11,17
1541322982,17,15
1541323939,11,4
1541324894,15,10
1541325876,16,12
1541326810,29,17
1541327789,15,14
1541328742,11,20
1541329697,18,17
1541330653,16,6
1541331610,13,4
1541332590,17,15
1541333537,13,13
1541334494,8,10
1541335478,17,12
1541336426,14,14
1541337384,17,13
1541338343,14,9
1541339294,15,13
1541340285,19,13
1541341216,13,13
1541342175,17,7
1541343153,19,13
1541344096,19,10
1541345060,13,10
1541346013,16,10
1541346993,15,9
1541348005,15,9
1541349148,9,4
1541350095,4,11
1541351063,11,10
1541352008,3,14
1541352992,5,9
1541353931,12,10
1541354902,12,11
1541355850,12,9
1541356817,15,9
1541357802,13,11
1541358734,5,9
1541359710,5,1
1541360663,8,4
1541361637,12,20
1541362588,7,3
1541364032,15,11
1541364998,18,9
1541365960,13,11
1541366914,4,10
1541367874,16,10
1541368843,13,10
1541369785,7,13
1541370744,9,2
1541371693,15,23
1541372678,13,17
1541373630,15,4
1541374602,11,11
1541375565,16,30
1541376521,11,22
1541377719,18,19
1541378679,20,41
1541379633,16,27
1541380602,11,23
1541382270,20,34
1541383244,20,17
1541384194,10,18
1541385148,18,10
1541386093,21,17
1541387065,9,16
1541388028,12,14
1541388985,21,15
1541389936,30,21
1541390906,18,18
1541391858,10,9
1541392854,4,10
1541393801,24,19
1541394737,22,22
1541395703,11,16
1541396664,21,10
1541397615,25,18
1541398581,24,12
1541399537,23,9
1541400491,19,17
1541401462,25,21
1541402425,25,10
1541403384,14,19
1541404341,28,19
1541405308,28,21
1541406257,22,17
1541407216,29,11
1541408193,22,14
1541409163,16,16
1541410352,23,9
1541411288,23,15
1541412267,24,11
1541413211,18,19
1541414179,24,19
1541415138,26,21
1541416116,12,15
1541417070,8,10
1541418026,10,14
1541418981,17,17
1541419944,20,18
1541420892,7,7
1541421857,16,14
1541422820,14,15
1541423780,21,4
1541424739,7,20
1541425712,19,7
1541426664,7,12
1541427619,16,15
1541428600,11,15
1541429537,9,9
1541430499,14,12
1541431457,13,8
1541432415,18,12
1541433375,14,16
1541434381,16,11
1541435294,6,5
1541436254,18,10
1541437228,17,10
1541438186,10,2
1541439139,14,7
1541440092,15,11
1541441060,16,15
1541442023,14,15
1541442981,15,9
1541443935,9,7
1541444902,15,4
1541445880,4,2
1541446810,10,8
1541447775,18,13
1541448745,8,10
1541449701,6,11
1541450655,12,13
1541451629,15,24
1541452579,14,13
1541453544,10,9
1541454497,15,14
1541455465,12,14
1541456412,21,6
1541457398,13,24
1541458577,26,38
1541459554,13,15
1541460503,7,15
1541461464,17,20
1541462499,22,25
1541463898,13,23
1541464812,27,21
1541465789,17,21
1541466755,16,26
1541467710,7,4
1541468675,24,35
1541469626,26,46
1541470582,14,16
1541471536,12,15
1541472490,22,43
1541473457,26,22
