DateTime,Entries,UniqueIPs
1541188096,1122,1122
1541189061,1117,1117
1541190016,1119,1119
1541190991,1129,1129
1541191929,1119,1119
1541192898,1107,1107
1541193873,1104,1104
1541195054,1105,1105
1541196019,1106,1106
1541196978,1100,1100
1541197945,1102,1102
1541198897,1101,1101
1541199878,1097,1097
1541200834,1093,1093
1541201795,1093,1093
1541202749,1089,1089
1541203717,1088,1088
1541204666,1075,1075
1541205635,1066,1066
1541206587,1046,1046
1541207553,1038,1038
1541208488,1031,1031
1541209461,1032,1032
1541210419,1063,1063
1541211392,1054,1054
1541212349,1058,1058
1541213301,1044,1044
1541214257,1055,1055
1541215210,1054,1054
1541216196,1050,1050
1541217159,1042,1042
1541218337,1041,1041
1541219289,1040,1040
1541220270,1032,1032
1541221242,1025,1025
1541222176,1034,1034
1541223139,1041,1041
1541224091,1042,1042
1541225063,1041,1041
1541226007,1044,1044
1541226992,1037,1037
1541227962,1040,1040
1541228895,1049,1049
1541229854,1055,1055
1541230828,1065,1065
1541231801,1076,1076
1541232741,1080,1080
1541233691,1082,1082
1541234660,1084,1084
1541235668,1083,1083
1541236583,1091,1091
1541237538,1086,1086
1541238497,1087,1087
1541239464,1079,1079
1541240414,1093,1093
1541241379,1095,1095
1541242364,1100,1100
1541243299,1102,1102
1541244255,1104,1104
1541245215,1096,1096
1541246174,1103,1103
1541247145,1106,1106
1541248135,1104,1104
1541249054,1106,1106
1541250020,1104,1104
1541250984,1112,1112
1541251943,1119,1119
1541252896,1125,1125
1541253870,1129,1129
1541254812,1132,1132
1541255793,1120,1120
1541256732,1129,1129
1541257697,1122,1122
1541258659,1122,1122
1541259626,1115,1115
1541260591,1111,1111
1541261595,1112,1112
1541262741,1104,1104
1541263704,1104,1104
1541264654,1104,1104
1541265616,1108,1108
1541266586,1113,1113
1541267531,1113,1113
1541268525,1118,1118
1541269452,1120,1120
1541270415,1115,1115
1541271374,1111,1111
1541272340,1111,1111
1541273297,1106,1106
1541274289,1105,1105
1541275214,1108,1108
1541276182,1115,1115
1541277140,1120,1120
1541278095,1122,1122
1541279075,1125,1125
1541280015,1127,1127
1541280997,1127,1127
1541281936,1123,1123
1541282896,1123,1123
1541283896,1121,1121
1541284809,1128,1128
1541285913,1126,1126
1541286990,1112,1112
1541287961,1105,1105
1541288893,1104,1104
1541289865,1094,1094
1541290898,1104,1104
1541292014,1087,1087
1541292967,1067,1067
1541293948,1075,1075
1541294898,1077,1077
1541295873,1066,1066
1541296813,1026,1026
1541297800,1031,1031
1541298753,1030,1030
1541299698,1017,1017
1541300670,1004,1004
1541301616,1008,1008
1541302609,1003,1003
1541303535,1002,1002
1541304497,991,991
1541305481,990,990
1541306424,998,998
1541307388,993,993
1541308367,987,987
1541309297,990,990
1541310256,987,987
1541311235,980,980
1541312198,976,976
1541313137,977,977
1541314092,968,968
1541315085,959,959
1541316255,956,956
1541317230,950,950
1541318187,955,955
1541319156,946,946
1541320094,951,951
1541321060,941,941
1541322049,935,935
1541322982,937,937
1541323939,944,944
1541324894,949,949
1541325876,953,953
1541326810,965,965
1541327789,966,966
1541328742,957,957
1541329697,958,958
1541330653,968,968
1541331610,977,977
1541332590,979,979
1541333537,979,979
1541334494,977,977
1541335478,982,982
1541336426,982,982
1541337384,986,986
1541338343,991,991
1541339294,993,993
1541340285,999,999
1541341216,999,999
1541342175,1009,1009
1541343153,1015,1015
1541344096,1024,1024
1541345060,1027,1027
1541346013,1033,1033
1541346993,1039,1039
1541348005,1045,1045
1541349148,1050,1050
1541350095,1043,1043
1541351063,1044,1044
1541352008,1033,1033
1541352992,1029,1029
1541353931,1031,1031
1541354902,1032,1032
1541355850,1035,1035
1541356817,1041,1041
1541357802,1043,1043
1541358734,1039,1039
1541359710,1043,1043
1541360663,1047,1047
1541361637,1039,1039
