DateTime,AddedIPs,RemovedIPs
1541188097,103,0
1541189063,105,48
1541190018,81,49
1541190993,79,54
1541191931,91,65
1541192900,102,58
1541193876,64,55
1541195057,75,113
1541196021,78,0
1541196980,64,45
1541197947,67,89
1541198899,63,57
1541199880,50,0
1541200836,26,42
1541201797,61,51
1541202751,63,49
1541203719,66,57
1541204668,52,45
1541205638,72,43
1541206589,71,47
1541207555,59,49
1541208490,50,47
1541209463,88,57
1541210421,100,57
1541211395,51,49
1541212351,44,47
1541213303,79,78
1541214259,67,53
1541215212,67,42
1541216198,52,47
1541217161,75,63
1541218339,42,46
1541219290,20,52
1541220272,42,47
1541221244,57,58
1541222178,49,58
1541223141,57,41
1541224093,73,44
1541225065,72,48
1541226010,63,56
1541226994,49,57
1541227964,77,71
1541228897,84,49
1541229857,62,63
1541230831,55,84
1541231803,77,71
1541232743,50,60
1541233694,48,67
1541234662,57,69
1541235670,68,68
1541236585,41,72
1541237540,51,68
1541238499,64,75
1541239466,66,58
1541240416,60,90
1541241381,48,61
1541242366,75,66
1541243301,72,70
1541244258,37,59
1541245217,53,85
1541246175,105,46
1541247147,94,58
1541248137,43,76
1541249056,93,57
1541250022,71,56
1541250986,61,50
1541251945,59,51
1541252898,69,54
1541253872,105,52
1541254814,54,48
1541255795,50,49
1541256734,66,43
1541257699,65,48
1541258661,38,56
1541259628,56,65
1541260594,68,75
1541261597,72,58
1541262743,36,58
1541263707,59,48
1541264656,69,53
1541265618,38,69
1541266588,37,44
1541267533,57,71
1541268527,68,49
1541269454,61,0
1541270417,58,90
1541271376,72,58
1541272342,36,0
1541273299,832,106
1541274291,44,35
1541275216,61,0
1541276185,59,106
1541277142,66,48
1541278097,47,54
1541279077,57,0
1541280017,51,52
1541280999,40,45
1541281938,57,52
1541282898,53,52
1541283898,32,57
1541284811,70,46
1541285915,65,67
1541286992,58,43
1541287963,52,51
1541288895,72,66
1541289867,81,227
1541290900,47,44
1541292016,60,41
1541292969,57,47
1541293950,194,0
1541294900,51,44
