DateTime,AddedIPs,RemovedIPs
1541188097,1540,1540
1541189063,1484,1484
1541190018,1557,1557
1541190993,1779,1779
1541191931,1657,1657
1541192900,1682,1682
1541193876,1718,1718
1541195057,1745,1745
1541196021,1462,1462
1541196980,1615,1615
1541197947,1639,1639
1541198899,1641,1641
1541199880,1574,1574
1541200836,1588,1588
1541201797,1804,1804
1541202751,1719,1719
1541203719,1696,1696
1541204668,1644,1644
1541205638,1653,1653
1541206589,1623,1623
1541207555,1699,1699
1541208490,1557,1557
1541209463,1719,1719
1541210421,1656,1656
1541211395,1650,1650
1541212351,1586,1586
1541213303,1741,1741
1541214259,1734,1734
1541215212,1741,1741
1541216198,1651,1651
1541217161,1708,1708
1541218339,1709,1709
1541219290,934,934
1541220272,1913,1913
1541221244,1744,1744
1541222178,1695,1695
1541223141,1780,1780
1541224093,1727,1727
1541225065,1688,1688
1541226010,1666,1666
1541226994,1650,1650
1541227964,1699,1699
1541228897,1588,1588
1541229857,1610,1610
1541230831,1592,1592
1541231803,1684,1684
1541232743,1747,1747
1541233694,1473,1473
1541234662,1623,1623
1541235670,1693,1693
1541236585,1709,1709
1541237540,1856,1856
1541238499,1759,1759
1541239466,1614,1614
1541240416,1639,1639
1541241381,1656,1656
1541242366,1768,1768
1541243301,1687,1687
1541244258,1603,1603
1541245217,1681,1681
1541246175,1680,1680
1541247147,1637,1637
1541248137,1729,1729
1541249056,1747,1747
1541250022,1739,1739
1541250986,1656,1656
1541251945,1498,1498
1541252898,1471,1471
1541253872,1592,1592
1541254814,1752,1752
1541255795,1710,1710
1541256734,1735,1735
1541257699,1674,1674
1541258661,1552,1552
1541259628,1556,1556
1541260594,1491,1491
1541261597,1701,1701
1541262743,1740,1740
1541263707,1583,1583
1541264656,1554,1554
1541265618,1645,1645
1541266588,1586,1586
1541267533,1634,1634
1541268527,1706,1706
1541269454,1704,1704
1541270417,1622,1622
1541271376,1551,1551
1541272342,1472,1472
1541273299,1589,1589
1541274291,1656,1656
1541275216,1440,1440
1541276185,1515,1515
1541277142,1793,1793
1541278097,1650,1650
1541279077,1614,1614
1541280017,1495,1495
1541280999,1442,1442
1541281938,1719,1719
1541282898,1718,1718
1541283898,1663,1663
1541284811,1784,1784
1541285915,1662,1662
1541286992,1780,1780
1541287963,1592,1592
1541288895,1737,1737
1541289867,1732,1732
1541290900,1538,1538
1541292016,1656,1656
1541292969,1710,1710
1541293950,1742,1742
1541294900,1532,1532
1541295875,1777,1777
1541296815,1741,1741
1541297803,1758,1758
1541298755,1676,1676
1541299700,1734,1734
1541300672,1675,1675
1541301618,1546,1546
1541302611,1786,1786
1541303537,1785,1785
1541304499,1736,1736
1541305484,1762,1762
1541306426,1889,1889
1541307389,1755,1755
1541308370,1595,1595
1541309299,1910,1910
1541310259,1713,1713
1541311237,1659,1659
1541312200,1514,1514
1541313140,1523,1523
1541314094,1623,1623
1541315087,1727,1727
1541316257,1624,1624
1541317232,1622,1622
1541318189,1581,1581
1541319158,1694,1694
1541320096,1645,1645
1541321062,1755,1755
1541322052,1793,1793
1541322986,1707,1707
1541323942,1654,1654
1541324896,1636,1636
1541325878,1734,1734
1541326812,1654,1654
1541327791,1681,1681
1541328744,1685,1685
1541329699,1615,1615
1541330656,1482,1482
1541331612,1591,1591
1541332592,1689,1689
1541333539,1688,1688
1541334496,1665,1665
