DateTime,AddedIPs,RemovedIPs
1539464430,1,1
1539468030,0,1
1539471634,1,0
1539475231,0,2
1539478835,0,2
1539482433,0,1
1539486034,1,0
1539489631,3,1
1539493236,1,0
1539496833,1,4
1539500434,3,0
1539504034,1,1
1539507634,3,1
1539511236,1,0
1539514826,7,0
1539518432,2,0
1539522026,2,1
1539525632,1,2
1539529231,0,1
1539532837,1,0
1539536436,0,1
1539540038,1,3
1539543632,0,2
1539547234,1,0
1539550824,1,1
1539554431,0,5
1539558025,0,2
1539561630,0,1
1539572429,0,2
1539576037,29,0
1539579636,0,1
1539586838,1,1
1539590439,0,7
1539594036,2,7
1539597636,0,8
1539601235,0,5
1539604835,1,7
1539608431,0,10
1539612034,1,5
1539619240,1,2
1539626435,1,1
1539630033,2,0
1539633634,1,0
1539637234,6,0
1539640835,3,0
1539644436,1,1
1539648034,3,0
1539651636,1,1
1539658831,2,0
1539662431,0,1
1539666031,1,0
1539669631,1,4
1539673232,1,29
1539676826,1,5
1539680432,1,4
1539684034,0,2
1539687632,1,3
1539691230,1,2
1539698431,1,0
1539705639,2,0
1539709231,3,1
1539712839,0,2
1539720033,1,0
1539723633,1,0
1539730829,3,0
1539734434,4,0
1539738030,2,0
1539745234,6,0
1539752435,0,1
1539756042,0,3
1539759623,1,0
1539770427,2,0
1539777632,1,1
1539784835,0,2
1539792031,0,2
1539795631,0,1
1539799237,2,2
1539802835,2,1
1539806430,2,0
1539810034,0,1
1539813630,4,0
1539820836,5,0
1539828036,1,0
1539831633,4,0
1539835236,3,1
1539838835,4,0
1539842434,4,1
1539846034,3,0
1539849640,6,1
1539853236,2,1
1539856845,2,0
1539860435,1,0
1539864037,4,1
1539867634,1,1
1539871243,2,1
1539874851,4,0
1539878438,2,2
1539882036,29,1
1539885641,1,1
1539889233,0,2
1539892843,1,5
1539896436,3,4
1539900035,0,7
1539903634,0,2
1539907243,1,2
1539918034,3,2
1539921638,3,0
1539925242,1,2
1539928837,2,4
1539932444,0,3
1539936036,0,4
1539943241,1,1
1539946834,3,1
1539950442,0,1
1539954033,2,3
1539957642,1,1
1539961232,0,2
1539964837,0,3
1539968430,4,0
1539972038,0,4
1539975632,0,1
1539979236,5,2
1539990035,7,1
1539993636,1,2
1540000836,5,1
1540004441,0,2
1540008036,1,1
1540011647,0,1
1540015236,1,0
1540018835,1,0
1540022432,1,1
1540026037,0,1
1540029640,0,1
1540033235,1,1
1540036838,1,2
1540044040,3,0
1540047639,2,0
1540051236,2,2
1540054835,2,2
1540058438,1,1
1540062032,2,1
1540069233,0,1
1540072838,2,0
1540076434,1,1
1540087236,0,1
1540090841,7,0
1540098037,1,0
1540101639,1,0
1540105237,3,1
1540108827,1,3
1540112429,0,1
1540119630,0,5
1540123238,1,1
1540130436,1,2
1540134035,1,0
1540137638,2,2
1540141232,1,1
1540144839,0,3
1540148432,1,1
1540152033,1,3
1540155634,1,1
1540159236,3,1
1540162833,21,3
1540166433,0,1
1540173639,1,0
1540180837,0,21
1540195237,0,1
1540198833,0,1
1540202434,0,1
1540206035,1,1
1540216834,1,0
1540224033,1,0
1540231236,0,1
1540238433,1,0
1540242034,1,3
1540245631,1,3
1540252829,1,2
1540256432,0,2
1540263635,1,2
1540267235,0,1
1540274434,0,2
1540278030,1,1
1540281630,0,2
1540288827,1,0
1540292427,0,1
1540296034,0,3
1540306831,0,1
1540310434,0,4
1540314037,0,2
1540317631,0,1
1540324831,1,0
1540328438,2,2
1540332035,3,1
1540335638,0,2
1540339229,3,5
1540342831,1,2
1540346435,2,0
1540350034,2,5
1540357235,2,0
1540364440,1,0
1540375227,0,2
1540378824,1,0
1540382426,0,2
1540396836,19,0
1540400431,1,0
1540404035,1,0
1540407628,0,2
1540411232,1,0
1540414832,0,1
1540418438,0,2
1540422038,2,0
1540425639,1,0
1540429237,1,0
1540436434,4,0
1540440035,3,0
1540443641,3,2
1540447237,3,1
1540450839,1,1
1540454438,1,1
1540458038,1,1
1540461637,1,1
1540468830,1,0
1540472439,2,1
1540479631,0,3
1540483230,0,1
1540486831,2,23
1540490433,0,1
1540494037,1,2
1540497630,0,1
1540501233,4,4
1540504834,13,3
1540508426,2,3
1540512037,4,0
1540515626,2,0
1540519236,6,0
1540522838,4,2
1540526436,6,2
1540530037,3,0
1540533639,3,1
1540537228,3,0
1540540838,4,1
1540544433,1,0
1540548027,2,0
1540551640,2,1
1540555229,3,0
1540558837,1,1
1540562435,4,2
1540566034,4,0
1540569629,5,1
1540573237,5,1
1540576832,1,0
1540580440,2,0
1540584031,2,4
1540591228,0,1
1540594832,0,1
1540598432,3,0
1540602028,0,1
1540605633,0,1
1540609232,1,1
1540612833,1,0
1540616431,0,2
1540620035,1,0
1540623630,1,0
1540627232,0,2
1540630832,1,2
1540634439,3,1
1540638037,0,3
1540641637,0,1
1540645236,0,1
1540648838,0,4
1540652430,1,3
1540656027,1,1
1540659626,1,4
1540663227,1,0
1540666831,2,3
1540670433,1,0
1540674030,0,1
1540677628,1,2
1540688433,5,0
1540692028,1,0
1540695626,1,0
1540699234,6,1
1540702828,5,0
1540706426,2,0
1540710033,5,0
1540713631,4,1
1540717235,3,0
1540720835,3,0
1540724439,2,2
1540728034,2,2
1540731638,3,0
1540738842,1,3
1540742433,2,4
1540746039,0,1
1540749633,2,1
1540753235,0,2
1540756844,2,1
1540760439,1,3
1540764036,2,2
1540767633,0,30
1540774826,1,0
1540778434,1,3
1540785632,2,0
1540792830,18,0
1540796434,16,0
1540807238,1,0
1540810838,2,1
1540818035,1,0
1540821633,0,1
1540825254,5,0
1540828832,2,0
1540839640,1,0
1540846832,0,1
1540850432,0,1
1540854028,0,1
1540857641,3,0
1540861232,1,1
1540864831,0,1
1540868439,2,1
1540875637,0,2
1540879230,0,3
1540882840,1,1
1540886437,1,2
1540890042,2,1
1540893642,2,0
1540897237,0,3
1540900837,1,0
1540911629,1,0
1540915235,0,2
1540918835,0,3
1540922429,0,1
1540926040,5,1
1540929634,2,2
1540933238,0,2
1540936833,1,1
1540940436,0,4
1540944031,0,2
1540947634,1,2
1540951231,0,1
1540954835,1,2
1540962040,3,1
1540965638,0,3
1540969241,0,2
1540972838,0,3
1540976441,1,1
1540980028,2,0
1540983640,1,0
1540990828,1,3
1540994438,0,1
1540998030,2,0
1541001631,2,31
1541005229,1,3
1541008829,1,0
1541016026,0,1
1541019626,0,1
1541023231,0,2
1541026828,1,1
1541030430,2,2
1541034035,0,1
1541037630,0,2
1541041230,2,1
1541044839,5,0
1541048430,0,1
1541052039,2,1
1541062833,2,3
1541066433,3,0
1541077239,1,3
1541084432,1,0
1541088041,2,2
1541091635,4,3
1541095234,0,1
1541098836,1,1
1541106034,0,5
1541109636,1,8
1541113235,1,5
1541116840,1,4
1541120443,2,4
1541124032,0,1
