DateTime,AddedIPs,RemovedIPs
1538859630,1,0
1538863229,1,0
1538870427,0,4
1538874031,0,2
1538884833,0,1
1538888427,0,14
1538892032,1,0
1538899231,0,2
1538910032,0,2
1538924429,0,2
1538928024,0,2
1538935227,0,1
1538949628,1,1
1538964032,1,0
1538974830,1,0
1538985629,10,0
1538989230,7,0
1538992830,7,0
1538996430,3,1
1539000029,7,0
1539003632,6,0
1539007234,2,0
1539010830,0,1
1539021635,1,1
1539032434,1,0
1539036025,1,4
1539039632,1,1
1539043230,5,0
1539046830,3,0
1539050433,2,0
1539054033,2,0
1539061232,1,0
1539064832,2,1
1539068434,19,2
1539075637,2,26
1539082833,0,1
1539097233,0,1
1539100841,1,0
1539108030,1,0
1539118834,0,3
1539122431,0,3
1539126036,0,1
1539129635,0,1
1539133231,0,1
1539136833,0,1
1539140432,2,0
1539147634,1,1
1539151233,0,1
1539158427,1,1
1539162023,0,1
1539172824,1,1
1539176429,0,1
1539180029,0,1
1539190840,0,26
1539194428,0,15
1539198033,2,25
1539201632,0,3
1539205228,0,1
1539208831,0,2
1539212426,1,1
1539226827,0,7
1539230431,1,4
1539234032,0,1
1539244830,0,1
1539262829,0,3
1539270023,3,0
1539273630,0,1
1539277230,3,0
1539280829,1,0
1539284430,2,1
1539288029,4,1
1539291631,9,0
1539298829,1,2
1539302432,2,0
1539306031,1,0
1539309630,0,1
1539313231,4,0
1539320430,2,0
1539324027,4,1
1539327632,1,1
1539331232,2,0
1539338425,2,0
1539342031,1,0
1539345628,1,0
1539349229,0,1
1539352829,0,2
1539360028,2,0
1539363630,0,1
1539367227,1,0
1539381627,1,1
1539385233,1,0
1539388829,1,1
1539392429,0,1
1539396029,1,3
1539399630,1,0
1539403233,0,1
1539406827,1,2
1539414029,2,0
1539417632,0,2
1539421232,1,0
1539424831,1,0
1539428431,1,1
1539457234,0,1
1539460826,0,25
1539464428,1,1
1539468026,0,1
1539471630,1,0
1539475227,0,2
1539478831,0,2
1539482432,0,1
1539496828,0,3
1539504029,0,1
1539507630,0,1
1539514825,5,0
1539525627,1,0
1539532834,1,0
1539536430,0,1
1539540032,1,1
1539550819,1,0
1539554426,0,1
1539572429,0,1
1539576031,29,0
1539579631,0,1
1539586832,0,1
1539590432,0,7
1539594031,0,6
1539597631,0,8
1539601231,0,5
1539604830,0,7
1539608428,0,10
1539612030,1,5
1539619232,1,2
1539626430,0,1
1539630029,2,0
1539637229,6,0
1539640831,3,0
1539644431,1,1
1539648030,3,0
1539651631,1,0
1539658829,1,0
1539669631,0,4
1539673227,1,29
1539676822,1,4
1539680428,1,2
1539684030,0,1
1539687628,1,3
1539691230,1,1
1539705634,1,0
1539709227,3,0
1539712838,0,1
1539720029,1,0
1539723628,1,0
1539730825,3,1
1539734430,4,0
1539738026,2,0
1539745230,6,0
1539752430,0,1
