DateTime,Entries,UniqueIPs
1538859630,343,343
1538863229,344,344
1538870427,340,340
1538874031,338,338
1538884833,337,337
1538888427,323,323
1538892032,324,324
1538899231,322,322
1538910032,320,320
1538924429,318,318
1538928024,316,316
1538935227,315,315
1538949628,315,315
1538964032,316,316
1538974830,317,317
1538985629,327,327
1538989230,334,334
1538992830,341,341
1538996430,343,343
1539000029,350,350
1539003632,356,356
1539007234,358,358
1539010830,357,357
1539021635,357,357
1539032434,358,358
1539036025,355,355
1539039632,355,355
1539043230,360,360
1539046830,363,363
1539050433,365,365
1539054033,367,367
1539061232,368,368
1539064832,369,369
1539068434,386,386
1539075637,362,362
1539082833,361,361
1539097233,360,360
1539100841,361,361
1539108030,362,362
1539118834,359,359
1539122431,356,356
1539126036,355,355
1539129635,354,354
1539133231,353,353
1539136833,352,352
1539140432,354,354
1539147634,354,354
1539151233,353,353
1539158427,353,353
1539162023,352,352
1539172824,352,352
1539176429,351,351
1539180029,350,350
1539190840,324,324
1539194428,309,309
1539198033,286,286
1539201632,283,283
1539205228,282,282
1539208831,280,280
1539212426,280,280
1539226827,273,273
1539230431,270,270
1539234032,269,269
1539244830,268,268
1539262829,265,265
1539270023,268,268
1539273630,267,267
1539277230,270,270
1539280829,271,271
1539284430,272,272
1539288029,275,275
1539291631,284,284
1539298829,283,283
1539302432,285,285
1539306031,286,286
1539309630,285,285
1539313231,289,289
1539320430,291,291
1539324027,294,294
1539327632,294,294
1539331232,296,296
1539338425,298,298
1539342031,299,299
1539345628,300,300
1539349229,299,299
1539352829,297,297
1539360028,299,299
1539363630,298,298
1539367227,299,299
1539381627,299,299
1539385233,300,300
1539388829,300,300
1539392429,299,299
1539396029,297,297
1539399630,298,298
1539403233,297,297
1539406827,296,296
1539414029,298,298
1539417632,296,296
1539421232,297,297
1539424831,298,298
1539428431,298,298
1539457234,297,297
1539460826,272,272
1539464428,272,272
1539468026,271,271
1539471630,272,272
1539475227,270,270
1539478831,268,268
1539482432,267,267
1539496828,264,264
1539504029,263,263
1539507630,262,262
1539514825,267,267
1539525627,268,268
1539532834,269,269
1539536430,268,268
1539540032,268,268
1539550819,269,269
1539554426,268,268
1539572429,267,267
1539576031,296,296
1539579631,295,295
1539586832,294,294
1539590432,287,287
1539594031,281,281
1539597631,273,273
1539601231,268,268
1539604830,261,261
1539608428,251,251
1539612030,247,247
1539619232,246,246
1539626430,245,245
1539630029,247,247
1539637229,253,253
1539640831,256,256
1539644431,256,256
1539648030,259,259
1539651631,260,260
1539658829,261,261
1539669631,257,257
1539673227,229,229
1539676822,226,226
1539680428,225,225
1539684030,224,224
1539687628,222,222
1539691230,222,222
1539705634,223,223
1539709227,226,226
1539712838,225,225
1539720029,226,226
1539723628,227,227
1539730825,229,229
1539734430,233,233
1539738026,235,235
1539745230,241,241
1539752430,240,240
1539756027,237,237
1539759618,238,238
1539770424,240,240
1539777627,240,240
1539784830,238,238
1539792027,236,236
1539799232,237,237
1539802830,238,238
1539806425,240,240
1539810033,239,239
1539813626,243,243
1539820831,248,248
1539828031,249,249
1539831632,252,252
