DateTime,AddedIPs,RemovedIPs
1539648293,1,1
1539651878,2,2
1539655411,2,3
1539659055,2,2
1539662681,0,1
1539666268,1,2
1539673474,1,0
1539677057,1,0
1539680675,1,86
1539684285,0,2
1539687839,1,0
1539691455,1,0
1539695040,1,2
1539702241,2,2
1539705867,0,3
1539709451,0,3
1539713076,1,2
1539716659,1,1
1539720256,2,3
1539723849,4,0
1539727473,1,2
1539731056,1,3
1539734635,0,2
1539741854,3,1
1539745436,1,3
1539749057,2,2
1539752661,1,1
1539759811,1,2
1539763426,3,0
1539767043,0,2
1539770672,0,1
1539774261,0,1
1539777843,0,2
1539781452,0,1
1539785071,1,1
1539788641,0,2
1539792264,0,1
1539795846,1,2
1539799463,1,7
1539803046,1,0
1539806658,1,1
1539810242,3,4
1539813881,1,2
1539817461,4,6
1539821086,1,2
1539824644,2,0
1539828238,2,2
1539831823,0,1
1539835449,0,1
1539839044,1,1
1539842646,1,0
1539846266,2,1
1539857053,2,1
1539864251,5,0
1539867855,1,0
1539871454,0,1
1539882270,1,3
1539889472,2,0
1539893069,4,0
1539903845,0,1
1539907464,1,2
1539911065,0,2
1539914627,1,2
1539918252,0,2
1539929044,3,0
1539936250,0,1
1539939855,0,1
1539950668,2,1
1539954272,3,1
1539957876,1,1
1539961466,0,1
1539965056,1,2
1539968654,2,1
1539972269,0,3
1539975879,2,4
1539979466,2,1
1539983060,5,2
1539986600,4,0
1539990249,4,5
1539993845,1,1
1539997451,1,0
1540001043,3,2
1540004674,0,1
1540011840,0,1
1540019065,0,2
1540022642,0,1
1540026251,1,0
1540029848,0,1
1540033475,1,2
1540037066,0,1
1540044255,2,1
1540047844,1,0
1540051445,4,3
1540055042,0,1
1540058658,4,0
1540062270,2,0
1540065864,2,2
1540069465,2,1
1540073084,4,1
1540076647,1,0
1540080264,1,0
1540083869,2,4
1540087462,4,0
1540091057,3,0
1540094669,2,0
1540098242,1,0
1540101851,1,1
1540105487,0,2
1540109010,1,0
1540112617,1,7
1540116269,0,3
1540119854,1,3
1540123461,2,0
1540127025,2,2
1540130653,1,1
1540134278,1,3
1540137798,1,4
1540141442,1,3
1540145075,2,1
1540148649,1,2
1540152258,1,2
1540155868,2,4
1540159448,6,3
1540163045,5,0
1540166661,6,2
1540170267,2,3
1540173864,2,2
1540177452,1,0
1540181067,1,0
1540184636,1,1
1540188271,1,1
1540191873,1,3
1540195449,2,0
1540199021,1,0
1540206239,2,1
1540209854,1,2
1540213436,1,0
1540224278,1,1
1540227856,1,1
1540231456,0,1
1540235055,3,0
1540238665,2,3
1540242280,2,2
1540245848,4,0
1540249477,1,0
1540253051,0,2
1540256665,0,3
1540260241,0,1
1540263890,0,1
1540267438,0,1
1540271057,4,1
1540274660,2,2
1540278248,0,1
1540281815,2,1
1540285454,0,1
1540289039,1,0
1540292644,3,0
1540296285,3,1
1540303464,1,1
1540307035,1,5
1540310656,1,0
1540314247,1,0
1540321453,5,1
1540325074,3,0
1540328656,1,0
1540332279,2,3
1540335849,2,2
1540339448,3,4
1540343061,2,0
1540346670,0,3
1540350253,1,2
1540353831,0,2
1540357467,5,1
1540361037,2,1
1540364662,2,2
1540368263,1,3
1540371822,0,2
1540375402,1,0
1540386210,4,0
1540389824,2,1
1540393432,3,1
1540397043,1,0
1540400647,5,0
1540404241,3,1
1540407886,5,0
1540411459,2,2
1540415059,4,1
1540418658,1,1
1540422269,2,2
1540425858,2,3
1540429456,1,2
1540433039,1,0
1540443868,0,1
1540447439,1,2
1540451052,1,1
1540454649,2,1
1540458246,0,1
1540461826,1,0
1540465437,2,0
1540469069,0,4
1540472648,1,2
1540476287,1,0
1540479828,2,0
1540483475,1,1
1540487043,4,0
1540490690,6,1
1540494251,3,0
1540497843,3,1
1540501469,3,3
1540504996,0,1
1540508613,5,0
1540515867,1,1
1540519482,1,1
1540523071,1,1
1540526628,1,0
1540537468,4,1
1540541049,1,1
1540548227,3,0
1540555473,0,3
1540559064,2,0
1540562643,2,0
1540566211,2,0
1540569836,5,0
1540573447,1,0
1540577057,1,0
1540580646,3,2
1540584243,8,0
1540587810,6,6
1540591407,3,1
1540595026,7,0
1540598642,2,0
1540602263,1,1
1540605872,2,1
1540613066,1,0
1540616662,0,1
1540620259,0,1
1540623850,1,0
1540627443,2,1
1540631077,4,1
1540634668,1,1
1540638265,1,0
1540645462,0,1
1540649054,2,4
1540652611,3,2
1540656217,0,1
1540659810,0,2
1540663397,0,3
1540667043,0,1
1540670657,1,3
1540674267,2,0
1540677868,1,1
1540681465,2,0
1540685073,3,0
1540688632,2,3
1540692206,3,0
1540699446,0,1
1540703005,2,2
1540706610,1,0
1540710244,0,1
1540713857,1,0
1540717443,0,1
1540721070,0,1
1540724644,2,1
1540728261,0,2
1540731852,1,0
1540735458,2,1
1540739041,0,2
1540742640,2,0
1540746249,1,1
1540749861,1,0
1540753483,2,0
1540757067,0,1
1540760660,0,1
1540764279,1,0
1540767849,1,3
1540771463,5,1
1540775043,1,3
1540778662,0,3
1540782247,0,1
1540785876,1,1
1540789511,1,7
1540793083,0,1
1540796642,2,2
1540800274,1,8
1540803853,0,5
1540811040,2,0
1540814656,1,1
1540818256,0,2
1540821840,2,2
1540829069,1,1
1540832675,1,0
1540836248,1,1
1540839851,2,2
1540843468,2,0
1540847014,1,2
1540850553,0,1
1540854247,2,3
1540857844,2,1
1540861415,1,1
1540865020,1,2
1540868659,1,0
1540875858,1,0
1540879453,1,1
1540883060,2,0
1540886668,1,1
1540890274,2,0
1540893835,3,2
1540897465,1,0
1540901040,2,1
1540904665,1,0
1540908261,0,1
1540911862,1,3
1540915451,0,3
1540919064,2,0
1540922671,1,0
1540926283,2,0
1540929888,0,2
1540933463,2,0
1540937053,3,2
1540940652,2,0
1540944249,1,5
1540947842,1,1
1540951441,0,1
1540955036,1,0
1540958652,1,0
1540962253,0,2
1540965857,0,3
1540969457,1,0
1540973057,0,1
1540976630,1,1
1540980238,0,1
1540983832,0,1
1540987417,0,1
1540991055,2,2
1540994641,0,1
1540998249,0,2
1541001854,2,0
1541005444,3,3
1541009052,1,5
1541012650,3,4
1541016225,1,1
1541019817,0,1
1541023425,3,0
1541027069,0,2
1541030659,0,3
1541034246,3,4
1541037815,1,3
1541041462,0,1
1541045057,2,0
1541052257,0,2
1541055859,1,1
1541059482,1,1
1541063035,0,2
1541073871,1,0
1541077470,1,0
1541081076,0,2
1541084654,79,4
1541088231,2,2
1541095448,1,2
1541099057,0,2
1541102663,5,1
1541106281,1,2
1541109845,1,2
1541113471,0,2
1541117067,4,2
1541120677,1,0
1541124268,1,2
1541127860,1,1
1541131449,0,3
1541135059,0,1
1541138657,1,0
1541142263,1,3
1541145845,0,1
1541149472,0,3
1541153063,1,7
1541156656,1,2
1541160259,1,5
1541163849,1,3
1541167456,0,3
1541174664,2,1
1541178268,1,1
1541181851,1,2
1541185452,3,2
1541189072,4,3
1541192644,4,0
1541196257,1,4
1541199836,1,1
1541207071,0,3
1541210654,2,2
1541214267,1,1
1541225063,1,2
1541232263,0,1
1541235822,0,5
1541239473,0,1
1541243016,0,1
1541246684,1,2
1541250210,3,1
1541253836,1,1
1541257411,2,3
1541261053,2,2
1541264652,0,5
1541268283,3,4
1541271864,0,1
1541275472,2,3
1541279065,0,4
1541282655,3,3
1541286257,1,3
1541289883,4,3
1541293454,7,2
1541297095,38,1
1541300660,3,0
1541304234,1,3
1541307850,0,2
1541311467,1,1
1541318654,1,0
1541322261,1,0
1541325859,0,1
1541329461,1,2
1541333042,2,0
1541336654,2,0
1541343847,0,1
1541347429,2,0
1541351033,2,2
1541354653,2,3
1541358230,2,1
1541361887,1,0
1541365459,0,1
1541369065,1,1
1541372662,1,2
1541376284,0,1
1541379834,0,2
1541383450,1,1
1541390635,1,2
1541394258,0,2
1541397869,1,3
1541401439,0,1
1541405050,2,1
1541408673,2,1
1541412255,1,0
1541415854,1,1
1541419471,16,1
1541423061,45,0
1541426683,14,4
1541430250,1,0
1541433866,1,1
1541437474,1,2
1541441068,1,3
1541444682,3,0
1541448248,3,0
1541451859,2,0
1541455483,3,4
1541459045,2,2
1541462693,4,5
1541466270,2,0
1541469856,1,0
1541473459,1,0
1541484223,1,1
1541495085,0,2
1541498633,0,3
1541502279,2,0
1541505856,0,2
1541509461,1,1
1541513052,0,1
1541516672,1,0
1541523860,1,1
1541527471,4,0
1541531086,1,1
1541534689,1,0
1541538272,0,1
1541541889,2,4
1541545475,6,1
1541549077,0,3
1541556265,2,1
1541559866,2,2
1541563461,0,1
1541570687,1,0
1541574258,0,2
1541581450,2,1
1541585061,0,1
1541588651,1,1
1541592247,0,3
1541595860,2,2
1541599458,2,0
1541603085,2,2
1541606669,2,0
1541610264,2,1
1541613870,2,1
1541617455,2,2
1541621074,5,0
1541624662,0,2
1541628286,0,2
1541631850,4,2
1541635480,1,1
1541639058,2,1
1541642682,2,0
1541646272,2,0
1541653441,2,0
1541657058,1,1
1541660660,1,0
1541667891,1,1
