DateTime,AddedIPs,RemovedIPs
1539878965,23,80
1539882566,30,64
1539886166,25,57
1539889765,31,49
1539893365,34,30
1539896962,35,58
1539900562,28,63
1539904159,18,38
1539907757,24,69
1539911361,23,43
1539914948,28,48
1539918548,26,83
1539922191,19,70
1539925749,26,80
1539929348,29,50
1539932938,25,48
1539936537,20,51
1539940140,34,59
1539943744,50,45
1539947336,49,120
1539950938,47,69
1539954540,51,39
1539958139,36,45
1539961734,39,65
1539965338,30,59
1539968932,40,74
1539972528,58,46
1539976133,24,41
1539979737,43,26
1539983337,35,41
1539986934,24,60
1539990525,29,43
1539994130,28,53
1539997726,31,73
1540001325,34,37
1540004916,21,35
1540008516,22,91
1540012121,21,46
1540015720,27,24
1540019322,29,25
1540022919,21,23
1540026518,28,15
1540030121,34,16
1540033728,26,18
1540037327,22,21
1540040920,21,18
1540044524,24,17
1540048118,34,39
1540051721,36,17
1540055329,18,17
1540058926,37,27
1540062532,23,30
1540066123,22,26
1540069727,28,27
1540073322,28,29
1540076917,21,26
1540080526,28,24
1540084119,24,26
1540087718,22,39
1540091321,17,34
1540094921,30,25
1540098517,30,27
1540102120,18,21
1540105717,26,20
1540109323,28,21
1540112929,25,40
1540116541,29,25
1540120132,23,32
1540123723,26,27
1540127329,27,29
1540130914,29,25
1540134527,23,18
1540138115,26,21
1540141728,25,29
1540145326,30,34
1540148921,22,30
1540152526,20,23
1540156129,30,17
1540159732,23,30
1540163326,23,25
1540166925,26,24
1540170521,24,26
1540174130,19,28
1540177724,25,27
1540181320,32,29
1540184922,30,18
1540188522,55,33
1540192128,20,18
1540195715,24,22
1540199322,28,31
1540202927,39,20
1540206521,16,24
1540210129,27,9
1540213722,35,27
1540217322,28,23
1540220923,37,25
1540224528,13,31
1540228126,15,23
1540231735,30,32
1540235332,22,24
1540238936,27,21
1540242565,48,20
1540246171,41,26
1540249771,21,36
1540253367,21,31
1540256958,33,26
1540260570,34,21
1540264179,34,29
1540267771,23,17
1540271359,21,22
1540274962,22,26
1540278556,18,46
1540282155,21,50
1540285766,17,51
1540289354,22,42
1540292958,22,37
1540296555,24,38
1540300154,23,50
1540303746,15,34
1540307349,34,28
1540310959,22,42
1540314547,22,45
1540318146,34,35
1540321748,22,35
1540325349,29,46
1540328948,21,37
1540332550,14,33
1540336143,22,45
1540339773,23,38
1540343343,28,31
1540346937,25,49
1540350540,20,55
1540354132,25,32
1540357735,29,26
1540361331,29,31
1540364928,20,22
1540368530,19,28
1540372134,47,30
1540375735,28,35
1540379342,26,28
1540382939,23,36
1540386539,16,42
1540390195,34,24
1540393733,32,29
1540397301,25,25
1540400921,25,29
1540404500,31,66
1540408106,33,40
1540411698,22,40
