DateTime,AddedIPs,RemovedIPs
1539878988,15,59
1539882582,22,43
1539886180,13,38
1539889782,10,34
1539893378,16,20
1539896981,18,43
1539900573,21,51
1539904178,14,25
1539907773,11,55
1539911370,16,34
1539914966,11,38
1539918564,19,66
1539922181,11,50
1539925771,16,58
1539929368,19,40
1539932954,18,35
1539936556,12,37
1539940156,18,46
1539943760,34,40
1539947347,35,103
1539950953,30,54
1539954555,30,29
1539958156,20,31
1539961745,20,50
1539965352,12,42
1539968952,20,53
1539972547,43,30
1539976156,14,31
1539979767,41,19
1539983358,29,30
1539986953,17,50
1539990554,12,24
1539994154,17,37
1539997744,17,61
1540001347,25,27
1540004944,12,27
1540008531,11,70
1540012141,14,26
1540015739,17,19
1540019340,19,13
1540022935,13,13
1540026528,20,6
1540030141,20,4
1540033744,18,6
1540037342,9,11
1540040941,6,3
1540044546,17,7
1540048139,20,31
1540051740,22,7
1540055342,13,8
1540058940,18,14
1540062548,15,18
1540066141,7,18
1540069748,16,15
1540073350,17,18
1540076946,16,14
1540080549,18,12
1540084146,16,17
1540087741,13,25
1540091342,9,21
1540094936,17,14
1540098534,23,18
1540102146,12,18
1540105745,16,14
1540109348,21,18
1540112948,17,24
1540116558,17,19
1540120147,17,17
1540123751,16,17
1540127348,20,18
1540130943,18,12
1540134546,8,13
1540138139,10,7
1540141747,14,17
1540145345,17,24
1540148940,18,20
1540152553,12,13
1540156151,19,12
1540159760,12,15
1540163352,9,10
1540166958,20,20
1540170558,13,14
1540174157,12,17
1540177754,16,15
1540181349,24,16
1540184952,18,11
1540188546,44,19
1540192146,14,12
1540195745,20,11
1540199341,16,22
1540202949,32,11
1540206536,12,16
1540210138,15,4
1540213739,16,15
1540217339,15,13
1540220935,19,17
1540224548,5,16
1540228147,8,12
1540231761,16,17
1540235353,13,10
1540238963,16,16
1540242575,31,9
1540246180,29,15
1540249784,10,26
1540253385,10,18
1540256968,12,17
1540260573,16,13
1540264183,27,20
1540267779,14,9
1540271364,11,18
1540274967,13,15
1540278561,9,30
1540282171,16,30
1540285771,14,29
1540289364,15,22
1540292964,13,19
1540296575,15,21
1540300166,10,29
1540303763,6,22
1540307354,23,14
1540310964,17,31
1540314551,14,25
1540318155,22,19
1540321753,7,20
1540325354,14,24
1540328953,9,21
1540332557,10,24
1540336153,13,31
1540339789,18,17
1540343348,17,16
1540346951,13,23
1540350546,12,33
1540354142,15,25
1540357740,23,19
1540361335,18,14
1540364933,10,18
1540368538,14,19
1540372149,42,17
1540375742,9,18
1540379352,19,18
1540382948,16,25
1540386550,12,18
1540390199,20,15
1540393738,18,18
1540397333,13,16
1540400932,13,19
1540404528,19,34
1540408141,23,22
1540411732,12,26
1540415330,25,30
1540418938,25,17
1540422541,13,24
1540426137,19,18
1540429741,11,20
1540433341,19,22
1540436925,17,31
1540440525,19,16
1540444125,8,23
1540447725,11,27
1540451319,11,36
1540454923,25,21
1540458541,23,20
1540462139,18,22
1540465726,12,15
1540469335,19,16
1540472936,10,18
1540476537,15,14
1540480124,6,18
1540483737,22,19
1540487340,20,27
1540490953,22,18
1540494548,14,10
1540498152,16,16
1540501749,19,16
1540505355,25,32
1540508950,20,12
1540512536,20,16
1540516144,11,18
1540519737,14,16
1540523335,6,21
1540526933,15,19
1540530533,18,17
1540534122,15,22
1540537734,16,18
1540541338,10,13
1540544928,11,18
1540548542,15,33
1540552140,22,37
1540555740,23,34
1540559338,13,25
1540562926,20,29
1540566515,5,32
1540570119,11,19
1540573716,22,32
1540577311,13,52
1540580906,14,35
1540584510,19,33
1540588109,21,35
1540591728,13,21
1540595323,13,24
1540598919,15,24
1540602520,18,30
1540606124,20,37
1540609720,12,22
1540613316,14,19
1540616921,14,21
1540620516,13,32
1540624124,14,21
1540627721,17,24
1540631334,17,27
1540634920,16,25
1540638515,11,22
1540642116,8,21
1540645712,11,18
1540649301,16,23
1540652900,21,23
1540656502,18,24
1540660100,17,14
1540663712,14,25
1540667314,19,25
1540670911,14,13
1540674509,23,20
1540678107,18,26
1540681696,17,23
1540685301,21,20
1540688909,13,24
1540692508,8,17
1540696109,10,17
1540699710,17,23
1540703311,19,27
1540706907,19,18
1540710509,18,21
1540714107,9,21
1540717710,12,20
1540721300,15,22
1540724893,11,20
1540728496,19,23
1540732097,15,24
1540735703,23,23
1540739297,11,12
1540742898,10,17
1540746500,7,21
1540750095,14,27
1540753699,19,30
1540757304,14,18
1540760900,42,27
1540764502,6,24
1540768102,14,28
1540771695,7,35
1540775293,14,26
1540778893,29,31
1540782489,13,30
1540786095,16,26
1540789688,9,32
1540793300,10,56
