DateTime,Entries,UniqueIPs
1539878988,5351,5351
1539882582,5330,5330
1539886180,5305,5305
1539889782,5281,5281
1539893378,5277,5277
1539896981,5252,5252
1539900573,5222,5222
1539904178,5211,5211
1539907773,5167,5167
1539911370,5149,5149
1539914966,5122,5122
1539918564,5075,5075
1539922181,5036,5036
1539925771,4994,4994
1539929368,4973,4973
1539932954,4956,4956
1539936556,4931,4931
1539940156,4903,4903
1539943760,4897,4897
1539947347,4829,4829
1539950953,4805,4805
1539954555,4806,4806
1539958156,4795,4795
1539961745,4765,4765
1539965352,4735,4735
1539968952,4702,4702
1539972547,4715,4715
1539976156,4698,4698
1539979767,4720,4720
1539983358,4719,4719
1539986953,4686,4686
1539990554,4674,4674
1539994154,4654,4654
1539997744,4610,4610
1540001347,4608,4608
1540004944,4593,4593
1540008531,4534,4534
1540012141,4522,4522
1540015739,4520,4520
1540019340,4526,4526
1540022935,4526,4526
1540026528,4540,4540
1540030141,4556,4556
1540033744,4568,4568
1540037342,4566,4566
1540040941,4569,4569
1540044546,4579,4579
1540048139,4568,4568
1540051740,4583,4583
1540055342,4588,4588
1540058940,4592,4592
1540062548,4589,4589
1540066141,4578,4578
1540069748,4579,4579
1540073350,4578,4578
1540076946,4580,4580
1540080549,4586,4586
1540084146,4585,4585
1540087741,4573,4573
1540091342,4561,4561
1540094936,4564,4564
1540098534,4569,4569
1540102146,4563,4563
1540105745,4565,4565
1540109348,4568,4568
1540112948,4561,4561
1540116558,4559,4559
1540120147,4559,4559
1540123751,4558,4558
1540127348,4560,4560
1540130943,4566,4566
1540134546,4561,4561
1540138139,4564,4564
1540141747,4561,4561
1540145345,4554,4554
1540148940,4552,4552
1540152553,4551,4551
1540156151,4558,4558
1540159760,4555,4555
1540163352,4554,4554
1540166958,4554,4554
1540170558,4553,4553
1540174157,4548,4548
1540177754,4549,4549
1540181349,4557,4557
1540184952,4564,4564
1540188546,4589,4589
1540192146,4591,4591
1540195745,4600,4600
1540199341,4594,4594
1540202949,4615,4615
1540206536,4611,4611
1540210138,4622,4622
1540213739,4623,4623
1540217339,4625,4625
1540220935,4627,4627
1540224548,4616,4616
1540228147,4612,4612
1540231761,4611,4611
1540235353,4614,4614
1540238963,4614,4614
1540242575,4636,4636
1540246180,4650,4650
1540249784,4634,4634
1540253385,4626,4626
1540256968,4621,4621
1540260573,4624,4624
1540264183,4631,4631
1540267779,4636,4636
1540271364,4629,4629
1540274967,4627,4627
1540278561,4606,4606
1540282171,4592,4592
1540285771,4577,4577
1540289364,4570,4570
1540292964,4564,4564
1540296575,4558,4558
1540300166,4539,4539
1540303763,4523,4523
1540307354,4532,4532
1540310964,4518,4518
1540314551,4507,4507
1540318155,4510,4510
1540321753,4497,4497
1540325354,4487,4487
1540328953,4475,4475
1540332557,4461,4461
1540336153,4443,4443
1540339789,4444,4444
1540343348,4445,4445
1540346951,4435,4435
1540350546,4414,4414
1540354142,4404,4404
1540357740,4408,4408
1540361335,4412,4412
1540364933,4404,4404
1540368538,4399,4399
1540372149,4424,4424
1540375742,4415,4415
1540379352,4416,4416
1540382948,4407,4407
1540386550,4401,4401
1540390199,4406,4406
1540393738,4406,4406
1540397333,4403,4403
1540400932,4397,4397
1540404528,4382,4382
1540408141,4383,4383
1540411732,4369,4369
1540415330,4364,4364
1540418938,4372,4372
1540422541,4361,4361
1540426137,4362,4362
1540429741,4353,4353
1540433341,4350,4350
1540436925,4336,4336
1540440525,4339,4339
1540444125,4324,4324
1540447725,4308,4308
1540451319,4283,4283
1540454923,4287,4287
1540458541,4290,4290
1540462139,4286,4286
1540465726,4283,4283
1540469335,4286,4286
1540472936,4278,4278
1540476537,4279,4279
1540480124,4267,4267
1540483737,4270,4270
1540487340,4263,4263
1540490953,4267,4267
1540494548,4271,4271
