DateTime,AddedIPs,RemovedIPs
1539878710,11,5
1539882307,8,4
1539885919,5,3
1539889504,7,7
1539893102,9,4
1539896714,0,3
1539900304,4,1
1539903905,4,1
1539907507,2,0
1539911107,14,1
1539914706,4,6
1539918308,3,2
1539921913,3,5
1539925512,6,5
1539929120,12,9
1539932713,8,3
1539936311,9,14
1539939910,8,9
1539943511,15,15
1539947100,3,8
1539950714,7,11
1539954312,9,3
1539957912,8,4
1539961503,9,6
1539965110,8,7
1539968709,4,4
1539972313,8,4
1539975917,7,6
1539979517,5,5
1539983115,8,7
1539986715,6,9
1539990310,4,0
1539993917,0,1
1539997509,2,5
1540001109,2,5
1540004720,4,3
1540008296,3,0
1540011913,5,8
1540015516,5,8
1540019107,7,26
1540022701,6,26
1540026300,5,25
1540029904,5,5
1540033509,2,3
1540037118,4,4
1540040700,23,6
1540044314,26,3
1540047897,5,4
1540051510,3,9
1540055107,9,3
1540058711,6,7
1540062312,3,4
1540065912,2,3
1540069518,6,3
1540073120,3,1
1540076713,3,1
1540080320,1,1
1540083915,2,0
1540087501,2,1
1540091117,1,4
1540094712,0,2
1540098302,4,2
1540101921,4,5
1540105523,6,4
1540109122,10,7
1540112713,4,4
1540116315,4,4
1540119927,4,3
1540123508,5,3
1540127114,8,4
1540130710,5,2
1540134313,8,4
1540137975,6,2
1540141511,6,5
1540145119,7,4
1540148710,7,3
1540152314,6,6
1540155922,4,5
1540159522,1,0
1540163115,2,3
1540166724,1,1
1540170320,4,2
1540173924,2,1
1540177511,5,3
1540181117,7,6
1540184719,9,9
1540188314,8,5
1540191912,7,11
1540195515,10,7
1540199116,13,4
1540202712,7,11
1540206300,9,2
1540209919,12,7
1540213507,8,8
1540217109,9,7
1540220705,8,9
1540224316,8,7
1540227926,5,3
1540231530,6,4
1540235122,6,4
1540238723,15,1
1540242328,5,7
1540245931,6,8
1540249533,2,11
1540253145,1,7
1540256719,4,2
1540260321,1,2
1540263941,5,1
1540267530,4,1
1540271123,6,12
1540274714,8,20
1540278335,11,16
1540281929,7,5
1540285525,11,7
1540289129,12,5
1540292714,5,11
1540296328,12,13
1540299934,2,13
1540303529,14,13
1540307116,6,18
1540310721,12,8
1540314321,11,7
1540317918,5,8
1540321525,7,2
1540325113,3,4
1540328711,1,9
1540332323,3,2
1540335923,13,2
1540339551,3,2
1540343125,0,3
1540346722,7,4
1540350321,5,1
1540353914,7,4
1540357510,6,3
1540361107,9,5
1540364711,7,8
1540368321,9,6
1540371931,7,8
1540375512,9,6
1540379123,7,10
1540382727,6,9
1540386325,7,7
1540389989,7,7
1540393511,5,10
1540397106,6,6
1540400714,7,7
1540404315,4,3
1540407924,9,6
1540411508,8,8
1540415110,6,6
1540418721,7,7
1540422317,2,2
1540425915,3,1
1540429511,12,11
1540433127,4,3
1540436707,7,2
1540440300,4,4
1540443905,4,6
1540447510,10,10
1540451146,11,11
1540454702,6,7
1540458320,10,10
1540461914,8,5
1540465507,6,7
1540469113,3,6
1540472709,2,13
1540476324,2,12
1540479907,8,6
1540483518,3,9
1540487114,6,10
1540490728,4,2
1540494323,4,6
1540497925,2,7
1540501523,1,2
1540505135,3,4
1540508727,4,4
1540512316,0,1
1540515926,2,11
1540519523,1,4
1540523105,2,4
1540526713,7,0
1540530316,6,6
1540533910,10,13
1540537514,4,11
1540541109,4,7
1540544715,10,6
1540548331,15,11
1540551928,13,7
1540555518,3,6
1540559125,11,8
1540562712,4,9
