DateTime,AddedIPs,RemovedIPs
1539956643,80,60
1539960482,71,69
1539964565,81,88
1539966723,94,61
1539968642,61,94
1539970562,166,118
1539974402,92,86
1539976323,206,255
1539978243,279,239
1539982082,81,92
1539984005,77,99
1539989763,69,89
1539993614,80,116
1539995523,63,99
1539999363,73,76
1540003203,80,90
1540007043,90,107
1540011123,72,97
1540014963,94,70
1540017123,68,62
1540020962,66,52
1540024802,109,56
1540028643,72,72
1540032482,86,58
1540036324,93,76
1540040163,81,83
1540044014,91,91
1540045922,90,76
1540049762,84,83
1540053602,81,90
1540057444,95,77
1540061283,88,71
1540063203,87,85
1540068964,83,97
1540072816,65,105
1540074723,61,103
1540076643,90,92
1540082403,44,95
1540084323,0,3
1540086242,73,81
1540090082,77,91
1540093923,98,91
1540097763,82,77
1540101612,75,68
1540103523,57,54
1540107843,62,75
1540111682,83,58
1540115764,123,46
1540119612,89,79
1540121523,87,68
1540125362,88,73
1540129682,91,61
1540133523,71,80
1540135443,80,71
1540137363,136,116
1540139763,96,71
1540143602,85,83
1540147444,104,94
1540151282,92,92
1540155124,95,118
1540158963,83,122
1540162810,75,136
1540166642,86,124
1540168562,61,72
1540172403,67,80
1540176242,81,91
1540180082,83,95
1540183923,90,82
1540187763,82,90
1540189682,90,82
1540191606,160,144
1540193523,71,59
1540197362,78,63
1540201682,47,56
1540205523,74,51
1540209612,85,53
1540211523,93,68
1540215363,75,71
1540219202,69,82
1540223043,84,87
1540226882,121,77
1540230723,94,89
1540236482,97,85
1540238415,103,105
1540242243,84,102
1540244163,84,123
1540248002,61,129
1540251843,101,109
1540255683,54,96
1540259523,81,82
1540263363,81,90
1540265523,90,108
1540269363,83,91
1540273202,86,84
1540277043,96,77
1540278963,70,77
1540283042,575,388
1540284962,401,562
1540288807,71,46
1540290723,60,65
1540294563,90,62
1540298402,61,65
1540304163,78,67
1540308004,71,70
1540309922,103,73
1540311842,89,76
1540315923,111,81
1540321683,96,88
1540323602,111,86
1540329363,101,111
1540331283,76,123
1540337042,74,122
1540338963,91,105
1540340883,67,96
1540344723,77,83
1540346884,70,106
1540352643,93,99
1540356483,97,95
1540361044,84,71
1540362962,71,58
1540367042,81,61
1540371122,62,59
1540374963,75,76
1540379045,89,62
1540381203,59,58
1540385042,84,66
1540389123,72,71
1540391043,74,66
1540396816,91,97
1540398723,107,76
1540400644,110,78
1540406403,100,87
1540410242,94,96
1540414082,76,90
1540417922,76,113
1540422015,70,111
1540423922,87,121
1540428002,68,78
1540431842,77,75
1540435922,75,77
1540437843,194,226
1540441923,87,93
1540446002,101,83
1540449843,79,76
1540453682,83,67
1540457522,75,63
1540461362,65,64
1540465215,83,64
1540467362,66,47
1540471203,83,59
1540475042,69,73
1540478882,74,81
1540482723,78,79
1540486562,85,73
1540488723,90,70
1540492802,107,77
1540496643,84,82
1540498563,94,88
1540504322,74,96
1540508415,70,123
1540512484,94,115
1540514402,66,95
1540518243,73,77
1540522082,86,106
1540527842,100,104
1540529762,98,95
1540531924,95,73
1540533843,78,75
1540537685,80,73
1540543442,77,74
1540547524,69,59
1540551365,78,66
1540553523,78,63
1540555443,63,78
1540557363,116,111
1540561203,89,82
1540565283,78,78
1540567205,71,64
1540573216,91,75
1540577044,92,82
1540580882,82,80
1540582802,77,83
1540586882,81,92
1540592642,74,104
1540594563,76,104
1540598644,95,117
1540600562,53,90
1540604402,75,76
1540608242,72,116
1540612082,113,100
1540615922,100,115
1540619762,97,84
1540621682,84,97
1540623616,168,123
1540625522,73,50
1540631283,85,71
1540633203,95,61
1540637043,90,81
1540638963,99,75
1540644962,79,77
1540648815,71,82
1540652643,89,75
1540654562,89,76
1540658643,95,82
1540662482,87,98
1540666322,83,84
1540670163,85,90
1540674015,77,96
1540676163,82,85
1540680003,55,102
1540683842,98,88
1540690085,57,100
1540692013,74,80
1540693922,49,79
1540697762,76,103
1540701602,89,107
1540705443,112,81
1540707363,83,60
1540713363,75,54
1540715525,85,69
1540719362,94,53
1540723202,101,70
1540727043,77,63
1540731122,93,84
1540734962,95,70
1540737123,82,78
1540740962,77,78
1540742882,93,79
1540749362,100,79
1540753225,105,94
1540755123,86,89
1540758962,80,101
1540762803,76,105
1540766642,75,108
1540770482,61,125
1540776242,153,172
1540782019,50,72
1540785844,81,106
1540789923,89,117
1540791844,101,86
1540795683,94,81
1540799523,82,69
1540805523,91,73
1540807443,84,70
1540809362,96,69
1540813202,80,84
1540817523,75,56
1540819443,89,62
1540825215,76,90
1540827123,74,75
1540831203,87,83
1540835042,103,81
1540839122,105,64
1540843215,94,98
1540845123,98,97
1540849202,85,112
1540853042,87,103
1540856883,70,124
1540860963,79,113
1540864815,84,76
1540866723,45,61
1540868643,78,100
1540870803,100,78
1540872722,78,100
1540874642,73,117
1540878482,110,96
1540882322,82,63
1540886412,81,51
1540888322,82,77
1540892402,95,83
1540896482,95,63
1540900322,87,61
1540904162,78,74
1540908014,72,77
1540909923,80,79
1540912084,79,80
1540914002,122,148
1540918083,93,77
1540922163,100,84
1540926242,110,71
1540928162,107,103
1540932002,99,115
1540935842,102,103
1540939683,97,125
1540943522,82,137
1540947363,97,108
1540951213,91,95
1540953123,56,64
1540956962,88,121
1540960802,97,129
1540964882,114,91
1540968722,78,56
1540972563,73,63
1540976411,91,72
1540980243,98,79
1540982162,73,62
1540986003,85,61
1540989844,87,64
1540992004,78,80
1540997763,77,75
1541001613,88,78
1541003523,67,78
1541007362,99,75
1541011203,93,74
1541015283,92,93
1541019122,89,98
1541023213,91,84
1541025123,70,123
1541028963,56,112
1541032802,136,113
1541036642,124,86
1541038563,55,73
1541044322,69,106
1541046243,92,103
1541052243,115,76
1541054402,79,63
1541056323,63,79
1541058242,136,102
1541060163,57,75
1541062082,132,110
1541065922,96,60
1541069762,95,54
1541071683,100,86
1541077443,83,76
1541079363,81,80
1541083443,86,81
1541087282,84,108
1541091122,96,62
1541093043,95,98
1541097363,75,84
1541101443,113,80
1541105522,92,74
1541107924,71,97
1541112002,80,115
1541115842,52,122
1541119682,89,104
1541123523,89,92
1541127363,51,62
1541131443,150,194
1541133363,0,3
1541135282,3,0
1541137203,100,80
1541141043,79,64
1541144884,78,65
1541148722,73,67
1541152563,95,61
1541154689,85,77
1541158340,76,73
1541161886,82,68
1541165466,90,61
1541169078,95,72
1541174478,102,93
1541176305,89,91
1541179868,94,84
1541183475,94,86
1541187070,106,72
1541192555,101,96
1541194283,95,106
1541197866,61,111
1541201491,74,111
1541206895,278,219
1541208670,261,350
1541214074,49,83
1541215862,80,100
1541221264,88,120
1541223075,97,79
1541226673,79,69
1541230265,77,45
1541233873,64,64
1541235705,92,67
1541241107,98,77
1541246471,101,74
1541248279,80,84
1541250153,95,92
1541251873,0,4
1541253669,4,0
1541255584,100,75
1541260873,94,72
1541262671,113,80
1541266275,104,101
1541271670,98,94
1541273483,98,88
1541277071,79,95
1541280681,70,91
1541286070,75,86
1541287872,54,120
1541291483,83,121
1541295065,81,98
1541298685,49,79
1541302265,87,98
1541304076,83,99
1541309471,86,89
1541313070,68,48
1541316774,70,51
1541320268,83,67
1541325666,77,63
1541327553,109,73
1541332883,113,80
1541334693,104,79
1541338278,89,81
1541343679,83,78
1541347276,103,74
1541349093,89,89
1541350899,89,89
1541352683,170,136
1541356265,95,93
1541361813,97,88
1541363547,87,99
1541367066,90,107
1541370673,74,112
1541374305,54,119
1541377864,94,108
1541379673,0,9
1541381477,86,84
1541386865,42,88
1541388672,81,99
1541392275,100,95
1541395865,69,87
1541399500,96,63
1541403064,69,57
1541404873,81,71
1541410265,81,77
1541413889,98,69
1541419271,79,63
1541421079,75,53
1541424704,84,72
1541428282,68,68
1541431882,81,69
1541433673,69,81
1541435473,155,117
1541439087,98,79
1541442733,102,83
1541446290,109,99
1541449865,93,97
1541453464,104,106
1541455425,106,104
1541457080,163,202
1541462474,69,149
1541466103,113,95
1541467873,91,84
1541471472,48,84
1541475065,69,96
1541478686,85,122
1541482295,77,81
1541485903,98,68
1541489468,89,70
1541494885,65,74
1541498502,91,56
1541500353,82,82
1541503895,75,69
1541509296,120,126
1541511077,197,184
1541514684,99,70
1541518282,56,80
1541523672,97,79
1541525492,95,82
1541529093,100,74
1541532760,103,87
1541536321,105,86
1541539864,101,117
1541545307,82,125
1541547067,61,127
1541550668,103,103
1541554313,90,83
1541556149,48,83
1541563339,84,110
1541565067,87,107
1541566869,107,87
1541568676,156,183
1541572267,85,51
1541575906,90,78
1541581277,86,78
1541583084,74,75
1541584875,97,83
1541590271,85,57
1541593912,81,79
1541597465,83,60
1541602902,82,90
1541604667,178,237
1541606477,259,192
1541608271,97,79
1541610072,88,80
1541615476,90,78
1541619093,116,90
1541622668,260,391
1541624465,437,284
1541626283,80,101
1541628194,99,119
1541633475,66,141
1541639020,116,107
1541640676,79,107
1541644279,45,75
1541647872,75,107
1541651490,91,109
1541653280,76,79
1541658693,106,64
1541662302,98,61
1541665863,79,67
1541669469,61,72
1541671271,67,85
