DateTime,AddedIPs,RemovedIPs
1540891837,1,0
1540892436,4,0
1540893637,6,0
1540895437,1,0
1540896036,1,0
1540896941,1,0
1540899631,5,0
1540901733,3,0
1540902033,1,0
1540903237,3,0
1540906536,1,0
1540906835,4,0
1540908936,5,6
1540909834,4,3
1540910435,69,0
1540911635,20,0
1540912536,29,0
1540912836,2,0
1540913437,1,0
1540914034,18,0
1540915833,0,1
1540916433,1,0
1540917033,1,0
1540917634,25,0
1540918234,1,0
1540918836,6,0
1540919736,5,0
1540920630,3,0
1540921236,8,0
1540921536,1,0
1540922136,1,0
1540922433,243,0
1540923036,39,0
1540923934,566,0
1540924536,1586,0
1540925136,93,0
1540926630,1,0
1540927234,2,0
1540927533,53,0
1540928136,4,0
1540928434,11,0
1540929034,0,11
1540929636,15,7
1540929933,1,0
1540930532,15,12
1540930834,2,1
1540931436,2,0
1540932035,4,5
1540932334,0,7
1540932936,1,7
1540934436,4,0
1540935333,2,4
1540935632,0,1
1540936538,0,1
1540937732,2,0
1540938031,1,0
1540938633,3,0
1540939230,15,0
1540940132,3,0
1540941030,1,0
1540941932,1,0
1540942534,1,0
1540943436,3,0
1540944928,1,0
1540945231,1,0
1540945835,3,0
1540947029,3,0
1540947334,1,0
1540949735,199,0
1540952134,61,0
1540960236,1,0
1540979136,0,2
1540979733,0,5
1540995337,1,0
1540996237,1,0
1540997136,0,1
1540997737,0,12
1540998037,0,6
1540998637,0,4
1540998932,0,1
1541000736,2,0
1541003434,2,0
1541003738,4,0
1541004037,6,0
1541004637,1,0
1541005836,6,0
1541006138,2,0
1541007335,4,0
1541007633,2,0
1541008238,1,0
1541010636,6,0
1541011237,322,0
1541011836,1,0
1541013336,1,0
1541013636,1,0
1541014237,4,0
1541014836,2,0
1541015737,1,0
1541016636,3,0
1541017237,3,0
1541019036,2,0
1541019333,4,0
1541019637,1,0
1541020531,5,0
1541020836,1,0
1541021736,1,0
1541022035,1,0
1541023235,2,0
1541023537,2,0
1541024130,3,0
1541024434,3,0
1541025034,2,0
1541025630,7,0
1541026530,143,0
1541026832,2,0
1541027730,2,0
1541028336,6,0
1541029232,4,0
1541030130,6,0
1541030435,3,0
1541030728,3,0
1541031332,119,0
1541032236,0,5
1541032533,2,0
1541033734,1,0
1541034334,3,0
1541034633,3,0
1541035229,7,0
1541035531,2,0
1541036135,22,0
1541036435,38,0
1541037036,1,0
1541037637,1,0
1541038536,4,0
1541040035,37,0
1541041836,8,0
1541043332,1,0
1541043638,1,0
1541045736,3,0
1541047837,2,0
1541049035,9,0
1541050828,2,0
1541051729,1,0
1541052328,1,0
1541052932,1,0
1541054728,3,0
1541058632,47,0
1541060128,2,0
1541061632,2,0
1541063735,6,0
1541065233,3,0
1541067329,1,0
1541068837,4,0
1541070636,8,0
1541072433,19,0
1541073632,3,0
1541073935,1,0
1541074527,2,0
1541074829,2,0
1541075433,1,0
1541076036,6,0
1541076635,2,0
1541077237,1,0
1541077538,3,0
1541078133,4,0
1541079035,2,0
1541079332,4,0
1541079931,7,0
1541080528,1,0
1541080834,1,0
1541081433,14,0
1541082336,1,0
1541082936,3,0
1541083235,1,0
1541083827,9,0
1541084732,1,0
1541085331,8,0
1541085632,1,0
1541086234,2,0
1541086829,3,0
1541087128,6,0
1541087733,1,6
1541089234,9,1
1541089527,2,0
1541090429,1,0
1541091030,3,0
1541091931,2,0
1541092528,9,0
1541092836,5,0
1541093437,3,0
1541094037,13,0
1541094637,2,0
1541095238,2,0
1541096136,13,0
1541096737,1,0
1541097334,2,0
1541099136,2,0
1541099434,3,0
1541099733,3,0
1541100634,3,0
1541101237,149,0
1541101829,8,0
1541103036,16,0
1541104530,1,0
1541104834,2,0
1541106336,1,0
1541108735,3,0
1541109336,3,0
1541110533,6,0
1541111435,2,0
1541112035,16,0
1541112336,1,0
1541114437,1,0
1541116234,5,0
1541117733,8,0
1541119530,10,0
1541121329,2,0
1541122836,1,0
1541124634,8,0
1541127036,5,0
1541128535,17,0
1541130336,26,0
1541132136,30,0
1541133636,11,0
1541135733,12,0
1541137229,29,0
1541139028,4,0
1541140528,9,0
1541141432,29,0
1541142926,10,0
1541144426,7,0
1541146226,5,0
1541148628,21,0
1541149828,15,0
1541151930,7,0
1541153730,1,0
1541155527,14,0
1541156134,1,0
1541157636,4,0
1541159134,22,0
1541160639,5,0
1541163032,6,0
1541164237,5,0
1541164838,1,0
1541166037,10,0
1541167238,1,0
1541168137,18,0
1541169037,2,0
1541169633,3,0
1541169936,3,0
1541170536,1,0
1541170838,1,0
1541171438,1,0
1541171730,53,0
1541172033,1,0
1541173237,8,0
1541173535,1,0
1541174135,1,0
1541174736,1,0
1541175333,4,0
1541176835,5,0
1541178635,20,0
1541180733,9,0
1541182532,63,0
1541184037,5,0
1541185238,137,0
1541185836,60,0
1541186435,1,0
1541187037,1,0
1541187936,3,0
1541188536,2,0
1541188839,2,0
1541189434,1,0
1541190037,1,0
1541191538,5,0
1541193336,2,0
1541194836,7,0
1541196038,2,0
1541196937,28,0
1541197236,1,0
1541197836,1,0
1541198732,11,0
1541199336,0,10
1541199638,0,8
1541200233,0,11
1541200827,1,5
1541201132,0,9
1541201729,2,6
1541202029,112,0
1541202630,6,0
1541203237,1,0
1541203536,1,0
1541204133,4,0
1541205033,2,0
1541205635,10,0
1541207435,1,0
1541209231,18,0
1541212834,1,0
1541213133,7,0
1541214933,11,0
1541216436,21,0
1541218835,1,0
1541220631,1,0
1541222136,3,0
1541223929,6,0
1541225729,12,0
1541227234,4,0
1541229334,3,0
1541231136,5,0
1541235028,7,0
1541236528,11,0
1541238032,2,0
1541239833,4,0
1541244631,1,0
1541244933,1,0
1541338833,343,0
1541340030,1,0
1541347235,133,0
1541356236,241,0
1541361336,0,15
1541364336,42,0
1541364935,0,3
1541365835,9,0
1541368236,28,0
1541369733,4,0
1541371529,71,0
1541373631,174,0
1541375436,33,0
1541376930,23,0
1541379035,56,0
1541380526,10,0
1541382628,24,0
1541384130,56,0
1541385935,68,0
1541388038,67,0
1541389829,94,0
1541391328,28,0
1541393134,58,0
1541395228,1,0
1541396427,1,0
1541398527,123,0
1541400329,69,0
1541402428,25,0
1541404229,74,0
1541405728,164,0
1541407528,49,0
1541409333,37,0
1541411130,46,0
1541412933,6,0
1541415032,67,0
1541416528,31,0
1541418330,58,0
1541420435,4,0
1541420734,0,1
1541422236,62,0
1541423730,12,0
1541425536,33,0
1541427636,10,0
1541429137,54,0
1541431236,37,0
1541433333,55,0
1541434837,6,0
1541436634,59,0
1541438133,7,0
1541439937,71,0
1541442037,1,0
1541443837,47,0
1541445335,35,0
1541447138,57,0
1541449237,10,0
1541451037,63,0
1541452533,18,0
1541454331,58,0
1541456133,23,0
1541457930,41,0
1541460032,14,0
1541461832,19,0
1541463328,31,0
1541465136,21,0
1541467237,4,0
1541469031,27,0
1541470537,24,0
1541472337,7,0
1541474136,6,0
1541475936,57,0
1541477732,5,0
1541479532,24,0
1541481631,24,0
1541483430,4,0
1541484928,14,0
1541486733,15,0
1541488833,9,0
1541490328,20,0
1541492430,4,0
1541494232,49,0
1541495728,17,0
1541497528,5,0
1541499336,10,0
1541501438,22,0
1541502937,11,0
1541505329,14,0
1541506838,5,0
1541508635,11,0
1541510136,2,0
1541511938,8,0
1541513736,2,0
1541515537,5,0
1541517336,7,1
1541519136,8,0
1541519736,0,24
1541520636,0,5
1541520939,3,0
1541523038,9,0
1541524536,14,0
1541526333,3,0
1541528430,1,0
1541530239,10,0
1541532037,5,0
1541533833,9,0
1541535336,6,0
1541537136,14,0
1541538936,4,0
1541540736,10,0
1541542530,7,0
1541544629,17,0
1541546131,44,0
1541547933,17,0
1541549730,4,0
1541551837,13,0
1541553335,8,0
1541555431,24,0
1541556935,9,0
1541558734,23,0
1541560835,28,0
1541562633,61,0
1541564133,9,0
1541565928,31,0
1541567733,3,0
1541569529,103,0
1541571630,38,0
1541573437,8,0
1541574932,13,0
1541576732,15,0
1541578535,18,0
1541578835,61,0
1541580329,10,0
1541582129,6,0
1541583328,2,0
1541584234,10,0
1541586031,3,0
1541587830,11,0
1541589337,5,0
1541591130,8,0
1541593235,42,0
1541594134,0,1
1541595034,9,0
1541596536,1,0
1541598335,7,0
1541599837,0,6
1541600437,5,2
1541601937,42,0
1541603737,9,0
1541605538,13,0
1541607631,4,0
1541609437,24,0
1541610937,1,0
1541612736,27,0
1541614536,7,0
1541616336,34,0
1541618136,23,0
1541620237,16,2
1541621738,2,0
1541623838,5,0
1541625336,22,0
1541627430,24,0
1541628933,1,0
1541630729,23,0
1541634637,46,0
1541636127,19,0
1541637928,12,0
1541639737,5,0
1541641534,11,0
1541643335,9,0
1541645137,18,0
1541646937,17,0
1541649036,17,0
1541650537,6,0
1541652330,21,0
1541654131,4,0
1541657728,11,0
1541659530,42,0
1541661627,28,0
1541663430,3,0
1541664930,2,0
1541666730,7,0
1541668527,5,0
1541670627,22,0
1541672128,4,0
1541674229,15,0
1541676037,27,0
