DateTime,AddedIPs,RemovedIPs
1541426440,1,0
1541427036,5,0
1541427339,2,0
1541427637,1,0
1541428238,1,0
1541428536,4,0
1541428838,2,0
1541429138,1,0
1541429439,1,0
1541430038,3,0
1541430337,4,0
1541430935,7,0
1541431237,3,0
1541431840,2,0
1541432439,2,0
1541432738,2,0
1541433334,3,0
1541434237,5,0
1541434838,3,0
1541435134,2,0
1541435736,5,0
1541436038,1,0
1541436635,3,0
1541437236,6,0
1541437535,3,0
1541438134,4,0
1541439038,2,0
1541439638,1,0
1541439938,2,0
1541440537,3,0
1541441436,3,0
1541442039,2,0
1541442937,2,0
1541443838,3,0
1541444437,4,0
1541444738,3,0
1541445039,2,0
1541445336,5,0
1541445637,2,0
1541446537,2,0
1541446837,1,0
1541447139,1,0
1541447437,1,0
1541448337,1,0
1541448636,1,0
1541449238,1,0
1541449537,1,0
1541450133,4,0
1541450438,1,0
1541451038,3,0
1541451638,4,0
1541451938,1,0
1541452534,4,0
1541452834,2,0
1541453437,3,0
1541454037,1,0
1541454332,4,0
1541454938,6,0
1541455239,6,0
1541455833,3,0
1541456134,2,0
1541456433,1,0
1541457036,2,0
1541457332,2,0
1541457633,2,0
1541457931,1,0
1541458531,1,0
1541458835,1,0
1541460033,6,0
1541460331,1,0
1541460934,2,0
1541461234,2,0
1541461833,3,0
1541462138,1,0
1541462430,2,0
1541462731,2,0
1541463329,1,0
1541463638,1,0
1541464235,2,0
1541464532,2,0
1541464832,1,0
1541465137,3,0
1541465433,1,0
1541465733,2,0
1541466637,3,0
1541467238,6,0
1541467538,1,0
1541468138,7,0
1541468437,4,0
1541469032,3,0
1541469634,2,0
1541469933,5,0
1541470538,5,0
1541470837,3,0
1541471435,2,0
1541472035,3,0
1541472338,3,0
1541472937,5,0
1541473230,4,0
1541473837,3,0
1541474437,3,0
1541474733,1,0
1541475038,3,0
1541475333,1,0
1541475635,2,0
1541475937,3,0
1541476234,4,0
1541476831,1,0
1541477132,1,0
1541477733,3,0
1541478037,4,0
1541478638,3,0
1541479233,8,0
1541479533,2,0
1541480135,2,0
1541480737,6,0
1541481031,1,0
1541481632,3,0
1541482528,3,0
1541483431,1,0
1541484029,4,0
1541484332,3,0
1541484929,1,0
1541485828,3,0
1541486429,4,0
1541486734,1,0
1541487333,4,0
1541487636,1,0
1541488230,5,0
1541488834,3,0
1541489130,4,0
1541489431,2,0
1541489729,1,0
1541490029,2,0
1541490329,1,0
1541491230,4,0
1541491828,2,0
1541492431,5,0
1541493329,6,0
1541493631,2,0
1541494233,3,0
1541494829,6,0
1541495131,3,0
1541495729,6,0
1541496029,3,0
1541496634,3,0
1541497230,5,0
1541497529,3,0
1541498131,7,0
1541498435,3,0
1541499031,9,0
1541499337,6,0
1541499936,3,0
1541500537,4,0
1541500838,2,0
1541501439,5,0
1541502037,8,0
1541502334,3,0
1541502633,3,0
1541502938,6,0
1541503236,1,0
1541503833,12,0
1541504130,2,0
1541504431,3,0
1541504730,4,0
1541505330,4,0
1541505938,8,0
1541506238,5,0
1541506839,4,0
1541507138,4,0
1541507442,3,0
1541508038,5,0
1541508636,4,0
1541508935,1,0
1541509237,1,0
1541509537,2,0
1541510137,6,0
1541510440,1,0
1541511038,6,0
1541511638,3,0
1541511939,1,0
1541512536,3,0
1541513437,5,0
1541514338,2,0
1541514637,1,0
1541515237,6,0
1541515839,2,0
1541516439,2,0
1541516738,1,0
1541517337,6,0
1541518838,3,0
1541519438,2,0
1541519737,2,0
1541520040,1,0
1541520637,1,0
1541520940,2,0
1541521238,3,0
1541521537,2,0
1541521840,2,0
1541523039,3,0
1541523636,2,0
1541523937,1,0
1541524537,3,0
1541525140,3,0
1541525736,1,0
1541526334,2,0
1541526937,3,0
1541527234,2,0
1541527835,3,0
1541528431,2,0
1541528733,4,0
1541530241,2,0
1541530836,4,0
1541531139,1,0
1541531433,1,0
1541532038,4,0
1541532338,5,0
1541532938,1,0
1541533235,1,0
1541533834,3,0
1541534436,3,0
1541535337,6,0
1541535640,2,0
1541536838,4,0
1541538039,4,0
1541538339,1,0
1541538937,6,0
1541539839,5,0
1541540439,2,0
1541540737,2,0
1541541938,1,0
1541542233,1,0
1541542531,1,0
1541542830,3,0
1541543130,1,0
1541543733,2,0
1541544036,1,0
1541544630,1,0
1541544931,1,0
1541545234,1,0
1541545528,1,0
1541546132,2,0
1541546438,3,0
1541547031,3,0
1541547638,4,0
1541548532,4,0
1541548831,1,0
1541549131,1,0
1541549430,3,0
1541549731,3,0
1541550031,3,0
1541550329,3,0
1541550633,2,0
1541551234,7,0
1541551838,2,0
1541552439,2,0
1541553336,1,0
1541554234,3,0
1541554536,2,0
1541555432,1,0
1541556036,5,0
1541556335,1,0
1541556636,2,0
1541556936,1,0
1541557234,2,0
1541557837,3,0
1541558131,1,0
1541558437,2,0
1541558735,2,0
1541559034,2,0
1541559334,1,0
1541560237,2,0
1541560836,3,0
1541561735,3,0
1541562036,1,0
1541562634,1,0
1541563230,4,0
1541563536,1,0
1541564134,1,0
1541564436,2,0
1541565028,2,0
1541565629,5,0
1541566529,2,0
1541567138,3,0
1541567734,4,0
1541568035,2,0
1541568633,6,0
1541569228,1,0
1541570129,1,0
1541570430,2,0
1541571032,3,0
1541571631,2,0
1541571934,1,0
1541572234,1,0
1541572538,3,0
1541572831,2,0
1541573439,4,0
1541573735,1,0
1541574336,1,0
1541574933,2,0
1541575234,1,0
1541575834,4,0
1541576434,1,0
1541577334,2,0
1541577634,4,0
1541578230,3,0
1541578536,3,0
1541578836,2,0
1541579436,7,0
1541579734,3,0
1541580037,3,0
1541580330,4,0
1541580638,1,0
1541581231,1,0
1541581531,3,0
1541582130,5,0
1541583329,1,0
1541583636,2,0
1541584235,3,0
1541584538,2,0
1541584835,2,0
1541585135,2,0
1541586032,6,0
1541586335,2,0
1541586930,3,0
1541587231,1,0
1541587832,3,0
1541588439,1,0
1541588737,2,0
1541589338,6,0
1541589632,3,0
1541590236,3,0
1541590836,1,0
1541591131,1,0
1541591737,1,0
1541592031,1,0
1541592633,4,0
1541593236,1,0
1541593537,3,0
1541594135,5,0
1541594436,1,0
1541595036,5,0
1541595635,3,0
1541596537,2,0
1541596833,2,0
1541597439,2,0
1541598038,3,0
1541598934,1,0
1541599238,1,0
1541599838,2,0
1541600439,7,0
1541601034,2,0
1541601634,1,0
1541601938,1,0
1541602537,4,0
1541602837,1,0
1541603434,4,0
1541603738,2,0
1541604040,4,0
1541604638,1,0
1541604937,2,0
1541605239,2,0
1541605540,2,0
1541606438,3,0
1541607040,3,0
1541607632,2,0
1541608537,2,0
1541608837,2,0
1541609438,4,0
1541610037,1,0
1541610339,1,0
1541610938,1,0
1541611239,1,0
1541611838,1,0
1541612438,2,0
1541612737,2,0
1541613338,2,0
1541613638,1,0
1541614238,4,0
1541614537,2,0
1541614838,3,0
1541615437,5,0
1541615738,1,0
1541616337,1,0
1541616638,1,0
1541617240,4,0
1541617539,3,0
1541618137,3,0
1541618438,1,0
1541619338,5,0
1541619638,1,0
1541620238,3,0
1541620537,1,0
1541620840,1,0
1541621138,1,0
1541622038,5,0
1541622338,2,0
1541622938,1,0
1541623235,2,0
1541623839,2,0
1541624137,3,0
1541625337,4,0
1541625938,7,0
1541626537,3,0
1541626840,1,0
1541627431,2,0
1541628031,4,0
1541628338,1,0
1541628934,2,0
1541629834,3,0
1541630130,2,0
1541630730,1,0
1541631037,1,0
1541631330,4,0
1541631637,3,0
1541632235,1,0
1541632839,3,0
1541634034,1,0
1541634638,8,0
1541634937,3,0
1541636128,1,0
1541636433,2,0
1541637035,8,0
1541637635,2,0
1541637929,2,0
1541638531,5,0
1541638834,2,0
1541639436,5,0
1541639738,1,0
1541640340,4,0
1541640937,3,0
1541641234,1,0
1541641535,1,0
1541641835,1,0
1541642137,1,0
1541642436,1,0
1541643336,1,0
1541644239,5,0
1541644538,1,0
1541644836,1,0
1541645137,2,0
1541646037,2,0
1541646637,2,0
1541646938,1,0
1541647238,2,0
1541647538,1,0
1541648137,1,0
1541648437,1,0
1541649037,6,0
1541649639,4,0
1541649938,3,0
1541650239,2,0
1541651437,1,0
1541652038,5,0
1541652331,3,0
1541652936,4,0
1541653837,1,0
1541654438,2,0
1541655031,3,0
1541655328,1,0
1541655628,4,0
1541656829,2,0
1541657129,2,0
1541657729,2,0
1541658631,3,0
1541658932,1,0
1541659231,2,0
1541659531,1,0
1541659833,3,0
1541660433,1,0
1541660731,3,0
1541661029,1,0
1541661628,4,0
1541661935,2,0
1541662531,2,0
1541662833,2,0
1541663431,4,0
1541664033,6,0
1541664334,2,0
1541664931,2,0
1541665232,2,0
1541665828,4,0
1541666428,3,0
1541666731,2,0
1541667329,1,0
1541667930,4,0
1541668528,4,0
1541668829,1,0
1541669430,2,0
1541670029,1,0
1541670628,1,0
1541671228,1,0
1541671530,1,0
1541672129,1,0
1541672734,1,0
1541673631,8,0
1541674230,3,0
1541674834,3,0
1541675428,5,0
1541676038,1,0
