DateTime,AddedIPs,RemovedIPs
1541436037,2,0
1541436634,3,0
1541437235,3,0
1541437534,1,0
1541438437,1,0
1541439038,4,0
1541439637,2,0
1541439937,4,0
1541440536,162,0
1541440837,2,0
1541441436,4,0
1541442038,7,0
1541442337,3,0
1541442936,2,0
1541443237,2,0
1541443837,27,0
1541444436,1,0
1541445636,3,0
1541446238,5,0
1541446836,3,0
1541447138,3,0
1541447436,1,0
1541447737,1,0
1541448336,4,0
1541448635,2,0
1541449237,4,0
1541449537,1,0
1541450133,4,0
1541450437,2,0
1541451037,6,0
1541451638,2,0
1541452533,7,0
1541452833,3,0
1541453437,2,0
1541454036,2,0
1541454332,3,0
1541454937,2,0
1541455238,1,0
1541455832,4,0
1541456134,1,0
1541456432,2,0
1541457035,4,0
1541457331,4,0
1541457931,3,0
1541458530,5,0
1541458834,1,0
1541460032,2,0
1541460330,1,0
1541460635,3,0
1541460933,1,0
1541461233,1,0
1541461832,1,0
1541462137,2,0
1541462429,2,0
1541462731,1,0
1541463328,2,0
1541463637,2,0
1541464234,6,0
1541464531,4,0
1541464832,1,0
1541465137,3,0
1541465432,3,0
1541465733,3,0
1541466034,2,0
1541466636,2,0
1541467237,6,0
1541467537,1,0
1541468137,5,0
1541468436,4,0
1541469031,4,0
1541469633,6,0
1541469933,1,0
1541470537,5,0
1541471434,5,0
1541472035,3,0
1541472338,1,0
1541472936,2,0
1541473229,1,0
1541473836,1,0
1541474136,1,0
1541475037,1,0
1541476233,2,0
1541476533,3,0
1541476830,1,0
1541477132,2,0
1541477732,1,0
1541478037,2,0
1541478637,16,0
1541479232,1,0
1541479532,4,0
1541480135,1,0
1541480736,5,0
1541481030,1,0
1541481631,3,0
1541482829,2,0
1541483430,140,0
1541484028,4,0
1541484332,1,0
1541484928,4,0
1541485827,6,0
1541486428,1,0
1541487332,4,0
1541487635,4,0
1541488229,5,0
1541488833,3,0
1541489129,1,0
1541489430,1,0
1541489728,1,0
1541490028,2,0
1541490631,1,0
1541491230,3,0
1541491827,11,0
1541492430,4,0
1541492730,3,0
1541493328,4,0
1541494232,3,0
1541494828,2,0
1541495130,2,0
1541495728,2,1
1541496029,1,0
1541496633,2,0
1541497229,3,0
1541497528,1,0
1541498130,3,0
1541499031,4,0
1541499336,3,0
1541499935,2,0
1541500837,2,0
1541501438,3,0
1541502036,1,0
1541502333,1,0
1541502633,1,0
1541502938,3,0
1541503235,1,0
1541503832,3,0
1541504129,1,0
1541504431,2,0
1541504729,1,0
1541505329,3,0
1541505937,3,0
1541506237,2,0
1541506838,5,0
1541507137,4,0
1541507441,2,0
1541508037,2,0
1541508636,3,0
1541508934,1,0
1541509236,2,0
1541510136,3,0
1541510439,1,0
1541511037,1,0
1541511637,3,0
1541511938,2,0
1541512535,1,0
1541513437,2,0
1541513737,1,0
1541514337,2,0
1541514637,2,0
1541514937,2,0
1541515236,1,1
1541515537,2,0
1541515838,4,0
1541516438,4,0
1541516737,3,0
1541517336,3,0
1541517637,3,0
1541518238,1,0
1541518837,3,0
1541519136,2,0
1541519438,2,0
1541519737,1,0
1541520039,2,0
1541520636,3,0
1541520939,2,0
1541521237,5,0
1541521839,1,0
1541522137,2,0
1541522436,5,0
1541523038,6,0
1541523336,1,0
1541523936,2,0
1541524536,2,0
1541525140,17,0
1541525736,4,0
1541526333,1,0
1541526936,3,0
1541527234,1,0
1541527835,2,0
1541528430,2,0
1541528733,2,0
1541529337,1,0
1541529633,1,0
1541530240,1,0
1541530835,3,0
1541531138,2,0
1541531433,2,0
1541532037,80,0
1541532337,1,0
1541532937,181,0
1541533234,4,0
1541533833,6,0
1541534435,4,0
1541534738,2,1
1541535336,2,8
1541535639,1,1
1541536837,6,0
1541537137,2,0
1541538039,3,0
1541538338,1,0
1541538937,3,0
1541539238,1,1
1541539838,4,0
1541540438,3,0
1541541331,3,0
1541541938,4,0
1541542232,2,0
1541542530,1,0
1541542829,2,0
1541543733,3,0
1541544035,3,0
1541544629,4,0
1541545233,2,0
1541546132,4,0
1541546437,2,0
1541547030,4,0
1541547637,2,0
1541547933,1,0
1541548531,3,0
1541548830,44,0
1541549130,3,0
1541549429,2,0
1541549730,5,0
1541550030,1,0
1541550328,1,0
1541551233,2,0
1541551837,5,0
1541552438,1,0
1541553034,3,0
1541553336,2,0
1541554233,7,0
1541554535,2,0
1541554833,2,0
1541555431,4,0
1541556635,2,0
1541556935,2,0
1541557233,3,0
1541557836,4,0
1541558131,1,0
1541558436,1,0
1541558734,1,0
1541559034,3,0
1541559333,4,0
1541559631,21,0
1541560237,4,0
1541560835,1,0
1541561137,2,0
1541561734,3,0
1541562035,1,0
1541562633,4,0
1541563229,2,0
1541564133,9,0
1541564436,1,0
1541565027,3,0
1541565628,3,0
1541565928,4,0
1541566528,3,0
1541567137,4,0
1541567733,4,0
1541568034,2,0
1541568633,4,0
1541569227,5,0
1541569529,4,0
1541570128,3,0
1541570430,3,0
1541571032,6,0
1541571630,8,0
1541571933,5,0
1541572233,3,0
1541572538,5,0
1541572830,2,0
1541573438,7,0
1541573735,1,0
1541574039,2,0
1541574335,1,0
1541574932,4,0
1541575233,1,0
1541575833,3,0
1541576433,2,0
1541576732,4,0
1541577333,4,0
1541577633,1,0
1541578229,3,0
1541578835,3,0
1541579435,5,0
1541579733,3,0
1541580036,1,0
1541580329,1,0
1541580638,2,0
1541581230,5,0
1541581530,1,0
1541582129,1,6
1541582428,2,2
1541583033,4,4
1541583328,1,3
1541583636,3,1
1541584234,1,6
1541584537,1,3
1541585134,15,0
1541585437,1,0
1541586031,4,0
1541586335,2,0
1541586929,4,0
1541587230,2,0
1541587831,2,0
1541588137,1,0
1541588438,1,0
1541588736,2,0
1541589337,4,0
1541589631,1,0
1541590235,5,0
1541590836,3,0
1541591736,7,0
1541592632,6,0
1541593235,5,0
1541593537,1,0
1541594134,5,1
1541594436,3,0
1541595035,4,0
1541595634,7,0
1541595937,1,0
1541596537,4,0
1541596832,2,0
1541597438,4,0
1541598037,4,0
1541598335,3,0
1541598934,4,0
1541599237,1,0
1541599837,6,0
1541600438,3,0
1541601033,3,0
1541601633,3,0
1541601937,2,0
1541602536,4,0
1541602836,1,0
1541603433,1,0
1541604039,1,0
1541604637,4,0
1541605238,1,0
1541605539,1,0
1541605838,1,0
1541606437,2,0
1541607040,4,0
1541607631,9,0
1541607938,2,0
1541608536,6,0
1541609437,5,0
1541610037,3,0
1541610339,1,4
1541610937,1,1
1541611238,2,0
1541611837,3,1
1541612138,2,0
1541612437,2,0
1541612737,3,1
1541613337,6,6
1541613637,2,4
1541614237,1,1
1541614536,2,1
1541614838,179,0
1541615436,2,0
1541615737,0,1
1541616037,2,0
1541616337,1,0
1541616637,4,2
1541616937,0,4
1541617239,2,0
1541617538,4,0
1541618136,6,0
1541619338,6,0
1541619638,2,0
1541620237,3,0
1541620537,1,0
1541620839,1,0
1541621436,1,0
1541622037,1,0
1541622337,7,0
1541622637,1,0
1541623838,4,0
1541624136,3,0
1541624438,4,0
1541624737,2,0
1541625336,4,0
1541625937,7,0
1541626537,3,0
1541626839,1,0
1541627430,3,0
1541628030,3,0
1541628337,1,0
1541628934,2,0
1541629234,2,0
1541629833,4,0
1541630436,2,0
1541630729,2,0
1541631036,3,0
1541631329,2,0
1541631636,1,0
1541632234,1,0
1541632838,3,0
1541633134,1,0
1541634034,1,0
1541634638,1,0
1541634936,76,0
1541636128,4,0
1541637034,2,0
1541637634,8,0
1541637929,2,0
1541638530,3,0
1541638834,3,0
1541639435,2,0
1541640339,9,0
1541641534,1,0
1541641834,3,0
1541642137,1,0
1541642435,1,0
1541642739,1,0
1541643336,5,0
1541643636,3,0
1541644238,6,0
1541644537,1,0
1541645137,2,0
1541645439,4,0
1541645736,1,0
1541646036,2,0
1541646636,2,0
1541646937,2,0
1541647238,1,0
1541647537,1,0
1541647838,1,0
1541648136,1,0
1541648436,1,0
1541649037,6,0
1541649638,1,0
1541649937,1,0
1541650238,3,0
1541650537,2,0
1541650837,2,0
1541651436,2,0
1541652037,3,0
1541652330,4,0
1541652936,4,0
1541653238,1,0
1541653837,4,0
1541654131,2,0
1541654437,4,0
1541655030,10,0
1541655328,1,0
1541655627,1,0
1541655928,2,0
1541656226,1,0
1541656828,3,0
1541657128,1,0
1541657728,2,0
1541658028,1,0
1541658630,1,0
1541658932,1,0
1541659230,2,0
1541659530,1,0
1541659832,2,0
1541660127,1,0
1541660730,2,0
1541661028,1,0
1541661628,3,0
1541661934,7,0
1541662530,3,0
1541662832,1,0
1541663430,8,0
1541664033,4,0
1541664333,2,0
1541664931,2,0
1541665231,1,0
1541665827,2,0
1541666427,3,0
1541666730,2,0
1541667328,8,0
1541667930,4,0
1541668527,2,1
1541668828,1,0
1541669429,5,0
1541669727,3,0
1541670028,2,0
1541670628,3,0
1541671227,2,0
1541671529,2,0
1541672128,3,0
1541672733,3,0
1541673631,7,0
1541674229,4,0
1541674834,3,0
1541675427,1,0
1541676038,3,0
