DateTime,AddedIPs,RemovedIPs
1541408127,2,0
1541408431,1,0
1541409028,2,0
1541409333,1,0
1541409633,1,0
1541410229,5,0
1541411730,3,0
1541412031,1,0
1541412633,4,0
1541412933,2,0
1541413532,5,0
1541414132,6,0
1541415032,4,0
1541415633,7,0
1541416528,6,0
1541416837,3,0
1541417437,9,0
1541417729,2,0
1541418033,2,0
1541418330,3,0
1541418933,5,0
1541419232,2,0
1541419837,6,0
1541420435,2,0
1541420735,2,0
1541421332,1,0
1541422236,1,0
1541422537,1,0
1541423135,3,0
1541424032,2,0
1541424634,4,0
1541425236,4,0
1541425536,3,0
1541426133,4,0
1541426439,1,0
1541427035,3,0
1541427338,1,0
1541427636,3,0
1541428237,5,0
1541428536,4,0
1541428837,3,0
1541429137,1,0
1541430038,4,0
1541430336,2,0
1541430934,7,0
1541431236,1,0
1541431839,5,0
1541432439,3,0
1541433333,3,0
1541434237,41,0
1541434837,4,0
1541435133,4,0
1541435736,7,0
1541436634,3,0
1541437534,2,0
1541438133,4,0
1541438437,1,0
1541439038,1,0
1541439637,2,0
1541439937,1,0
1541440536,3,0
1541440837,1,0
1541441436,6,0
1541442038,2,0
1541442337,2,0
1541442936,5,0
1541443237,4,0
1541443837,2,0
1541444436,6,0
1541444738,1,0
1541445038,1,0
1541445335,3,0
1541445636,4,0
1541446239,3,0
1541446537,1,0
1541446836,1,0
1541447138,2,0
1541447436,1,0
1541447737,4,0
1541448336,3,0
1541448635,2,0
1541449237,3,0
1541449537,2,0
1541450133,7,0
1541451037,3,0
1541451638,3,0
1541451937,3,0
1541452533,2,0
1541452833,1,0
1541453437,4,0
1541454036,4,0
1541454332,2,0
1541454937,3,0
1541455238,4,0
1541455832,3,0
1541456134,1,0
1541456432,2,0
1541457035,7,0
1541457331,3,0
1541457632,2,0
1541457931,1,0
1541458530,2,0
1541458834,1,0
1541460032,7,0
1541460635,1,0
1541461233,3,0
1541461832,4,0
1541462137,3,0
1541462430,1,0
1541462731,1,0
1541463328,20,0
1541464234,2,0
1541464531,2,0
1541464832,3,0
1541465137,1,0
1541465433,2,0
1541465733,1,0
1541466034,1,0
1541466636,1,0
1541467237,2,0
1541467537,2,0
1541468137,1,0
1541468436,1,0
1541469031,3,0
1541469633,5,0
1541469933,1,0
1541470537,1,0
1541470836,2,0
1541471434,2,0
1541472035,5,0
1541472936,1,0
1541473229,2,0
1541473836,4,0
1541474136,3,0
1541474436,2,0
1541474733,1,0
1541475634,5,0
1541476533,3,0
1541476830,1,0
1541477132,2,0
1541477732,4,0
1541478637,2,0
1541479232,2,0
1541479532,2,0
1541480135,3,0
1541480736,6,0
1541481030,1,0
1541481631,2,0
1541481932,1,0
1541482528,1,0
1541482829,2,0
1541483430,2,0
1541484028,1,0
1541484332,2,0
1541484928,3,0
1541485227,4,0
1541485827,4,0
1541486428,2,0
1541486733,4,0
1541487332,2,0
1541487635,1,0
1541488229,6,0
1541488833,6,0
1541489430,4,0
1541489728,1,0
1541490328,1,0
1541490631,3,0
1541491230,1,0
1541491827,8,0
