DateTime,AddedIPs,RemovedIPs
1538080800,148,144
1538088000,109,110
1538095200,627,860
1538102400,731,519
1538109600,640,580
1538116800,464,461
1538124000,447,448
1538131200,270,279
1538138400,175,192
1538145600,169,172
1538152800,124,123
1538160000,114,113
1538167200,127,121
1538174400,83,82
1538181600,609,881
1538188800,721,483
1538196000,657,624
1538203200,495,495
1538210400,437,431
1538217600,222,224
1538224800,161,166
1538232000,115,125
1538239200,135,140
1538246400,137,136
1538253600,127,115
1538260800,86,88
1538268000,47,875
1538275200,821,34
1538282400,669,624
1538289600,516,513
1538296800,507,514
1538304000,312,314
1538311200,190,207
1538318400,161,161
1538325600,108,110
1538332800,121,125
1538340000,109,105
1538347200,193,233
1538354400,861,814
1538361600,681,701
1538368800,513,482
1538376000,580,565
1538383200,395,422
1538390400,246,231
1538397600,165,179
1538404800,160,164
1538412000,187,171
1538419200,130,123
1538426400,153,178
1538433600,97,90
1538440800,588,862
1538448000,672,407
1538455200,716,678
1538462400,483,517
1538469600,290,289
1538476800,219,233
1538484000,131,139
1538491200,131,129
1538498400,168,150
1538505600,170,170
1538512800,122,114
1538520000,85,71
1538527200,706,878
1538534400,664,516
1538541600,731,682
1538548800,511,520
1538556000,376,369
1538563200,239,246
1538570400,214,214
1538577600,129,129
1538584800,154,166
1538592000,157,152
1538599200,81,86
1538606400,77,73
1538613600,902,886
1538620800,567,613
1538628000,694,664
1538635200,462,458
1538642400,273,278
1538649600,193,192
1538656800,152,152
1538664000,122,122
1538671200,145,157
1538678400,81,89
1538685600,69,69
1538692800,88,91
1538700000,877,863
1538707200,626,657
1538714400,664,616
1538721600,464,480
1538728800,416,408
1538736000,228,255
1538743200,182,187
1538750400,125,113
1538757600,106,99
1538764800,138,146
1538772000,79,83
1538779200,142,142
1538786400,799,861
1538793600,636,609
1538800800,708,635
1538808000,457,474
1538815200,420,409
1538822400,193,201
1538829600,192,191
1538836800,152,153
1538844000,117,111
1538851200,131,140
1538858400,81,82
1538865600,76,74
1538872800,517,883
1538880000,717,383
1538887200,616,583
1538894400,470,470
1538901600,483,493
1538908800,295,289
1538916000,176,186
1538923200,115,106
1538930400,93,97
1538937600,129,133
1538944800,109,118
1538952000,59,61
1538959200,805,860
1538966400,633,623
1538973600,649,578
1538980800,515,512
1538988000,384,374
1538995200,217,223
1539002400,150,146
1539009600,135,137
1539016800,113,107
1539024000,137,146
1539031200,69,70
1539038400,83,86
1539045600,588,888
1539052800,745,473
1539060000,652,602
1539067200,471,492
1539074400,292,298
1539081600,214,218
1539088800,147,162
1539096000,124,128
1539103200,119,119
1539110400,136,131
1539117600,99,91
1539124800,66,54
1539132000,629,885
1539139200,677,464
1539146400,664,645
1539153600,505,485
1539160800,285,270
1539168000,214,230
1539175200,169,173
1539182400,112,112
1539189600,146,141
1539196800,91,94
1539204000,67,68
1539211200,81,87
1539218400,846,871
1539225600,672,643
1539232800,604,585
1539240000,444,438
1539247200,402,421
1539254400,256,258
1539261600,173,179
1539268800,119,127
1539276000,99,81
1539283200,155,143
1539290400,180,167
1539297600,81,81
1539304800,856,908
1539312000,689,694
1539319200,602,557
1539326400,666,666
1539333600,194,205
1539340800,173,178
1539348000,138,146
1539355200,129,131
1539362400,111,116
1539369600,119,124
1539376800,61,52
1539384000,80,77
1539391200,697,872
1539398400,705,547
1539405600,598,579
1539412800,559,537
1539420000,357,363
1539427200,241,250
1539434400,187,191
1539441600,140,144
1539448800,121,124
1539456000,117,124
1539463200,106,112
1539470400,59,61
1539477600,879,855
1539484800,659,667
1539492000,599,561
1539499200,503,507
1539506400,445,448
1539513600,245,250
1539520800,168,173
1539528000,146,153
1539535200,151,150
1539542400,136,135
1539549600,110,117
1539556800,107,99
1539564000,875,888
1539571200,715,738
1539578400,589,549
1539585600,568,577
1539592800,365,364
1539600000,240,236
1539607200,192,203
1539614400,117,117
1539621600,145,145
1539628800,149,137
1539636000,106,110
1539643200,54,57
1539650400,890,882
1539657600,667,696
1539664800,660,631
1539672000,475,474
1539679200,272,273
1539686400,196,191
1539693600,215,224
1539700800,144,146
1539708000,150,155
1539715200,134,139
1539722400,164,154
1539729600,73,72
1539736800,883,885
1539744000,711,716
1539751200,688,676
1539758400,477,494
1539765600,273,281
1539772800,215,216
1539780000,146,153
1539787200,97,95
1539794400,73,70
1539801600,99,91
1539808800,70,73
1539816000,56,57
1539823200,892,866
1539830400,563,605
1539837600,617,598
1539844800,532,508
1539852000,532,524
1539859200,452,466
1539866400,298,295
1539873600,162,160
1539880800,127,130
1539888000,183,188
1539895200,85,92
1539902400,65,70
1539910200,888,872
1539917400,524,559
1539924600,612,567
1539931800,558,563
1539939000,486,473
1539946200,313,328
1539953400,194,186
1539960600,167,175
1539967800,115,121
1539975000,132,132
1539982200,73,76
1539989400,65,66
1539996600,884,881
1540003800,439,468
1540011000,507,474
1540018200,501,487
1540025400,514,512
1540032600,371,388
1540039800,224,219
1540047000,191,209
1540054200,100,103
1540061400,176,172
1540068600,97,92
1540075800,72,76
1540083000,892,876
1540090200,532,590
1540097400,607,553
1540104600,529,545
1540111800,485,491
1540119000,276,271
1540126200,206,198
1540133400,143,148
1540140600,110,106
1540147800,125,126
1540155000,75,80
1540162200,55,60
1540169400,735,867
1540176600,755,624
1540183800,620,630
1540191000,374,386
1540198200,117,114
1540205400,64,75
1540212600,73,64
1540219800,54,50
1540227000,43,45
1540234200,111,106
1540241400,119,128
1540248600,99,75
1540255800,880,867
1540263000,627,645
1540270200,695,658
1540278000,453,447
1540281600,284,309
1540288800,211,222
1540296000,182,192
1540303200,126,127
1540310400,128,132
1540317600,136,143
1540324800,89,90
1540332000,60,57
1540339200,864,849
1540346400,613,611
1540353600,633,613
1540360800,484,478
1540368000,247,260
1540375200,231,237
1540382400,165,159
1540389600,157,163
1540396800,135,132
1540404000,159,155
1540411200,98,95
1540418400,90,89
1540425600,879,881
1540432800,555,581
1540440000,636,616
1540447200,477,469
1540454400,344,349
1540461600,211,212
1540468800,158,152
1540476000,158,166
1540483200,169,168
1540490400,124,120
1540497600,97,107
1540504800,83,86
1540512000,864,867
1540519200,672,666
1540526400,632,616
1540533600,565,565
1540540800,333,354
1540548000,202,199
1540555200,151,156
1540562400,192,192
1540569600,143,144
1540576800,110,114
1540584000,81,83
1540591200,98,99
1540598400,880,856
1540605600,536,555
1540612800,601,566
1540620000,549,541
1540627200,439,467
1540634400,290,279
1540641600,143,151
1540648800,147,150
1540656000,134,131
1540663200,158,149
1540670400,100,103
1540677600,63,69
1540684800,881,878
1540692000,524,567
1540699200,610,557
1540706400,544,549
1540713600,496,504
1540720800,261,263
1540728000,142,148
1540735200,150,157
1540742400,97,95
1540749600,129,127
1540756800,114,113
1540764000,81,83
1540771200,867,865
1540778400,507,541
1540785600,654,600
1540792800,482,491
1540800000,353,374
1540807200,193,183
1540814400,155,148
1540821600,200,195
1540828800,119,123
1540836000,159,161
1540843200,102,112
1540850400,111,104
1540857600,21,869
1540864800,866,16
1540872000,664,656
1540879200,493,489
1540886400,351,363
1540893600,189,193
1540900800,165,162
1540908000,115,112
1540915800,89,96
1540923000,157,168
1540930200,90,90
1540937400,104,98
1540944600,28,863
1540951800,846,17
1540959000,741,701
1540966200,386,391
1540973400,317,341
1540980600,189,194
1540987800,166,163
1540995000,130,128
1541002200,118,124
1541009400,161,156
1541016600,99,99
1541024400,114,110
1541031600,255,872
1541038800,804,196
1541046000,604,582
1541053200,446,441
1541060400,285,314
1541067600,184,180
1541074800,180,179
1541082000,141,138
1541089200,147,148
1541096400,138,141
1541103600,121,114
1541111400,135,133
1541118600,859,874
1541125800,589,635
1541133000,670,601
1541140200,436,445
1541147400,344,357
1541152800,180,194
1541160000,187,175
1541167200,147,148
1541174400,125,125
1541181600,112,104
1541188800,85,91
1541196000,67,67
1541203200,866,859
1541210400,659,671
1541217600,631,582
1541224800,581,601
1541232000,272,281
1541239200,206,198
1541246400,173,178
1541253600,147,140
1541260800,109,124
1541268000,134,131
1541275200,73,84
1541282400,109,99
1541289600,876,869
1541296800,548,603
1541304000,640,579
1541311200,511,522
1541318400,441,451
1541325600,241,222
1541332800,203,212
1541340000,131,132
1541347200,126,132
1541354400,112,104
1541361600,126,135
1541368800,43,49
1541376000,840,859
1541383200,728,665
1541390400,445,475
1541397600,445,436
1541404800,263,275
1541412000,199,205
1541419200,192,178
1541426400,196,179
1541433600,202,209
1541440800,112,118
1541448000,112,95
1541455200,55,55
1541462400,882,899
1541469600,604,608
1541476800,622,630
1541484000,416,420
1541491200,276,290
1541498400,278,287
1541505600,171,170
