DateTime,AddedIPs,RemovedIPs
1541317232,232,230
1541317701,4,3
1541318189,237,0
1541319158,283,392
1541319611,87,6
1541320096,241,159
1541321062,234,0
1541321577,9,8
1541322052,209,211
1541322986,311,454
1541323468,5,2
1541323942,239,297
1541324896,225,0
1541325624,28,38
1541325878,248,394
1541326502,88,0
1541326812,254,0
1541327791,227,394
1541328744,221,0
1541329699,224,236
1541330102,146,0
1541330656,188,207
1541331612,227,213
1541332592,232,453
1541333539,254,7
1541333702,82,0
1541334496,204,229
1541335480,193,548
1541336428,183,239
1541337386,354,8
1541338345,193,217
1541339296,209,194
1541340286,198,467
1541340902,146,0
1541341218,215,235
1541342177,244,0
1541343155,235,505
1541344099,201,0
1541344501,84,0
1541345062,215,404
1541346015,231,0
1541346995,215,371
1541348007,176,266
1541348102,91,0
1541348896,9,17
1541349150,173,212
1541350097,190,0
1541350819,3,9
1541351065,211,427
1541351702,55,0
1541352010,175,0
1541352735,10,8
1541352994,172,374
1541353933,207,0
1541354656,5,6
1541354904,191,226
1541355302,66,0
1541355852,225,214
1541356818,192,406
1541357804,182,204
1541358736,1291,5
1541358902,47,0
1541359712,194,1089
1541360665,177,10
1541361639,243,371
1541362590,241,170
1541363567,230,215
1541364032,7,6
1541364499,212,199
1541364998,10,3
1541365464,241,0
1541365960,10,6
1541366418,328,378
1541366914,3,8
1541367394,217,0
1541367874,7,9
1541368337,241,158
1541368843,6,8
1541369322,210,437
1541369785,99,3
1541370274,217,5
1541370744,3,2
1541371231,223,447
1541371693,4,13
1541372181,229,0
1541372678,3,19
1541373149,228,228
1541373630,90,11
1541374103,203,287
1541374602,3,15
1541375063,241,221
1541375565,9,20
1541376055,288,259
1541376521,5,1
1541376992,244,2084
1541377719,10,30
1541378184,193,274
1541378679,11,25
1541379140,234,205
1541379633,8,10
1541380111,228,211
1541380602,61,6
1541381057,201,241
1541382018,7,7
1541382270,17,27
1541382756,197,441
1541383244,14,51
1541383716,225,208
1541384194,69,10
1541384667,214,286
1541385148,9,9
1541385629,217,265
1541386093,17,22
1541386594,214,199
1541387065,7,18
1541387561,228,239
1541388028,55,30
1541388518,240,261
1541388985,13,0
1541389483,251,260
1541389936,15,40
1541390445,201,244
1541390906,9,3
1541391404,255,237
1541391858,5,13
1541392369,97,227
1541392854,3,13
1541393803,216,494
1541394739,299,0
1541394902,71,0
1541395705,310,439
1541396666,333,226
1541397617,329,11
1541398583,453,197
1541399539,307,234
1541400493,273,211
1541401464,269,191
1541402427,395,224
1541403387,232,220
1541404343,278,216
1541405310,307,239
1541405702,109,0
1541406260,286,277
1541407218,278,303
1541408195,253,236
1541409165,275,270
1541409302,127,0
1541410354,271,516
1541411050,37,6
1541411290,256,0
1541412269,243,233
1541413213,301,528
1541414181,243,0
1541415141,261,231
1541416118,241,432
1541416502,325,0
1541417072,251,167
1541418028,239,197
1541418983,219,8
1541419946,238,467
1541420102,287,0
1541420895,160,8
1541421859,220,235
1541422822,260,185
1541423783,468,206
1541424743,203,174
1541425716,212,443
1541426667,190,11
1541427621,319,398
1541428602,281,287
1541429539,240,0
1541430501,193,465
1541430902,311,0
1541431459,246,0
1541432417,280,513
1541433377,207,0
1541434384,230,233
1541434502,264,0
1541435297,141,217
1541436255,236,187
1541437230,225,199
1541438189,305,214
1541439142,238,202
1541440094,262,202
1541441063,237,209
1541442025,317,188
1541442983,205,237
1541443937,230,211
1541444903,1420,211
1541445302,60,0
1541445882,179,1281
1541446812,190,230
1541447777,193,216
1541448747,231,192
1541448902,54,0
1541449703,240,217
1541450657,193,218
1541451631,212,215
1541452581,301,212
1541453546,176,284
1541454499,175,237
1541455467,193,235
1541456102,54,0
1541456414,186,202
1541457400,207,252
1541458579,212,227
1541459556,259,422
1541459702,64,0
1541460505,198,212
1541461207,31,35
1541461467,263,260
1541462501,216,265
1541463389,91,2326
1541463900,188,230
1541464814,219,234
1541465049,22,22
1541465297,10,6
1541465791,258,254
1541466757,215,246
1541467216,119,3
1541467712,234,268
1541468677,221,9
1541469143,7,7
1541469629,256,185
1541470584,263,270
1541471068,11,9
1541471539,227,240
1541472492,227,216
1541472992,3,7
1541473459,217,239
1541474102,55,0
1541474410,199,300
1541474886,5,6
1541475403,202,323
1541476335,220,228
1541476836,6,6
1541477323,257,257
1541477702,54,0
1541478279,120,130
1541478735,7,2
1541479232,97,248
1541480204,236,213
1541480675,7,2
1541481141,232,207
1541481302,94,0
1541482110,241,251
1541482576,2,4
1541483072,226,261
1541484059,232,245
1541484522,5,6
1541484981,319,0
1541485935,288,290
1541486431,7,7
1541486890,272,227
1541487863,330,224
1541488356,4,5
1541488824,327,239
1541489772,253,295
1541490250,5,3
1541490754,276,570
1541491944,42,263
1541492429,104,7
1541492906,32,241
1541493853,37,229
1541494352,11,18
1541494823,35,305
1541495789,148,265
1541496271,37,26
1541496750,44,0
1541497694,43,549
1541498188,5,8
1541498667,79,0
1541499623,180,515
1541500115,4,1
1541500600,86,263
1541501553,73,257
1541502020,4,3
1541502498,53,0
1541502901,156,0
1541503461,41,268
1541503959,7,6
1541504429,53,555
1541505410,83,237
1541505900,3,7
1541506362,105,166
1541506503,136,0
1541507290,58,0
1541508031,10,9
1541508257,49,288
1541509221,55,260
1541510188,243,484
1541511141,81,0
1541512095,86,297
1541513064,91,218
1541513702,139,0
1541514010,303,209
1541514995,478,268
1541515933,407,309
1541516914,345,500
1541517302,109,0
1541517873,362,272
1541518829,378,349
1541519780,331,241
1541520785,280,159
1541520902,87,0
1541521691,326,8
1541522669,373,494
1541523626,521,10
1541524587,422,227
1541525808,398,439
1541526994,358,270
1541527942,366,291
1541528102,77,0
1541528890,344,256
1541529889,260,243
1541530844,314,237
1541532053,489,1389
1541532998,291,200
1541533960,304,208
1541534897,318,234
1541535302,75,0
1541535853,248,270
1541537335,330,472
1541538038,5,15
1541538521,272,238
1541538902,102,0
1541539480,264,223
1541539939,7,0
1541540432,296,217
1541541390,332,214
1541541871,9,12
1541542359,275,243
1541542502,90,0
1541543299,300,238
1541543784,2,0
1541544262,387,245
1541545225,315,220
1541546188,458,265
1541547142,341,258
1541547629,5,13
1541548099,434,274
1541549059,470,237
1541549539,8,8
1541549702,183,3264
1541550042,369,0
1541551369,419,542
1541552572,336,246
1541553558,508,264
1541554606,359,311
1541555535,451,307
1541556509,414,280
1541556902,73,0
1541557461,352,240
1541558410,408,296
1541559384,422,270
1541560355,386,208
1541560502,71,0
1541561289,313,237
1541562253,370,262
1541563218,307,261
1541564179,455,139
1541565149,333,129
1541566094,324,322
1541567066,353,335
1541567702,86,0
1541568255,410,216
1541569231,353,313
1541570171,343,295
1541571141,338,221
1541571302,80,0
1541572091,363,304
1541573074,378,349
1541574011,370,340
1541574983,527,304
1541575936,360,275
1541576895,347,320
1541577864,411,40
1541578502,115,0
1541578810,347,33
1541579791,347,45
1541580732,331,35
1541581705,360,36
1541582171,229,35
1541582651,357,40
1541583608,409,44
1541584593,336,94
1541585538,373,65
1541585702,94,0
1541586488,335,87
1541587452,339,67
1541588417,336,53
1541589384,413,24
1541590342,296,27
1541591293,285,45
1541592279,229,74
1541593231,422,39
1541594180,269,47
1541595139,257,38
1541596095,309,66
1541596502,126,0
1541597051,213,60
1541598032,237,58
1541598976,266,45
1541600097,301,278
1541600102,208,0
1541601140,226,214
1541602094,266,253
1541603065,261,249
1541603702,105,0
1541604008,235,270
1541604996,256,320
1541605932,289,298
1541606944,303,243
1541607303,77,0
1541608093,252,458
1541609054,276,0
1541610018,263,246
1541610982,441,321
1541611937,227,260
1541612896,243,289
1541613866,259,266
1541614502,84,0
1541614813,258,300
1541615795,253,278
1541616731,315,219
1541617702,881,261
1541618102,77,0
1541618655,196,297
1541619611,245,275
1541620593,274,222
1541621555,291,258
1541621702,112,0
1541622491,243,239
1541623475,264,7
1541624415,244,261
1541625395,404,224
1541626585,221,197
1541627537,261,222
1541628511,260,254
1541628902,128,0
1541629467,176,202
1541630410,218,242
1541631377,250,248
1541632355,263,212
1541632810,145,48
1541633290,265,257
1541634253,245,268
1541635213,216,303
1541636181,345,2460
1541636650,28,0
1541637136,184,331
1541638093,174,265
1541639062,187,260
1541640015,334,356
1541640489,27,49
1541640986,181,5
1541641929,204,294
1541642903,172,363
1541643302,150,0
1541643865,198,603
1541644810,197,8
1541645787,226,655
1541646752,249,9
1541646902,125,0
1541647689,205,322
1541648658,221,617
1541649628,200,251
1541650572,271,0
1541651542,187,330
1541652492,210,274
1541653480,207,628
1541654102,55,0
1541654407,208,4
1541655379,216,342
1541656328,173,314
1541657318,210,315
1541657702,81,0
1541658266,194,312
1541659212,171,341
1541660175,190,372
1541661139,253,357
1541661302,101,0
1541662090,177,427
1541663054,223,323
1541664023,191,328
1541664985,348,379
1541665936,184,308
1541666895,198,338
1541667865,195,320
1541668502,196,1
1541669052,212,705
1541669765,5,8
1541670008,234,0
1541671246,247,837
1541671713,10,1
1541672191,390,381
1541673382,245,387
1541674386,199,424
1541675546,229,298
1541675702,153,0
