DateTime,AddedIPs,RemovedIPs
1541332323,3,0
1541332947,115,1
1541334123,2,0
1541334693,92,22
1541335323,4,0
1541336610,1,2
1541337363,3,116
1541338324,91,0
1541339523,2,0
1541340148,4,0
1541340724,2,0
1541341324,10,0
1541342524,16,0
1541343124,71,65
1541343724,1,71
1541344923,22,0
1541346123,2,0
1541347349,130,1
1541347923,17,0
1541348523,25,0
1541348884,0,71
1541349093,87,0
1541349723,9,0
1541350948,6,89
1541351523,11,0
1541352123,11,0
1541352683,168,0
1541353324,3,0
1541354524,12,0
1541354610,0,1
1541355124,2,0
1541355603,0,131
1541355724,2,0
1541356324,96,0
1541356923,6,0
1541358148,8,1
1541359324,5,0
1541360524,6,0
1541361362,80,73
1541361813,7,86
1541362923,4,0
1541363547,84,0
1541364123,4,0
1541364723,3,0
1541365410,2,2
1541366523,7,0
1541367124,91,19
1541367723,6,0
1541369285,1,168
1541369524,3,0
1541370123,34,0
1541370724,119,0
1541371323,48,0
1541371923,23,0
1541372550,15,0
1541373723,20,0
1541374323,52,16
1541375043,27,100
1541375523,14,0
1541376208,15,2
1541376723,16,0
1541377323,1,0
1541377924,93,16
1541378525,11,0
1541379123,21,113
1541379752,22,0
1541380323,12,0
1541381043,37,106
1541381523,71,0
1541382123,3,0
1541383348,16,0
1541383923,11,0
1541384523,11,0
1541385123,5,0
1541385724,34,0
1541386083,0,82
1541386323,45,0
1541387010,91,2
1541387523,41,0
1541388124,6,0
1541388963,95,81
1541389323,3,0
1541389923,3,0
1541390549,12,0
1541391123,4,0
1541391723,1,0
1541392323,89,10
1541393523,16,0
1541394211,18,3
1541394724,11,167
1541395324,38,1
1541395922,96,0
1541396524,3,0
1541397751,6,0
1541398323,5,0
1541398924,36,0
1541399500,85,9
1541400124,12,0
1541400724,3,0
1541401352,1,2
1541401924,4,0
1541402410,0,131
1541402523,43,0
1541403124,104,0
1541403723,23,0
1541404923,113,17
1541405010,0,3
1541405523,15,1
1541406123,3,0
1541408548,10,0
1541409723,31,0
1541410326,90,54
1541410923,16,0
1541411524,4,0
1541412244,4,121
1541412724,3,0
1541413324,28,0
1541413923,99,0
1541414523,7,0
1541415723,3,0
1541415754,0,2
1541416323,5,0
1541416923,2,0
1541418008,0,67
1541418125,18,0
1541418723,7,0
1541419412,79,0
1541420523,9,0
1541421123,68,12
1541421723,3,0
1541423009,13,1
1541423763,7,91
1541424123,8,0
1541424723,87,0
1541425323,11,0
1541425923,1,0
1541426553,5,1
1541427123,11,0
1541427723,7,0
1541428323,60,14
1541428923,31,0
1541429523,30,61
1541430124,7,0
1541430209,0,1
1541430723,8,1
1541431442,42,61
1541431923,97,0
1541432524,15,0
1541433123,10,0
1541433812,5,78
1541434324,1,0
1541434924,29,0
1541435285,75,0
1541435524,91,54
1541436123,4,0
1541437352,22,2
1541437924,9,0
1541438523,2,0
1541439124,92,22
1541439724,9,0
1541440083,22,68
1541440323,10,0
1541441011,9,2
1541441523,3,0
1541442005,0,75
1541442123,9,0
1541442733,121,0
1541443323,7,0
1541443923,11,0
1541444523,1,0
1541445844,5,81
1541446324,119,0
1541446923,1,0
1541448212,8,1
1541449683,4,98
1541449923,95,0
1541450523,23,0
1541451123,4,0
1541451810,10,1
1541452923,4,0
1541453524,103,20
1541454124,14,0
1541454482,0,159
1541454723,22,0
1541455425,112,0
1541456524,6,0
1541457080,75,93
1541457723,2,0
1541458324,16,0
1541458953,5,1
1541460123,15,0
1541461445,16,115
1541462610,76,0
1541463123,12,0
1541463723,37,0
1541464323,2,144
1541464924,5,0
1541466210,130,0
1541466723,4,0
1541467205,0,94
1541467323,13,0
1541467923,97,1
1541468522,4,0
1541469810,7,0
1541470325,2,0
1541470923,5,0
1541471523,44,10
1541472123,8,0
1541472962,17,78
1541473350,15,1
1541474524,16,0
1541475123,62,10
1541475723,5,1
1541477013,12,0
1541477763,6,156
1541478123,3,0
1541478723,11,0
1541479323,101,0
1541479923,1,0
1541480550,10,1
1541481124,4,0
1541481724,11,0
1541482323,74,6
1541482923,4,0
1541483523,49,112
1541484209,6,2
1541484724,4,1
1541485325,4,0
1541485903,91,7
1541486523,14,0
1541487123,6,0
1541487751,25,2
1541488323,4,0
1541489523,79,28
1541490123,1,0
1541490723,3,0
1541491323,4,0
1541491925,10,0
1541492523,15,0
1541493123,8,0
1541493725,12,0
1541494323,7,0
1541495011,63,38
1541495524,4,0
1541496123,4,0
1541496723,13,0
1541497323,2,0
1541497923,1,0
1541498610,86,24
1541499124,1,0
1541499723,21,0
1541500353,76,36
1541500923,3,0
1541501523,6,0
1541502124,6,0
1541503323,3,0
1541503923,63,39
1541504523,18,0
1541505123,4,0
1541505810,4,1
1541506923,3,0
1541507523,7,0
1541508123,2,0
1541509411,57,110
1541509923,8,0
1541510523,5,0
1541511123,170,79
1541511723,4,0
1541512323,3,0
1541513011,4,1
1541514123,5,0
1541514723,84,44
1541515323,7,0
1541516523,6,0
1541516551,0,2
1541517123,8,0
1541517723,6,0
1541518323,45,51
1541518923,4,0
1541520211,27,0
1541521324,7,0
1541521923,5,0
1541522523,1,0
1541523815,75,57
1541524323,14,0
1541524923,9,0
1541525523,82,53
1541526122,1,0
1541526723,3,0
1541527413,4,1
1541527925,3,0
1541528523,3,0
1541529093,86,46
1541529724,7,0
1541530244,119,1
1541531012,4,2
1541531523,4,0
1541532123,3,0
1541532760,87,66
1541533323,1,0
1541533923,2,0
1541534523,1,0
1541534610,0,1
1541535125,1,0
1541535723,5,0
1541536923,91,64
1541537523,18,0
1541538153,3,0
1541538723,12,0
1541539923,83,78
1541540523,4,0
1541541124,6,0
1541541751,28,1
1541542324,1,0
1541542923,1,0
1541543523,1,0
1541544122,12,0
1541545352,83,98
1541545923,1,0
1541546523,4,0
1541547123,48,108
1541547723,1,0
1541549525,1,0
1541550123,14,1
1541550724,55,82
1541551323,1,0
1541553123,1,0
1541553723,3,1
1541554323,51,61
1541554923,5,0
1541555523,1,0
1541556149,42,50
1541557324,1,0
1541557923,2,0
1541558523,8,0
1541559751,18,0
1541560924,12,0
1541561523,6,0
1541562123,2,0
1541562723,3,0
1541563351,76,57
1541563923,1,0
1541564523,5,0
1541565123,8,0
1541565724,80,52
1541566323,1,0
1541567013,63,71
1541567525,23,0
1541568123,39,1
1541568723,138,103
1541569323,6,0
1541569922,1,0
1541570551,9,0
1541571725,16,0
1541572323,78,31
1541572923,5,0
1541574212,8,2
1541574724,11,0
1541575323,13,0
1541575924,77,51
1541576523,25,0
1541577123,2,0
1541577755,13,2
1541578923,3,0
1541579523,9,0
1541580123,6,0
1541580723,1,0
1541581323,114,51
1541581924,18,0
1541582523,7,0
1541583123,63,47
1541583723,2,0
1541585012,94,50
1541585524,2,0
1541586123,3,0
1541587323,6,0
1541588612,5,0
1541589124,3,0
1541589723,6,0
1541590323,70,37
1541590924,13,0
1541591523,6,0
1541592150,5,0
1541592723,3,0
1541593324,2,0
1541593924,68,58
1541594523,7,0
1541595723,2,0
1541595812,0,1
1541596323,2,0
1541596923,3,0
1541597523,70,42
1541598123,4,0
1541598724,14,0
1541599351,12,2
1541600524,2,0
1541601724,17,0
1541602322,10,0
1541603013,68,71
1541604123,4,0
1541604723,114,199
1541605324,7,0
1541606611,220,119
1541607124,3,0
1541607724,1,0
