DateTime,Entries,UniqueIPs
1541332323,642714,676454
1541332947,642828,676568
1541334123,642830,676570
1541334693,642900,676640
1541335323,642903,676644
1541336610,642900,676643
1541337363,642784,676530
1541338324,642874,676621
1541339523,642876,676623
1541340148,642879,676627
1541340724,642880,676629
1541341324,642885,676639
1541342524,642897,676655
1541343124,642902,676661
1541343724,642832,676591
1541344923,642835,676613
1541346123,642837,676615
1541347349,642961,676744
1541347923,642967,676761
1541348523,642987,676786
1541348884,642918,676715
1541349093,643004,676802
1541349723,643013,676811
1541350948,642931,676728
1541351523,642941,676739
1541352123,642951,676750
1541352683,643118,676918
1541353324,643121,676921
1541354524,643127,676933
1541354610,643126,676932
1541355124,643128,676934
1541355603,642997,676803
1541355724,642999,676805
1541356324,643095,676901
1541356923,643098,676907
1541358148,643102,676914
1541359324,643107,676919
1541360524,643111,676925
1541361362,643117,676932
1541361813,643036,676853
1541362923,643040,676857
1541363547,643124,676941
1541364123,643127,676945
1541364723,643129,676948
1541365410,643128,676948
1541366523,643135,676955
1541367124,643204,677027
1541367723,643203,677033
1541369285,643039,676866
1541369524,643042,676869
1541370123,643071,676903
1541370724,643178,677022
1541371323,643222,677070
1541371923,643235,677093
1541372550,643249,677108
1541373723,643265,677128
1541374323,643301,677164
1541375043,643227,677091
1541375523,643240,677105
1541376208,643249,677118
1541376723,643262,677134
1541377323,643263,677135
1541377924,643339,677212
1541378525,643345,677223
1541379123,643253,677131
1541379752,643271,677153
1541380323,643278,677165
1541381043,643203,677096
1541381523,643274,677167
1541382123,643276,677170
1541383348,643286,677186
1541383923,643294,677197
1541384523,643304,677208
1541385123,643309,677213
1541385724,643338,677247
1541386083,643256,677165
1541386323,643290,677210
1541387010,643367,677299
1541387523,643404,677340
1541388124,643410,677346
1541388963,643411,677360
1541389323,643413,677363
1541389923,643415,677366
1541390549,643425,677378
1541391123,643429,677382
1541391723,643428,677383
1541392323,643507,677462
1541393523,643522,677478
1541394211,643524,677493
1541394724,643365,677337
1541395324,643397,677374
1541395922,643489,677470
1541396524,643492,677473
1541397751,643496,677479
1541398323,643499,677484
1541398924,643528,677520
1541399500,643604,677596
1541400124,643615,677608
1541400724,643617,677611
1541401352,643616,677610
1541401924,643620,677614
1541402410,643489,677483
1541402523,643515,677526
1541403124,643617,677630
1541403723,643635,677653
1541404923,643720,677749
1541405010,643717,677746
1541405523,643727,677760
1541406123,643730,677763
1541408548,643738,677773
1541409723,643766,677804
1541410326,643801,677840
1541410923,643814,677856
1541411524,643817,677860
1541412244,643701,677743
1541412724,643703,677746
1541413324,643714,677774
1541413923,643813,677873
1541414523,643820,677880
1541415723,643818,677883
1541415754,643816,677881
1541416323,643821,677886
1541416923,643823,677888
1541418008,643756,677821
1541418125,643767,677839
1541418723,643773,677846
1541419412,643851,677925
1541420523,643858,677934
1541421123,643914,677990
1541421723,643917,677993
1541423009,643926,678005
1541423763,643842,677921
1541424123,643845,677929
1541424723,643932,678016
1541425323,643942,678027
1541425923,643943,678028
1541426553,643945,678032
1541427123,643955,678043
1541427723,643961,678050
1541428323,644007,678096
1541428923,644029,678127
1541429523,643997,678096
1541430124,644002,678103
1541430209,644001,678102
1541430723,644008,678109
1541431442,643977,678090
1541431923,644067,678187
1541432524,644075,678202
1541433123,644083,678212
1541433812,644007,678139
1541434324,644008,678140
1541434924,644034,678169
1541435285,644109,678244
1541435524,644145,678281
1541436123,644149,678285
1541437352,644167,678305
1541437924,644174,678314
1541438523,644176,678316
1541439124,644242,678386
1541439724,644250,678395
1541440083,644204,678349
1541440323,644205,678359
1541441011,644208,678366
1541441523,644210,678369
1541442005,644135,678294
1541442123,644139,678303
1541442733,644252,678424
1541443323,644259,678431
1541443923,644269,678442
1541444523,644270,678443
1541445844,644194,678367
1541446324,644309,678486
1541446923,644310,678487
1541448212,644307,678494
1541449683,644213,678400
1541449923,644308,678495
1541450523,644322,678518
1541451123,644325,678522
1541451810,644334,678531
1541452923,644338,678535
1541453524,644410,678618
1541454124,644417,678632
1541454482,644259,678473
1541454723,644281,678495
1541455425,644392,678607
1541456524,644397,678613
1541457080,644379,678595
1541457723,644381,678597
1541458324,644395,678613
1541458953,644398,678617
1541460123,644410,678632
1541461445,644311,678533
1541462610,644386,678609
1541463123,644397,678621
1541463723,644429,678658
1541464323,644287,678516
1541464924,644290,678521
1541466210,644419,678651
1541466723,644422,678655
1541467205,644328,678561
1541467323,644340,678574
1541467923,644437,678670
1541468522,644441,678674
1541469810,644448,678681
1541470325,644449,678683
1541470923,644454,678688
1541471523,644486,678722
