DateTime,AddedIPs,RemovedIPs
1541342374,9,6
1541343144,33,26
1541343813,1,2
1541344533,5,4
1541345057,20,20
1541345494,5,4
1541346213,6,5
1541346935,6,9
1541348373,13,15
1541348896,22,24
1541349093,7,2
1541349813,1,4
1541350535,4,3
1541350819,18,11
1541351494,7,6
1541352213,2,4
1541352735,9,19
1541352933,9,4
1541353654,6,4
1541354375,8,4
1541354656,14,12
1541355335,7,12
1541356294,7,9
1541356815,10,12
1541357013,4,4
1541357535,3,0
1541358214,8,8
1541358732,13,12
1541358934,8,4
1541359704,11,4
1541360375,11,4
1541360654,15,7
1541361094,6,8
1541361814,10,5
1541362586,14,17
1541363253,6,5
1541363973,5,4
1541364497,21,0
1541364933,4,8
1541365895,7,8
1541366416,9,10
1541366853,12,8
1541367813,7,5
1541368335,20,6
1541369254,12,12
1541370268,24,16
1541371174,9,11
1541371905,6,5
1541372172,16,18
1541372613,12,6
1541373574,8,11
1541374094,11,9
1541374589,20,14
1541376045,10,18
1541376454,13,9
1541377653,7,6
1541378182,12,11
1541378631,6,12
1541379574,10,2
1541380109,10,10
1541380534,13,6
1541381494,14,4
1541382018,14,14
1541382215,10,9
1541383654,12,10
1541384185,21,15
1541384615,8,4
1541385573,8,7
1541386091,14,13
1541386534,10,2
1541387494,2,10
1541388026,14,13
1541388453,10,4
1541389466,18,12
1541389934,17,8
1541390387,8,7
1541391345,8,9
1541391855,13,16
1541392776,18,4
1541393792,14,14
1541394457,6,1
1541395173,5,2
1541395701,10,0
1541396133,11,2
1541397094,4,2
1541397612,16,17
1541398053,5,9
1541399015,5,6
1541399535,23,0
1541399973,5,6
1541400933,64,294
1541401457,13,16
1541401894,7,9
1541402853,19,8
1541403382,13,19
1541403813,18,8
1541404332,18,0
1541404774,14,7
1541405294,14,15
1541405733,15,4
1541406693,10,4
1541407213,17,16
1541407413,11,5
1541408133,8,6
1541409154,18,18
1541409813,11,6
1541410773,7,7
1541411050,19,3
1541411734,10,10
1541412765,5,7
1541413209,5,11
1541413653,8,6
1541414614,10,5
1541415136,7,14
1541416053,17,13
1541417068,28,15
1541417733,5,7
1541418454,6,7
1541418978,38,6
1541419473,11,6
1541420374,2,5
1541420890,16,19
1541421334,8,10
1541422293,6,10
1541422818,16,18
1541423253,9,5
1541424213,10,2
1541424737,17,15
1541425174,7,6
1541426133,10,3
1541426662,16,9
1541427093,8,5
1541427815,8,3
1541428591,17,15
1541429253,3,12
1541429973,9,3
1541430497,5,11
1541430935,8,4
1541431893,4,6
1541432411,18,9
1541432853,11,8
1541433869,21,5
1541434379,17,15
1541434774,9,11
1541435735,9,8
1541436251,18,18
1541436696,4,4
1541437653,8,6
1541438184,12,13
1541438614,8,6
1541439575,10,10
1541440090,14,0
1541440535,7,7
1541441493,6,7
1541442021,13,11
1541442454,7,6
1541443413,13,8
1541443933,21,9
1541444373,8,5
1541445145,3,5
1541445871,16,8
1541446536,7,9
1541447255,9,7
1541447773,11,13
1541448214,6,10
1541448731,15,1
1541449174,10,5
1541449699,21,16
1541450133,10,12
1541451093,6,4
1541451627,9,18
1541452053,8,8
1541453014,3,9
1541453542,14,14
1541453974,9,9
1541454933,10,11
1541455461,12,15
1541455893,12,6
1541456615,5,7
1541457389,14,30
1541458081,3,6
1541459552,31,30
1541460215,6,9
1541460936,8,3
1541461455,18,15
1541462854,14,18
1541463389,36,18
1541463813,7,6
1541464533,9,3
1541465297,20,8
1541465735,21,11
1541466694,6,15
1541467216,20,23
1541467653,6,15
1541468615,7,13
1541469143,15,18
1541470054,16,14
1541471068,34,6
1541471974,8,5
1541472992,20,21
1541473893,6,4
1541474614,6,9
1541474886,14,24
1541475335,7,7
1541476054,4,6
1541476836,19,14
1541477253,7,12
1541478268,15,8
1541478735,11,11
1541479174,10,13
1541479782,5,1
1541480675,25,26
1541482053,15,13
1541482576,10,9
1541483014,7,8
1541484522,30,31
1541485413,8,7
1541486431,38,27
1541487336,311,290
1541488356,46,22
1541489254,9,18
1541489975,8,17
1541490250,18,10
1541490702,2,14
1541491415,7,15
1541492429,28,27
1541492894,13,0
1541493334,14,9
1541494352,23,38
1541495253,8,12
1541496271,24,30
1541497174,12,9
1541498188,29,21
1541499093,10,8
1541500128,27,30
1541500535,13,15
1541501515,9,13
1541502020,7,15
1541502213,5,13
1541502935,6,4
1541503959,14,20
1541504374,10,25
1541505336,15,13
1541505900,9,16
1541506294,18,7
1541507014,3,4
1541507530,12,1
1541508031,32,9
1541508694,7,4
1541509653,15,8
1541510184,17,18
1541510613,13,14
1541511575,10,8
1541512090,9,18
1541512533,4,9
1541513494,7,5
1541514006,20,17
1541514213,7,6
1541514934,1,6
1541515654,7,3
1541515929,12,13
1541516854,10,18
1541517869,23,15
1541518773,4,10
1541519494,10,11
1541519768,11,18
1541520213,12,6
1541521173,14,11
1541521687,18,18
1541521894,7,11
1541522168,16,2
1541522614,2,10
1541523333,6,2
1541523620,13,16
1541524055,4,7
1541525014,17,12
1541525797,22,37
1541526454,6,11
1541527413,7,6
1541527938,8,0
1541528374,9,7
1541529094,10,9
1541529876,17,35
1541531254,11,11
1541532047,16,26
1541532497,4,0
1541532934,12,7
1541533954,25,28
1541534613,10,6
1541535335,3,9
1541535849,20,20
1541536293,7,5
1541537313,24,10
1541538038,10,24
1541538453,11,14
1541539413,6,5
1541539939,21,15
1541540374,11,6
1541541333,13,12
1541541871,14,17
1541542293,8,11
1541543013,7,11
1541543784,19,16
1541544661,13,6
1541545654,11,17
1541546613,9,10
1541547629,19,25
1541548536,8,5
1541549255,10,7
1541549539,12,9
1541549974,6,8
1541550693,8,6
1541551357,15,0
1541552078,18,21
1541552496,0,10
1541553554,11,26
1541555013,22,12
1541555531,14,15
1541556455,12,17
1541557174,6,7
1541557450,16,24
1541557894,7,11
1541558614,3,6
1541559380,24,20
1541560293,7,8
1541561013,4,7
1541561285,14,15
1541561733,4,6
1541562696,9,9
1541563214,16,24
1541563653,15,7
1541564613,6,7
1541565145,12,12
1541565576,6,10
1541566567,14,7
1541567061,20,14
1541567734,3,22
1541568694,8,12
1541569227,19,28
1541569653,11,9
1541570614,6,10
1541571136,12,0
1541571573,17,6
1541572294,5,14
1541573063,17,29
1541573737,288,9245
1541574454,10,9
1541575414,13,30
1541576424,14,7
1541576891,14,15
1541577334,7,8
1541578295,6,10
1541578806,16,20
1541579013,7,11
1541579736,7,11
1541580453,11,3
1541580727,10,8
1541581173,12,6
1541581691,11,2
1541582135,18,9
1541582646,13,21
1541583094,10,9
1541583813,10,8
1541584581,23,23
1541585254,5,10
1541585974,4,5
1541586484,11,0
1541586936,6,11
1541587894,9,11
1541588412,16,4
1541588853,7,8
1541589814,5,11
1541590338,9,10
1541590774,12,7
1541591736,7,13
1541592275,14,18
1541592693,7,20
1541593654,9,9
1541594176,11,0
1541594613,9,13
1541595575,4,16
1541596091,15,5
1541596586,28,18
1541597494,259,8
1541598453,14,5
1541599414,10,10
1541600082,14,27
1541600614,12,10
1541601574,11,6
1541602089,13,10
1541602533,6,6
1541603494,8,12
1541604003,12,11
1541604214,6,8
1541604934,7,5
1541605653,4,6
1541605927,8,15
1541606435,5,11
1541607574,13,15
1541608088,11,11
1541608533,12,7
1541609493,10,3
