DateTime,AddedIPs,RemovedIPs
1541303523,5,0
1541304123,18,0
1541304723,2,0
1541305323,8,0
1541305923,1,0
1541306523,2,0
1541307723,3,0
1541308923,9,0
1541309523,2,0
1541310123,4,0
1541310722,2,0
1541311324,4,0
1541312523,6,0
1541313123,5,0
1541313723,2,0
1541314323,4,0
1541314923,4,0
1541315524,4,0
1541316124,5,0
1541316723,1,0
1541317324,3,0
1541317923,12,0
1541318523,2,0
1541320324,4,0
1541320923,3,0
1541321524,3,0
1541322123,2,0
1541322723,3,0
1541323323,4,0
1541323923,1,0
1541324523,2,0
1541325123,30,0
1541325724,6,0
1541326324,22,0
1541326923,9,0
1541327523,3,0
1541328124,1,0
1541328723,2,0
1541329323,1,0
1541331723,4,0
1541332323,3,0
1541332923,3,0
1541334123,2,0
1541335323,4,0
1541336523,1,0
1541337123,3,0
1541338324,3,0
1541339523,2,0
1541340125,4,0
1541340724,2,0
1541341324,10,0
1541342524,15,0
1541343124,3,0
1541343724,1,0
1541344923,22,0
1541346123,2,0
1541347323,31,0
1541347923,17,0
1541348523,25,0
1541349723,9,0
1541350923,6,0
1541351523,11,0
1541352123,11,0
1541353324,3,0
1541354524,12,0
1541355124,2,0
1541355724,2,0
1541356324,3,0
1541356923,6,0
1541358123,8,0
1541359324,5,0
1541360524,6,0
1541361723,7,0
1541362923,4,0
1541364123,4,0
1541364723,3,0
1541365322,2,0
1541366523,7,0
1541367124,19,0
1541367723,6,0
1541368923,1,0
1541369524,3,0
1541370123,34,0
1541370724,46,0
1541371323,48,0
1541371923,23,0
1541372524,15,0
1541373723,20,0
1541374323,5,0
1541374924,11,0
1541375523,14,0
1541376124,15,0
1541376723,16,0
1541377323,1,0
1541377924,7,0
1541378525,11,0
1541379123,5,0
1541379723,22,0
1541380323,12,0
1541380923,37,0
1541382123,3,0
1541383323,16,0
1541383923,11,0
1541384523,11,0
1541385123,5,0
1541385724,34,0
1541386323,45,0
1541386923,50,0
1541387523,41,0
1541388124,6,0
1541388723,26,0
1541389323,3,0
1541389923,3,0
1541390523,12,0
1541391123,4,0
1541391723,1,0
1541392323,2,0
1541393523,16,0
1541394123,18,0
1541394724,11,0
1541395324,38,1
1541395922,27,0
1541396524,3,0
1541397724,5,0
1541398323,5,0
1541398924,36,0
1541400124,12,0
1541400724,3,0
1541401324,1,0
1541401924,4,0
1541402523,43,0
1541403124,35,0
1541403723,23,0
1541404923,38,0
1541405523,15,1
1541406123,3,0
1541408523,10,0
1541409723,31,0
1541410323,5,0
1541410923,16,0
1541411524,4,0
1541412124,4,0
1541412724,3,0
1541413324,28,0
1541413923,5,0
1541414523,7,0
1541415723,3,0
1541416323,5,0
1541416923,2,0
1541418125,18,0
1541418723,7,0
1541419323,4,0
1541420523,9,0
1541421123,5,0
1541421723,3,0
1541422923,13,0
1541423523,7,0
1541424123,8,0
1541424723,5,0
1541425323,11,0
1541425923,1,0
1541426523,5,0
1541427123,11,0
1541427723,7,0
1541428323,2,0
1541428923,31,0
1541429523,16,0
1541430124,7,0
1541430723,8,1
1541431324,42,0
1541431923,21,0
1541432524,15,0
1541433123,10,0
1541433724,5,0
1541434324,1,0
1541434924,29,0
1541435524,4,0
1541436123,4,0
1541437323,22,0
1541437924,9,0
1541438523,2,0
1541439124,2,0
1541439724,9,0
1541440323,10,0
1541440923,9,0
1541441523,3,0
1541442123,9,0
1541442723,22,0
1541443323,7,0
1541443923,11,0
1541444523,1,0
1541445724,5,0
1541446324,13,0
1541446923,1,0
1541448124,8,0
1541449323,4,0
1541449923,2,0
1541450523,23,0
1541451123,4,0
1541451724,10,0
1541452923,4,0
1541453524,24,0
1541454124,14,0
1541454723,22,0
1541455323,12,0
1541456524,6,0
1541457723,2,0
1541458324,16,0
1541458924,5,0
1541460123,15,0
1541461324,16,0
1541462525,8,0
1541463123,12,0
1541463723,37,0
1541464323,2,0
1541464924,5,0
1541466122,20,0
1541466723,4,0
1541467323,13,0
1541467923,10,1
1541468522,4,0
1541469723,7,0
1541470325,2,0
1541470923,5,0
1541471523,2,0
1541472123,8,0
1541472723,7,0
1541473323,15,0
1541474524,16,0
1541475723,5,1
1541476924,12,0
1541477524,6,0
1541478123,3,0
1541478723,11,0
1541479323,18,0
1541479923,1,0
1541480524,9,0
1541481124,4,0
1541481724,11,0
1541482323,9,0
1541482923,4,0
1541483523,43,0
1541484124,6,0
1541484724,4,1
1541485325,4,0
1541486523,14,0
1541487123,6,0
1541487723,24,0
1541488323,4,0
1541489523,3,0
1541490123,1,0
1541490723,3,0
1541491323,4,0
1541491925,10,0
1541492523,15,0
1541493123,8,0
1541493725,12,0
1541494323,7,0
1541494924,9,0
1541495524,4,0
1541496123,4,0
1541496723,13,0
1541497323,2,0
1541497923,1,0
1541498524,7,0
1541499124,1,0
1541499723,21,0
1541500323,4,0
1541500923,3,0
1541501523,6,0
1541502124,6,0
1541503323,3,0
1541504523,18,0
1541505123,4,0
1541505723,4,0
1541506923,3,0
1541507523,7,0
1541508123,2,0
1541509323,6,0
1541509923,8,0
1541510523,5,0
1541511723,4,0
1541512323,3,0
1541512923,4,0
1541514123,5,0
1541514723,1,0
1541515323,7,0
1541516523,6,0
1541517123,8,0
1541517723,6,0
1541518323,2,0
1541518923,4,0
1541520123,26,0
1541521324,7,0
1541521923,5,0
1541522523,1,0
1541523724,3,0
1541524323,14,0
1541524923,9,0
1541525523,2,0
1541526122,1,0
1541526723,3,0
1541527323,4,0
1541527925,3,0
1541528523,3,0
1541529724,7,0
1541530244,119,1
1541530923,4,0
1541531523,4,0
1541532123,3,0
1541532723,4,0
1541533323,1,0
1541533923,2,0
1541534523,1,0
1541535125,1,0
1541535723,5,0
1541536923,4,0
1541537523,18,0
1541538123,3,0
1541538723,12,0
1541539923,3,0
1541540523,4,0
1541541124,6,0
1541541723,28,0
1541542324,1,0
1541542923,1,0
1541543523,1,0
1541544122,12,0
1541545324,13,0
1541545923,1,0
1541546523,4,0
1541547123,1,0
1541547723,1,0
1541549525,1,0
1541550123,14,1
1541550724,2,0
1541551323,1,0
1541553123,1,0
1541553723,3,1
1541554323,4,0
1541554923,5,0
1541555523,1,0
1541556123,6,0
1541557324,1,0
1541557923,2,0
1541558523,8,0
1541559723,18,0
1541560924,12,0
1541561523,6,0
1541562123,2,0
1541562723,3,0
1541563324,3,2
1541563923,1,0
1541564523,5,0
1541565123,8,0
1541565724,7,0
1541566323,1,0
1541566923,11,0
1541567525,23,0
