DateTime,AddedIPs,RemovedIPs
1540699726,27,22
1540701625,10,34
1540703563,11,26
1540705473,21,24
1540707379,23,23
1540709558,21,18
1540711497,24,21
1540713392,19,20
1540715544,14,12
1540717471,22,29
1540719372,16,18
1540721312,23,20
1540723234,17,22
1540725157,19,1190
1540727072,30,37
1540729003,571,0
1540731152,30,18
1540733073,25,17
1540734984,27,18
1540737137,35,37
1540739062,28,41
1540740991,38,27
1540742931,28,12
1540744813,28,35
1540747248,28,40
1540749391,30,29
1540751297,30,16
1540753239,23,19
1540755140,30,14
1540757073,34,23
1540758974,43,29
1540760903,24,28
1540762814,37,21
1540764741,44,19
1540766667,20,13
1540768583,31,32
1540770502,23,36
1540772413,495,1
1540774339,12,11
1540776276,18,13
1540778195,9,14
1540780113,15,28
1540782046,11,40
1540783956,7,18
1540785880,9,14
1540788024,14,30
1540789941,9,29
1540791856,12,25
1540793799,33,19
1540795713,10,12
1540797622,17,15
1540799557,12,20
1540801476,19,27
1540803658,11,38
1540805553,13,17
1540807465,25,16
1540809380,36,18
1540811322,19,1209
1540813233,35,34
1540815402,552,0
1540817545,26,44
1540819453,13,55
1540821391,8,49
1540823317,27,22
1540825255,39,17
1540827159,22,14
1540829083,61,19
1540831254,44,16
1540833165,58,12
1540835054,60,25
1540837235,58,21
1540839155,27,20
1540841059,30,23
1540843241,69,22
1540845146,30,14
1540847086,30,24
1540849223,54,25
1540851139,44,25
1540853067,7,16
1540854985,24,21
1540856905,11,35
1540858853,492,0
1540860981,17,36
1540862891,8,50
1540864844,12,45
1540866744,12,10
1540868679,12,12
1540870818,23,20
1540872748,15,12
1540874676,16,13
1540876580,6,13
1540878495,17,19
1540880434,13,18
1540882341,8,20
1540884261,12,22
1540886441,32,21
1540888342,18,14
1540890279,26,23
1540892436,28,24
1540894594,24,25
1540896492,21,15
1540898413,23,1059
1540900354,24,31
1540902273,396,0
1540904168,28,11
1540906095,25,15
1540908024,25,15
1540909940,17,10
1540912120,28,12
1540914035,17,12
1540916004,37,14
1540918098,41,18
1540920272,46,17
1540922195,26,15
1540924128,23,15
1540926277,46,13
1540928205,40,20
1540930123,32,17
1540932036,44,18
1540933961,40,12
1540935873,43,16
1540937785,52,27
1540939698,36,29
1540941616,18,23
1540943543,10,30
