DateTime,Entries,UniqueIPs
1540699726,2643,2643
1540701625,2619,2619
1540703563,2604,2604
1540705473,2601,2601
1540707379,2601,2601
1540709558,2604,2604
1540711497,2607,2607
1540713392,2606,2606
1540715544,2608,2608
1540717471,2601,2601
1540719372,2599,2599
1540721312,2602,2602
1540723234,2597,2597
1540725157,1426,1426
1540727072,1419,1419
1540729003,1990,1990
1540731152,2002,2002
1540733073,2010,2010
1540734984,2019,2019
1540737137,2017,2017
1540739062,2004,2004
1540740991,2015,2015
1540742931,2031,2031
1540744813,2024,2024
1540747248,2012,2012
1540749391,2013,2013
1540751297,2027,2027
1540753239,2031,2031
1540755140,2047,2047
1540757073,2058,2058
1540758974,2072,2072
1540760903,2068,2068
1540762814,2084,2084
1540764741,2109,2109
1540766667,2116,2116
1540768583,2115,2115
1540770502,2102,2102
1540772413,2596,2596
1540774339,2597,2597
1540776276,2602,2602
1540778195,2597,2597
1540780113,2584,2584
1540782046,2555,2555
1540783956,2544,2544
1540785880,2539,2539
1540788024,2523,2523
1540789941,2503,2503
1540791856,2490,2490
1540793799,2504,2504
1540795713,2502,2502
1540797622,2504,2504
1540799557,2496,2496
1540801476,2488,2488
1540803658,2461,2461
1540805553,2457,2457
1540807465,2466,2466
1540809380,2484,2484
1540811322,1294,1294
1540813233,1295,1295
1540815402,1847,1847
1540817545,1829,1829
1540819453,1787,1787
1540821391,1746,1746
1540823317,1751,1751
1540825255,1773,1773
1540827159,1781,1781
1540829083,1823,1823
1540831254,1851,1851
1540833165,1897,1897
1540835054,1932,1932
1540837235,1969,1969
1540839155,1976,1976
1540841059,1983,1983
1540843241,2030,2030
1540845146,2046,2046
1540847086,2052,2052
1540849223,2081,2081
1540851139,2100,2100
1540853067,2091,2091
1540854985,2094,2094
1540856905,2070,2070
1540858853,2562,2562
1540860981,2543,2543
1540862891,2501,2501
1540864844,2468,2468
1540866744,2470,2470
1540868679,2470,2470
1540870818,2473,2473
1540872748,2476,2476
1540874676,2479,2479
1540876580,2472,2472
1540878495,2470,2470
1540880434,2465,2465
1540882341,2453,2453
1540884261,2443,2443
1540886441,2454,2454
1540888342,2458,2458
1540890279,2461,2461
1540892436,2465,2465
1540894594,2464,2464
1540896492,2470,2470
1540898413,1434,1434
1540900354,1427,1427
1540902273,1823,1823
1540904168,1840,1840
1540906095,1850,1850
1540908024,1860,1860
1540909940,1867,1867
1540912120,1883,1883
1540914035,1888,1888
1540916004,1911,1911
1540918098,1934,1934
1540920272,1963,1963
1540922195,1974,1974
1540924128,1982,1982
1540926277,2015,2015
1540928205,2035,2035
1540930123,2050,2050
1540932036,2076,2076
1540933961,2104,2104
1540935873,2131,2131
1540937785,2156,2156
1540939698,2163,2163
1540941616,2158,2158
1540943543,2138,2138
1540945471,2491,2491
1540947372,2504,2504
1540949294,2514,2514
1540951235,2514,2514
1540953141,2514,2514
1540955064,2520,2520
1540956986,2532,2532
1540958919,2527,2527
1540960822,2529,2529
1540963003,2534,2534
1540964899,2541,2541
1540966833,2591,2591
1540968741,2605,2605
1540970672,2611,2611
1540972592,2609,2609
1540974492,2613,2613
1540976437,2620,2620
1540978348,2625,2625
1540980264,2635,2635
1540982182,2623,2623
1540984101,1460,1460
1540986015,1470,1470
1540987962,1888,1888
1540989878,1898,1898
1540992021,1932,1932
1540993939,1942,1942
1540995871,1952,1952
1540997792,1966,1966
1540999720,1972,1972
1541001638,2003,2003
1541003559,2013,2013
1541005455,2036,2036
1541007389,2047,2047
1541009324,2061,2061
1541011230,2071,2071
1541013403,2090,2090
1541015299,2091,2091
1541017220,2096,2096
1541019155,2095,2095
1541021090,2103,2103
1541023256,2089,2089
1541025161,2096,2096
1541027068,2096,2096
1541028990,2093,2093
1541030918,2472,2472
1541032817,2467,2467
1541034741,2485,2485
1541036682,2497,2497
1541038585,2499,2499
1541040512,2519,2519
1541042425,2522,2522
1541044348,2531,2531
1541046259,2538,2538
1541048191,2551,2551
1541050095,2555,2555
1541052280,2561,2561
1541054418,2593,2593
1541056347,2599,2599
1541058271,2590,2590
1541060188,2584,2584
1541062099,2594,2594
1541064020,2596,2596
1541065938,2597,2597
1541067877,2609,2609
1541069769,2645,2645
1541071699,1456,1456
1541073659,1978,1978
1541075695,2008,2008
1541077695,2019,2019
1541079608,2028,2028
1541081543,2040,2040
1541083462,2057,2057
1541085381,2081,2081
1541087303,2093,2093
1541089222,2117,2117
1541091147,2162,2162
1541093055,2189,2189
1541095239,2216,2216
1541097381,2239,2239
1541099556,2235,2235
1541101453,2236,2236
1541103378,2231,2231
1541105543,2230,2230
1541107964,2217,2217
1541109866,2212,2212
1541112032,2213,2213
1541113935,2203,2203
1541115869,2207,2207
1541117781,2660,2660
1541119732,2667,2667
1541121617,2654,2654
1541123576,2660,2660
1541125458,2658,2658
1541127384,2658,2658
1541129540,2658,2658
1541131466,2662,2662
1541133393,2660,2660
1541135314,2663,2663
1541137221,2659,2659
1541139140,2665,2665
1541141071,2679,2679
1541142999,2701,2701
1541144908,2704,2704
1541146829,2699,2699
1541148737,2701,2701
1541150670,2709,2709
1541152593,2703,2703
1541154740,2702,2702
1541156673,1506,1506
1541158839,1496,1496
1541160762,2092,2092
1541162657,2110,2110
1541164838,2152,2152
1541166755,2159,2159
1541168669,2178,2178
1541170597,2191,2191
1541172762,2195,2195
1541174966,2204,2204
1541176832,2207,2207
1541178757,2204,2204
1541180655,2206,2206
1541182597,2208,2208
1541184738,2212,2212
1541186667,2222,2222
1541188592,2230,2230
1541190739,2221,2221
1541192655,2217,2217
1541194586,2217,2217
1541196524,2198,2198
1541198437,2185,2185
1541200344,2154,2154
1541202255,2146,2146
1541204184,2699,2699
1541206101,2702,2702
1541208029,2731,2731
1541209957,2740,2740
1541211860,2745,2745
1541213789,2746,2746
1541215943,2747,2747
1541217872,2742,2742
1541220018,2731,2731
1541221979,2721,2721
1541223850,2728,2728
1541225772,2730,2730
1541227955,2737,2737
1541229854,2742,2742
1541231800,2753,2753
1541233691,2753,2753
1541235668,2742,2742
1541237536,2731,2731
1541239462,2718,2718
1541241377,2729,2729
1541243297,1394,1394
1541245213,1390,1390
1541247143,1992,1992
1541249052,2011,2011
1541250981,2051,2051
1541252895,2075,2075
1541254810,2091,2091
1541256730,2097,2097
1541258657,2114,2114
1541260589,2120,2120
1541262489,2129,2129
1541264420,2133,2133
