DateTime,AddedIPs,RemovedIPs
1541175310,1725,1230
1541176210,760,370
1541177109,720,291
1541178009,820,210
1541178908,1299,492
1541179810,1287,610
1541180711,1203,734
1541181609,1221,346
1541182509,1193,952
1541183410,1067,632
1541185209,1733,1344
1541186110,1009,827
1541187009,972,861
1541187909,1004,1104
1541188808,1057,2063
1541189709,1136,1323
1541190609,971,896
1541191509,903,876
1541192409,717,588
1541193308,1026,1035
1541194208,743,1610
1541196009,1359,1792
1541196908,803,1189
1541197808,723,1219
1541198708,772,1026
1541199607,786,951
1541200508,979,1004
1541201408,767,1244
1541203207,1336,1458
1541204108,990,779
1541205007,849,404
1541205908,719,321
1541206807,761,525
1541207709,867,544
1541208608,749,393
1541210407,1571,806
1541211307,814,512
1541212208,830,496
1541213108,755,591
1541214009,617,496
1541214908,764,641
1541215809,784,565
1541217607,1315,641
1541218509,729,464
1541219407,720,438
1541221208,1291,612
1541222107,761,525
1541223007,926,434
1541223908,757,370
1541224808,845,525
1541225708,956,627
1541226607,1107,897
1541228407,1743,1216
1541229307,897,803
1541230207,1051,773
1541231108,862,675
1541232008,852,678
1541232909,935,590
1541233807,1083,635
1541235607,1745,1351
1541236507,921,757
1541237407,1123,875
1541238306,956,726
1541239205,843,685
1541240105,867,711
1541241005,988,1081
1541242805,1974,2173
1541243706,894,916
1541244605,852,943
1541245506,823,1094
1541246405,850,731
1541247306,922,464
1541248205,902,698
1541250006,1704,2271
1541250905,868,1215
1541251805,864,974
1541252705,866,988
1541253605,925,913
1541254505,839,647
1541255405,1493,1405
1541256305,1535,1867
1541257205,842,1130
1541258106,782,952
1541259005,891,836
1541259905,787,926
1541260806,847,1061
1541261705,822,1051
1541262606,833,896
1541263505,860,862
1541264406,786,822
1541265307,850,1399
1541266206,905,2002
1541267106,810,3143
1541268006,895,1951
1541268907,830,2196
1541269805,876,2844
1541270708,850,2264
1541271607,829,1358
1541272506,836,1558
1541273406,912,1556
1541275207,1871,4566
1541276108,822,1191
1541277007,913,635
1541277908,811,1133
1541278807,824,1036
1541279708,853,1120
1541280607,846,1494
1541281507,794,1412
1541282409,811,860
1541283309,763,805
1541284209,803,699
1541285109,856,832
1541286010,854,822
1541286908,786,878
1541287810,820,1001
