DateTime,AddedIPs,RemovedIPs
1537252241,8,0
1537263041,18,131
1537275040,6,45
1537287641,11,59
1537299641,12,46
1537311641,38,21
1537323639,22,21
1537335640,11,24
1537347639,10,41
1537357241,9,44
1537368641,7,56
1537379440,7,90
1537389639,8,58
1537401041,7,52
1537411841,13,40
1537422640,5,34
1537433440,13,34
1537443642,11,32
1537453240,21,33
1537463441,11,26
1537474839,6,15
1537485041,2,12
1537495841,2,12
1537506647,58,51
1537517443,180,31
1537526442,32,44
1537537841,21,34
1537549245,6,58
1537560639,14,19
1537572040,17,7
1537582856,12,17
1537592440,6,28
1537602039,1,12
1537612838,6,29
1537623638,8,32
1537634440,38,25
1537644646,119,10
1537654239,14,15
1537664442,14,30
1537674037,7,46
1537682441,8,46
1537693251,8,50
1537702839,7,0
1537713637,7,40
1537725636,2,50
1537735236,1,25
1537745437,2,33
1537755038,7,88
1537763437,16,34
1537771837,10,0
1537781438,2,84
1537791037,11,50
1537803635,8,45
1537813836,4,0
1537822836,6,68
1537831235,7,0
1537839035,3,25
1537846834,4,35
1537855243,3,29
1537863035,1,0
1537871440,2,37
1537878035,2,0
1537885835,9,93
1537893655,1,0
1537901436,1,55
1537909835,5,62
1537919434,13,37
1537929033,3,0
1537938632,7,30
1537947041,6,26
1537955434,4,24
1537963234,4,0
1537970434,4,36
1537977035,3,30
1537984234,1,0
1537990834,4,40
1537998033,0,24
1538005233,2,0
1538013033,10,53
1538020834,2,43
1538027433,2,69
1538034638,4,0
1538041834,5,29
1538048447,5,0
1538056250,6,38
1538063452,9,40
1538070660,6,46
1538077837,4,0
1538084451,4,32
1538091652,5,20
1538098247,7,0
1538104245,1,41
1538111445,3,0
1538118675,126,67
1538125284,29,68
1538131255,14,0
1538139044,7,107
1538148049,13,82
1538155851,0,169
1538163052,5,0
1538170852,5,60
1538179249,7,46
1538187043,27,36
1538194850,5,0
1538201452,3,45
1538209249,30,35
1538217055,1,0
1538224856,0,45
1538232657,2,68
1538239258,67,45
1538247659,42,46
1538254263,7,0
1538262039,9,62
1538268634,3,0
1538275234,1,41
1538282435,1,90
1538289646,4,80
1538296247,4,0
1538303457,0,75
1538310649,9,36
1538317248,4,0
1538323850,1,39
1538331649,5,28
1538339450,2,29
1538346649,3,0
1538353249,0,27
1538367050,5,49
1538374249,1,35
1538380849,0,59
1538387451,9,90
1538394649,2,0
1538401840,2,156
1538407846,1,0
1538414444,5,182
1538421043,5,76
1538428247,8,0
1538434846,5,65
1538439644,7,48
1538446247,5,0
1538451045,4,54
1538456443,2,0
1538467848,4,33
1538475045,5,30
1538482252,1,31
1538487634,2,33
1538494835,0,25
1538501434,2,36
1538507434,4,0
1538512234,3,63
1538517634,2,45
1538529033,2,41
1538535033,8,60
1538541033,7,0
1538547032,3,32
1538552433,3,0
1538557834,8,39
1538563834,8,17
1538570434,8,31
1538577633,4,26
1538584835,7,37
1538592633,3,30
1538599833,2,32
1538607034,4,36
1538614233,32,35
1538622034,4,18
1538628633,1,26
1538635833,5,43
1538643633,6,65
1538650833,3,27
1538658034,3,23
1538665233,3,30
1538671833,17,17
1538679034,43,17
1538686834,11,29
1538693436,550,0
1538703044,1726,19
1538715644,271,15
1538725844,102,16
1538736644,43,6
1538747446,96,53
1538756446,66,14
1538766646,11,16
1538775645,8,14
1538785250,933,20
1538814661,1445,44
1538827273,196,31
1538841664,544,97
1538857258,172,49
1538872251,43,9
1538886647,16,26
1538900447,15,44
1538914849,19,16
1538931044,182,33
1538944246,82,28
1538956844,70,22
1538968243,19,18
1538981444,115,18
1538995242,43,28
1539007241,19,32
1539019840,10,15
1539032441,4,19
1539043839,9,7
1539057038,6,10
1539069039,55,8
1539080444,33,19
1539090040,12,9
1539100241,16,21
1539110440,11,5
1539121241,42,13
1539131440,22,11
1539140440,12,21
1539150641,33,7
1539160840,6,13
1539171641,7,25
1539181841,5,13
1539190851,10,5
1539200440,19,7
1539211841,48,9
1539222641,20,21
1539234641,11,18
1539247841,19,7
1539259242,27,23
1539271240,28,29
1539283840,17,39
1539294639,4,0
1539306051,2,15
1539317438,3,31
1539329439,7,51
1539340839,7,0
1539352839,15,69
1539363638,9,47
1539374438,7,77
1539384637,8,59
1539395437,7,396
1539405637,4,0
1539415838,3,0
1539425438,2,70
1539435037,0,295
1539444637,4,0
1539453639,5,510
1539463237,5,0
1539472838,5,525
1539483638,7,286
1539494438,8,104
1539505237,8,0
1539516039,217,73
1539527438,25,194
1539536438,18,0
1539546039,122,76
1539556839,15,209
1539567639,3,122
1539579638,10,166
