DateTime,AddedIPs,RemovedIPs
1536168626,10,10
1536174626,3,9
1536183625,1,0
1536198024,4,9
1536206424,0,8
1536219627,0,5
1536234026,3,12
1536246026,2,18
1536257426,21,18
1536270626,5,11
1536283824,4,11
1536297625,0,11
1536309026,2,14
1536323427,2,29
1536334826,8,11
1536349226,3,14
1536357025,0,4
1536370224,2,6
1536383424,6,0
1536396025,2,14
1536407426,18,16
1536418825,7,13
1536429625,6,19
1536441025,4,5
1536453623,3,3
1536460823,3,8
1536475223,2,5
1536483026,0,7
1536496226,417,12
1536510026,43,9
1536517826,5,11
1536531626,119,0
1536540024,1723,7
1536566426,436,17
1536577227,83,2
1536589826,34,3
1536601226,11,0
1536613225,8,3
1536623425,64,3
1536634224,22,9
1536645624,3,8
1536657026,6,10
1536665426,370,7
1536676825,65,4
1536689425,38,0
1536702025,12,13
1536712824,4,3
1536724824,3,18
1536735023,1,16
1536746427,7,8
1536757227,3,0
1536768026,1,5
1536779426,5,33
1536791424,111,6
1536802824,17,16
1536814824,9,8
1536824426,11,4
1536835226,3,0
1536846025,1,7
1536855626,2,5
1536865225,3,11
1536874824,2,10
1536885024,3,5
1536894623,1,12
1536904823,14,6
1536913226,44,16
1536922826,17,8
1536932425,4,0
1536942025,2,65
1536952225,4,0
1536960027,2,6
1536968423,24,2
1536979223,63,0
1536988223,6,7
1536996627,1,13
1537006825,1,0
1537017625,0,10
1537027225,0,21
1537036225,16,16
1537045225,15,28
1537053024,806,9
1537065024,666,5
1537076423,205,0
1537087826,51,7
1537099826,26,9
1537113025,11,6
1537125026,0,5
1537137025,2,11
1537148424,1,6
1537159823,4,3
1537170626,11,11
1537183225,173,7
1537195226,14,0
1537208424,29,8
1537219225,8,5
1537230623,4,6
1537241424,2,7
1537252223,2,6
1537263026,6,12
1537275025,0,5
1537287626,6,13
1537299625,2,8
1537311625,30,0
1537323623,12,2
1537335624,8,13
1537347626,4,9
1537357226,7,0
1537368626,2,11
1537379425,1,8
1537389624,1,3
1537401024,1,14
1537411824,1,14
1537422623,2,0
1537433426,8,4
1537443625,2,9
1537453225,11,39
1537463425,5,0
1537474824,3,11
1537485025,0,8
1537495823,0,5
1537506623,48,8
1537517426,165,8
1537526426,27,3
1537537825,7,9
1537549226,2,7
1537560625,6,10
1537572024,2,3
1537582823,6,5
1537592423,0,6
1537612826,1,11
1537623626,3,11
1537634426,31,14
1537644625,119,13
1537654225,14,0
1537664424,5,13
1537674023,1,8
1537682423,1,0
1537693226,3,3
1537702826,2,2
1537713626,1,5
1537725625,2,13
1537735225,0,6
1537745425,1,9
1537755024,3,0
1537763424,11,13
1537771824,4,10
1537781426,2,8
1537791026,0,3
1537803625,4,4
1537813826,0,10
1537822825,1,0
1537831224,1,15
1537846823,0,16
1537855224,1,0
1537863027,0,11
1537871427,0,9
1537885826,5,0
1537893625,0,18
1537901425,1,0
1537909826,1,9
1537919424,4,0
1537929024,1,7
1537938623,0,6
1537947033,2,9
1537955426,0,15
1537963226,2,0
1537977026,3,14
1537990825,1,5
1538005224,0,13
1538013023,2,30
1538027423,1,0
1538041827,1,21
1538056239,2,4
1538070645,2,10
1538084439,3,18
1538098235,3,12
1538111434,1,10
1538125246,1,13
1538139034,0,8
1538148036,0,18
1538163035,0,10
1538170836,0,8
1538179229,0,6
1538201431,0,4
1538209235,3,9
1538217039,0,15
1538224842,0,10
1538239235,65,0
1538247639,33,13
1538262026,8,10
1538275224,1,21
1538289634,2,10
1538303442,0,6
1538317234,3,11
1538331636,1,5
1538339437,1,10
1538353229,0,4
1538367035,3,6
1538380838,1,5
1538394637,3,7
1538407837,1,5
1538421034,0,7
1538434835,0,5
1538446236,1,9
1538456429,0,1
1538467836,1,5
1538482238,0,5
1538494827,0,9
1538507425,1,8
1538517625,1,12
1538529025,0,6
1538541023,3,9
1538552427,2,28
1538563828,2,0
1538577626,1,20
1538584826,3,17
1538592626,0,13
1538607026,0,13
1538614225,28,8
1538628625,1,0
1538635824,2,13
1538643627,2,11
1538658027,4,12
1538671826,5,13
1538679026,34,5
1538693426,502,0
1538703025,1535,23
1538715625,228,0
1538725826,60,11
1538736627,32,0
1538747426,20,18
1538756427,8,0
1538766626,7,9
1538775626,4,9
1538785225,886,14
1538800226,1800,23
1538814628,146,0
1538827227,51,3
1538841627,485,10
1538857226,143,11
1538886625,33,10
1538900426,14,13
