DateTime,Entries,UniqueIPs
1537347630,2560,2576
1537357231,2560,2577
1537368632,2563,2580
1537379431,2564,2581
1537389630,2563,2579
1537401031,2565,2581
1537411831,2564,2580
1537422630,2561,2577
1537433431,2567,2583
1537443631,2560,2576
1537453230,2562,2578
1537463431,2558,2574
1537474830,2558,2574
1537485032,2551,2568
1537495831,2555,2572
1537506637,2553,2570
1537517432,2555,2572
1537526432,2554,2571
1537537830,2559,2576
1537549235,2553,2570
1537560631,2545,2562
1537572031,2546,2562
1537582848,2543,2559
1537592430,2537,2553
1537602030,2542,2558
1537612830,2536,2552
1537623631,2538,2554
1537634433,2534,2550
1537644637,2536,2552
1537654231,2541,2556
1537664433,2542,2557
1537674030,2544,2560
1537682432,2547,2563
1537693243,2551,2568
1537702831,2542,2559
1537713630,2537,2554
1537725630,2532,2549
1537735230,2533,2550
1537745430,2533,2550
1537755030,2532,2549
1537763430,2530,2548
1537771830,2532,2550
1537781430,2534,2552
1537791031,2531,2549
1537803630,2530,2547
1537813831,2528,2545
1537822831,2525,2542
1537831230,2527,2544
1537839029,2533,2550
1537846829,2534,2551
1537855238,2526,2543
1537863031,2526,2543
1537871431,2522,2539
1537878030,2527,2544
1537885831,2528,2545
1537893650,2535,2552
1537901430,2534,2551
1537909831,2535,2552
1537919429,2533,2550
1537929029,2527,2544
1537938629,2528,2545
1537947037,2522,2539
1537955430,2518,2536
1537963230,2520,2538
1537970430,2517,2535
1537977031,2513,2531
1537984230,2516,2534
1537990831,2514,2532
1537998030,2514,2533
1538005230,2511,2530
1538013029,2506,2525
1538020830,2509,2529
1538027429,2505,2525
1538034631,2506,2526
1538041830,2511,2531
1538048440,2512,2533
1538056243,2511,2532
1538063443,2511,2532
1538070651,2507,2528
1538077833,2504,2525
1538084444,2504,2525
1538091646,2500,2521
1538098241,2493,2514
1538104239,2496,2517
1538111439,2494,2515
1538118649,2497,2518
1538125250,2501,2522
1538131243,2502,2523
1538139039,2502,2523
1538148041,2499,2520
1538155841,2499,2520
1538163041,2503,2524
1538170841,2497,2518
1538179235,2499,2519
1538187034,2492,2512
1538194841,2497,2517
1538201438,2487,2507
1538209239,2478,2498
1538217043,2483,2503
1538224846,2478,2498
1538232646,2481,2501
1538239241,2482,2502
1538247645,2480,2500
1538254245,2481,2501
1538262031,2473,2493
1538268630,2472,2492
1538275230,2475,2495
1538282430,2476,2495
1538289641,2474,2493
1538296242,2474,2493
1538303446,2473,2492
1538310641,2471,2490
1538317239,2469,2488
1538323841,2472,2491
1538331641,2461,2480
1538339442,2463,2482
1538346640,2462,2481
1538353235,2463,2482
1538359837,2464,2483
1538367041,2465,2484
1538374240,2465,2484
1538380841,2464,2483
1538387443,2462,2481
1538394641,2463,2482
1538401835,2463,2482
1538407841,2459,2478
1538414438,2456,2475
1538421038,2460,2479
1538428240,2462,2481
1538434840,2464,2483
1538439638,2466,2486
1538446242,2462,2482
1538451040,2453,2473
1538456436,2449,2468
1538461842,2446,2465
1538467840,2446,2465
1538475038,2449,2468
1538482242,2446,2465
1538487630,2444,2463
1538494831,2446,2465
1538501430,2443,2463
1538507431,2445,2465
1538512230,2447,2467
1538517631,2446,2466
1538523629,2444,2464
1538529030,2441,2461
1538535030,2444,2464
1538541030,2448,2468
1538547029,2447,2467
1538552430,2450,2470
1538557830,2453,2473
1538563831,2452,2472
1538570431,2453,2473
1538577630,2454,2474
1538584831,2455,2475
1538592630,2449,2469
1538599830,2454,2474
1538607031,2451,2471
1538614230,2452,2472
1538622030,2455,2475
1538628630,2458,2478
1538635830,2460,2480
1538643630,2459,2479
1538650831,2460,2480
1538658031,2463,2483
1538665230,2459,2479
1538671830,2457,2477
1538679031,2457,2476
1538686831,2453,2472
1538693431,2465,2484
1538703031,2472,2491
1538715632,2470,2490
1538725831,2473,2493
1538736631,2485,2505
1538747431,2500,2520
1538756432,2498,2518
1538766632,2497,2517
1538775632,2502,2522
1538785231,2516,2536
1538800234,2520,2541
1538814634,2518,2541
1538827240,2520,2544
1538841634,2518,2543
1538857234,2515,2540
1538872232,2513,2538
1538886632,2514,2539
1538900431,2512,2537
1538914833,2506,2531
1538931032,2496,2521
1538944232,2489,2514
1538956832,2486,2512
1538968232,2488,2515
1538981432,2479,2506
1538995232,2477,2504
1539007232,2473,2500
1539019831,2472,2499
1539032432,2463,2490
1539043831,2460,2487
1539057030,2460,2487
1539069031,2456,2483
1539080432,2457,2484
1539090032,2455,2482
1539100231,2459,2487
1539110432,2457,2485
1539121232,2454,2482
1539131432,2453,2481
1539140431,2454,2482
1539150631,2457,2485
1539160832,2457,2485
1539171632,2462,2490
1539181832,2468,2496
1539190842,2460,2488
1539200431,2463,2491
1539211831,2458,2486
1539222631,2457,2485
1539234632,2457,2485
1539247832,2453,2480
1539259232,2462,2489
1539271232,2458,2485
1539283832,2460,2487
1539294631,2467,2494
1539306043,2461,2488
1539317431,2469,2496
1539329432,2460,2487
1539340832,2463,2490
1539352831,2460,2487
1539363631,2463,2490
1539374431,2462,2489
1539384630,2470,2497
1539395430,2472,2499
1539405630,2471,2498
1539415831,2472,2499
1539425431,2475,2502
1539435030,2475,2502
1539444630,2475,2502
1539453632,2476,2503
1539463231,2478,2505
1539472831,2474,2501
1539483631,2474,2501
1539494431,2474,2501
1539505230,2475,2502
1539516031,2483,2510
1539527431,2479,2506
1539536431,2478,2505
1539546030,2469,2496
1539556831,2472,2499
1539567631,2473,2500
1539579631,2473,2500
1539589830,2473,2499
1539600630,2466,2492
1539612030,2464,2490
1539622232,2465,2491
1539632431,2469,2495
1539641431,2468,2494
1539649830,2468,2495
1539660031,2470,2497
1539670231,2469,2496
1539681633,2475,2502
1539691831,2481,2509
1539703230,2485,2513
1539714031,2485,2513
1539723031,2483,2511
1539732030,2480,2508
1539741030,2473,2501
1539750630,2470,2498
1539759630,2479,2507
1539768632,2474,2502
1539778231,2470,2497
1539788434,2475,2502
1539799830,2473,2500
1539811831,2461,2488
1539820830,2463,2490
1539831031,2471,2498
1539841831,2472,2499
1539852630,2472,2499
1539863431,2466,2493
1539873630,2464,2491
1539884431,2467,2494
1539895231,2466,2493
1539905431,2474,2501
1539914431,2472,2499
1539924030,2471,2498
1539935430,2468,2495
1539945030,2464,2491
1539954030,2462,2488
1539964230,2465,2491
1539973830,2460,2486
1539982230,2457,2483
1539991830,2457,2483
1540001430,2464,2490
1540011630,2462,2488
1540020030,2464,2490
1540029630,2461,2487
1540038030,2459,2485
1540047029,2463,2489
1540056031,2459,2485
1540065030,2459,2485
1540073431,2463,2489
1540082430,2462,2488
1540090830,2463,2489
1540099231,2458,2484
1540108830,2457,2483
1540116631,2466,2492
1540123830,2459,2485
1540134030,2456,2482
1540143031,2458,2483
1540152030,2452,2477
1540161030,2462,2487
1540169430,2463,2488
1540178429,2461,2486
1540187430,2463,2488
1540196430,2458,2483
1540206030,2459,2484
1540216830,2462,2487
1540225830,2465,2490
1540234830,2473,2498
1540245030,2472,2497
1540254030,2469,2494
1540263630,2469,2494
1540273230,2468,2493
1540283430,2467,2492
1540292431,2464,2490
1540301430,2464,2490
1540309829,2465,2491
1540318230,2465,2491
1540327232,2463,2489
1540337430,2463,2489
1540345830,2462,2488
1540354829,2467,2493
1540364027,2466,2491
1540372231,2457,2481
1540381230,2466,2490
1540390231,2464,2488
1540399230,2464,2488
1540406430,2469,2493
1540415430,2461,2485
1540423230,2470,2494
1540432229,2460,2484
1540442430,2461,2485
1540450829,2461,2486
1540460431,2459,2484
1540470030,2451,2476
1540479636,2450,2475
1540487442,2449,2474
1540496430,2450,2474
1540506030,2447,2472
1540514432,2448,2473
1540523430,2448,2473
1540532431,2448,2473
1540539630,2450,2475
1540547430,2449,2474
1540554629,2446,2470
1540562430,2447,2471
1540569629,2448,2472
1540576830,2441,2465
1540584629,2441,2465
1540591230,2439,2463
1540598429,2439,2463
1540605631,2446,2470
1540612830,2436,2460
1540621229,2436,2460
1540629029,2435,2459
1540636230,2436,2460
1540643430,2433,2457
1540651829,2429,2453
1540659630,2420,2444
1540667431,2425,2449
1540674029,2427,2451
1540681830,2429,2453
1540688429,2429,2453
1540695630,2426,2450
1540703429,2423,2447
1540710630,2425,2449
1540719030,2419,2443
1540726838,2417,2441
1540735830,2415,2439
1540744829,2413,2437
1540754430,2409,2433
1540762830,2412,2436
1540769429,2416,2440
1540776029,2416,2440
1540785029,2414,2438
1540794629,2412,2436
1540802430,2413,2437
1540810829,2411,2435
1540819230,2409,2433
1540827629,2411,2435
1540836630,2405,2429
1540845030,2396,2420
1540852231,2399,2423
1540858830,2402,2426
1540866631,2401,2425
1540873829,2403,2427
1540879829,2403,2426
1540888230,2395,2418
1540895430,2393,2416
1540903230,2393,2416
1540910429,2395,2418
1540916429,2392,2415
1540924230,2395,2418
1540930830,2401,2424
1540937429,2402,2425
1540944630,2403,2426
1540953029,2396,2419
