DateTime,AddedIPs,RemovedIPs
1540887849,7,5
1540888329,6,3
1540888808,2,1
1540890249,1,0
1540901770,0,1
1540902727,1,0
1540908972,0,1
1540909930,1,0
1540917148,0,1
1540917608,1,0
1540930089,0,1
1540930569,1,1
1540931045,1,0
1540933930,1,1
1540944485,0,1
1540944968,1,1
1540945447,1,0
1540947849,0,9
1540948327,12,14
1540948805,11,9
1540949289,6,10
1540950006,10,10
1540950728,10,5
1540951227,5,9
1540951686,8,9
1540952179,7,7
1540952647,8,6
1540953128,8,8
1540953604,8,4
1540954088,6,11
1540954566,11,9
1540955049,9,5
1540955529,4,4
1540956008,4,5
1540956485,6,9
1540956968,19,15
1540957445,7,6
1540957928,7,9
1540958417,8,10
1540958888,8,6
1540959368,8,7
1540959844,5,6
1540960329,5,10
1540960809,9,5
1540961286,6,6
1540961769,7,4
1540962246,4,8
1540962968,8,7
1540963447,7,4
1540963924,4,8
1540964406,10,9
1540964890,8,8
1540965365,13,8
1540965850,4,7
1540966327,9,6
1540966816,6,13
1540967289,9,11
1540967774,12,10
1540968246,7,8
1540968730,7,7
1540969213,7,11
1540969686,14,8
1540970170,4,8
1540970646,9,9
1540971127,8,5
1540971608,8,8
1540972087,6,5
1540972567,8,6
1540973047,7,11
1540973537,9,5
1540974006,6,2
1540974486,4,5
1540974965,5,2
1540975448,1,2
1540975929,0,1
1540977370,1,0
1540985529,0,1
1540986006,1,0
1540993931,0,1
1540995384,1,0
1541002571,0,1
1541003048,1,0
1541018164,0,1
1541020086,1,0
1541034250,2,11
1541034727,10,6
1541035207,7,10
1541035685,5,7
1541036171,15,15
1541036658,13,13
1541037125,10,8
1541037621,10,8
1541038086,7,8
1541038568,7,10
1541039050,12,8
1541039526,8,11
1541040004,10,6
1541040499,7,9
1541040965,6,3
1541041457,4,6
1541041924,7,12
1541042415,9,7
1541042887,9,6
1541043366,6,9
1541043848,9,8
1541044331,8,9
1541044815,7,9
1541045286,9,6
1541045768,6,5
1541046248,7,9
1541046725,7,9
1541047208,10,7
1541047926,7,5
1541048650,9,11
1541049125,6,6
1541049605,7,7
1541050089,6,7
1541050568,8,12
1541051046,11,8
1541051526,10,7
1541052261,9,10
1541052968,7,9
1541053448,10,9
1541053925,10,5
1541054409,6,7
1541054889,8,11
1541055366,9,5
1541055847,6,7
1541056327,6,8
1541056810,5,8
1541057286,9,5
1541057764,8,9
1541058247,8,7
1541058726,6,9
1541059219,6,8
1541059688,9,12
1541060169,8,9
1541060650,7,7
1541061125,6,3
1541061606,4,3
1541062090,1,1
1541062565,1,1
1541063049,1,0
1541064965,0,1
1541065929,1,0
1541075531,0,1
1541076249,1,0
1541083925,0,1
1541085368,1,0
1541092566,0,1
1541093530,1,0
1541110330,0,1
1541112008,1,0
1541120646,0,10
1541121127,9,8
1541121609,12,9
1541122090,9,9
1541122569,6,9
1541123045,9,10
1541123527,9,4
1541124016,7,5
1541124726,4,9
1541125206,9,9
1541125689,9,5
1541126164,7,7
1541126644,5,6
1541127128,10,9
1541127613,9,7
1541128085,4,6
1541128569,9,6
1541129045,5,8
1541129529,13,11
1541130008,5,9
1541130485,8,6
1541130964,8,5
1541131451,5,9
1541131925,8,8
