DateTime,AddedIPs,RemovedIPs
1541306523,10,0
1541307723,14,37
1541308923,22,0
1541309523,12,8
1541310123,9,28
1541311324,12,9
1541311924,16,0
1541312523,16,8
1541313123,18,0
1541313723,8,4
1541314923,11,18
1541315524,11,5
1541316124,10,23
1541316723,15,6
1541317324,5,4
1541317923,21,0
1541318523,8,11
1541319723,12,0
1541320324,5,6
1541320923,9,14
1541321524,12,7
1541322123,8,12
1541322723,27,0
1541323323,16,20
1541324523,11,0
1541325123,34,6
1541325724,9,9
1541326324,31,7
1541326923,14,7
1541327523,12,0
1541328124,6,0
1541328723,13,10
1541329323,13,8
1541329924,11,16
1541330523,17,0
1541331723,18,16
1541332323,14,3
1541332923,14,0
1541334123,10,13
1541335323,13,10
1541335923,12,0
1541336523,9,7
1541337123,10,0
1541337724,12,10
1541338324,10,0
1541338924,9,8
1541339523,12,32
1541340125,3,0
1541340724,7,10
1541341324,18,3
1541342524,17,16
1541343124,14,0
1541343724,16,4
1541344923,32,15
1541346123,12,0
1541347323,14,22
1541347923,44,0
1541348523,16,11
1541349723,23,8
1541350923,14,17
1541352123,8,15
1541353324,5,49
1541354524,17,37
1541355124,8,0
1541355724,15,0
1541356324,12,8
1541356923,10,4
1541358123,9,25
1541359324,5,47
1541360524,13,25
1541361723,17,0
1541362923,15,38
1541364123,10,0
1541364723,16,19
1541365322,11,0
1541366523,7,44
1541367124,64,0
1541367723,16,0
1541368923,11,17
1541369524,15,0
1541370123,13,6
1541370724,15,7
1541371323,12,0
1541371923,11,11
1541372524,7,0
1541373723,15,30
1541374323,17,0
1541374924,15,8
1541376124,17,28
1541376723,25,0
1541377323,11,0
1541377924,16,28
1541378525,20,9
1541379723,9,6
1541380323,4,0
1541380923,65,9
1541381523,18,57
1541382123,14,0
1541383323,32,24
1541383923,6,18
1541384523,16,0
1541385123,14,20
1541385724,8,10
1541386323,9,21
1541386923,17,0
1541388124,18,64
1541388723,21,0
1541389323,10,19
1541389923,7,0
1541390523,22,10
1541391123,18,0
1541391723,12,11
1541392323,11,24
1541393523,17,38
1541394123,40,6
1541395324,14,0
1541395922,13,11
