DateTime,AddedIPs,RemovedIPs
1541282523,4,9
1541283723,10,19
1541284923,2,11
1541286123,3,8
1541287322,15,0
1541288523,26,9
1541289123,0,4
1541289724,1,26
1541290922,2,12
1541292123,4,15
1541292723,4,0
1541293324,35,0
1541294523,11,12
1541295123,6,12
1541295723,1,0
1541296323,0,3
1541297525,0,6
1541298124,0,2
1541299923,0,1
1541301723,4,8
1541302323,5,10
1541302923,19,8
1541303523,8,0
1541304123,15,0
1541304723,3,10
1541305323,2,1
1541306523,5,1
1541307722,4,8
1541308923,2,0
1541309523,1,1
1541310123,16,11
1541310722,4,13
1541311323,3,3
1541312523,1,3
1541313723,11,4
1541314323,10,1
1541314923,6,0
1541315524,1,2
1541316124,7,12
1541317323,4,15
1541317923,1,0
1541318523,4,6
1541319723,4,0
1541320324,3,1
1541320923,3,0
1541322122,4,3
1541323323,1,9
1541323923,9,9
1541324522,1,0
1541325723,18,13
1541326923,17,24
1541327523,3,0
1541328123,1,0
1541328723,1,5
1541329323,0,2
1541329924,0,4
1541330523,1,0
1541331723,0,6
1541332923,7,12
1541333523,1,6
1541334123,1,3
1541335323,2,26
1541336523,0,7
1541337123,5,0
1541337724,3,11
1541338323,9,0
1541338923,3,15
1541340124,13,20
1541341324,10,12
1541342524,11,27
1541343723,8,5
1541344923,1,38
1541346123,2,9
1541347323,71,19
1541348523,44,8
1541349723,12,21
1541350923,13,23
1541351523,35,12
1541352123,18,3
1541353323,10,1
1541354524,20,7
1541355124,2,0
1541355723,2,0
1541356324,2,0
1541356923,10,13
1541358122,13,18
1541359323,8,40
1541360524,4,5
1541361723,34,5
1541362923,22,6
1541364123,13,0
1541364723,7,1
1541365322,2,0
1541366523,9,9
1541367124,10,0
1541367723,3,0
1541368923,5,9
1541369523,22,9
1541370123,52,15
1541370724,94,0
1541371323,87,0
1541371923,46,12
1541372524,15,0
1541373723,53,14
1541374323,20,0
1541374923,22,6
1541375523,28,0
1541376124,20,9
1541376723,5,0
1541377323,9,0
1541377923,8,5
1541378525,20,8
1541379123,9,0
1541379723,42,6
1541380323,16,0
1541380923,4,7
1541382123,4,32
1541383323,0,25
1541383923,26,0
1541384522,17,0
1541385123,20,10
1541385724,55,5
1541386323,74,2
1541386923,84,0
1541387523,83,2
1541388123,12,6
1541388723,16,9
1541389323,8,15
1541390523,10,1
1541391123,4,0
1541391723,1,1
1541393523,18,1
1541394123,15,0
1541394724,20,5
1541395324,76,0
1541395922,51,0
1541396524,14,19
1541397724,20,24
1541398323,12,2
1541398924,16,2
1541400124,13,6
1541400724,13,7
1541401324,1,3
1541402523,46,15
1541403123,65,0
1541403723,54,6
1541404923,61,12
1541405523,27,12
1541406122,3,9
1541407323,1,20
1541408523,23,4
1541409723,16,5
1541410323,17,19
1541410923,10,0
1541411523,3,14
1541412124,4,13
1541412724,4,0
1541413324,17,0
1541413923,8,17
1541414523,21,0
1541415723,4,13
1541416323,3,4
1541416922,2,0
1541418124,31,11
1541418723,4,0
1541419323,7,2
1541420523,11,2
1541421123,7,12
1541421723,10,10
1541422923,22,7
1541423523,10,11
1541424123,6,0
1541424723,10,15
1541425323,13,16
1541425923,17,0
1541426523,15,2
1541427123,20,0
1541427723,19,1
1541428323,9,2
1541428923,55,2
1541429523,48,21
1541430123,10,0
1541430723,20,8
1541431323,28,20
1541431923,14,0
1541432524,40,4
1541433123,17,0
1541433724,21,3
1541434324,9,21
1541434924,11,0
1541435524,3,19
1541436122,3,0
1541437323,35,26
1541437924,14,2
1541438523,2,3
1541439123,1,0
1541439723,12,0
1541440323,22,1
1541440923,13,0
